external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-26003,Hillary Scholten,abortion,2,"Scholten is an outspoken supporter of abortion rights and focused her 2024 messaging on preserving reproductive rights. She quoted scripture on the House floor defending abortion access, demonstrating strong commitment to legal abortion. No evidence of supporting full public funding at all stages, consistent with mainstream pro-choice position.",https://rollcall.com/members-of-congress/hillary-scholten/,https://www.wgvunews.org/news/2024-11-05/mi-voters-are-deciding-2-open-congressional-seats-and-2-contested-seats-in-fight-for-us-house,,,,
-26003,Hillary Scholten,childcare,3,"Scholten co-sponsored the federal Tri-Share Child Care Affordability Act (Dec 2025) with Republican Rep. John James, which splits childcare costs among states, employers, and families through a $250M federal pilot — a targeted cost-sharing model rather than universal public childcare or large-scale subsidies.",https://www.michiganpublic.org/politics-government/2025-12-16/reps-scholten-and-james-introduce-federal-tri-share-child-care-affordability-bill,,,"By diffusing the cost over three participants and payers, you create a more stable model that we hope will have long-term staying power.","By diffusing the cost over three participants and payers, you create a more stable model that we hope will have long-term staying power."
-26003,Hillary Scholten,civil-rights,2,"Scholten is a member of the Black Maternal Health Caucus, Congressional Equality Caucus, and Democratic Women's Caucus, and is described by Roll Call as an outspoken supporter of the LGBTQ community. She has called for making laws 'more just, fair and humane,' signaling support for strengthening civil rights enforcement and addressing systemic discrimination.",https://en.wikipedia.org/wiki/Hillary_Scholten,https://rollcall.com/members-of-congress/hillary-scholten/,,,,
-26003,Hillary Scholten,climate-change,3,"Scholten holds a 92% LCV lifetime score and 88% in 2025, voting consistently to protect clean air, water, and endangered species while opposing fossil fuel expansion. She serves on the House T&I Subcommittee on Water Resources and Environment. Her record reflects investment in clean energy with gradual fossil fuel reduction rather than emergency bans.",https://www.lcv.org/congressional-scorecard/moc/hillary-scholten,https://en.wikipedia.org/wiki/Hillary_Scholten,,,,
-26003,Hillary Scholten,fossil-fuels,3,"Scholten's 92% LCV lifetime score reflects strong opposition to rolling back environmental regulations and fossil fuel expansion, aligning with maintaining current production under existing environmental rules. No evidence of supporting a ban on new permits, but she consistently votes against weakening extraction safeguards.",https://www.lcv.org/congressional-scorecard/moc/hillary-scholten,https://en.wikipedia.org/wiki/Hillary_Scholten,,,,
-26003,Hillary Scholten,healthcare,2,"As a member of the New Democrat Coalition, Scholten supports affordable coverage through a public-private mix. She has backed ACA protections and expanding access without endorsing a single-payer system. Her Problem Solvers Caucus membership reflects a centrist approach to ensuring coverage through regulated private insurance alongside public programs.",https://en.wikipedia.org/wiki/Hillary_Scholten,https://rollcall.com/members-of-congress/hillary-scholten/,,,,
-26003,Hillary Scholten,immigration,3,"Scholten is a former immigration attorney who supports a bipartisan approach that includes both border security measures and pathways to citizenship for undocumented immigrants. She also voted for the Laken Riley Act in January 2025 alongside 45 other House Democrats, signaling a moderate position that keeps current immigration levels while prioritizing enforcement against those with criminal records.",https://rollcall.com/members-of-congress/hillary-scholten/,https://en.wikipedia.org/wiki/Hillary_Scholten,https://www.wgvunews.org/news/2026-02-18/michigan-u-s-congresswomen-visit-ice-detention-center-in-baldwin,,,
-26003,Hillary Scholten,deportation,3,"Scholten voted for the Laken Riley Act (Jan 2025), which mandates detention and deportation of undocumented immigrants convicted of theft or burglary — prioritizing those with criminal records. She simultaneously supports pathways to citizenship for long-term undocumented residents and conducted ICE detention oversight, reflecting a focus-on-criminals rather than mass deportation stance.",https://en.wikipedia.org/wiki/Hillary_Scholten,https://www.wgvunews.org/news/2026-02-18/michigan-u-s-congresswomen-visit-ice-detention-center-in-baldwin,,,,
-26003,Hillary Scholten,same-sex-marriage,1,"Scholten is a member of the Congressional Equality Caucus and is described as an outspoken supporter of the LGBTQ community. Her strong LGBTQ rights advocacy, including Equality Caucus membership, indicates support for full federal recognition and benefits for same-sex marriages.",https://en.wikipedia.org/wiki/Hillary_Scholten,https://rollcall.com/members-of-congress/hillary-scholten/,,,,
-26003,Hillary Scholten,taxes,2,"Scholten is a member of the New Democrat Coalition, which favors moderate pro-growth positions, and presents herself as a 'middle class pragmatist.' Her committee assignments and Problem Solvers Caucus membership reflect a mainstream Democratic position of modestly raising taxes on wealthy individuals and corporations to fund existing services.",https://en.wikipedia.org/wiki/Hillary_Scholten,https://rollcall.com/members-of-congress/hillary-scholten/,,,,
-26003,Hillary Scholten,religious-freedom,3,"OnTheIssues records Scholten stating 'My West Michigan roots & Christian faith shaped who I am' (Nov 2022). She cited scripture in a floor speech defending abortion rights, demonstrating she applies faith publicly while also opposing religious exemptions that override others' rights — a balance-both approach aligned with protecting religious practices while maintaining equal treatment.",https://www.ontheissues.org/MI/Hillary_Scholten.htm,https://rollcall.com/members-of-congress/hillary-scholten/,,"My West Michigan roots & Christian faith shaped who I am.","My West Michigan roots & Christian faith shaped who I am."
-26003,Hillary Scholten,social-security,3,"As a New Democrat Coalition member, Scholten has not endorsed Social Security expansion or privatization. Her centrist, fiscally pragmatic positioning in the Problem Solvers Caucus is consistent with supporting small adjustments to keep Social Security stable without large benefit cuts or private accounts.",https://en.wikipedia.org/wiki/Hillary_Scholten,https://rollcall.com/members-of-congress/hillary-scholten/,,,,
-26003,Hillary Scholten,medicare/aid,3,"Scholten is a New Democrat Coalition member who supports ACA and existing public health programs but has not endorsed Medicare for All or major Medicaid expansion. Her centrist Democratic positioning aligns with improving current Medicare and Medicaid programs while controlling costs rather than dramatic expansion or privatization.",https://en.wikipedia.org/wiki/Hillary_Scholten,https://rollcall.com/members-of-congress/hillary-scholten/,,,,
-26003,Hillary Scholten,voting-rights,2,"OnTheIssues records Scholten as favoring easier voter registration (Nov 2022), and she stated she aims to 'make our laws and democracy more just, fair and humane.' Her Democratic caucus membership and voting record reflect support for expanding early voting and mail-in voting access.",https://www.ontheissues.org/MI/Hillary_Scholten.htm,https://en.wikipedia.org/wiki/Hillary_Scholten,,"Make our laws and democracy more just, fair and humane.","Make our laws and democracy more just, fair and humane."
