external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-13004,Henry C. Johnson Jr.,abortion,1,"Johnson is endorsed by NARAL Pro-Choice America and has a consistent pro-choice voting record. He voted NO on the No Taxpayer Funding for Abortion Act (2011, 2015), voted NAY on the Pain-Capable Unborn Child Protection Act (2015), and co-sponsored the Women's Health Protection Act, which sought to ban state restrictions on abortion services at all stages. He also supports contraception access and family planning funding.",https://www.ontheissues.org/GA/Hank_Johnson_Abortion.htm,https://en.wikipedia.org/wiki/Hank_Johnson,,,
-13004,Henry C. Johnson Jr.,campaign-finance,2,"Johnson co-sponsored the DISCLOSE Act requiring transparency for independent political expenditures and the Government by the People Act establishing $50 voter vouchers with 6-to-1 federal matching funds for small donors. He supports public financing mechanisms and strict disclosure requirements to limit the influence of dark money, consistent with strictly limiting corporate donations and dark money groups.",https://www.ontheissues.org/GA/Hank_Johnson_Government_Reform.htm,https://en.wikipedia.org/wiki/Hank_Johnson,,,
-13004,Henry C. Johnson Jr.,civil-rights,2,"Johnson is a member of the Congressional Black Caucus and Congressional Progressive Caucus and has championed racial justice initiatives throughout his tenure. He voted YES on the Equity and Inclusion Enforcement Act authorizing private lawsuits for race discrimination in federally-funded programs, supported the Violence Against Women Act with expanded protections for marginalized groups, and backed employment non-discrimination protections for LGBTQ individuals. His record demonstrates consistent work to strengthen civil rights enforcement and address systemic discrimination.",https://www.ontheissues.org/GA/Hank_Johnson_Civil_Rights.htm,https://en.wikipedia.org/wiki/Hank_Johnson,,,
-13004,Henry C. Johnson Jr.,climate-change,2,"Johnson has a 97% lifetime LCV score and a perfect 100% pro-environment score in 2025. He co-sponsored a resolution calling for more than 50% clean and carbon-free electricity by 2030 (March 2016), voted YES on the American Clean Energy and Security Act enforcing CO2 limits (June 2009), and voted NO on barring the EPA from regulating greenhouse gases (April 2011). He declared 'gasoline is an energy source of the past' and consistently votes for rapid renewable energy transition.",https://www.lcv.org/congressional-scorecard/moc/hank-johnson,https://www.ontheissues.org/GA/Hank_Johnson_Energy_+_Oil.htm,,"Gasoline is an energy source of the past.","Gasoline is an energy source of the past."
-13004,Henry C. Johnson Jr.,deportation,2,"Johnson co-sponsored the Fair Day in Court for Kids Act providing government-funded legal counsel to aliens in removal proceedings including children, and voted against restricting DREAMer military service pathways. He supported providing lawyers and evidence for children facing deportation (Feb 2016) and backed protections for LGBT family members in pending deportation cases. His record demonstrates support for legal protections that effectively limit deportation to those who have committed serious offenses.",https://www.ontheissues.org/GA/Hank_Johnson_Immigration.htm,https://en.wikipedia.org/wiki/Hank_Johnson,,,
-13004,Henry C. Johnson Jr.,fossil-fuels,2,"Johnson voted NO on opening the Outer Continental Shelf to oil drilling (May 2011), voted YES to ban offshore oil drilling in the Gulf of Mexico (July 2016), voted YES on removing oil and gas exploration subsidies (January 2007), and voted NO on barring the EPA from regulating greenhouse gases (April 2011). His LCV lifetime score of 97% reflects consistent opposition to fossil fuel expansion and new drilling permits. He consistently votes against new fossil fuel extraction authorizations.",https://www.ontheissues.org/GA/Hank_Johnson_Energy_+_Oil.htm,https://www.lcv.org/congressional-scorecard/moc/hank-johnson,,,
-13004,Henry C. Johnson Jr.,healthcare,1,"Johnson is a member of the Medicare for All Caucus and has stated 'healthcare is a right, not a privilege.' He voted NO on the Ryan Budget's Medicare restructuring into a voucher system (April 2011), voted YES on Medicare expansion (July 2008), and co-sponsored the Public Option Deficit Reduction Act. His Medicare for All Caucus membership reflects his support for a publicly funded universal healthcare system.",https://www.ontheissues.org/GA/Hank_Johnson_Health_Care.htm,https://en.wikipedia.org/wiki/Hank_Johnson,,"healthcare is a right, not a privilege","Healthcare is a right, not a privilege."
-13004,Henry C. Johnson Jr.,housing,2,"Johnson co-sponsored the Project Rebuild Act funding redevelopment of abandoned and foreclosed properties for low- and moderate-income individuals and families, and supported the Fix America's Schools Today (FAST) Act authorizing $25 billion for school renovation in high-poverty districts. He supports robust government investment in affordable housing construction and rental assistance programs directed toward low-income residents.",https://www.ontheissues.org/GA/Hank_Johnson_Welfare_+_Poverty.htm,https://en.wikipedia.org/wiki/Hank_Johnson,,,
-13004,Henry C. Johnson Jr.,immigration,2,"Johnson co-sponsored the NO BAN Act prohibiting religious discrimination in visa and immigration decisions, co-sponsored the Fairness for High-Skilled Immigrants Act to increase both family-based and employment-based visa caps, and voted against restricting DACA recipients from military service. He supports expanded legal immigration pathways and protections for undocumented residents, while stopping short of open borders advocacy.",https://www.ontheissues.org/GA/Hank_Johnson_Immigration.htm,https://en.wikipedia.org/wiki/Hank_Johnson,,,
-13004,Henry C. Johnson Jr.,medicare/aid,1,"Johnson is a member of the Medicare for All Caucus, which advocates expanding Medicare to cover all Americans regardless of age. He voted against the Ryan Budget's Medicare privatization plan (2011), supported SCHIP expansion (2009), and signed the Social Security Protectors Pledge opposing any privatization of social insurance programs. His Medicare for All Caucus membership is the clearest signal of his support for universal Medicare coverage.",https://www.ontheissues.org/GA/Hank_Johnson_Health_Care.htm,https://en.wikipedia.org/wiki/Hank_Johnson,,,
-13004,Henry C. Johnson Jr.,redistricting,1,"Johnson co-sponsored the For the People Act (H.R. 1), which requires all states to establish independent redistricting commissions to draw congressional district boundaries, removing elected officials and partisan legislators from the process entirely. This positions him squarely in support of independent citizens' commissions without elected official involvement.",https://www.ontheissues.org/GA/Hank_Johnson_Government_Reform.htm,https://en.wikipedia.org/wiki/Hank_Johnson,,,
-13004,Henry C. Johnson Jr.,religious-freedom,2,"Johnson voted YES on the Employment Non-Discrimination Act (ENDA) prohibiting job discrimination based on sexual orientation and gender identity and voted YES on reauthorizing the Violence Against Women Act with expanded LGBTQ protections. He co-sponsored the Student Non-Discrimination Act protecting students from discrimination based on gender identity in federally-assisted schools. His record shows consistent support for protecting religious freedom while ensuring it does not override anti-discrimination protections in employment and education.",https://www.ontheissues.org/GA/Hank_Johnson_Civil_Rights.htm,https://en.wikipedia.org/wiki/Hank_Johnson,,,
-13004,Henry C. Johnson Jr.,same-sex-marriage,2,"Johnson voted for the Respect for Marriage Act, which amends the Defense of Marriage Act to require federal recognition of same-sex marriages performed in any state. The legislation includes religious freedom provisions allowing certain organizations to decline participation. He also voted YES on the Employment Non-Discrimination Act extending protections based on sexual orientation and gender identity, and co-signed letters supporting LGBT family considerations in immigration cases.",https://www.ontheissues.org/GA/Hank_Johnson_Civil_Rights.htm,https://en.wikipedia.org/wiki/Hank_Johnson,,,
-13004,Henry C. Johnson Jr.,school-vouchers,1,"Johnson voted NO on the SOAR Act (Scholarships for Opportunity and Results) expanding Washington D.C.'s federally-funded private school voucher program, and voted NO on reauthorizing the DC opportunity scholarship program. He voted YES on $40 billion for green public schools and supported multiple bills increasing federal public education investment. He opposes diverting taxpayer money to private institutions through voucher programs.",https://www.ontheissues.org/GA/Hank_Johnson_Education.htm,https://en.wikipedia.org/wiki/Hank_Johnson,,,
-13004,Henry C. Johnson Jr.,social-security,2,"Johnson signed the Social Security Protectors Pledge rejecting any effort to privatize or scale back Social Security benefits or raise the retirement age. He co-sponsored a resolution opposing the Chained CPI for calculating benefit adjustments, preserving the standard CPI. The Alliance for Retired Americans gave him a perfect 100% score. His record consistently supports protecting and modestly strengthening Social Security through traditional financing rather than privatization or benefit cuts.",https://www.ontheissues.org/GA/Hank_Johnson_Social_Security.htm,https://en.wikipedia.org/wiki/Hank_Johnson,,,
-13004,Henry C. Johnson Jr.,tariffs,3,"Johnson voted against the Peru Trade Promotion Agreement (2007) citing insufficient labor and environmental protections, co-sponsored the Currency Reform for Fair Trade Act (2013) seeking tariffs on countries with undervalued currencies, and voted YES on USMCA (2019) with stronger labor and environmental protections. He signed the TRADE Act requiring biennial reviews of free trade agreements and the Reciprocal Market Access Act mandating measurable results for U.S. businesses. His record reflects selective use of tariffs to protect workers and key industries.",https://www.ontheissues.org/GA/Hank_Johnson_Free_Trade.htm,https://en.wikipedia.org/wiki/Hank_Johnson,,,
-13004,Henry C. Johnson Jr.,taxes,1,"Johnson co-sponsored the Paying a Fair Share Act requiring a minimum 30% tax rate on individuals earning over $1 million, voted against repealing the estate tax (2015), and endorsed the Progressive Caucus's American People's Dividend ensuring only 1% of tax relief goes to the wealthiest 1%. He also supported closing offshore business loopholes and eliminating tax deductions for major oil companies, reflecting a consistent position of significantly raising taxes on wealthy individuals and large corporations.",https://www.ontheissues.org/GA/Hank_Johnson_Tax_Reform.htm,https://en.wikipedia.org/wiki/Hank_Johnson,,,
