external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-510804,Mo Seifeldein,healthcare,1,"Campaign website explicitly supports Medicare for All — a universal single-payer system — stating it guarantees comprehensive care and allows patients to keep their doctors. Opposes expiration of enhanced ACA subsidies and frames healthcare as a right, not a privilege.",https://moforcongress.com/issues,https://www.alxnow.com/tag/mo-seifeldein/,,You keep your doctors and you get care when you need it,You keep your doctors and you get care when you need it
-510804,Mo Seifeldein,abortion,2,Campaign website pledges to codify reproductive rights into federal law and repeal Comstock Act restrictions. This aligns with a strong pro-choice position — legal and accessible — without explicitly stating public funding at all stages of pregnancy.,https://moforcongress.com/issues,,,,
-510804,Mo Seifeldein,campaign-finance,2,"Publicly refuses corporate PAC donations; campaign website supports banning congressional stock trading for members and spouses, supports the Restore Trust in Congress Act (H.R. 5106), and advocates strict limits on dark money. Positions match strictly limiting corporate donations.",https://moforcongress.com/issues,https://www.alxnow.com/2026/03/06/former-councilman-mo-seifeldein-banks-on-grassroots-support-as-fundraising-trails-beyer/,,"Our grassroots fundraising shows that people are ready for something different from corporate Democrats. Our support comes from regular people, not corporate PACs.","Our grassroots fundraising shows that people are ready for something different from corporate Democrats. Our support comes from regular people, not corporate PACs."
-510804,Mo Seifeldein,childcare,1,"Campaign website explicitly supports free universal childcare from birth through kindergarten, citing the New Mexico model where families pay zero for licensed care. Estimates cost at 0.5-0.7% of GDP annually. Matches publicly funded universal childcare.",https://moforcongress.com/issues,https://www.alxnow.com/2026/03/06/former-councilman-mo-seifeldein-banks-on-grassroots-support-as-fundraising-trails-beyer/,,"Affordability is the biggest issue... Places like Arlington and Alexandria have among the highest childcare costs in the country, which puts significant pressure on families.","Affordability is the biggest issue... Places like Arlington and Alexandria have among the highest childcare costs in the country, which puts significant pressure on families."
-510804,Mo Seifeldein,civil-rights,2,"Campaign site pledges to defend free speech and fully resource Inspectors General for accountability. As Alexandria City Council member, he added gender identity to the city's Human Rights Code and led the renaming of Columbus Day to Indigenous Peoples' Day — demonstrating a record of strengthening civil rights protections.",https://moforcongress.com/issues,https://www.alxnow.com/2025/08/seifeldein/,,,
-510804,Mo Seifeldein,climate-change,2,"Campaign website pledges 100% carbon-free electricity by 2035 and net-zero emissions by 2050, supports the Green New Deal with union labor standards and social housing, and calls for rejoining the Paris Climate Agreement. Closely aligns with rapid clean-energy transition and fossil fuel phase-out.",https://moforcongress.com/issues,,,,
-510804,Mo Seifeldein,deportation,1,"Campaign website calls for abolishing ICE (created in 2003, spent $409 billion with 'no meaningful payoff'), creating a citizenship pathway for DACA holders, and establishing Temporary Protected Status as needed. This reflects a position of stopping most deportations and protecting undocumented residents from removal.",https://moforcongress.com/issues,,,,
-510804,Mo Seifeldein,fossil-fuels,2,"Campaign website supports a carbon fee on fossil fuels with public dividend distribution, backs the Green New Deal's clean-energy transition, and targets 100% carbon-free electricity by 2035. Positions align with stopping new fossil fuel permits rather than an outright immediate ban.",https://moforcongress.com/issues,,,,
-510804,Mo Seifeldein,housing,2,"Campaign website supports multiple housing affordability tools: ban on tax advantages for bulk-buying mega-landlords, enable tenant building purchases, prohibit rent-fixing pricing tools, redirect federal funds toward nonprofits and land trusts, expand LIHTC near transit, and increase down payment assistance. Aligns with using rent caps and requiring affordable units in new developments.",https://moforcongress.com/issues,,,,
-510804,Mo Seifeldein,immigration,2,"Campaign website supports abolishing ICE, creating citizenship pathways for DACA holders, restoring H-1B and H-2A agricultural worker visas, and establishing Temporary Protected Status. Positions align with keeping legal immigration broadly open and letting most residents access public services regardless of status.",https://moforcongress.com/issues,,,,
-510804,Mo Seifeldein,medicare/aid,1,His explicit support for Medicare for All — a single-payer universal system — encompasses expanding Medicare to cover all people regardless of age. January 2026 campaign presentation also listed Medicare for All as a top agenda priority.,https://moforcongress.com/issues,https://www.alxnow.com/tag/mo-seifeldein/,,,
-510804,Mo Seifeldein,tariffs,3,"Campaign website states opposition to tariffs that harm food prices and farmers, but does not call for eliminating all tariffs or pursuing completely free trade. The framing is targeted opposition to tariffs that hurt specific domestic groups, consistent with using tariffs selectively to protect key American industries and jobs.",https://moforcongress.com/issues,,,,
-510804,Mo Seifeldein,ukraine-support,2,"Campaign website supports continued defensive aid to Ukraine with oversight and diplomatic planning, while opposing blank-check military funding. This aligns with continuing current levels of military and economic aid rather than dramatically increasing or cutting it.",https://moforcongress.com/issues,,,,
