politician_id,topic_id,topic_key,value,reasoning,source_url
236fb3c1-b473-407f-b8a0-d76039b28087,669cac97-66a6-4087-b036-936fbe62efb3,housing,1,"Al-Zubi's stated central policy priority is Cambridge's first Social Housing pilot — municipally owned affordable housing funded by a proposed $50 million bond order. She explicitly supports ""maintaining our municipal housing program, or maybe expanding it,"" and frames housing as a matter of keeping people housed through direct public ownership, not just subsidies or market incentives. This aligns with value 1 (directly build and operate public housing).",https://www.cambridgeday.com/2026/01/03/can-socialists-on-city-council-make-cambridge-more-affordable/
236fb3c1-b473-407f-b8a0-d76039b28087,d4f18138-a2e0-4110-b925-7387d9d0d16d,residential-zoning,2,"Al-Zubi voted NO on the Cambridge Street heights zoning ordinance and voted Present on the amendment, citing concern that the compromise gave away leverage before a June 2026 Nexus Study that could reduce affordability requirements. She said ""we're giving away our leverage for free,"" indicating she supports density increases only when tied to robust affordability guarantees — consistent with value 2 (allow modest density increases with design review and community input), prioritizing affordability protections over broad upzoning.",https://www.cambridgeday.com/2026/01/27/cambridge-street-compromise/
236fb3c1-b473-407f-b8a0-d76039b28087,ba59337e-30e2-4aba-a39a-426b3366eb27,transportation-priorities,1,"Al-Zubi was endorsed by Cambridge Bicycle Safety as a 'bike champion'; she sponsored the Garden Street policy order that resulted in keeping the street one-way with divided bike lanes on both sides (a 5-4 vote on April 28, 2026); and she expressed safety concerns about making JFK Street two-way because of heavy pedestrian traffic. These actions consistently prioritize pedestrian infrastructure, cycling networks, and street safety over road capacity, matching value 1.",https://www.cambridgeday.com/2026/04/29/garden-street-tight-vote/
236fb3c1-b473-407f-b8a0-d76039b28087,b9ccee94-ad96-4f10-b655-889d8e5abe92,local-immigration,1,"Al-Zubi proposed an amendment to Cambridge's ICE hiring ban to expand it beyond agents who joined after January 20, 2025, to exclude all former ICE/DHS/CBP agents, arguing that ""many agents who served under previous administrations remain actively involved in these murderous, illegal operations that are currently unfolding in our communities."" This expansive anti-ICE-cooperation stance aligns with value 1 (refuse all ICE detainers, prohibit sharing immigration status information with federal agencies).",https://www.cambridgeday.com/2026/02/11/city-council-ice-response/
236fb3c1-b473-407f-b8a0-d76039b28087,e9ebefcd-c496-45e8-b816-a79f8442ba85,public-safety-approach,2,"As chair of the Public Safety Committee, Al-Zubi introduced a policy order calling for Cambridge Police to cease using ShotSpotter within 90 days, raising concerns about data sharing and surveillance privacy: ""the question becomes not who does ShotSpotter share data with, but who can ShotSpotter share data with."" Her focus is on limiting surveillance technology rather than expanding police resources, suggesting she maintains current staffing levels while shifting the approach — matching value 2.",https://www.cambridgeday.com/2026/05/13/shotspotter-vote-strong-feelings/
236fb3c1-b473-407f-b8a0-d76039b28087,0bc588c6-39e1-4084-b5de-cac909b8b762,civil-rights,2,"Al-Zubi co-sponsored Cambridge's gender-neutral bathrooms policy order (March 2026) alongside the mayor, explicitly framed as protecting transgender and gender-nonconforming residents. She also co-chairs the Human Services and Veterans Committee and self-identifies as a Democratic Socialist who ran on a platform of dignity and equity for renters and lower-income residents. Her record reflects strengthening protections and addressing systemic inequity, matching value 2.",https://www.cambridgeday.com/2026/03/24/future-bathrooms-gender-neutral/
236fb3c1-b473-407f-b8a0-d76039b28087,d1618b9c-0b9e-45af-b986-bb33d270b8e4,trans-athletes,1,"Al-Zubi co-sponsored Cambridge City Council's March 2026 policy order requiring gender-neutral bathrooms in new public spaces, explicitly framed as a pro-transgender rights measure to make residents feel safe. Her broader democratic socialist and human rights advocacy stance, combined with co-sponsoring this trans-affirming measure without any restrictions, aligns with value 1 (allow all transgender athletes and individuals on facilities matching their gender identity without restrictions).",https://www.cambridgeday.com/2026/03/24/future-bathrooms-gender-neutral/
d2358e54-6860-4382-8c8d-95a3dabea874,d4f18138-a2e0-4110-b925-7387d9d0d16d,residential-zoning,4,"Azeem was a co-sponsor of the original petition to allow six-story buildings citywide (the most aggressive upzoning proposal), voted YES in February 2025 on the final four-story multifamily ordinance that eliminated single- and two-family zoning restrictions citywide, and his official city page credits him with having 'legalized multifamily housing up to six stories throughout the city' in his second term. At the Ordinance Committee stage he stated 'I'm on Team Pass Whatever We Can at this point,' signaling he wanted even broader upzoning. This aligns with stance 4: upzone broadly to allow multifamily by right and streamline approvals.",https://www.cambridgeday.com/2025/01/20/cambridge-moves-forward-with-four-plus-two-multifamily-plan-final-vote-in-less-than-a-month/
d2358e54-6860-4382-8c8d-95a3dabea874,669cac97-66a6-4087-b036-936fbe62efb3,housing,3,"Azeem's official city page documents three housing tools: expanded zoning for 100% affordable housing projects (AHO expansion), removed parking minimums that limited housing development, and legalized multifamily citywide. His approach combines regulatory easing for private development with targeted affordability mandates (inclusionary affordable unit bonuses tied to height), which matches stance 3: offer targeted help like subsidies for affordable projects and easier building permits — not pure market deregulation nor publicly built housing.",https://www.cambridgema.gov/Departments/citycouncil/members/burhanazeem
d2358e54-6860-4382-8c8d-95a3dabea874,ba59337e-30e2-4aba-a39a-426b3366eb27,transportation-priorities,1,"Azeem voted NO in April 2025 against restoring two-way car traffic on Garden Street (the Transportation Director had recommended keeping the bike-lane-friendly one-way configuration as 'safest for all modes'), and then voted YES in April 2026 to lock in the one-way/bike-lane configuration. His official city page lists 'street safety' as a primary policy focus alongside housing. He also championed removal of parking minimums citywide. Together these actions align with stance 1: prioritize pedestrian infrastructure, cycling networks, and public transit; reduce parking requirements citywide.",https://www.cambridgeday.com/2026/04/29/garden-street-tight-vote/
