external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-900003,William Tong,abortion,2,"Tong joined a 22-state coalition in May 2026 urging the Supreme Court to stay a Fifth Circuit ruling that restricted access to mifepristone. He also sued to block the Trump administration's Planned Parenthood Medicaid defunding in July 2025, protecting abortion-related healthcare access. These actions reflect support for keeping abortion legal and accessible through standard channels, aligning with stance 2.",https://portal.ct.gov/ag/press-releases,,,,
-900003,William Tong,immigration,2,"Tong challenged the Trump administration's lawsuit targeting Connecticut's Trust Act (4/14/2026), which limits local cooperation with federal immigration enforcement. In January 2026 he supported Minnesota's challenge to ICE and Border Patrol deployments. These AG actions reflect a stance of protecting undocumented residents from broad enforcement while maintaining some legal-status distinctions, aligning with stance 2.",https://portal.ct.gov/ag/press-releases,,,,
-900003,William Tong,deportation,2,"In November 2025 Tong opposed the Trump administration's efforts to dramatically expand expedited deportations without due process. In April 2025 he challenged ideological deportation. His defense of the Trust Act further signals he supports limiting deportation to serious violent offenders rather than broad removal, aligning with stance 2 (only deport people convicted of serious violent crimes).",https://portal.ct.gov/ag/press-releases,,,,
-900003,William Tong,climate-change,2,"Tong sued the EPA in April 2026 over failure to implement air quality standards; sued to protect IRA and Infrastructure Act clean energy funding; and led the multistate challenge to Trump PFAS regulation rollbacks. He defended the Revolution Wind offshore wind lease against cancellation. These actions reflect aggressive pursuit of clean energy transition, aligning with stance 2 (rapidly transition to renewable energy, phase out fossil fuels).",https://portal.ct.gov/ag/press-releases,,,,
-900003,William Tong,fossil-fuels,2,"Tong sued the U.S. Department of Interior in June 2026 over cancellation of TotalEnergies' offshore wind lease, showing strong support for renewable energy over fossil fuels. He also fought to protect IRA clean energy funding from Trump termination. No press releases support expanding fossil fuel extraction. These actions align with stance 2 (stop issuing new permits for fossil fuel drilling).",https://portal.ct.gov/ag/press-releases,,,,
-900003,William Tong,healthcare,2,"Tong challenged a 2026 final rule creating barriers to ACA marketplace coverage, and won a federal court order protecting gender-affirming care for youth (3/20/2026). He also secured a 2025 court order protecting Planned Parenthood health center funding. These actions reflect support for broad, accessible healthcare coverage through a mix of public programs and regulated private insurance, aligning with stance 2.",https://portal.ct.gov/ag/press-releases,,,,
-900003,William Tong,civil-rights,2,"In June 2026 Tong joined 20 AGs challenging the Trump administration's rollback of DEI requirements for federal contractors. In March 2026 he joined a coalition challenging HUD's attack on fair housing enforcement. He sued to block conditions stripping sexual health education funding based on gender identity language. These actions reflect a stance of strengthening civil rights enforcement and addressing systemic discrimination, aligning with stance 2.",https://portal.ct.gov/ag/press-releases,,,,
-900003,William Tong,voting-rights,2,"In April 2026 Tong sued to block Trump's executive order attempting federal control over elections, restricting voter eligibility and mail voting. He also filed a joint statement on the birthright citizenship Supreme Court case in April 2026. These actions reflect support for expanding and protecting voting access, including mail-in voting, aligning with stance 2.",https://portal.ct.gov/ag/press-releases,,,,
-900003,William Tong,same-sex-marriage,1,"Tong has been a consistent defender of LGBTQ rights throughout his career as CT state rep and AG. As AG he filed suit to block Trump's defunding of gender-affirming care (3/20/2026) and opposed conditions stripping LGBTQ-inclusive health education funding. Connecticut was among the first states to legalize same-sex marriage; Tong has never opposed SSM recognition and actively litigates for full LGBTQ equality, aligning with stance 1 (require all states to recognize SSM with full federal benefits and protections).",https://portal.ct.gov/ag/press-releases,https://en.wikipedia.org/wiki/William_Tong,,,
-900003,William Tong,trans-athletes,1,"In February 2025 Tong issued a statement opposing the Trump executive order threatening to defund schools that do not discriminate against transgender athletes. This directly documents his opposition to trans athlete bans, aligning with stance 1 (allow all transgender athletes to compete on teams matching their gender identity).",https://portal.ct.gov/ag/press-releases,,,,
-900003,William Tong,tariffs,1,"In March 2026 Tong filed a court order to stop the Trump administration's tariffs, calling them illegal, and joined 17 other AGs calling on Congress to require refunds for costs from Trump's tariffs. These actions reflect opposition to broad tariff protectionism, aligning with stance 1 (eliminate tariffs and pursue free trade).",https://portal.ct.gov/ag/press-releases,,,,
-900003,William Tong,medicare/aid,2,"Tong joined a 23-state coalition suing over the Planned Parenthood Medicaid defunding provision in July 2025. He won a court order protecting SNAP benefits and blocked HUD changes to homelessness assistance grants in December 2025. He sued over ACA marketplace enrollment barriers. These actions collectively reflect support for expanding and strengthening Medicaid and related public programs, aligning with stance 2.",https://portal.ct.gov/ag/press-releases,,,,
-900003,William Tong,misinformation,2,"In May 2026 Tong released a statement supporting legislation to 'combat youth social media addiction and strengthen state regulations over artificial intelligence,' specifically targeting harmful and addictive algorithms. In January 2026 he investigated Grok AI for generating nonconsensual sexual content. These actions reflect support for mandating accountability in how algorithms promote content, aligning with stance 2.",https://portal.ct.gov/ag/press-releases,,,,
-900003,William Tong,ai-regulation,3,"In May 2026 Tong supported legislation to 'combat youth social media addiction and strengthen state regulations over artificial intelligence.' In January 2026 he investigated AI chatbot Grok over nonconsensual sexual content. These actions reflect support for holding AI systems accountable when they cause harm, aligning with stance 3 (require AI developers to disclose risks and be held responsible when their systems cause harm).",https://portal.ct.gov/ag/press-releases,,,,
-900003,William Tong,religious-freedom,2,"Tong sued to stop conditions that stripped funding from programs including gender identity language (September 2025), and actively litigated against Trump administration actions that would allow religious-based discrimination in healthcare and education. His AG record reflects a stance that religious freedom should not override anti-discrimination protections, aligning with stance 2.",https://portal.ct.gov/ag/press-releases,,,,
-900003,William Tong,housing,2,"In March 2026 Tong joined a 16-AG coalition challenging the Trump administration's attack on fair housing enforcement funding at HUD. Separately he investigated Concierge Apartments property management over tenant mistreatment and secured $5.1 million in financial relief. These actions reflect support for strong fair housing enforcement and tenant protections, aligning with stance 2.",https://portal.ct.gov/ag/press-releases,,,,
-900003,William Tong,homelessness,2,"In December 2025 Tong won a court order halting HUD changes to homelessness assistance grants that would have affected thousands. His AG actions consistently defend funding for shelter and service programs, aligning with stance 2 (decriminalizing public sleeping while investing in shelter capacity and voluntary service connections).",https://portal.ct.gov/ag/press-releases,,,,
