full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Brian K. Fitzpatrick,-42001,abortion,3,"Voted for the Pain-Capable Unborn Child Protection Act (20-week ban with rape/incest exceptions) and voted for the Ensuring Access to Abortion Act (2022), one of only three Republicans to do so. Opposed the Women's Health Protection Act. His record reflects a first-trimester-and-exceptions framework, aligning with value 3 (allow abortion in the first trimester and in cases of rape, incest, or maternal health risks).",https://en.wikipedia.org/wiki/Brian_Fitzpatrick_(American_politician),https://www.ontheissues.org/PA/Brian_Fitzpatrick.htm,,"Advocates for bipartisan consensus ""respecting a woman's privacy and autonomy"" while also respecting ""sanctity of human life""","Advocates for bipartisan consensus ""respecting a woman's privacy and autonomy"" while also respecting ""sanctity of human life"""
Brian K. Fitzpatrick,-42001,campaign-finance,3,"Co-introduced the FAITH in Congress Act (2018) imposing a lifetime lobbyist ban and withholding pay if the budget fails, and co-sponsored the Restore Trust in Congress Act (2025) banning members and families from stock ownership and trading. His reform focus centers on transparency and conflict-of-interest disclosure, aligning with value 3 (require full disclosure of all political donations).",https://en.wikipedia.org/wiki/Brian_Fitzpatrick_(American_politician),,,,
Brian K. Fitzpatrick,-42001,civil-rights,3,"Co-sponsored and voted for the Equality Act (2019 and 2021) extending anti-discrimination protections to LGBTQ individuals in employment and housing, and voted for the Global Respect Act (2022). He maintains current civil rights laws while extending equal opportunity to LGBTQ Americans, aligning with value 3 (maintain current civil rights laws while promoting equal opportunity).",https://en.wikipedia.org/wiki/Brian_Fitzpatrick_(American_politician),,,,
Brian K. Fitzpatrick,-42001,climate-change,3,"Member of the Climate Solutions Caucus; co-introduced the Energy Innovation and Carbon Dividend Act (2018) — a carbon tax with household rebates — and was the sole Republican to vote against the Lower Energy Costs Act (March 2023), calling it a 'giveaway to Big Oil.' Lifetime LCV score of 71%, rising to 76% in 2025, reflecting investment in clean energy while not calling for full fossil-fuel phase-out. Aligns with value 3 (invest in clean energy while gradually reducing reliance on fossil fuels).",https://en.wikipedia.org/wiki/Brian_Fitzpatrick_(American_politician),https://www.lcv.org/congressional-scorecard/moc/brian-fitzpatrick,,,
Brian K. Fitzpatrick,-42001,deportation,3,"Co-sponsored the DIGNIDAD Act proposing a pathway to legal status for up to 12 million undocumented immigrants paired with stricter border enforcement, and voted for the American Dream and Promise Act (2019) providing a path to citizenship for DREAMers with no new border security measures. This approach — focusing relief on long-term residents while enforcing the border for recent arrivals — aligns with value 3 (focus deportation on recent arrivals while leaving long-term residents in place).",https://en.wikipedia.org/wiki/Brian_Fitzpatrick_(American_politician),,,,
Brian K. Fitzpatrick,-42001,fossil-fuels,3,"Was the sole Republican to vote against H.R. 1, the Lower Energy Costs Act (March 2023), calling it a 'giveaway to Big Oil,' and co-introduced the Energy Innovation and Carbon Dividend Act. His LCV lifetime score of 71% reflects consistent opposition to fossil-fuel expansion while not calling for a full drilling ban. Aligns with value 3 (maintain current levels of fossil fuel production with existing environmental regulations).",https://en.wikipedia.org/wiki/Brian_Fitzpatrick_(American_politician),https://www.lcv.org/congressional-scorecard/moc/brian-fitzpatrick,,,
Brian K. Fitzpatrick,-42001,healthcare,3,"Opposed the American Health Care Act (2017) and filed a discharge petition to force a vote on extending ACA subsidies when Republican leadership blocked it; co-sponsored an ACA subsidy extension bill in 2025. He supports government assistance programs for those who cannot afford care while preserving private insurance, aligning with value 3 (help people who can't afford care and expand programs for seniors and low-income residents while keeping private insurance for everyone else).",https://en.wikipedia.org/wiki/Brian_Fitzpatrick_(American_politician),https://www.ontheissues.org/PA/Brian_Fitzpatrick.htm,,,
Brian K. Fitzpatrick,-42001,immigration,2,"Supported a path to citizenship for DREAMers; voted for the American Dream and Promise Act (2019); co-sponsored the DIGNIDAD Act offering legal status to up to 12 million undocumented immigrants; opposed the Muslim-majority country travel ban; and co-sponsored the Fairness for High-Skilled Immigrants Act. His record reflects keeping legal immigration open and providing legal pathways for most undocumented residents regardless of status, aligning with value 2.",https://en.wikipedia.org/wiki/Brian_Fitzpatrick_(American_politician),https://www.ontheissues.org/PA/Brian_Fitzpatrick.htm,,,
Brian K. Fitzpatrick,-42001,medicare/aid,3,"OnTheIssues records his 2016 position as 'Protect and strengthen entitlement programs.' He opposed the AHCA (2017), which would have cut Medicaid significantly, and has consistently supported bipartisan approaches to healthcare coverage. No evidence of support for privatization or phase-out. Aligns with value 3 (improve current programs while controlling costs).",https://www.ontheissues.org/PA/Brian_Fitzpatrick.htm,https://en.wikipedia.org/wiki/Brian_Fitzpatrick_(American_politician),,,
Brian K. Fitzpatrick,-42001,redistricting,2,"Wikipedia documents that Fitzpatrick supports independent redistricting commissions. As a consistent Problem Solvers Caucus co-chair and ranked most bipartisan House member for five consecutive years, his support for removing partisan control from map-drawing aligns with value 2 (independent redistricting commissions with equal representation from both major parties).",https://en.wikipedia.org/wiki/Brian_Fitzpatrick_(American_politician),,,,
