external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-35003,Teresa Leger Fernandez,abortion,1,"Voted YES on the Women's Health Protection Act (2021) to codify abortion rights at all stages; member of Pro-Choice Caucus; shared personal reproductive health experience; signed amicus brief arguing federal law requires emergency abortion care (2024). Supports legal abortion access broadly.",https://nmpoliticalreport.com/2021/09/24/bill-to-protect-womens-right-to-abortion-passes-u-s-house-of-representatives/,https://nmpoliticalreport.com/2024/10/27/new-mexico-congressional-delegation-signs-legal-brief-urging-court-to-recognize-federal-law-on-abortion-care/,,"Every woman deserves to make that difficult decision herself; that is what this bill and this fight are about.","Every woman deserves to make that difficult decision herself; that is what this bill and this fight are about."
-35003,Teresa Leger Fernandez,climate-change,2,"LCV lifetime score 99% and 100% in 2025; advocates a New Mexico Green New Deal and rapid transition from fracking to green energy; opposes rollbacks of methane pollution safeguards and defunding clean energy programs.",https://www.lcv.org/congressional-scorecard/moc/teresa-leger-fernandez,https://en.wikipedia.org/wiki/Teresa_Leger_Fernandez,,,
-35003,Teresa Leger Fernandez,fossil-fuels,2,"Introduced the Just Transition for Energy Communities Act (2021) to help communities shift away from fossil fuel dependence; Wikipedia documents advocacy for transition from fracking to green energy; opposes methane rollbacks (LCV 100% 2025).",https://nmpoliticalreport.com/2021/09/14/leger-fernandez-introduces-bill-to-help-communities-economic-transitions-away-from-fossil-fuels/,https://en.wikipedia.org/wiki/Teresa_Leger_Fernandez,,"We need to be prepared for this transition and to do that, we need to invest in diversifying our economy.","We need to be prepared for this transition and to do that, we need to invest in diversifying our economy."
-35003,Teresa Leger Fernandez,healthcare,1,"Wikipedia reports she advocates for Medicare for All as a core policy position; member of Congressional Progressive Caucus which supports single-payer coverage; condemned Medicaid and healthcare cuts in the Big Beautiful Bill (2025).",https://en.wikipedia.org/wiki/Teresa_Leger_Fernandez,https://nmpoliticalreport.com/2025/07/03/new-mexico-representatives-condemn-big-beautiful-bill-passage/,,,
-35003,Teresa Leger Fernandez,same-sex-marriage,1,"Co-sponsored and voted YES on the Respect for Marriage Act (2022) requiring all states to recognize same-sex marriages and provide federal benefits; stated 'bigotry has no place in America. Today, love won.' upon passage.",https://nmpoliticalreport.com/2022/12/09/respect-for-marriage-act-what-it-means-for-new-mexicans/,https://nmpoliticalreport.com/2022/07/20/u-s-house-passes-equality-bill-but-future-uncertain/,,"bigotry has no place in America. Today, love won.","Bigotry has no place in America. Today, love won."
-35003,Teresa Leger Fernandez,voting-rights,2,"Voted against the SAVE Act (July 2024) requiring citizenship proof to register to vote; argued the law would make it harder for American citizens to vote and could disenfranchise overseas military personnel; advocates expanding voter participation.",https://nmpoliticalreport.com/2024/07/09/leger-fernandez-votes-against-voter-id-bill/,,,"Why don't we get very excited about that, and make it easier and make sure that more Americans vote, because that is democracy.","Why don't we get very excited about that, and make it easier and make sure that more Americans vote, because that is democracy."
-35003,Teresa Leger Fernandez,taxes,1,"Condemned the Big Beautiful Bill (July 2025) for giving 'massive tax breaks to billionaires' paid for by cutting healthcare and education for working families; called the trade-off 'immoral' and 'un-American'; consistently opposes tax cuts for the wealthy.",https://nmpoliticalreport.com/2025/07/03/new-mexico-representatives-condemn-big-beautiful-bill-passage/,,,"When you take food, health care and education for working families, veterans and the disabled, to pay for tax cuts for the wealthy, the well off and the well connected, that is immoral. It's cruel and it's un-American.","When you take food, health care and education for working families, veterans and the disabled, to pay for tax cuts for the wealthy, the well off and the well connected, that is immoral. It's cruel and it's un-American."
-35003,Teresa Leger Fernandez,housing,3,"Championed the Home of Your Own Act to establish a homeownership grant program helping buyers with down payments and closing costs; frames housing policy as targeted assistance to first-time buyers rather than public housing construction or rent control.",https://nmpoliticalreport.com/2024/10/07/huse-minority-leader-visit-talks-housing-affordablity/,,,"Home is not just where you live, it's where you make community.","Home is not just where you live, it's where you make community."
-35003,Teresa Leger Fernandez,civil-rights,2,"Member of Congressional Hispanic Caucus (VP Communications), Native American Caucus, and LGBTQ+ Equality Caucus; legislative career centered on addressing systemic discrimination; Chair of Democratic Women's Caucus; voted against bills containing anti-civil rights provisions.",https://en.wikipedia.org/wiki/Teresa_Leger_Fernandez,,,,
-35003,Teresa Leger Fernandez,immigration,2,"Supports comprehensive immigration reform and the DREAM Act; Wikipedia documents advocacy for pathways to citizenship; member of Congressional Hispanic Caucus; DREAM Act support indicates keeping legal immigration open while providing status to most long-term residents.",https://en.wikipedia.org/wiki/Teresa_Leger_Fernandez,,,,
-35003,Teresa Leger Fernandez,deportation,2,"DREAM Act supporter and comprehensive immigration reform advocate; Congressional Progressive Caucus member opposing mass deportation; focuses on legal pathways and protecting long-term undocumented residents rather than enforcement-first removal policies.",https://en.wikipedia.org/wiki/Teresa_Leger_Fernandez,,,,
-35003,Teresa Leger Fernandez,medicare/aid,1,"Wikipedia reports she advocates for Medicare for All; condemned the Big Beautiful Bill's Medicaid cuts as 'the biggest cut to health care in history'; supports expanding Medicare to cover all Americans.",https://en.wikipedia.org/wiki/Teresa_Leger_Fernandez,https://nmpoliticalreport.com/2025/07/03/new-mexico-representatives-condemn-big-beautiful-bill-passage/,,"Trump's signature Bill betrays the American people by giving massive tax breaks to billionaires and then paying for them with the biggest cut to health care in history","This bill betrays the American people by giving massive tax breaks to billionaires and then paying for them with the biggest cut to health care in history"
