full_name,politician_id,topic_key,value,reasoning
David P. Hinkins,f01f1d5b-aeca-4548-bd39-14137e552422,abortion,4,"Voted YES on HB467 (2023), which closed all Utah abortion clinics effective January 2024, and voted YES on HB364 (2020), which required ultrasounds before abortions. He also supported Utah's SB174 trigger-law framework restricting abortion to rape, incest, and medical emergencies. His record shows consistent support for significant restrictions but no evidence he sponsored total-ban legislation. — best matches stance 4 (restrict abortion to only cases involving rape, incest, or serious threats to the mother's life)."
David P. Hinkins,f01f1d5b-aeca-4548-bd39-14137e552422,same-sex-marriage,4,"Voted NO on SB296 (2015), Utah's landmark antidiscrimination/religious liberty compromise that also acknowledged same-sex marriages, placing him in the 5-senator minority opposing that bill. Voted YES on SB297 (2015), which allowed government clerks to opt out of same-sex marriage ceremonies on religious grounds. This pattern indicates support for civil unions or limited recognition only, with reservations about full marriage equality. — best matches stance 4 (recognize civil unions but reserve marriage for opposite-sex couples)."
David P. Hinkins,f01f1d5b-aeca-4548-bd39-14137e552422,religious-freedom,4,"Voted YES on SB174 (2026), which created conscience exemptions for healthcare providers, and YES on SB297 (2015) allowing government officials to decline performing same-sex marriages on religious grounds. His record consistently prioritizes religious exemptions from civil obligations. — best matches stance 4 (protect religious freedom and allow faith-based exemptions from laws that conflict with sincere religious beliefs)."
David P. Hinkins,f01f1d5b-aeca-4548-bd39-14137e552422,trans-athletes,4,"Voted YES on the veto override of HB11 (March 25, 2022), barring transgender girls from competing on female school sports teams, with the Senate vote passing 21-8. During the debate, Hinkins compared transgender athletes to horse racing, saying 'A jockey's fine, I'd rather have a female jockey than a male jockey. But as far as running, I'd probably bet on the male.' This is strong direct evidence of his position. Notably, he voted NO on SB16 (2023, gender-affirming care ban for minors), suggesting he distinguishes sports eligibility from medical care. — best matches stance 4 (require transgender athletes to compete only on teams matching their biological sex assigned at birth)."
David P. Hinkins,f01f1d5b-aeca-4548-bd39-14137e552422,fossil-fuels,4,"As co-chair of the Utah Commission for the Stewardship of Public Lands, Hinkins championed transferring federal land to the state to enable extractive industries, citing 'extractive industries losing leases in the Uinta Basin.' He co-sponsored HCR1 (2022), which focused on carbon sequestration through land management while allowing gradual fossil fuel transition — not restricting current production. He voted YES on HB452 (2024) expanding carbon capture regulation. His career-long advocacy for public lands transfer to enable oil and gas extraction in his district is consistent with expanding permits. — best matches stance 4 (expand fossil fuel drilling permits)."
David P. Hinkins,f01f1d5b-aeca-4548-bd39-14137e552422,voting-rights,3,"Voted NO on HB300 (2025), which phases out automatic mail-in voting by 2029 and requires voter ID — the DynaBill roll call (voteid=1901) shows Hinkins in the 10-senator NO minority on this bill. He voted YES on HB313 (2022 election security measures). His pattern suggests support for basic election security measures but opposition to eliminating automatic mail voting, consistent with supporting ID standards while preserving broad access. — best matches stance 3 (standardize voter ID requirements while ensuring free IDs are available to all eligible citizens)."
David P. Hinkins,f01f1d5b-aeca-4548-bd39-14137e552422,climate-change,4,"Hinkins co-sponsored HCR1 (2022), which addressed climate through carbon sequestration and forest management rather than renewable energy mandates or fossil fuel limits — explicitly framed as allowing a 'gradual energy transition.' His chairmanship of the Commission for Public Lands Stewardship prioritized extractive industry access. He showed no support for emissions caps, renewable mandates, or climate regulations. His approach relies on market and natural-sequestration mechanisms. — best matches stance 4 (let market forces drive any transition to cleaner energy sources)."
David P. Hinkins,f01f1d5b-aeca-4548-bd39-14137e552422,redistricting,5,"Voted YES for the Republican-drawn redistricting maps in November 2021, which were adopted over the recommendations of Utah's Independent Redistricting Commission. During debate, Hinkins defended the legislature's maps, saying sarcastically to the Senate minority leader 'My heart bleeds for you. Really bleeds for you,' and argued rural Utah deserved more voice. He explicitly endorsed the legislature's right to draw maps without the independent commission's input. — best matches stance 5 (the party that controls the state legislature without outside interference)."
David P. Hinkins,f01f1d5b-aeca-4548-bd39-14137e552422,school-vouchers,3,"Voted AGAINST HB215 (2023 Utah Fits All Scholarship, a universal voucher program), joining six Democrats and one other Republican in opposition, citing that rural areas in his district lack private schools for students to attend. His opposition was not ideological opposition to all vouchers, but practical concern about rural access. He supports public school funding as the baseline but hasn't opposed all choice programs. — best matches stance 3 (fund public schools at current levels while allowing means-tested voucher programs with accountability requirements)."
David P. Hinkins,f01f1d5b-aeca-4548-bd39-14137e552422,immigration,4,"Voted YES on HB165 (2024), establishing requirements for federal officers releasing undocumented immigrants in Utah and restricting their access to state services. Voted NO on SB217 (2023), which would have created CHIP health insurance benefits for non-citizen children. Both votes reflect a restrictive approach to legal status and public services access. — best matches stance 4 (make it harder to immigrate legally and limit public services to people with legal status)."
