external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-3600001,Kathy Hochul,abortion,2,"Hochul has championed New York's Reproductive Health Act and repeatedly stated overturning Roe changed nothing in New York. She signed executive orders protecting access and refused a Feb 2025 Louisiana extradition request for a doctor who mailed abortion pills. NY law permits abortion up to viability with rare exceptions after — Hochul actively defends this framework.",https://www.ontheissues.org/Kathy_Hochul.htm,https://en.wikipedia.org/wiki/Kathy_Hochul,,"""Overturning Roe changed nothing in NY, because I'm governor""","Overturning Roe changed nothing in this state, because I'm governor"
-3600001,Kathy Hochul,ai-regulation,4,"Hochul signed the LOADinG Act (S7543B) on December 21, 2024, requiring state agencies to conduct bias impact assessments before deploying AI systems, prohibiting discriminatory algorithmic outcomes, and mandating meaningful human review. This requires safety testing and bans high-risk AI uses in decisions affecting individual rights.",https://www.nysenate.gov/legislation/bills/2023/S7543,,,,,
-3600001,Kathy Hochul,childcare,2,"In January 2026, Hochul announced a $1.7 billion plan for universal pre-K statewide, universal 3K in NYC, free childcare for two-year-olds in NYC, and expanded childcare subsidies for low- and middle-income families. OnTheIssues records her goal as 'Universal Childcare for every family,' indicating this is a significant expansion, not merely targeted credits.",https://en.wikipedia.org/wiki/Kathy_Hochul,https://www.ontheissues.org/Kathy_Hochul.htm,,"""Ultimately plan Universal Childcare for every family""","Ultimately plan Universal Childcare for every family"
-3600001,Kathy Hochul,civil-rights,2,"Hochul signed the John R. Lewis Voting Rights Act of New York (S1046) on June 20, 2022, creating preclearance requirements and protections for racial and language-minority voters. She has supported strengthening civil rights enforcement and signed LGBTQ nondiscrimination protections but has not proposed reparations mandates.",https://www.nysenate.gov/legislation/bills/2021/S1046,https://en.wikipedia.org/wiki/Kathy_Hochul,,,
-3600001,Kathy Hochul,climate-change,3,"Hochul signed the Climate Superfund Act (S2129) on December 26, 2024, requiring fossil fuel companies to pay $75 billion over 25 years for climate adaptation. She also signed a nuclear cooperation memorandum with Ontario (December 2025) and stated 'Nuclear vital to our all-of-the-above approach,' indicating a gradual transition rather than rapid phase-out.",https://www.nysenate.gov/legislation/bills/2023/S2129,https://www.ontheissues.org/Kathy_Hochul.htm,,"""Nuclear vital to our all-of-the-above approach""","Nuclear vital to our all-of-the-above approach"
-3600001,Kathy Hochul,deportation,2,"Hochul stated in January 2026 that there would be 'no state resources to assist in federal immigration raids' and advocated in 2023 for federal expedited work authorizations for migrants. OnTheIssues documents her position as 'opposes open borders; supports deporting criminals,' consistent with deportation limited to those convicted of serious violent crimes.",https://www.ontheissues.org/Kathy_Hochul.htm,https://en.wikipedia.org/wiki/Kathy_Hochul,,"""No state resources to assist in federal immigration raids""","No state resources to assist in federal immigration raids"
-3600001,Kathy Hochul,fossil-fuels,3,"Hochul signed the Climate Superfund Act (Dec 2024) making fossil fuel companies pay for climate damages, but simultaneously advanced nuclear energy as part of an 'all-of-the-above approach.' New York has maintained its pre-existing hydraulic fracturing ban, but Hochul has not moved to stop new fossil fuel permits statewide, positioning her as maintaining current production levels with environmental accountability.",https://www.nysenate.gov/legislation/bills/2023/S2129,https://www.ontheissues.org/Kathy_Hochul.htm,,,
-3600001,Kathy Hochul,healthcare,2,"Hochul has consistently opposed replacing Medicare with vouchers ('Don't replace Medicare with vouchers'), signed a law capping EpiPen out-of-pocket costs at $100 yearly (December 2024), and pledged to 'Protect affordable health care for 1.3M+ New Yorkers' in January 2026. Her approach supports a mix of public programs and regulated private insurance to ensure coverage.",https://www.ontheissues.org/Kathy_Hochul.htm,https://en.wikipedia.org/wiki/Kathy_Hochul,,"""Don't replace Medicare with vouchers""","Don't replace Medicare with vouchers"
-3600001,Kathy Hochul,homelessness,3,"Hochul authorized deployment of 750 National Guard soldiers for random bag checks on NYC subway (March 2024) and proposed a subway mask ban amid safety concerns (June 2024), signaling enforcement willingness. However, she has also funded shelter capacity and outreach services, reflecting a position of allowing enforcement alongside adequate shelter, consistent with stance 3.",https://en.wikipedia.org/wiki/Kathy_Hochul,,,,,
-3600001,Kathy Hochul,housing,2,"Hochul's 2024 budget included a landmark housing package with Good Cause eviction protections, affordable housing construction funding, and rent stabilization extensions. She has proposed large-scale affordable housing programs and framed housing as 'the number one driver of our affordability crisis,' supporting both publicly funded construction and rent protections.",https://en.wikipedia.org/wiki/Kathy_Hochul,https://www.ontheissues.org/Kathy_Hochul.htm,,"""Housing is the number one driver of our affordability crisis""","Housing is the number one driver of our affordability crisis"
-3600001,Kathy Hochul,immigration,2,"Hochul issued a January 2026 directive barring state resources from assisting federal immigration raids, advocated for undocumented immigrants to receive work authorizations in 2023, and reversed her earlier opposition to driver's licenses for undocumented immigrants by 2018. She supports keeping legal immigration open and allowing most immigrants to access public services regardless of status.",https://en.wikipedia.org/wiki/Kathy_Hochul,https://www.ontheissues.org/Kathy_Hochul.htm,,"""Let them get the work authorizations; let them work""","Let them get the work authorizations; let them work"
-3600001,Kathy Hochul,medicare/aid,3,"Hochul strongly opposes privatization of Medicare (endorsed by National Committee to Preserve Social Security; opposed Republican Medicare voucher proposals) and has defended Medicaid programs. However, she has not proposed lowering the Medicare eligibility age or significantly expanding Medicaid, positioning her as protecting and improving current programs while controlling costs.",https://www.ontheissues.org/Kathy_Hochul.htm,https://en.wikipedia.org/wiki/Kathy_Hochul,,,
-3600001,Kathy Hochul,same-sex-marriage,1,"OnTheIssues documents Hochul as strongly favoring same-sex domestic partnership benefits; she supported same-sex marriage in Congress. As Governor, she signed an LGBTQ Bill of Rights for adult care facilities (June 2023) and has consistently championed full LGBTQ equality including marriage recognition. Her record aligns with requiring full recognition and federal benefits for same-sex marriages.",https://www.ontheissues.org/Kathy_Hochul.htm,https://en.wikipedia.org/wiki/Kathy_Hochul,,,
-3600001,Kathy Hochul,school-vouchers,1,"OnTheIssues records Hochul as opposing voucher-based school choice. She has invested heavily in public school funding, proposed free community college at SUNY/CUNY, and launched universal pre-K expansions. Her budget priorities consistently direct funds to public institutions rather than private school voucher programs.",https://www.ontheissues.org/Kathy_Hochul.htm,https://en.wikipedia.org/wiki/Kathy_Hochul,,,
-3600001,Kathy Hochul,social-security,3,"Hochul is endorsed by the National Committee to Preserve Social Security, indicating strong opposition to privatization. However, she has not proposed significantly expanding benefits or removing the income cap on payroll taxes as governor. Her 2011 position was that job creation would strengthen Social Security through increased payroll tax revenue — a maintenance, not expansion, posture.",https://www.ontheissues.org/Kathy_Hochul.htm,,,,,
-3600001,Kathy Hochul,tariffs,1,"Hochul led a multi-state lawsuit in April 2025 against the federal government to block Trump tariffs, publicly stating they amount to 'a 21% tax' costing New York families '$4,200 a year,' and convened with Canadian premiers on tariff impacts. Her active legal opposition to tariffs reflects a free-trade position consistent with eliminating broad tariff barriers.",https://en.wikipedia.org/wiki/Kathy_Hochul,https://www.ontheissues.org/Kathy_Hochul.htm,,,
-3600001,Kathy Hochul,taxes,2,"Hochul proposed a 'sweeping middle-class income tax cut' in January 2025 while repeatedly stating 'tax cuts for low/middle incomes, not for billionaires.' In her 2011 congressional campaign she supported raising taxes on incomes exceeding $500,000. Her fiscal record supports modestly raising taxes on high earners while providing relief to middle- and low-income families.",https://www.ontheissues.org/Kathy_Hochul.htm,https://en.wikipedia.org/wiki/Kathy_Hochul,,"""Tax cuts for low/middle incomes, not for billionaires""","Tax cuts for low/middle incomes, not for billionaires"
-3600001,Kathy Hochul,voting-rights,2,"Hochul signed the John R. Lewis Voting Rights Act of New York (S1046) on June 20, 2022, creating preclearance requirements, language assistance for minority voters, and protections against voter suppression. She also signed legislation extending absentee voting access during public health emergencies. Her record supports expanding voter access and protecting mail-in voting.",https://www.nysenate.gov/legislation/bills/2021/S1046,https://en.wikipedia.org/wiki/Kathy_Hochul,,,
