full_name,politician_id,is_linked,quote_count
"David G. Henry",0be7d42f-9363-40ad-bbc5-733c862f4395,linked,22
"Trent Deckard",db4e6911-9dbb-430e-831c-08be094fd637,linked,16
"Matt Pierce",72dd5219-490f-48bb-986e-183a6098d602,linked,10
"Lilliana Young",1b5e218c-8fe0-48fe-b7af-52a2fbf1b0fc,linked,6
"Amy Huffman Oliver",a6926086-aa11-4f42-bcd7-bf74c1e1a540,linked,0
"Amy Swain",fa4cbcff-06c5-4f31-a034-0c9b4b268868,linked,0
"Andrew Henry",,stub,0
"Andrew Spriggs",15c77faa-dfb6-485e-8b83-4611727d1eb3,linked,0
"Barbara E. McKinney",c8a73d2a-205d-482e-bc78-8c81d965a28c,linked,0
"Barbara Sturbaum",0af9a347-846e-441e-b575-a187d8c0528f,linked,0
"Benjamin T. Arrington",,stub,0
"Bob Nyquist",,stub,0
"Brad A. Meyer",926943ad-ee64-4ddb-b9e7-6475a6a2d087,linked,0
"Carrie L. Syczylo",,stub,0
"Christopher Reynolds",c905324f-0568-48e9-931f-d42ddc657ec3,linked,0
"Dave Hall",e971c7f2-3ab2-483d-97a4-7fe919365f98,linked,0
"David W. Waters",533ae2ea-a474-4436-96b7-c2655242cefb,linked,0
"David Willibey",53a867be-2009-4139-aca4-6371dd05cb6a,linked,0
"Dawn Marie Durnil",d29e4645-d19f-4081-992d-fe66344a126c,linked,0
"Dorothy Granger",06464416-e8f4-4df1-af4c-2d785863721e,linked,0
"Dustin Cole Dillard",,stub,0
"Efrat Rosser",c7dee89b-1ee2-4858-a11e-b3775a4b4bfd,linked,0
"Elaine Thomsen",,stub,0
"Elizabeth Sensenstein",15c278e1-20d8-4a2c-9575-2e130a0ec37f,linked,0
"Erika Oliphant",ed914571-dd22-4ab5-b764-92a1a465e980,linked,0
"Erin Houchin",68568faf-1e0f-4ca2-89d9-bda625665712,linked,0
"Geoff Bradley",999a9d38-9894-45f0-80c7-228880089699,linked,0
"Jack Davis",ec9aa60a-c57b-4bd9-b169-22c05b628f96,linked,0
"James H. (Jim) Graham",037ad94f-d379-4f9c-baf1-a75742a46eac,linked,0
"Jay Thrasher",6caa511c-7051-4974-b86f-f112ca3ada2b,linked,0
"Jennifer Crossley",30753c4d-e145-417f-8448-c2192e010a14,linked,0
"Jenny Olmes-Stevens",,stub,0
"Jeremy Goodrich",,stub,0
"Jerry Ayers",ad773a1b-a007-4b7f-a1fe-2091db751d0d,linked,0
"Joan C. Hall",6775a8e6-37cb-437b-923b-5f664f6b3b5d,linked,0
"Joann Calabrese",,stub,0
"Joe Davis",,stub,0
"Joe Husk",,stub,0
"John Wilson",1c0afd7e-f476-4784-920f-f328a5c5d348,linked,0
"Joseph Hickman",3bf35f73-452e-4879-bff4-1bba4e515d8e,linked,0
"Judith A. Sharp",d3977ab4-22b8-4ac3-a14f-565bc2969f1a,linked,0
"Julie M. Hays",,stub,0
"Kara Elaine Krothe",048cb4ba-9b07-42e6-b45d-f4dffad2a088,linked,0
"Kat Reynolds",,stub,0
"Kate Wiltz",73855d5c-f1f3-4701-90af-997d26fbe0df,linked,0
"Katrina W. Ladwig",8d4c84a6-d928-42c1-b9c6-6a1433a161da,linked,0
"Keil L. Roark",283b1fdd-3d89-4f82-a065-098324f2f967,linked,0
"Kenny L. Bryant",664899b9-9002-410b-b42a-40dbaf050d12,linked,0
"Leon Gordon",,stub,0
"Levi Combs",,stub,0
"Marv Ulmet",,stub,0
"Mary VanDeventer",be355b0e-79a9-4af2-9926-d5bee7ae2515,linked,0
"Matha Hawk",,stub,0
"Michelle Bright",c096fd15-2656-4e1c-bf86-beb506d472d7,linked,0
"Mike Moore",,stub,0
"Paul Strain",,stub,0
"Peggy Mayfield",f84421ea-eb49-44c3-a6a7-a3cfaf5dc745,linked,0
"Peter James Iversen",10c70231-d5a0-48c3-ac29-1480b2eaa6db,linked,0
"R. Shannon Reed",,stub,0
"Rachael Himsel",,stub,0
"Rita Barrow",a41df72a-b1ee-43b6-8b41-02b4966503db,linked,0
"Roger L. Taylor",4e020b4f-662b-4f9e-adc1-6635311f6b6b,linked,0
"Ronald H. Hutson",b407f620-d412-46b4-939a-d0967f8f80d2,linked,0
"Ruben Marte",b8d4f904-23c8-4baa-8426-fbc44aafdf88,linked,0
"Scott Smith",4e663791-4b3a-4df3-8cd1-aff5a133d100,linked,0
"Sean P. Hall",c2e83228-1f15-4fb6-a1a2-8b11714afe4c,linked,0
"Sharon A. Green",,stub,0
"Steven A. Hinds",ca5f69c1-5fd3-4a27-8e58-f78b0a2d3d2d,linked,0
"Steven E. Webb",,stub,0
"Susan Hingle",,stub,0
"Susan Luther",,stub,0
"Susie Hamilton",09ae2145-53d0-4def-a32b-0d18d020aed5,linked,0
"Tanner Dale Branham",,stub,0
"Thelma Kelley Jeffries",909d124c-63e0-4887-9987-15b78383d406,linked,0
"Theresa Oatman",3a65723a-7531-4712-8a7f-e4233a5aadfb,linked,0
"Tim Peck",a9233775-b8af-423e-aea6-734c2855e5ac,linked,0
"Traves Conyer",,stub,0
"Tree Martin Lucas",,stub,0
"Ty Mungle",,stub,0
"Wendi Reynolds",d5c43411-143e-4a1c-a5d4-4ea346f638b5,linked,0
"William E. Smith III",,stub,0
