full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
Delores Oates,abortion,4,"Campaign site: identifies as pro-life, pledges to ""work toward repealing third-trimester abortion legislation, defunding Planned Parenthood, and promoting a culture of life in Virginia."" Family Foundation scorecard: voted pro-family on all abortion-related bills including opposing unlimited abortion amendments and shielding abortionists.",https://deloresfordelegate.com/about,https://reportcard.familyfoundation.org/house,
Delores Oates,immigration,4,"Campaign site: emphasizes ""national security through border control, opposes sanctuary city policies, and targets in-state tuition for undocumented immigrants.""",https://deloresfordelegate.com/about,,
Delores Oates,same-sex-marriage,4,"Family Foundation scorecard (100% pro-family, 20/20 votes): voted pro-family opposing same-sex and transgender marriage codification/amendment legislation.",https://reportcard.familyfoundation.org/house,https://deloresfordelegate.com/about,
Delores Oates,voting-rights,4,"Campaign site: supports ""election audits and common sense voter identification protections"" to restore public confidence in voting systems.",https://deloresfordelegate.com/about,,
William D. Wiley,abortion,4,"Family Foundation scorecard 95%: Voted pro-life on 7 abortion bills—opposed HJ 1 unlimited abortion amendment, opposed SB 15 shielding abortionists, opposed HB 2371 mandating insurer coverage of abortion drugs, supported HB 1600 Hyde Amendment eliminating taxpayer abortion funding.",https://reportcard.familyfoundation.org/house,https://reportcard.familyfoundation.org/family-focused-bills,
William D. Wiley,same-sex-marriage,4,"Family Foundation scorecard: Voted pro-family opposing HB 174/SB 101 to codify same-sex and transgender marriage in Virginia law, and opposing HJ 9/SJ 249 constitutional amendment to replace man-woman marriage definition.",https://reportcard.familyfoundation.org/house,https://reportcard.familyfoundation.org/family-focused-bills,
William D. Wiley,civil-rights,4,"Family Foundation scorecard: Voted against SB 1052 expanding non-discrimination complaints to smaller businesses, and against HB 1649/SB 740 mandating DEI/cultural competency training for medical licensure.",https://reportcard.familyfoundation.org/house,https://reportcard.familyfoundation.org/family-focused-bills,
Tony O. Wilt,abortion,4,"Family Foundation scorecard (95% pro-family, 19/20 votes): Voted pro-life on 7 abortion bills—opposed HJ 1 unlimited abortion amendment, opposed SB 15 shielding abortionists, opposed HB 2371 mandating insurer coverage of abortion drugs, supported HB 1600 Hyde Amendment eliminating taxpayer abortion funding.",https://reportcard.familyfoundation.org/house,https://reportcard.familyfoundation.org/family-focused-bills,
Tony O. Wilt,same-sex-marriage,4,"Family Foundation scorecard: Voted pro-family opposing HB 174/SB 101 to codify same-sex and transgender marriage in Virginia law, and opposing HJ 9/SJ 249 constitutional amendment to replace man-woman marriage definition.",https://reportcard.familyfoundation.org/house,https://reportcard.familyfoundation.org/family-focused-bills,
Tony O. Wilt,civil-rights,4,"Family Foundation scorecard: Voted against SB 1052 expanding non-discrimination complaints to smaller businesses, and against HB 1649/SB 740 mandating DEI/cultural competency training for medical licensure.",https://reportcard.familyfoundation.org/house,https://reportcard.familyfoundation.org/family-focused-bills,
