external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-3600003,Letitia James,abortion,1,"James established a task force with 24 law firms to provide abortion legal services after Dobbs, enforces New York's Shield Law protecting abortion providers from out-of-state prosecution, and personally disclosed having an abortion at a May 2022 rally. These actions collectively reflect the most supportive stance: ensuring abortion is legal, accessible, and protected.",https://ag.ny.gov/resources/individuals/reproductive-rights,https://en.wikipedia.org/wiki/Letitia_James,https://www.ontheissues.org/Letitia_James.htm,"I was just elected and I was faced with the decision of whether to have an abortion or not, and I chose to have an abortion. I walked proudly into Planned Parenthood, and I make no apologies to anyone.","I was faced with the decision of whether to have an abortion or not, and I chose to have an abortion. I walked proudly into Planned Parenthood, and I make no apologies to anyone."
-3600003,Letitia James,ai-regulation,3,"James hosted a major AI Symposium in April 2024 and published a report calling for risk-based government oversight, transparency requirements, and auditing of AI systems. She stated 'Government must have greater oversight over AI technology' and monitors regulatory frameworks like the EU AI Act. This aligns with requiring basic safety testing and oversight before deployment — not a complete ban, but meaningful government involvement.",https://ag.ny.gov/sites/default/files/reports/oag-aisymposiumreport.pdf,https://ag.ny.gov/bureau/internet-bureau,,,"Government must have greater oversight over AI technology.","Government must have greater oversight over AI technology."
-3600003,Letitia James,civil-rights,2,"James's office enforces civil rights protections against discrimination on race, sex, sexual orientation, and gender identity; she secured police reform agreements with NYPD; and has called for codifying LGBTQ+ federal protections into law. These actions reflect strengthening civil rights enforcement and addressing systemic discrimination rather than mandating racial equity requirements across all institutions.",https://ag.ny.gov/resources/individuals/civil-rights,https://www.ontheissues.org/Letitia_James.htm,,,
-3600003,Letitia James,climate-change,2,"James sued the Trump administration over cancellation of offshore wind projects (2025-2026), defended the Sunrise Wind Project, sued JBS beef for climate greenwashing, and has consistently fought to stop fossil fuel infrastructure expansion in New York. This reflects a stance of rapidly transitioning to renewable energy and phasing out fossil fuels.",https://ag.ny.gov/resources/individuals/environmental-issues,https://ag.ny.gov/2024-year-review,,,
-3600003,Letitia James,deportation,1,"James urged courts to halt ICE raids in Los Angeles (2025), defended Temporary Protected Status for Haitian immigrants (2026), launched an effort to observe ICE activity (2026), and her office explicitly protects immigrant rights across New York. Her documented actions reflect stopping deportations and providing legal pathways — the most protective stance.",https://ag.ny.gov/resources/individuals/immigrants-rights,https://www.ontheissues.org/Letitia_James.htm,,,
-3600003,Letitia James,fossil-fuels,2,"James has fought to stop fracking infrastructure in New York, defended offshore wind projects against federal cancellation, and consistently used her office to oppose fossil fuel expansion. Her record reflects stopping new permits for fossil fuel drilling without calling for an immediate ban on all existing operations.",https://ag.ny.gov/resources/individuals/environmental-issues,https://ag.ny.gov/press-releases,,,
-3600003,Letitia James,healthcare,2,"James secured $14 million for consumers denied mental health coverage under parity laws, obtained reimbursements for consumers subjected to illegal ambulance billing, and opposed blocking COVID vaccine mandates. Her office actively advocates for expanded coverage access. This reflects a public-option/expanded-access approach rather than a single-payer system.",https://ag.ny.gov/resources/individuals/health-care-insurance,https://www.ontheissues.org/Letitia_James.htm,,,
-3600003,Letitia James,housing,2,"James passed the Safe Housing Act, returned 300+ affordable units to rent stabilization in 2024, filed the first lawsuits under a new rent stabilization compliance program in 2026, and pursued deed theft legislation. These actions reflect building significant affordable housing and expanding rental assistance protections.",https://ag.ny.gov/resources/individuals/tenants-homeowners,https://ag.ny.gov/2024-year-review,,,
-3600003,Letitia James,immigration,2,"James supported the Green Light Law (driver's licenses for undocumented immigrants), defended Temporary Protected Status, urged halting ICE raids, and her office explicitly states it protects the rights of all New Yorkers including immigrants. This reflects significantly expanded pathways and protections rather than open borders.",https://ag.ny.gov/resources/individuals/immigrants-rights,https://www.ontheissues.org/Letitia_James.htm,,,
-3600003,Letitia James,medicare/aid,3,"James secured $36.5 million from CVS for Medicaid fraud (protecting program integrity), obtained $14 million for mental health coverage parity enforcement, and has focused on improving current programs through fraud enforcement and compliance rather than calling for expansion or privatization.",https://ag.ny.gov/resources/individuals/health-care-insurance,https://ag.ny.gov/press-releases,,,
