external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-35001,Melanie A. Stansbury,abortion,1,"Stansbury voted for the Women's Health Protection Act and signed a congressional delegation legal brief supporting federal law recognizing abortion care rights (Oct 2024). She has been endorsed by abortion rights groups since her 2021 special election, with OnTheIssues documenting her position as 'No government interference in women's health care decisions' (Apr 2021).",https://www.ontheissues.org/House/Melanie_Stansbury.htm,https://en.wikipedia.org/wiki/Melanie_Stansbury,https://nmpoliticalreport.com/tag/melanie-stansbury/,"No government interference in women's health care decisions","No government interference in women's health care decisions"
-35001,Melanie A. Stansbury,healthcare,1,"OnTheIssues documents her 2021 candidate questionnaire position as 'Supports Medicare for All: health care is a human right.' She also introduced legislation to expand medical residency programs in tribal communities to address healthcare workforce gaps.",https://www.ontheissues.org/House/Melanie_Stansbury.htm,https://en.wikipedia.org/wiki/Melanie_Stansbury,,"Supports Medicare for All: health care is a human right","Supports Medicare for All: health care is a human right"
-35001,Melanie A. Stansbury,medicare/aid,1,"Stansbury supports Medicare for All, which would expand Medicare to cover everyone regardless of age. She also warned at a May 2025 town hall that Medicare and Medicaid benefits for New Mexicans are at risk and has consistently defended both programs.",https://www.ontheissues.org/House/Melanie_Stansbury.htm,https://nmpoliticalreport.com/tag/melanie-stansbury/,,,
-35001,Melanie A. Stansbury,climate-change,2,"Stansbury voted for the Inflation Reduction Act of 2022, which invested hundreds of billions in clean energy transition. OnTheIssues documents her position as 'Develop more renewable energy, decrease emissions' and she was endorsed by the Sierra Club (Jul 2021), indicating support for a rapid clean energy transition.",https://www.ontheissues.org/House/Melanie_Stansbury.htm,https://en.wikipedia.org/wiki/Melanie_Stansbury,,,
-35001,Melanie A. Stansbury,fossil-fuels,3,"As a Natural Resources Committee member, Stansbury joined the NM congressional delegation in 2025 to maintain protections against oil and gas development around Chaco Canyon, a specific sacred site. Her broader energy position — 'Develop more renewable energy, decrease emissions' — supports gradual reduction of fossil fuel reliance while maintaining existing regulations, not a blanket permitting ban.",https://www.ontheissues.org/House/Melanie_Stansbury.htm,https://nmpoliticalreport.com/tag/melanie-stansbury/,,,
-35001,Melanie A. Stansbury,social-security,2,"Stansbury introduced the 'Hands Off Our Social Security Act' to prevent staffing reductions, block field office closures, and restrict access to beneficiaries' personal data. She highlighted access problems at the Albuquerque SSA office and warned constituents at a 2025 town hall that Social Security is at risk.",https://nmpoliticalreport.com/tag/melanie-stansbury/,https://en.wikipedia.org/wiki/Melanie_Stansbury,,,
-35001,Melanie A. Stansbury,same-sex-marriage,1,"Stansbury is a member of the Congressional LGBTQ+ Equality Caucus and voted for the Respect for Marriage Act (2022), which codified federal recognition of same-sex marriages and required all states to recognize them — directly matching value=1.",https://en.wikipedia.org/wiki/Melanie_Stansbury,https://www.ontheissues.org/House/Melanie_Stansbury.htm,,,
-35001,Melanie A. Stansbury,civil-rights,2,"OnTheIssues documents her 2021 position as 'End healthcare, housing, employment discrimination,' reflecting a commitment to strengthening civil rights enforcement and addressing systemic discrimination. She introduced tribal healthcare access legislation targeting indigenous healthcare disparities and is a member of the Congressional Progressive Caucus.",https://www.ontheissues.org/House/Melanie_Stansbury.htm,https://en.wikipedia.org/wiki/Melanie_Stansbury,,,
-35001,Melanie A. Stansbury,immigration,2,"OnTheIssues documents her position: 'Path to citizenship is part of a humane immigration policy' (May 2021), with emphasis on family reunification, compassionate reform, and addressing root causes of migration. She supports keeping immigration open and providing access to services regardless of status.",https://www.ontheissues.org/House/Melanie_Stansbury.htm,https://en.wikipedia.org/wiki/Melanie_Stansbury,,"Path to citizenship is part of a humane immigration policy","Path to citizenship is part of a humane immigration policy"
-35001,Melanie A. Stansbury,taxes,2,"OnTheIssues documents her position as 'Favors higher taxes on wealthy / Lower taxes for families, local business to grow economy' (Apr 2021), reflecting a moderate tax-the-wealthy approach consistent with value=2.",https://www.ontheissues.org/House/Melanie_Stansbury.htm,https://en.wikipedia.org/wiki/Melanie_Stansbury,,,
-35001,Melanie A. Stansbury,school-vouchers,1,"OnTheIssues documents Stansbury as 'Strongly Opposes vouchers' with the position 'Investments in public education help communities thrive' (May 2021). She also endorsed 'Create fund for early childhood education and care' (Feb 2020), reflecting full support for public school funding over vouchers.",https://www.ontheissues.org/House/Melanie_Stansbury.htm,https://en.wikipedia.org/wiki/Melanie_Stansbury,,"Investments in public education help communities thrive","Investments in public education help communities thrive"
-35001,Melanie A. Stansbury,childcare,2,"Stansbury endorsed 'Create fund for early childhood education and care' (Feb 2020, OnTheIssues) and supported the American Rescue Plan which included significant childcare subsidies. Her position aligns with significantly expanding subsidies and provider grants for low- and middle-income families.",https://www.ontheissues.org/House/Melanie_Stansbury.htm,https://en.wikipedia.org/wiki/Melanie_Stansbury,,,
