full_name,politician_id,topic_key,value,reasoning
John D. Johnson,d8daeb9d-2437-4864-9efd-6031291fed86,abortion,4,"Voted YEA on HB467 (March 2023), which banned abortion clinics, required abortions be performed in hospital settings, tightened the trigger-ban exceptions to life-threatening physical conditions, and capped rape/incest exceptions at 18 weeks gestation. His campaign website pledges to defend 'the right to life.' — best matches stance 4 (restrict abortion to only cases involving rape, incest, or serious threats to the mother's life)."
John D. Johnson,d8daeb9d-2437-4864-9efd-6031291fed86,religious-freedom,4,"Voted YEA on HB269 (Feb 2024), adding the Ten Commandments to an optional list of historical documents public school history teachers may use. Sponsored SB334 (2025) requiring Western civilization and civics coursework at Utah State University, rooted in foundational religious and philosophical texts. Campaign platform explicitly commits to 'defend religious liberty.' — best matches stance 4 (protect religious freedom and allow faith-based exemptions from laws that conflict with sincere religious beliefs)."
John D. Johnson,d8daeb9d-2437-4864-9efd-6031291fed86,trans-athletes,4,"Voted YEA in the Utah Senate's 16–13 passage of HB11 Substitute 4 on March 4, 2022, and then voted YEA again in the 21–8 veto override on March 25, 2022, banning transgender girls from competing on girls high school sports teams. The Standard-Examiner noted 'Weber County's three senators favoring the action — Sens. Gregg Buxton, John Johnson and Ann Millner.' — best matches stance 4 (require transgender athletes to compete only on teams matching their biological sex assigned at birth)."
John D. Johnson,d8daeb9d-2437-4864-9efd-6031291fed86,fossil-fuels,4,"Voted YEA on SB224 (Feb 2024), the Energy Independence Amendments, which critics said kept Utah's largest utility 'heavily reliant on expensive and highly polluting coal power' by preventing coal plant closures even when cheaper alternatives exist. Also voted YEA on HB264 (2025), which repealed Utah's green energy tax credits for solar, wind, and geothermal projects. — best matches stance 4 (expand fossil fuel drilling permits)."
John D. Johnson,d8daeb9d-2437-4864-9efd-6031291fed86,voting-rights,4,"Sponsored and passed SB153 (2026), which removed the default voter-privacy option, making most of Utah's ~1.3 million previously shielded voter registration records public unless individuals prove at-risk status. Johnson said the bill 'brings Utah law in line with federal law on voter transparency.' Voted consistently with Republican caucus on election security measures. — best matches stance 4 (require photo ID for voting and regularly update voter rolls to remove inactive registrations)."
John D. Johnson,d8daeb9d-2437-4864-9efd-6031291fed86,climate-change,4,"Voted YEA on SB224 (Feb 2024), locking in coal power and removing cost-justification requirements for PacifiCorp's coal assets. Voted YEA on HB264 (2025), repealing renewable energy tax credits for solar, wind, geothermal, and biomass. No record of supporting emissions reduction mandates or clean energy investment legislation. — best matches stance 4 (let market forces drive any transition to cleaner energy sources)."
John D. Johnson,d8daeb9d-2437-4864-9efd-6031291fed86,civil-rights,5,"Introduced SB283 (2023) to ban DEI offices at Utah universities, calling DEI programs 'ideological coercion.' Publicly endorsed HB261 (2024 DEI ban), co-authoring a statement after passage that it 'bans compelled belief, and it bans discrimination based on personal identity characteristics.' Sponsored SB334 (2025) requiring Western civilization coursework at USU, continuing to dismantle DEI infrastructure. — best matches stance 5 (eliminate affirmative action and all race-based government programs)."
John D. Johnson,d8daeb9d-2437-4864-9efd-6031291fed86,school-vouchers,4,"As chair of the Senate Education Committee in 2023, Johnson placed HB215 — the Utah Fits All school scholarship program — on the agenda and voted YEA; the Senate passed it 20-8 on January 26, 2023, creating Utah's largest-ever school voucher program. Campaign website states parents should have 'the right to provide their child with the best education available.' — best matches stance 4 (expanding voucher eligibility to most families while maintaining baseline public school funding)."
John D. Johnson,d8daeb9d-2437-4864-9efd-6031291fed86,data-centers,4,"Voted YEA on SB132 (Feb 2025), which allows large-scale electrical customers (like data centers requiring over 50 MW) to procure power via individual contracts with Rocky Mountain Power outside the standard regulatory rate process, with protection for existing residential ratepayers. Supports economic development and streamlined permitting as core platform positions. — best matches stance 4 (encouraging data center development through streamlined permitting while requiring transparency about projected energy demand and rate impacts)."
John D. Johnson,d8daeb9d-2437-4864-9efd-6031291fed86,homelessness,4,"Voted YEA on HB499 (March 2023) — requiring cities with camping bans to enforce them in order to receive homelessness mitigation funding — and YEA on HB421 (Feb 2024), which allowed the Homeless Services board to withhold state funding from cities that don't enforce anti-camping ordinances. Both bills passed with near-unanimous or unanimous Republican support. — best matches stance 4 (prohibiting encampments on public property with graduated warnings and penalties, while requiring jurisdictions to maintain basic shelter options)."
John D. Johnson,d8daeb9d-2437-4864-9efd-6031291fed86,immigration,4,"Voted with the Republican Senate majority on HB226 (March 2025), which passed 21-8, increasing maximum misdemeanor sentences to trigger federal deportation proceedings for immigrants convicted of crimes. The Utah Senate also passed SB90 22-0 (mandatory jail sentences for deported immigrants who reenter and reoffend). Johnson's caucus supported enforcement-focused immigration measures and opposed the 'ICE Out' bill. — best matches stance 4 (make it harder to immigrate legally and limit public services to people with legal status)."
John D. Johnson,d8daeb9d-2437-4864-9efd-6031291fed86,deportation,4,"Voted for HB226 (2025), which passed 21-8 and increased misdemeanor sentences to trigger automatic deportation of immigrants convicted of certain crimes regardless of legal status. Voted for SB90 22-0, mandating jail for repeat offenders who re-enter after deportation. Legislature also ended subsidized tuition and home loans for undocumented immigrants (2026). — best matches stance 4 (deport everyone without legal status, starting with those who have criminal records)."
John D. Johnson,d8daeb9d-2437-4864-9efd-6031291fed86,taxes,4,"Voted YEA on HB54 (March 2023), the $400 million tax cut package reducing Utah's income tax rate from 4.85% to 4.65% and repealing the food sales tax. Campaign website claims credit for delivering '$1 billion in tax relief' and pledges to 'cut taxes, unneeded regulations, and rolling back unnecessary government spending.' Campaign explicitly opposes tax increases. — best matches stance 4 (cut taxes for everyone and scale back public services to match)."
