full_name,politician_id,topic_key,value,reasoning
Todd Weiler,612392b2-ab46-4287-a2fd-c74ae0961198,abortion,4,"Weiler voted YES on HB467 (2023), which closed all Utah abortion clinics to new licenses and prohibited clinic operation after Jan. 1, 2024 — restricting abortion to hospitals/approved facilities for most cases, with exceptions for rape, incest, and health threats. He also sponsored SB118 (2018), a pro-life abortion informed-consent bill. While he voted against one ultrasound bill on legal grounds, his record consistently supports restricting access to limited exceptions — best matches stance 4 (restrict abortion to only cases involving rape, incest, or serious threats to the mother's life)."
Todd Weiler,612392b2-ab46-4287-a2fd-c74ae0961198,same-sex-marriage,3,"Weiler voted for SB296 (2015 Utah Compromise), protecting LGBTQ+ Utahns from employment and housing discrimination alongside religious freedom protections. His 2024 SB150 (Utah RFRA) explicitly preserved LGBTQ civil rights statutes. He has not endorsed overturning federal marriage equality nor supported banning same-sex marriage, but his RFRA creates state-level religious exemptions. No evidence he supports nationwide mandated recognition beyond current federal law — best matches stance 3 (let each state decide its own same-sex marriage laws without federal interference)."
Todd Weiler,612392b2-ab46-4287-a2fd-c74ae0961198,religious-freedom,4,"Weiler sponsored and passed SB150 (2024), Utah's Religious Freedom Restoration Act, which bars government from substantially burdening religious exercise unless it is the least restrictive means of furthering a compelling governmental interest. He described it as a state-level 'backstop' in case Congress repeals federal RFRA. He negotiated compromise language with Equality Utah to preserve existing LGBTQ antidiscrimination protections while building in broad faith-based exemptions — best matches stance 4 (protect religious freedom and allow faith-based exemptions from laws that conflict with sincere religious beliefs)."
Todd Weiler,612392b2-ab46-4287-a2fd-c74ae0961198,trans-athletes,2,"Weiler voted NO on HB11 (2022 transgender sports ban) and maintained that NO vote during the veto override — one of only two Republicans to do so. He also voted NO on SB16 (2023), the gender-affirming care ban, stating 'I hear families say that getting some hormone therapy or getting these puberty blockers has saved my kid's life' and citing concern for mental health outcomes. His votes and statements consistently oppose blanket bans while not proposing full unrestricted access — best matches stance 2 (allow transgender athletes to compete on teams matching their gender identity after completing basic documentation of their transition)."
Todd Weiler,612392b2-ab46-4287-a2fd-c74ae0961198,voting-rights,2,"In the Senate Business and Labor Committee in March 2025, Weiler voted against HB300 (which ended automatic mail-in ballots and added voter ID), stating 'I'm concerned, first of all, that it makes it harder to vote' and 'People will perceive this as taking away something that they've enjoyed now for over a decade.' He characterized the bill as trying to fix a problem that didn't exist. His committee opposition reflects a stance favoring expansion of mail-in voting access — best matches stance 2 (expand early voting periods and make mail-in voting available to all voters without requiring an excuse)."
Todd Weiler,612392b2-ab46-4287-a2fd-c74ae0961198,climate-change,3,"Weiler was the Senate sponsor of HCR007 (2018), Utah's first-in-a-conservative-state climate change resolution officially recognizing human-caused climate change. He co-chairs the bipartisan Clean Air Caucus and stated in a 2024 SLTrib interview that 'Yes' climate change is negatively impacting Utah and 'all options should be on the table.' His approach emphasizes gradual investment in clean energy (particularly transit/air quality) without calling for emergency declarations or immediate fossil fuel phase-outs — best matches stance 3 (invest in clean energy while gradually reducing reliance on fossil fuels)."
Todd Weiler,612392b2-ab46-4287-a2fd-c74ae0961198,civil-rights,3,"Weiler voted for SB296 (2015 Utah Compromise) protecting LGBTQ+ Utahns from employment and housing discrimination, saying 'I am 100 percent convinced that they should be protected.' In 2024 he supported anti-DEI legislation HB261 dismantling diversity programs in Utah public education and government, stating university DEI programs were following 'a national liberal agenda.' His record supports existing civil rights laws while opposing race/identity-conscious programs — best matches stance 3 (maintain current civil rights laws while promoting equal opportunity)."
Todd Weiler,612392b2-ab46-4287-a2fd-c74ae0961198,school-vouchers,4,"Weiler voted YES on HB215 (2023), which created the universal 'Utah Fits All Scholarship' providing up to $8,000 per student for private school or homeschool expenses. The bill passed the Senate 20-8. His campaign materials call for protecting 'school choice options.' He has not advocated for eliminating public school funding, but supports broad voucher eligibility — best matches stance 4 (expanding voucher eligibility to most families so parents can choose the school that best fits their child, while maintaining baseline public school funding)."
Todd Weiler,612392b2-ab46-4287-a2fd-c74ae0961198,homelessness,3,"Weiler sponsored SB182 (2025), the 'Code Red' bill allowing emergency shelter expansion during extreme heat, passed 27-0. He told the Senate: 'I think that as a state, the bare minimum that we should be requiring is not letting people freeze to death on the street or die from heat exhaustion on the street.' His approach creates an enforcement trigger tied to shelter availability (Code Red/Blue alerts), but does not decriminalize camping generally — best matches stance 3 (allowing enforcement only when adequate shelter beds are available, with citations diverting people to services rather than the criminal justice system)."
Todd Weiler,612392b2-ab46-4287-a2fd-c74ae0961198,immigration,3,"As Senate Judiciary Chair, Weiler voted against HB226 (2025) — the bill extending deportation eligibility for immigrants sentenced to 365 days on class A misdemeanors — arguing it would disproportionately harm lawfully present immigrants including green card holders, refugees, and temporary visa recipients. He stated 'We can't continue to enhance everything every year.' His concern was precision of enforcement against unlawful immigrants, not expanded services or open borders — best matches stance 3 (keep immigration levels and rules about where they are now)."
