full_name,politician_id,topic_key,value,reasoning
Brady Brammer,070c1c1c-ac9d-42e0-bff2-3f4467504cba,abortion,4,"Voted YES on HB467 (2023), which prevents abortion clinics from being licensed after May 2, 2023. On the floor, Brammer spoke in support, arguing the bill would not force clinics to close since elective abortions represent only 3% of their services. He has described himself as a ""consistent voice for life."" — best matches stance 4 (restrict abortion to only cases involving rape, incest, or serious threats to the mother's life)."
Brady Brammer,070c1c1c-ac9d-42e0-bff2-3f4467504cba,tariffs,,No verifiable evidence found of Brady Brammer making public statements or casting votes on federal tariff policy. This is a federal issue he would not vote on as a state senator.
Brady Brammer,070c1c1c-ac9d-42e0-bff2-3f4467504cba,same-sex-marriage,,No verifiable evidence found of Brady Brammer making on-the-record statements or casting votes specifically on same-sex marriage. Campaign site emphasizes traditional family values but does not mention same-sex marriage.
Brady Brammer,070c1c1c-ac9d-42e0-bff2-3f4467504cba,religious-freedom,5,"Brammer's campaign website describes him as 'a strident advocate for the freedom of religion and the protection of religion from those who seek to weaponize our government against that freedom.' He passed legislation protecting religious expression in the workplace and has consistently prioritized faith-based exemptions. Freedom Index score of 85% reflects strong alignment with broad religious liberty. — best matches stance 5 (strongly protect religious freedom and allow religious organizations complete autonomy in their operations and hiring practices)."
Brady Brammer,070c1c1c-ac9d-42e0-bff2-3f4467504cba,trans-athletes,4,"Freedom Index confirms Brammer voted YES on SB16 (2023 Ban on Sex Mutilation Against Minors) and is aligned with the Republican supermajority that supported banning transgender athletes from girls' sports in Utah. Campaign site states he will 'vote to protect the Utah County values we hold dear.' — best matches stance 4 (require transgender athletes to compete only on teams matching their biological sex assigned at birth)."
Brady Brammer,070c1c1c-ac9d-42e0-bff2-3f4467504cba,ukraine-support,,No verifiable evidence found of Brady Brammer making public statements on Ukraine aid. This is primarily a federal foreign policy issue and no Utah state-level legislative actions were identified.
Brady Brammer,070c1c1c-ac9d-42e0-bff2-3f4467504cba,medicare/aid,4,"Brammer sponsored HB463 (2024) establishing a cascading 'waterfall' of automatic Medicaid cuts triggered by a funding shortfall, including eliminating optional services like prescriptions, case management, physical therapy. He described it as 'a doomsday scenario bill' and has consistently opposed Medicaid expansion, voting NO on SB217 (CHIP Benefits for undocumented children). — best matches stance 4 (partially privatize Medicare and reduce Medicaid coverage)."
Brady Brammer,070c1c1c-ac9d-42e0-bff2-3f4467504cba,fossil-fuels,5,"Brammer explicitly listed 'nuclear, geothermal, coal and natural gas' as energy priorities and stated 'We want to be the leader in energy exports.' He pursued regulatory authority for modular nuclear reactors and is a sponsor of HB575 (2026) cutting the gas tax by 6 cents while streamlining pipeline permitting. No evidence of support for environmental restrictions on fossil fuels. — best matches stance 5 (remove environmental restrictions and maximize fossil fuel extraction)."
Brady Brammer,070c1c1c-ac9d-42e0-bff2-3f4467504cba,voting-rights,4,"Freedom Index confirms Brammer voted YES on HB300 (Election Integrity, 2025) supporting voter ID requirements and ballot return restrictions, and YES on HB313 (Election Security, 2022). His 85% Freedom Index rating and consistent support for election security measures reflects a preference for photo ID and tighter voter roll maintenance. — best matches stance 4 (require photo ID for voting and regularly update voter rolls to remove inactive registrations)."
Brady Brammer,070c1c1c-ac9d-42e0-bff2-3f4467504cba,social-security,,No verifiable evidence found of Brady Brammer making public statements on Social Security structure or funding. This is primarily a federal policy issue he would not vote on as a state senator.
