full_name,politician_id,topic_key,value,reasoning
Wayne A. Harper,2d53f024-b180-47c1-9035-90835bc1ab2b,abortion,4,"Co-sponsored HJR 17 (2000) urging Congress to propose a constitutional amendment overturning Roe v. Wade to protect 'the life of the unborn.' Voted Yes on HB 467 (March 2, 2023), which prevented abortion clinics from being licensed after May 2023 and barred them from operating by January 2024, functionally eliminating clinic-based abortion access in Utah. Utah's trigger law retains exceptions for rape, incest, and serious maternal health threats — best matches stance 4 (restrict abortion to only cases involving rape, incest, or serious threats to the mother's life)."
Wayne A. Harper,2d53f024-b180-47c1-9035-90835bc1ab2b,school-vouchers,5,"Voted for HB 148 (2007), which created the nation's first statewide private school voucher program. Voted for HB 215 (January 2023), which established the Utah Fits All Scholarship providing $8,000 scholarships to qualifying families for any private school or education option — a universal school choice program with state funding capped at $42 million in its inaugural year, signed by Governor Cox. 28-year pattern of supporting school choice over public school funding — best matches stance 5 (universal vouchers so education funding follows the student to any school)."
Wayne A. Harper,2d53f024-b180-47c1-9035-90835bc1ab2b,taxes,5,"28-year legislative record of consistently cutting taxes: co-sponsored and voted for income tax rate reductions including SB69 (2024, reducing rate from 4.65% to 4.55%); sponsored SB71 (2025) to expand Social Security tax exemptions arguing against 'tax on a tax'; advocated for eliminating tiered income taxes. Better Utah noted his efforts to 'drastically reduce income tax rates' contributed to Utah having the lowest per-pupil education funding in the nation. Senate Revenue and Taxation Committee member with consistent record of reducing tax burden — best matches stance 5 (drastically cut taxes and shrink government so people and businesses keep more of their money)."
Wayne A. Harper,2d53f024-b180-47c1-9035-90835bc1ab2b,medicare/aid,4,"Voted for SB96 (February 2019) to replace voter-approved Proposition 3 Medicaid expansion, reducing eligibility from 138% to 100% of federal poverty level — a direct reduction in Medicaid coverage despite his district voting 55.5% for the expansion. Sponsored SB133 (2023) extending postpartum Medicaid coverage from 60 days to a full year (unanimous vote), showing willingness for targeted Medicaid improvements. The 2019 vote to narrow Medicaid eligibility is the stronger signal — best matches stance 4 (partially privatize Medicare and reduce Medicaid coverage)."
Wayne A. Harper,2d53f024-b180-47c1-9035-90835bc1ab2b,fossil-fuels,4,"Sponsored multiple bills increasing fees and taxes on electric vehicles (SB136 in 2018 adding $120 annual EV registration fee; HB301 in 2023 imposing 12.5% tax on EV charging electricity), which air quality advocates said would 'slow electric vehicle adoption and promote poorer air quality.' Opposed clean energy incentives through the tax code while ensuring EV users pay higher per-mile taxes than gasoline drivers. This pattern of discouraging clean energy alternatives and maintaining tax advantages for conventional vehicles — best matches stance 4 (expand fossil fuel drilling permits / let conventional energy remain dominant through policy design)."
Wayne A. Harper,2d53f024-b180-47c1-9035-90835bc1ab2b,voting-rights,3,"Sponsored SB 170 (2022), a bipartisan bill supported by both party chairs that adjusted the candidate filing deadline to eliminate confusion before caucus night — aimed at increasing voter information and civic participation. Voted NAY on HB 300 (March 6, 2025), the Republican-backed bill that would have required voter ID on mail ballots and phased out Utah's automatic mail voting system by 2029 (passed 19-10 with Harper among 10 nays). His opposition to HB 300 distinguishes him from most GOP colleagues on election restrictions — best matches stance 3 (standardize voter ID requirements while ensuring free IDs are available to all eligible citizens)."
Wayne A. Harper,2d53f024-b180-47c1-9035-90835bc1ab2b,redistricting,5,"Part of the Utah Senate supermajority that enacted SB200 (2020) making the voter-approved Proposition 4 redistricting commission advisory only (allowing the legislature to override its maps), and voted with the near-unanimous Republican caucus on 2021 redistricting maps that differed from those recommended by the independent commission. His 93-98% party loyalty rate and the fact that redistricting votes were nearly unanimous suggest he supported legislative control over district maps — best matches stance 5 (the party that controls the state legislature without outside interference)."
Wayne A. Harper,2d53f024-b180-47c1-9035-90835bc1ab2b,climate-change,4,"Sponsored SB136 (2018) adding $120 annual EV registration fee and HB301 (2023) taxing electricity at EV charging stations at 12.5%, actions that air quality advocates said would 'slow electric vehicle adoption and promote poorer air quality.' Co-sponsored legislation urging transfer of federal public lands to state control (HJR 39, 2011). No bills promoting renewable energy investment or carbon reduction. Pattern of opposing clean energy incentives through fee structures — best matches stance 4 (let market forces drive any transition to cleaner energy sources)."
Wayne A. Harper,2d53f024-b180-47c1-9035-90835bc1ab2b,homelessness,4,"Voted Yes on HB 499 (Homeless Services Amendments, March 2, 2023, vote 24-1-4), which mandated that cities with camping bans enforce them to receive state mitigation funding, required counties with populations over 175,000 to create winter homeless assistance plans, and established a 'code blue' system for extreme cold requiring shelter expansion. The bill tied enforcement of camping bans to provision of shelter options — best matches stance 4 (prohibiting encampments on public property with graduated warnings and penalties, while requiring jurisdictions to maintain basic shelter options)."
Wayne A. Harper,2d53f024-b180-47c1-9035-90835bc1ab2b,healthcare,4,"Voted for SB96 (2019) to replace voter-approved Prop 3 Medicaid expansion, restricting eligibility from 138% to 100% of federal poverty level — his district voted 55.5% for the full expansion but he voted to narrow it. Sponsored SB133 (2023) to extend postpartum Medicaid coverage (narrow, targeted expansion) passing 27-0. Pattern of limiting rather than expanding public health coverage while making targeted adjustments — best matches stance 4 (only help the poorest people afford healthcare and leave everyone else to employers and private insurance)."
Wayne A. Harper,2d53f024-b180-47c1-9035-90835bc1ab2b,childcare,4,"Co-sponsored HB 410 (2025) which counted preschool teaching in childcare as equivalent to school teaching for educator licensing (reducing regulatory burden) and allowed local governments to optionally use up to 1% of housing and transit reinvestment zone funds for childcare — a limited, deregulatory approach passed unanimously. Harper's broader fiscal record favors tax cuts and reduced government mandates over direct subsidies; the bill avoided new public spending mandates — best matches stance 4 (reducing regulations on childcare providers to increase supply and lower costs, with limited subsidies reserved for the lowest-income families)."
