external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-5400001,Patrick Morrisey,abortion,4,"As WV AG from 2013–2025 Morrisey investigated Planned Parenthood, joined an amicus brief supporting a 20-week abortion ban, and called himself the first pro-life AG in WV history. His current position supports broad restrictions with narrow exceptions (the WV trigger law allows exceptions for life of the mother), consistent with restricting abortion to serious threats to maternal life.",https://www.ontheissues.org/Patrick_Morrisey.htm,https://en.wikipedia.org/wiki/Patrick_Morrisey,,,
-5400001,Patrick Morrisey,healthcare,4,"Morrisey sued the federal government to end ACA preexisting-conditions coverage, called for repealing the ACA and opposing the individual mandate. He favors leaving most healthcare to employers and private insurance while preserving limited government assistance only for the poorest, stopping well short of full privatization.",https://www.ontheissues.org/Patrick_Morrisey.htm,https://en.wikipedia.org/wiki/Patrick_Morrisey,,"Repeal ObamaCare; oppose individual mandate","Repeal the healthcare law; oppose individual mandate"
-5400001,Patrick Morrisey,immigration,5,"As AG Morrisey led a Republican AG coalition pressuring Trump to terminate DACA and praised Trump for upholding 'the rule of law.' He has called lax immigration laws a national security risk and attacked protections for undocumented residents, indicating support for stopping most legal immigration and denying public services to undocumented people.",https://www.ontheissues.org/Patrick_Morrisey.htm,https://en.wikipedia.org/wiki/Patrick_Morrisey,,"Lax immigration laws pose a security risk to our homeland","Lax immigration laws pose a security risk to our homeland"
-5400001,Patrick Morrisey,deportation,4,"Morrisey led the AG coalition to end DACA, criticized a bill protecting families of undocumented immigrants, and characterized undocumented residents as a public safety threat. His record supports deporting all people without legal status prioritizing those with criminal records, but he has not explicitly called for immediate mass deportation regardless of family ties.",https://www.ontheissues.org/Patrick_Morrisey.htm,https://en.wikipedia.org/wiki/Patrick_Morrisey,,,
-5400001,Patrick Morrisey,fossil-fuels,5,"As AG Morrisey filed or led multiple challenges to the EPA Clean Power Plan, Cross-State Air Pollution Rule, Mercury and Air Toxics Standards, and mountaintop mining restrictions. He argued — and won at SCOTUS in West Virginia v. EPA (2022) — that the EPA lacked authority to regulate carbon emissions. As governor he announced the '50 by 50' initiative to expand to 50 gigawatts of capacity by 2050 primarily through coal expansion.",https://en.wikipedia.org/wiki/Patrick_Morrisey,https://www.ontheissues.org/Patrick_Morrisey.htm,,"We're the engine powering our country with more coal and gas","We're the engine powering our country with more coal and gas"
-5400001,Patrick Morrisey,climate-change,5,"Morrisey led West Virginia v. EPA to the Supreme Court (2022), successfully limiting EPA authority to regulate carbon emissions. He challenged the Clean Power Plan, Cross-State Air Pollution Rule, and other climate regulations as AG. His '50 by 50' coal expansion initiative as governor prioritizes fossil fuel capacity over renewable transition, consistent with rejecting climate change policies in favor of economic growth.",https://en.wikipedia.org/wiki/Patrick_Morrisey,https://www.ontheissues.org/Patrick_Morrisey.htm,,,
-5400001,Patrick Morrisey,taxes,5,"Morrisey has publicly endorsed a flat tax and elimination of the estate tax. As governor he signed a 5% personal income tax cut (April 2026). His flat-tax position aligns with drastically cutting taxes and shrinking government so people and businesses keep more of their money.",https://en.wikipedia.org/wiki/Patrick_Morrisey,https://www.ontheissues.org/Patrick_Morrisey.htm,,"Favors a flat tax","Favors a flat tax"
-5400001,Patrick Morrisey,tariffs,4,"Morrisey has expressed support for tariffs specifically on China to gain negotiating leverage, aligning with increasing tariffs on countries that don't trade fairly rather than universal high tariffs or completely free trade.",https://www.ontheissues.org/Patrick_Morrisey.htm,,,,"Supports tariffs on China to gain negotiating leverage","Supports tariffs on China to gain negotiating leverage"
-5400001,Patrick Morrisey,same-sex-marriage,3,"Morrisey expressed disappointment at same-sex marriage legalization in 2015 but has not documented a position seeking to make it illegal or re-litigate Obergefell. His record shows opposition without a specific anti-recognition legislative or legal action, placing him closest to letting each state decide without federal interference.",https://en.wikipedia.org/wiki/Patrick_Morrisey,https://www.ontheissues.org/Patrick_Morrisey.htm,,,
-5400001,Patrick Morrisey,religious-freedom,4,"Morrisey issued an executive order allowing religious exemptions from school vaccine mandates and championed legislation protecting religious grounds for vaccine exemptions. He has repeatedly cited religious liberty as a core value alongside life and the Second Amendment, consistent with protecting religious freedom and allowing faith-based exemptions from conflicting laws.",https://en.wikipedia.org/wiki/Patrick_Morrisey,https://www.ontheissues.org/Patrick_Morrisey.htm,,"We stand for God, life, religious liberty, the 2nd Amendment","We stand for God, life, religious liberty, the 2nd Amendment"
-5400001,Patrick Morrisey,trans-athletes,4,"As AG Morrisey advocated for WV's 2021 law prohibiting transgender athletes from competing in women's sports and defended it in court. He stated 'When males compete alongside females, fairness evaporates.' The WV law requires transgender athletes to compete based on their biological sex assigned at birth, matching scale value 4.",https://en.wikipedia.org/wiki/Patrick_Morrisey,https://www.ontheissues.org/Patrick_Morrisey.htm,,"When males compete alongside females, fairness evaporates","When males compete alongside females, fairness evaporates"
-5400001,Patrick Morrisey,medicare/aid,4,"OnTheIssues documents Morrisey as advocating structural reforms to Medicare and Medicaid to maintain solvency. His overall fiscal platform — flat tax, spending cuts, ACA repeal — is consistent with partially privatizing Medicare and reducing Medicaid coverage rather than outright elimination or full expansion.",https://www.ontheissues.org/Patrick_Morrisey.htm,https://en.wikipedia.org/wiki/Patrick_Morrisey,,,
-5400001,Patrick Morrisey,social-security,4,"Morrisey's platform includes keeping the 'solemn promise made to our seniors' while calling for structural reforms to ensure solvency. His broader fiscal conservatism (flat tax, spending reduction) aligns with gradually raising the retirement age and reducing benefits for higher earners rather than privatization or expansion.",https://www.ontheissues.org/Patrick_Morrisey.htm,,,,"Keep solemn promise made to our seniors","Keep solemn promise made to our seniors"
-5400001,Patrick Morrisey,voting-rights,4,"Morrisey signed the Texas amicus brief challenging 2020 presidential election results in four swing states and supports voter ID requirements. His record aligns with requiring photo ID and regularly updating voter rolls, stopping short of eliminating mail-in voting entirely.",https://en.wikipedia.org/wiki/Patrick_Morrisey,https://www.ontheissues.org/Patrick_Morrisey.htm,,,
-5400001,Patrick Morrisey,civil-rights,5,"As governor Morrisey signed an executive order eliminating DEI initiatives at all government institutions and pledged to 'stomp out woke.' He has consistently opposed affirmative action and race-based programs, aligning with eliminating affirmative action and all race-based government programs.",https://en.wikipedia.org/wiki/Patrick_Morrisey,https://www.ontheissues.org/Patrick_Morrisey.htm,,,
-5400001,Patrick Morrisey,school-vouchers,4,"Morrisey defended West Virginia's school choice laws as AG and supports expanding school voucher and choice programs. His stated goal of expanding school vouchers while 'eliminating the woke virus' from schools aligns with expanding voucher eligibility to most families while maintaining baseline public school funding.",https://en.wikipedia.org/wiki/Patrick_Morrisey,https://www.ontheissues.org/Patrick_Morrisey.htm,,,
-5400001,Patrick Morrisey,data-centers,5,"As governor Morrisey announced the '50 by 50' initiative in August 2025 — targeting 50 gigawatts of electrical capacity by 2050 primarily to support artificial intelligence and data center operations, with coal as the primary fuel source. This initiative signals welcoming data center investment with competitive energy incentives and minimal regulatory barriers.",https://en.wikipedia.org/wiki/Patrick_Morrisey,,,,
