full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Adriano Espaillat,,abortion,1,"Cosponsored the Women's Health Protection Act banning anti-abortion limitations on services through all stages of pregnancy, and introduced H.Res.28 in January 2023 condemning the Supreme Court's Dobbs decision while committing to advancing reproductive justice. Supports unrestricted access to safe, legal abortion.",https://www.ontheissues.org/NY/Adriano_Espaillat_Abortion.htm,https://en.wikipedia.org/wiki/Adriano_Espaillat,,,
Adriano Espaillat,,campaign-finance,2,"Cosponsored the Government By the People Act (H.R.20) establishing public financing through voter vouchers and a 6:1 matching fund mechanism; prohibits participating candidates from controlling leadership PACs. Reflects strong support for limiting private and corporate money in politics.",https://www.ontheissues.org/NY/Adriano_Espaillat_Government_Reform.htm,https://www.ontheissues.org/NY/Adriano_Espaillat.htm,,,
Adriano Espaillat,,childcare,2,"Organized over 35,000 home-based daycare providers to gain access to healthcare and better compensation; voted YES on the $1.9 trillion American Rescue Plan (March 2021) which included significant childcare subsidies and provider grants for low- and middle-income families.",https://www.ontheissues.org/NY/Adriano_Espaillat_Jobs.htm,https://www.ontheissues.org/NY/Adriano_Espaillat_Budget_+_Economy.htm,,,
Adriano Espaillat,,civil-rights,2,"Cosponsored ERA ratification (H.J.Res.17, March 2021), supported the Equity and Inclusion Enforcement Act authorizing private lawsuits against discrimination in federally-funded education, and sponsored a national ban on racial profiling. Focuses on strengthening civil rights enforcement and addressing systemic discrimination.",https://www.ontheissues.org/NY/Adriano_Espaillat_Civil_Rights.htm,https://www.ontheissues.org/NY/Adriano_Espaillat.htm,,,
Adriano Espaillat,,climate-change,2,"Cosponsored the Green New Deal resolution calling for a 10-year national mobilization to achieve net-zero greenhouse gas emissions — explicitly targeting a rapid transition away from fossil fuels toward renewables by 2030. This aligns with value 2: rapidly transition to renewable energy and phase out fossil fuels.",https://www.ontheissues.org/NY/Adriano_Espaillat_Energy_+_Oil.htm,https://www.ontheissues.org/NY/Adriano_Espaillat.htm,,,
Adriano Espaillat,,deportation,1,"Opposes mandatory deportation; as the first formerly undocumented immigrant in Congress he has consistently fought to protect undocumented residents from removal. Supported the American Dream and Promise Act and visited detention facilities to advocate for detained immigrants.",https://www.ontheissues.org/NY/Adriano_Espaillat_Immigration.htm,https://en.wikipedia.org/wiki/Adriano_Espaillat,,"""bring undocumented immigrants out of the shadows""","bring undocumented immigrants out of the shadows"
Adriano Espaillat,,fossil-fuels,2,"Cosponsored the Green New Deal resolution which calls for stopping new fossil fuel development as part of a net-zero mobilization; his support for the Green New Deal framework — not just modest regulation — places him at value 2: stopping new permits for fossil fuel drilling.",https://www.ontheissues.org/NY/Adriano_Espaillat_Energy_+_Oil.htm,https://www.ontheissues.org/NY/Adriano_Espaillat.htm,,,
Adriano Espaillat,,healthcare,1,"Member of the Medicare for All Caucus in Congress, indicating support for a fully public universal healthcare system covering all Americans regardless of income. Caucus membership reflects commitment to replacing the current multi-payer system with a single government-run program.",https://en.wikipedia.org/wiki/Adriano_Espaillat,https://www.ontheissues.org/NY/Adriano_Espaillat.htm,,,
Adriano Espaillat,,housing,2,"Championed rent regulations protecting over 2.5 million tenants in New York State, restored 50,000 units to affordability, and secured $100 million for public housing. Advocates for publicly funded affordable housing construction, aligning with value 2: rent caps, requiring affordable units in new developments, and publicly funded housing.",https://www.ontheissues.org/NY/Adriano_Espaillat_Welfare_+_Poverty.htm,https://en.wikipedia.org/wiki/Adriano_Espaillat,,,
Adriano Espaillat,,immigration,1,"As the first formerly undocumented immigrant in Congress, supports making it easier to immigrate legally and letting undocumented residents fully use public services. Cosponsored the NO BAN Act (2021), increased visa caps (Fairness for High-Skilled Immigrants Act, 2019), and the American Dream and Promise Act providing pathways to citizenship.",https://www.ontheissues.org/NY/Adriano_Espaillat_Immigration.htm,https://en.wikipedia.org/wiki/Adriano_Espaillat,,,
Adriano Espaillat,,medicare/aid,1,"Member of the Medicare for All Caucus in Congress, supporting expansion of Medicare to cover all Americans regardless of age. His caucus membership aligns with value 1: expand Medicare to cover everyone regardless of age.",https://en.wikipedia.org/wiki/Adriano_Espaillat,https://www.ontheissues.org/NY/Adriano_Espaillat.htm,,,
Adriano Espaillat,,religious-freedom,2,"Cosponsored the NO BAN Act (2021) prohibiting religious discrimination in immigration, and voted YES on the Combating International Islamophobia Act (H.R.5665). His record reflects protecting religious freedom while ensuring it does not override anti-discrimination protections in public institutions.",https://www.ontheissues.org/NY/Adriano_Espaillat_Immigration.htm,https://www.ontheissues.org/NY/Adriano_Espaillat_Homeland_Security.htm,,,
Adriano Espaillat,,same-sex-marriage,1,"Voted YES on New York State's Marriage Equality Act in 2011, citing marriage as a fundamental human right; member of the Congressional LGBT Equality Caucus. Supports full federal recognition and equal benefits for same-sex couples nationwide.",https://www.ontheissues.org/NY/Adriano_Espaillat_Civil_Rights.htm,https://en.wikipedia.org/wiki/Adriano_Espaillat,,,
Adriano Espaillat,,social-security,2,"Member of the Expand Social Security Caucus in Congress, indicating support for increasing Social Security benefits. Without specific documented cosponsorship of removing the payroll tax income cap entirely, the evidence best supports value 2: increasing benefits modestly while raising taxes on higher earners.",https://en.wikipedia.org/wiki/Adriano_Espaillat,,,
Adriano Espaillat,,tariffs,3,"Voted NO on the USMCA Implementation Act (December 2019) because the deal lacked sufficient environmental and labor protections. This reflects selective use of trade conditions to protect workers and environmental standards — not blanket protectionism — aligning with value 3: use tariffs selectively to protect key industries and jobs.",https://www.ontheissues.org/NY/Adriano_Espaillat_Free_Trade.htm,https://www.ontheissues.org/NY/Adriano_Espaillat.htm,,,
Adriano Espaillat,,taxes,1,"Voted NAY on the Tax Cuts and Jobs Act (2017), opposing corporate tax reductions from 35% to 21% and citing $1.5 trillion deficit increase and future cuts to domestic programs. Voted YES on the $1.9 trillion American Rescue Plan. Consistent record supporting higher taxes on wealthy individuals and corporations to fund public services.",https://www.ontheissues.org/NY/Adriano_Espaillat_Corporations.htm,https://www.ontheissues.org/NY/Adriano_Espaillat_Budget_+_Economy.htm,,,
Adriano Espaillat,,ukraine-support,2,"Member of the Congressional Ukraine Caucus, indicating ongoing support for Ukraine's defense against Russia. No documented opposition to Ukraine aid found; caucus membership reflects alignment with continuing current military and economic aid levels to help Ukraine defend itself.",https://en.wikipedia.org/wiki/Adriano_Espaillat,,,
