external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-2600004,Jocelyn Benson,voting-rights,1,"As MI Secretary of State Benson implemented automatic voter registration, mailed absentee applications to all 7.7 million registered voters in 2020, created online absentee application and ballot-tracking tools, and championed the Michigan Voting Rights Act. Her documented SoS actions go beyond mail-in expansion to near-universal proactive outreach, aligning with value 1 (auto-register + expand access).",https://en.wikipedia.org/wiki/Jocelyn_Benson,https://jocelynbenson.com/news,,"Make it easier to vote and harder to cheat","Make it easier to vote and harder to cheat"
-2600004,Jocelyn Benson,abortion,2,"Benson announced her 2026 gubernatorial campaign on the anniversary of Roe v. Wade and is endorsed by Reproductive Freedom for All. OnTheIssues notes her personal miscarriage experience shaping her strong support for abortion access, and she is backed by pro-choice groups. Her public framing emphasizes protecting abortion access broadly; no evidence she supports public funding at all stages (value 1), placing her at value 2.",https://www.ontheissues.org/Jocelyn_Benson.htm,https://jocelynbenson.com/news,https://en.wikipedia.org/wiki/Jocelyn_Benson,,
-2600004,Jocelyn Benson,healthcare,2,"Benson's campaign platform states 'Healthcare should be a right, not a privilege' and proposes a Prescription Drug Affordability Board, expanded low/no-cost preventive care, opposition to Medicaid cuts, and medical billing transparency. She frames government as ensuring everyone has affordable coverage through public programs and regulated private insurance — aligning with value 2.",https://jocelynbenson.com/issues/healthcare,https://jocelynbenson.com/news,,"Healthcare should be a right, not a privilege","Healthcare should be a right, not a privilege"
-2600004,Jocelyn Benson,housing,3,"Benson's housing platform calls for streamlining regulations, reforming outdated zoning, restricting corporate/Wall Street landlords, and supporting first-time buyers and seniors — a market-reform approach with targeted interventions rather than rent caps or public construction. This aligns with value 3 (targeted subsidies, easier permits, first-time buyer help).",https://jocelynbenson.com/issues/housing,https://jocelynbenson.com/issues/affordability,,,,
-2600004,Jocelyn Benson,childcare,2,"Benson's campaign prioritizes childcare as a core issue, advocates for expanding the Rx Kids program statewide, removing provider barriers, and treating early childhood education as a dignified profession with fair wages. The framing — addressing waiting lists, workforce exits, and provider shortages — maps to significantly expanding subsidies and provider grants (value 2) rather than universal public childcare.",https://jocelynbenson.com/issues/childcare,https://jocelynbenson.com/issues/affordability,,,
-2600004,Jocelyn Benson,data-centers,2,"Benson's data-center policy requires data centers to fund their own additional energy usage and not pass costs to consumers, mandates public hearings, environmental impact demonstration, disclosure reporting, and union labor standards before approval. This maps to value 2 (data centers fund their own dedicated power; bar utilities from passing costs to residential customers).",https://jocelynbenson.com/issues/data-centers,,,"Data centers must bear the expense of their additional energy usage rather than passing costs to consumers","Data centers must bear the expense of their additional energy usage rather than passing costs to consumers"
-2600004,Jocelyn Benson,misinformation,2,"As Secretary of State Benson established an Election Security Commission and actively countered 2020 election disinformation, publicly defending election administration against coordinated false claims. She has written and advocated on protecting elections from disinformation. This active government role in mandating accountability maps to value 2 (mandate fact-checking and transparency).",https://en.wikipedia.org/wiki/Jocelyn_Benson,https://jocelynbenson.com/news,,,
-2600004,Jocelyn Benson,redistricting,1,"Benson as SoS championed the 'From Worst to First' democracy reform agenda in 2021, which called for expanded ethics and campaign finance reform and supported Michigan's voter-approved independent redistricting commission (passed by ballot initiative in 2018). Her documented support for independent citizens' commissions over legislative control aligns with value 1.",https://en.wikipedia.org/wiki/Jocelyn_Benson,https://jocelynbenson.com/news,,,
-2600004,Jocelyn Benson,campaign-finance,2,"Benson's 'From Worst to First' legislative agenda (March 2021) called for more frequent campaign disclosures, tightening campaign finance regulations, and expanding FOIA coverage. Her 2026 campaign pledges to ban dark money and backroom deals. She has refused campaign contributions from energy companies and corporate PACs. This aligns with value 2 (strictly limit corporate donations and dark money).",https://en.wikipedia.org/wiki/Jocelyn_Benson,https://jocelynbenson.com/issues/energy-costs,https://jocelynbenson.com/news,,
-2600004,Jocelyn Benson,civil-rights,2,"OnTheIssues notes Benson 'implemented added LGBTQ+ protections in state constitution' and she is committed to delivering on 'the promise of the civil rights movement.' Her SoS record, endorsements, and platform demonstrate strengthening civil rights enforcement and addressing systemic discrimination — aligning with value 2.",https://www.ontheissues.org/Jocelyn_Benson.htm,https://jocelynbenson.com/news,,,
-2600004,Jocelyn Benson,same-sex-marriage,1,"OnTheIssues records Benson as strongly favoring LGBTQ+ rights and she implemented added LGBTQ+ protections in the Michigan state constitution. Her endorsements from civil rights groups and documented support for full LGBTQ+ equality aligns with value 1 (require all states to recognize same-sex marriages and provide full federal benefits and protections).",https://www.ontheissues.org/Jocelyn_Benson.htm,https://jocelynbenson.com/news,,,
-2600004,Jocelyn Benson,tariffs,1,"OnTheIssues records Benson as 'Strongly Favors support & expansion' of free trade and quotes her: 'Working families are struggling under reckless tariffs.' Her documented opposition to Trump-era tariffs and framing of free trade aligns with value 1 (eliminate tariffs, free trade).",https://www.ontheissues.org/Jocelyn_Benson.htm,,,"Working families are struggling under reckless tariffs","Working families are struggling under reckless tariffs"
-2600004,Jocelyn Benson,taxes,2,"Benson's platform commits to standing 'with Michigan workers against corporate interests and billionaires,' proposes a $5,000 caregiver tax credit, and opposes corporate price gouging. Her framing of lowering costs for families while making corporations pay their share maps to moderately raising taxes on wealthy people and large companies (value 2) rather than a flat keep-rates approach.",https://jocelynbenson.com/issues/affordability,https://jocelynbenson.com/issues/healthcare,,,
-2600004,Jocelyn Benson,school-vouchers,1,"OnTheIssues records Benson as 'Strongly Opposes school vouchers' with the position to 'invest wisely with an eye towards what's best for schools.' Her education platform emphasizes investing in public schools and teachers. This aligns with value 1 (fully fund public schools and eliminate voucher programs).",https://www.ontheissues.org/Jocelyn_Benson.htm,https://jocelynbenson.com/issues/education,,Invest wisely with an eye towards what's best for schools,Invest wisely with an eye towards what's best for schools
