full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Mike Kelly,-42016,abortion,4,"Kelly cosponsored the Life at Conception Act and the Pain-Capable Unborn Child Protection Act (20-week ban), but both include exceptions for rape, incest, and maternal life threats — the Born-Alive Act explicitly states it does not require prosecution of any woman. His record aligns with restricting abortion to only cases involving rape, incest, or serious threats to the mother's life.",https://www.ontheissues.org/PA/Mike_Kelly.htm,https://www.ontheissues.org/PA/Mike_Kelly_Abortion.htm,,"Kelly ""believes strongly in protecting the sanctity of human life, from conception until natural death.""","Believes strongly in protecting ""the sanctity of human life, from conception until natural death."""
Mike Kelly,-42016,civil-rights,4,"Kelly voted NO on the George Floyd Justice in Policing Act, voted against the Equity and Inclusion Enforcement Act, and opposed reauthorizing VAWA because it extended protections to LGBTQ individuals. His record reflects limiting federal civil rights enforcement to clear discrimination cases rather than broader mandates.",https://www.ontheissues.org/PA/Mike_Kelly.htm,https://www.ontheissues.org/PA/Mike_Kelly_Civil_Rights.htm,,,
Mike Kelly,-42016,climate-change,5,"Kelly has a 4% LCV lifetime score and 0% in 2025, signed the No Climate Tax Pledge, and voted to bar the EPA from regulating greenhouse gases. His 2025 votes include rolling back methane fees and blocking state clean vehicle standards. This record reflects rejecting climate policies and prioritizing economic growth over emission reductions.",https://www.lcv.org/congressional-scorecard/moc/mike-kelly,https://www.ontheissues.org/PA/Mike_Kelly.htm,,,
Mike Kelly,-42016,deportation,4,"Kelly emphasizes that 'any immigration reform plan must first begin with securing our borders,' voted YES on the Gosar Anti-DACA Amendment barring DACA recipients from military enlistment funds, and voted NAY on the NO BAN Act limiting presidential entry restrictions. His cosponsorship of the DIGNIDAD Act paired legal pathways with stricter enforcement, consistent with deporting all those without legal status while prioritizing criminal records first.",https://www.ontheissues.org/PA/Mike_Kelly_Immigration.htm,https://en.wikipedia.org/wiki/Mike_Kelly_(Pennsylvania_politician),,,
Mike Kelly,-42016,fossil-fuels,4,"Kelly supports Marcellus Shale natural gas development, signed the Waters of the US Regulatory Overreach Protection Act limiting EPA jurisdiction, and has a 4% lifetime LCV score with multiple votes blocking clean energy and environmental regulations in 2025. His record supports expanding fossil fuel drilling permits while maintaining existing production.",https://www.lcv.org/congressional-scorecard/moc/mike-kelly,https://www.ontheissues.org/PA/Mike_Kelly.htm,https://www.ontheissues.org/PA/Mike_Kelly_Environment.htm,,"Tap our rich natural resources, like Marcellus Shale."
Mike Kelly,-42016,healthcare,4,"Kelly signed the Club for Growth's 'Repeal-It!' Pledge on the ACA, voted YES on full ACA repeal in 2015, and advocates for 'market driven solutions.' He frames his goal as ensuring 'every American has access to affordable care' through private markets rather than government programs, consistent with helping only the poorest while leaving everyone else to employers and private insurance.",https://www.ontheissues.org/PA/Mike_Kelly.htm,https://www.ontheissues.org/PA/Mike_Kelly_Health_Care.htm,,Repeal Obamacare; advocate for market driven solutions.,Repeal Obamacare; advocate for market driven solutions.
Mike Kelly,-42016,immigration,4,"Kelly states 'any immigration reform plan must first begin with securing our borders,' voted NAY on the NO BAN Act, and voted YES on the Gosar amendment barring DACA recipients from military enlistment. While he cosponsored the DIGNIDAD Act (legal pathways paired with enforcement) and a high-skilled visa bill, his overall posture leans toward making legal immigration harder and limiting public services for those without legal status.",https://www.ontheissues.org/PA/Mike_Kelly_Immigration.htm,https://en.wikipedia.org/wiki/Mike_Kelly_(Pennsylvania_politician),,"First, secure our borders.","First, secure our borders."
Mike Kelly,-42016,medicare/aid,4,"Kelly voted YES on the Ryan Budget (April 2011), which proposed Medicare as a choice program with premium supports — a partial privatization approach — and voted YES to repeal the Prevention and Public Health Fund. His support for market-driven healthcare and ACA repeal aligns with partially privatizing Medicare and reducing Medicaid coverage.",https://www.ontheissues.org/PA/Mike_Kelly_Health_Care.htm,https://www.ontheissues.org/PA/Mike_Kelly.htm,,,
Mike Kelly,-42016,misinformation,4,"Kelly voted NO on net neutrality regulations in 2019 opposing government internet restrictions, and voted NO on the Protecting Our Democracy Act which would have strengthened oversight mechanisms. His broader record of opposing government regulation of speech and media reflects a stance of protecting free speech online and preventing government censorship.",https://www.ontheissues.org/PA/Mike_Kelly_Technology.htm,https://www.ontheissues.org/PA/Mike_Kelly_Government_Reform.htm,,,
Mike Kelly,-42016,redistricting,4,"Kelly voted NAY on both the 2019 and 2021 For the People Acts, which included provisions requiring states to establish independent nonpartisan redistricting commissions. His opposition indicates a preference for state legislature control with court oversight rather than independent citizen commissions.",https://www.ontheissues.org/PA/Mike_Kelly_Government_Reform.htm,https://www.ontheissues.org/PA/Mike_Kelly.htm,,,
Mike Kelly,-42016,religious-freedom,5,"Kelly cosponsored the First Amendment Defense Act (protecting religious organizations' complete autonomy to decline services to LGBTQ individuals), cosponsored the Marriage and Religious Freedom Act, and famously declared on the House floor that the ACA contraceptive mandate was 'the day that religious freedom died.' His record reflects strongly protecting religious freedom and allowing religious organizations complete autonomy in operations and hiring.",https://www.ontheissues.org/PA/Mike_Kelly.htm,https://en.wikipedia.org/wiki/Mike_Kelly_(Pennsylvania_politician),https://www.ontheissues.org/PA/Mike_Kelly_Civil_Rights.htm,This is the day that religious freedom died in America.,This is the day that religious freedom died in America.
Mike Kelly,-42016,same-sex-marriage,5,"Kelly voted NAY on the Respect for Marriage Act in 2022 and cosponsored the Federal Marriage Amendment in 2015, which would constitutionally define marriage as only between one man and one woman. He also cosponsored the State Marriage Defense Act. His record aligns with making same-sex marriage illegal and defining marriage as only between one man and one woman.",https://en.wikipedia.org/wiki/Mike_Kelly_(Pennsylvania_politician),https://www.ontheissues.org/PA/Mike_Kelly_Civil_Rights.htm,,,
Mike Kelly,-42016,school-vouchers,4,"Kelly voted YES on the SOAR Act providing private school vouchers for DC low-income students, and YES on the A-PLUS Amendment allowing states to use federal education funds for any state-approved purpose, reducing federal requirements. Heritage Foundation cited his view that 'low-income students shouldn't be condemned to low-quality schools.' His record supports expanding voucher eligibility to most families.",https://www.ontheissues.org/PA/Mike_Kelly_Education.htm,https://www.ontheissues.org/PA/Mike_Kelly.htm,,Low-income students shouldn't be condemned to low-quality schools just because their parents cannot afford a home in a wealthy neighborhood.,Low-income students shouldn't be condemned to low-quality schools just because their parents cannot afford a home in a wealthy neighborhood.
Mike Kelly,-42016,social-security,3,"Kelly explicitly campaigned on 'don't privatize; don't raise the retirement age,' calling Social Security 'a precious agreement between our seniors and the nation,' and opposes raising taxes on seniors. While his ARA rating is low (3%), his stated positions oppose the major structural changes (privatization, retirement age increase) that would place him at value 4 or 5, suggesting small adjustments to keep the program stable.",https://www.ontheissues.org/PA/Mike_Kelly.htm,https://www.ontheissues.org/PA/Mike_Kelly_Social_Security.htm,,Don't privatize; don't raise the retirement age.,Don't privatize; don't raise the retirement age.
Mike Kelly,-42016,tariffs,3,"Kelly signed the Currency Reform for Fair Trade Act imposing tariffs on currency-manipulating countries, cosponsored the Sugar Reform Act supporting import tariffs for domestic producers, and voted YES on USMCA. His 75% score from USA*Engage places him as generally favoring trade engagement. This selective, industry-protecting approach aligns with using tariffs to protect key American industries and jobs.",https://www.ontheissues.org/PA/Mike_Kelly_Free_Trade.htm,https://www.ontheissues.org/PA/Mike_Kelly.htm,,,
Mike Kelly,-42016,taxes,4,"Kelly signed Americans for Tax Reform's Taxpayer Protection Pledge (opposing any marginal rate increases), voted YES on the Tax Cuts and Jobs Act (2017) reducing corporate rates from 35% to 21%, and voted YES on the Death Tax Repeal Act. He pledges to 'fight hard to lower taxes for our working families and job creators.' His record aligns with cutting taxes and scaling back public services.",https://www.ontheissues.org/PA/Mike_Kelly.htm,https://www.ontheissues.org/PA/Mike_Kelly_Tax_Reform.htm,,Fight hard to lower taxes for our working families and job creators.,Fight hard to lower taxes for our working families and job creators.
Mike Kelly,-42016,voting-rights,4,"Kelly voted NAY on the 2019 and 2021 For the People Acts (which would have enabled same-day voter registration and expanded ballot access), filed lawsuits to invalidate Pennsylvania's mail-in ballots after 2020, and signed an amicus brief supporting Texas v. Pennsylvania challenging the election. His record aligns with requiring photo ID for voting and regularly updating voter rolls to remove inactive registrations.",https://www.ontheissues.org/PA/Mike_Kelly_Government_Reform.htm,https://en.wikipedia.org/wiki/Mike_Kelly_(Pennsylvania_politician),,,
