full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Mike Haridopolos,,ai-regulation,2,"Haridopolos chairs the House Science subcommittee on Space and Aeronautics and sits on the Financial Services subcommittee covering Digital Assets, Financial Technology, and AI. He applauded cryptocurrency legislation for providing ""smart rules, consumer protections"" while simultaneously cosponsoring the Anti-CBDC Surveillance State Act to prevent government tracking of digital transactions, reflecting a posture of light-touch voluntary guidelines rather than strict regulatory mandates.",https://spacecoastdaily.com/2025/07/congressman-mike-haridopolos-applauds-house-passage-of-key-cryptocurrency-bills-protect-americans-financial-freedoms/,https://en.wikipedia.org/wiki/Mike_Haridopolos,,"America is open for digital asset innovation, and we are going to do it the right way, with smart rules, consumer protections, and a firm commitment to freedom.","America is open for digital asset innovation, and we are going to do it the right way, with smart rules, consumer protections, and a firm commitment to freedom."
Mike Haridopolos,,climate-change,5,"As Florida Senate President in 2012, Haridopolos led the repeal of Florida's cap-and-trade greenhouse gas program and was rated as strongly opposing green energy prioritization. His 2025 budget resolution vote explicitly supported 'unleashing American energy,' prioritizing fossil fuel production over climate policy. As a member of the Republican Study Committee, his record reflects rejection of climate-based energy restrictions in favor of economic growth.",https://www.ontheissues.org/FL/Mike_Haridopolos.htm,https://spacecoastdaily.com/2025/02/congressman-mike-haridopolos-votes-to-pass-house-budget-resolution-lay-the-foundation-to-restore-fiscal-responsibility/,https://en.wikipedia.org/wiki/Mike_Haridopolos,,
Mike Haridopolos,,deportation,4,"Haridopolos declared 'Our Southern Border is in chaos. Illegal immigration is out of control.' in his 2024 candidacy announcement and pledged to 'fight to stop illegal immigration.' He voted five times to fully fund the Department of Homeland Security and framed border enforcement as a national security imperative, reflecting a broad deportation priority ordered by criminal history first.",https://spacecoastdaily.com/2024/04/former-florida-senate-president-mike-haridopolos-declares-candidacy-for-u-s-congress/,https://spacecoastdaily.com/2026/03/rep-mike-haridopolos-requests-pay-be-withheld-amid-department-of-homeland-security-shutdown/,,"Our Southern Border is in chaos. Illegal immigration is out of control.","Our Southern Border is in chaos. Illegal immigration is out of control."
Mike Haridopolos,,fossil-fuels,4,"As Florida Senate President in 2012, Haridopolos led the repeal of Florida's cap-and-trade greenhouse gas program, removing market-based emissions controls. His February 2025 budget resolution vote explicitly cited 'unleashing American energy' as a goal, supporting expanded fossil fuel production. His record reflects support for expanding drilling permits rather than maintaining current levels.",https://www.ontheissues.org/FL/Mike_Haridopolos.htm,https://spacecoastdaily.com/2025/02/congressman-mike-haridopolos-votes-to-pass-house-budget-resolution-lay-the-foundation-to-restore-fiscal-responsibility/,,,
Mike Haridopolos,,healthcare,4,"Haridopolos opposed the ACA as a 'government takeover of healthcare' and supported Florida's Health Care Freedom Act to allow residents to opt out of federal healthcare mandates. In 2017 he stated the 'repeal and replacement of Obamacare will improve care and lower costs.' His stance aligns with limiting government healthcare assistance to the poorest while leaving others to employer and private insurance markets.",https://www.politifact.com/personalities/mike-haridopolos/,https://spacecoastdaily.com/2017/03/mike-haridopolos-qa-citizens-want-to-see-real-changes-in-dc-that-positively-impact-their-lives/,,"the repeal and replacement of Obamacare will improve care and lower costs","the repeal and replacement of Obamacare will improve care and lower costs"
Mike Haridopolos,,immigration,4,"Haridopolos ran in 2024 on stopping illegal immigration and 'tough vetting' for legal entry, calling the border 'in chaos.' He voted five times to fully fund DHS and consistently frames immigration restriction as a national security matter. His 2017 statement — 'We need a tough vetting process to make sure people who enter our nation will not do our citizens harm' — reflects a restrictionist stance favoring reduced immigration and limits on public services for undocumented residents.",https://spacecoastdaily.com/2024/04/former-florida-senate-president-mike-haridopolos-declares-candidacy-for-u-s-congress/,https://spacecoastdaily.com/2017/03/mike-haridopolos-qa-citizens-want-to-see-real-changes-in-dc-that-positively-impact-their-lives/,,"We need a tough vetting process to make sure people who enter our nation will not do our citizens harm","We need a tough vetting process to make sure people who enter our nation will not do our citizens harm"
Mike Haridopolos,,medicare/aid,4,"Haridopolos signed the Cut-Cap-and-Balance pledge in 2012, which requires a balanced budget amendment and deep spending caps that would structurally reduce Medicaid coverage. He voted for the February 2025 House Republican Budget Resolution — the legislative vehicle for the One Big Beautiful Bill, which includes significant Medicaid work requirements and per-capita caps. As a Republican Study Committee member, his pattern aligns with partial privatization and reduced Medicaid coverage.",https://www.ontheissues.org/FL/Mike_Haridopolos.htm,https://spacecoastdaily.com/2025/02/congressman-mike-haridopolos-votes-to-pass-house-budget-resolution-lay-the-foundation-to-restore-fiscal-responsibility/,https://en.wikipedia.org/wiki/Mike_Haridopolos,,
Mike Haridopolos,,misinformation,4,"Haridopolos cosponsored the Anti-CBDC Surveillance State Act, which prevents federal government from issuing a digital currency that could track citizens' transactions, citing a 'firm commitment to freedom' from government overreach. His consistent framing of government intervention in private affairs — whether economic or informational — reflects a posture of protecting free speech online and preventing government censorship rather than mandating platform accountability.",https://spacecoastdaily.com/2025/07/congressman-mike-haridopolos-applauds-house-passage-of-key-cryptocurrency-bills-protect-americans-financial-freedoms/,,,
Mike Haridopolos,,religious-freedom,5,"OTI classifies Haridopolos as 'strongly favoring Christian values as the foundation for America.' As Florida Senate President he advanced socially conservative legislation aligned with faith-based governance. He served as a campaign advisor for Mike Huckabee's 2016 presidential run, whose platform centered on maximum religious liberty for faith institutions. His record reflects support for religious organizations having complete autonomy in their operations.",https://www.ontheissues.org/FL/Mike_Haridopolos.htm,https://spacecoastdaily.com/2015/05/mike-haridopolos-advisor-for-mike-huckabee-national-presidential-campaign/,,,
Mike Haridopolos,,school-vouchers,5,"OTI classifies Haridopolos as 'strongly favoring school choice vouchers.' As Florida Senate President in March 2012, he championed $10 million for school vouchers targeting poor students. He has consistently opposed Common Core while favoring parental choice in education, aligning with the universal voucher position that education funding should follow the student to any school the family chooses.",https://www.ontheissues.org/FL/Mike_Haridopolos.htm,https://en.wikipedia.org/wiki/Mike_Haridopolos,,"I'm also glad to see we are moving away from Common Core","We are moving away from Common Core"
