full_name,politician_id,topic_key,value,reasoning
Calvin R. Musselman,5ad69df3-3a03-45ed-9156-bcac82c93167,abortion,4,"Musselman has stood with his Republican colleagues in supporting Utah's near-total abortion ban. In March 2025, while sponsoring SB 242 to expand IVF coverage for public employees, he explicitly contrasted IVF with abortion: 'the intent of an individual that is pregnant that wants to abort, their intent is to end that pregnancy.' Utah's trigger ban (SB 174, 2020) allows exceptions for rape, incest, and life of the mother — consistent with his support for that framework. — best matches stance 4 (restrict abortion to only cases involving rape, incest, or serious threats to the mother's life)."
Calvin R. Musselman,5ad69df3-3a03-45ed-9156-bcac82c93167,trans-athletes,4,"As a Utah House member, Musselman voted YES on March 25, 2022 to override Governor Cox's veto of HB 11 (Student Eligibility in Interscholastic Activities), the transgender sports ban. The override passed 56-18; Musselman was among the six Weber County Republican representatives who voted for it. However, in 2026 he opposed HB 193 which would have banned public employee insurance from covering transgender healthcare, calling it 'reaching too far' and stating he opposed 'dictating to everybody carte blanche in a blanket policy.' This suggests he supports requiring athletes to compete by biological sex but stops short of complete bans on all transgender-related policies. — best matches stance 4 (require transgender athletes to compete only on teams matching their biological sex assigned at birth)."
Calvin R. Musselman,5ad69df3-3a03-45ed-9156-bcac82c93167,voting-rights,4,"The Utah Senate passed HB 300 (Amendments to Election Law) 19-10 in March 2025, requiring voters to write the last four digits of their ID on mail ballots and phasing out automatic vote-by-mail by 2029. As a Republican senator, Musselman was part of the majority that advanced this bill. The bill required photo ID verification and regularly updates to voter rolls. Governor Cox signed the bill on March 26, 2025. — best matches stance 4 (require photo ID for voting and regularly update voter rolls to remove inactive registrations)."
Calvin R. Musselman,5ad69df3-3a03-45ed-9156-bcac82c93167,school-vouchers,4,"In 2023, the Utah House passed HB 215 (Funding for Teacher Salaries and Optional Education Opportunities) 54-20, creating the Utah Fits All universal voucher scholarship. Musselman was a Republican House member at the time; the bill passed mostly along party lines with only seven Republicans voting no. In 2024, Musselman served as House floor sponsor of SB 268 (First Home Investment Zone Act) and worked with Rep. Pierucci who later defended the voucher program. No evidence of Musselman opposing HB 215 or the voucher program. — best matches stance 4 (expanding voucher eligibility to most families so parents can choose the school that best fits their child, while maintaining baseline public school funding)."
Calvin R. Musselman,5ad69df3-3a03-45ed-9156-bcac82c93167,homelessness,4,"Musselman was Senate sponsor of HB 266 (Veteran Housing Amendments, 2025), requiring state agencies to collaborate on homelessness services for veterans. He co-sponsored SB 268 (2024) to create affordable housing investment zones. While he supported housing-oriented approaches, Utah also passed graduated enforcement anti-camping legislation (HB 465, 2025) with broad Republican support in a chamber where Musselman sat. His veteran housing bill pairs shelter development with enforcement, consistent with a conditional-shelter, prohibit-encampments framework. — best matches stance 4 (prohibiting encampments on public property with graduated warnings and penalties, while requiring jurisdictions to maintain basic shelter options)."
Calvin R. Musselman,5ad69df3-3a03-45ed-9156-bcac82c93167,taxes,4,"Musselman cosponsored HB 54 (2023) — the largest tax cut in Utah history ($400M), reducing the income tax rate from 4.85% to 4.65% and eliminating sales tax on food. As a state senator he supported HB 106 (2025), which passed the Senate 23-6, further cutting income tax from 4.55% to 4.5%. He has also sponsored a tax on porn site subscriptions earmarked for youth mental health. His record reflects consistent support for income tax rate reductions and broad tax cuts for individuals and businesses. — best matches stance 4 (cut taxes for everyone and scale back public services to match)."
Calvin R. Musselman,5ad69df3-3a03-45ed-9156-bcac82c93167,immigration,4,"Musselman sponsored SB 90 (2025), requiring mandatory jail sentences (90–360 days) for undocumented immigrants who reenter after deportation and commit drug or theft crimes; the bill passed the Senate unanimously. He initially voted against Rep. Pierucci's HB 226 deportation enforcement bill due to concerns about overreach affecting legal immigrants, then changed his vote after it was narrowed to focus on misdemeanor offenses. His position targets criminal undocumented immigrants while expressing reluctance to sweep in those with legal status. — best matches stance 4 (make it harder to immigrate legally and limit public services to people with legal status)."
Calvin R. Musselman,5ad69df3-3a03-45ed-9156-bcac82c93167,deportation,4,"Musselman sponsored SB 90 (2025) requiring mandatory jail sentences before deportation for criminal recidivist undocumented immigrants, passing 22-0 in the Senate. He described the target as people 'clearly tied to organized crime' and said the bill aimed to 'stop that revolving door.' He also eventually voted for HB 226 coordinating local law enforcement with ICE for deportation of those convicted of certain misdemeanors — but only after it was narrowed to exclude legal immigrants. He supports deportation starting with criminal records. — best matches stance 4 (deport everyone without legal status, starting with those who have criminal records)."
Calvin R. Musselman,5ad69df3-3a03-45ed-9156-bcac82c93167,data-centers,3,"Musselman voted for SB 132 (2025) on the Senate's second reading (22-1), which requires data centers using 100+ MW to either receive utility service or procure their own power supply, while making data centers pay for infrastructure upgrades and transmission costs. This addresses community energy impact through cost-sharing agreements and impact assessments before approval, rather than imposing a moratorium or welcoming investment with minimal barriers. — best matches stance 3 (allowing data center development with impact assessments, energy cost-sharing agreements, and community benefit requirements before approval)."
Calvin R. Musselman,5ad69df3-3a03-45ed-9156-bcac82c93167,healthcare,3,"Musselman sponsored SB 242 (2025) requiring Utah's Public Employees' Benefit and Insurance Program (PEHP) to provide full coverage for IVF treatment, expanding government-administered health benefits. He also acknowledged being normally skeptical of mandating insurance coverage, noting 'I'm maybe one of the hardcore guys up here when it comes to bills that affect insurance rates. Generally, I vote against quite a lot of them.' This suggests he generally supports a limited-government approach to healthcare but accepts targeted expansions for specific populations. — best matches stance 3 (help people who can't afford care and expand programs for seniors and low-income residents, while keeping private insurance for everyone else)."
