external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-261302,Donavan McKinney,abortion,1,"Campaign platform pledges to codify abortion rights at the federal level, protect medication abortion access nationwide, and repeal the Hyde Amendment via the EACH Act; his Medicare for All plan explicitly covers reproductive/abortion care, matching legal, accessible, and publicly funded abortion at all stages of pregnancy.",https://www.donavanforcongress.com/priorities,https://ballotpedia.org/Donavan_McKinney,,"codify abortion rights at the federal level","codify abortion rights at the federal level"
-261302,Donavan McKinney,campaign-finance,2,"As a Michigan state representative McKinney sponsored bipartisan legislation banning monopoly utilities (DTE Energy, Consumers Energy) and government contractors from making political contributions, and his congressional platform opposes the Citizens United decision and corporate PAC influence -- consistent with strictly limiting corporate donations and dark money rather than an outright ban on all private campaign money.",https://ballotpedia.org/Donavan_McKinney,https://www.bridgedetroit.com/bernie-sanders-backed-challenger-takes-on-thanedar-in-13th-district-race/,,"You have to follow what you preach.","You have to follow what you preach."
-261302,Donavan McKinney,civil-rights,2,"McKinney sponsored HB 4062 as a state representative, creating housing-discrimination protections based on source of income, and his congressional platform frames abortion access explicitly as an economic and racial justice issue -- evidence of strengthening anti-discrimination enforcement rather than mandating equity quotas/reparations or rolling back existing civil rights law.",https://ballotpedia.org/Donavan_McKinney,https://www.donavanforcongress.com/priorities,,,
-261302,Donavan McKinney,climate-change,2,"Campaign platform explicitly endorses a 'Green New Deal transitioning to 100% clean and renewable energy' and creating millions of green union jobs, reflecting the rapid-transition-and-phase-out-fossil-fuels approach associated with the Green New Deal, which he previously advanced as national political director for Climate Power.",https://www.donavanforcongress.com/priorities,https://ballotpedia.org/Donavan_McKinney,,"Green New Deal transitioning to 100% clean and renewable energy","Green New Deal transitioning to 100% clean and renewable energy"
-261302,Donavan McKinney,deportation,1,"Platform explicitly opposes 'mass deportations, internment camps,' calls for shutting down for-profit detention centers, and supports a pathway to citizenship for all immigrants including those currently undocumented -- aligning with stopping deportations and protecting undocumented residents from removal.",https://www.donavanforcongress.com/priorities,https://ballotpedia.org/Donavan_McKinney,,"pathway to citizenship for all immigrants","pathway to citizenship for all immigrants"
-261302,Donavan McKinney,healthcare,1,"McKinney's central healthcare platform is 'Medicare for All, which would ensure everyone in this country has healthcare,' covering dental, vision, mental health, reproductive, and long-term care -- a fully public, universal system. He reinforced this in a 2026 interview describing the lack of universal coverage as 'absurd.'",https://www.donavanforcongress.com/priorities,https://www.bridgedetroit.com/bernie-sanders-backed-challenger-takes-on-thanedar-in-13th-district-race/,,"I think everybody has a right to healthcare in this country. We live in the wealthiest country in the world, and we're sending money overseas to do God knows what, but we don't have enough to make sure that people have the care they need here. I think it's absurd.","Everybody has a right to healthcare in this country. We live in the wealthiest country in the world, and we're sending money overseas to do God knows what, but we don't have enough to make sure that people have the care they need here. It's absurd."
-261302,Donavan McKinney,housing,1,"Campaign platform calls for a 'national homes guarantee' providing safe, sustainable, and permanently affordable housing, nationwide rent control, just-cause eviction protections, a federal right to counsel for renters, and repeal of the Faircloth Amendment (which bars construction of new public housing units) -- consistent with direct government provision of public housing for anyone who needs it.",https://www.donavanforcongress.com/priorities,https://ballotpedia.org/Donavan_McKinney,,"safe, sustainable, and permanently affordable housing","safe, sustainable, and permanently affordable housing"
-261302,Donavan McKinney,immigration,1,"Platform explicitly supports a pathway to citizenship for all immigrants -- including undocumented residents -- opposes mass deportations and for-profit detention, and calls for reforming asylum processes to support refugees, matching the most welcoming end of the immigration scale.",https://www.donavanforcongress.com/priorities,https://ballotpedia.org/Donavan_McKinney,,"pathway to citizenship for all immigrants","pathway to citizenship for all immigrants"
-261302,Donavan McKinney,medicare/aid,1,"McKinney's core healthcare platform is Medicare for All, expanding Medicare-style coverage to every American regardless of age, including dental, vision, mental health, and long-term care services.",https://www.donavanforcongress.com/priorities,https://ballotpedia.org/Donavan_McKinney,,"Medicare for All, which would ensure everyone in this country has healthcare","Medicare for All, which would ensure everyone in this country has healthcare"
-261302,Donavan McKinney,taxes,1,"Campaign platform calls for the 'ultra-wealthy...to pay their fair share,' supports taxing billionaires and large corporations to fund community investments including Medicare for All, tuition-free college, and a housing guarantee, and backs a universal basic income -- consistent with significantly raising taxes on the wealthy and large companies to fund expanded public services.",https://www.donavanforcongress.com/priorities,https://ballotpedia.org/Donavan_McKinney,,,
-261302,Donavan McKinney,ukraine-support,4,"In a 2026 interview McKinney said, 'We're underfunding a lot of issues here at home, and so until we fix that, I can't support military aid,' and his platform opposes 'bottomless and unconditional funding of weapons,' calling instead for redirecting Pentagon spending to domestic needs and prioritizing diplomacy -- consistent with reducing foreign military aid to focus resources on domestic priorities rather than an explicit call to end all Ukraine aid immediately.",https://www.bridgedetroit.com/bernie-sanders-backed-challenger-takes-on-thanedar-in-13th-district-race/,https://www.donavanforcongress.com/priorities,,"We're underfunding a lot of issues here at home, and so until we fix that, I can't support military aid.","We're underfunding a lot of issues here at home, and so until that's fixed, I can't support military aid."
