external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-4009,Paul Gosar,abortion,4,"Gosar identifies as pro-life and co-sponsored the Pain-Capable Unborn Child Protection Act (20-week ban) with exceptions for rape, incest, and maternal life. He co-sponsored criminal-penalty provisions targeting providers who perform sex-selective abortions (PRENDA) but explicitly exempted women from prosecution. He opposes federal abortion funding and praised the overturning of Roe v. Wade.",https://www.ontheissues.org/House/Paul_Gosar_Abortion.htm,https://en.wikipedia.org/wiki/Paul_Gosar,,"Life begins at conception and that is why I am Pro-Life.","Life begins at conception and that is why I am Pro-Life."
-4009,Paul Gosar,campaign-finance,4,"Gosar voted against the For the People Act, which included public campaign financing and stricter limits on dark money. He co-sponsored the STOCK Act for narrow insider-trading disclosure but opposed Corporate Transparency Act requirements. His record consistently favors reducing rather than expanding campaign finance restrictions.",https://www.ontheissues.org/House/Paul_Gosar_Government_Reform.htm,https://www.ontheissues.org/House/Paul_Gosar_Corporations.htm,,,,
-4009,Paul Gosar,childcare,5,"Gosar has a consistent record opposing federal government spending programs and mandates. He voted against major COVID-relief packages and supports eliminating regulatory burdens. No evidence of support for childcare subsidies or mandates; his free-market, anti-spending philosophy aligns with leaving childcare to private markets and families.",https://www.ontheissues.org/House/Paul_Gosar_Budget_+_Economy.htm,https://www.ontheissues.org/House/Paul_Gosar.htm,,,,
-4009,Paul Gosar,civil-rights,5,"Gosar opposes affirmative action and race-based programs, voted against the George Floyd Justice in Policing Act, opposed the Combating International Islamophobia Act, and opposed the Equal Rights Amendment deadline extension. He has keynoted white nationalist conferences and opposes systemic discrimination frameworks.",https://en.wikipedia.org/wiki/Paul_Gosar,https://www.ontheissues.org/House/Paul_Gosar_Civil_Rights.htm,https://www.ontheissues.org/House/Paul_Gosar_Crime.htm,,,
-4009,Paul Gosar,climate-change,5,"Gosar signed the No Climate Tax Pledge and consistently opposes climate legislation. He voted to bar EPA greenhouse gas regulation, introduced articles to impeach the EPA administrator, and scored only 3% lifetime on the LCV environmental scorecard. He boycotted Pope Francis's address to Congress due to climate change comments and has called himself a climate skeptic.",https://www.lcv.org/congressional-scorecard/moc/paul-gosar,https://en.wikipedia.org/wiki/Paul_Gosar,https://www.ontheissues.org/House/Paul_Gosar_Energy_+_Oil.htm,,,
-4009,Paul Gosar,deportation,5,"Gosar proposed a 10-year immigration moratorium, co-sponsored the Birthright Citizenship Act targeting anchor babies, signed a letter protesting release of any detained immigrants as 'unprecedented and dangerous,' and has called himself 'one of the staunchest opponents in Congress to legalizing undocumented dreamers.' His record reflects a blanket opposition to any amnesty regardless of length of residency.",https://www.ontheissues.org/House/Paul_Gosar_Immigration.htm,https://en.wikipedia.org/wiki/Paul_Gosar,,"I strongly believe we need to immediately secure our border and oppose amnesty for anyone who blatantly violates our law.","We need to immediately secure our border and oppose amnesty for anyone who blatantly violates our law."
-4009,Paul Gosar,fossil-fuels,5,"Gosar voted YES to expand Outer Continental Shelf oil drilling, voted to bar EPA from regulating greenhouse gas emissions, co-sponsored legislation exempting mining and logging operations from EPA permits, scored 0% from the Humane Society and 3% lifetime LCV, and signed the No Climate Tax Pledge. He advocates maximum domestic energy production with minimum environmental regulatory constraint.",https://www.ontheissues.org/House/Paul_Gosar_Energy_+_Oil.htm,https://www.lcv.org/congressional-scorecard/moc/paul-gosar,https://www.ontheissues.org/House/Paul_Gosar_Environment.htm,,,
-4009,Paul Gosar,healthcare,4,"Gosar voted to repeal the ACA, opposes government-run healthcare, and voted YES on the Ryan Budget which would partially privatize Medicare into a premium-support/voucher system. He opposes federal vaccine mandates and supports consumer choice. He has not advocated for fully eliminating all public healthcare programs, placing him at 4 rather than 5.",https://www.ontheissues.org/House/Paul_Gosar_Health_Care.htm,https://www.ontheissues.org/House/Paul_Gosar.htm,,,,
-4009,Paul Gosar,immigration,5,"Gosar has proposed a 10-year moratorium on immigration, co-sponsored legislation to eliminate birthright citizenship, voted to ban DACA recipients from military service, opposes all amnesty pathways, and supports cutting public services to undocumented immigrants (SNAP Verify Act requiring photo ID). He advocates stopping most legal immigration and blocking public services for anyone without legal status.",https://www.ontheissues.org/House/Paul_Gosar_Immigration.htm,https://en.wikipedia.org/wiki/Paul_Gosar,,"I strongly believe we need to immediately secure our border and oppose amnesty for anyone who blatantly violates our law.","We need to immediately secure our border and oppose amnesty for anyone who blatantly violates our law."
-4009,Paul Gosar,medicare/aid,4,"Gosar voted YES on the Ryan Budget, which proposed converting Medicare into a choice-based premium-support system — effectively partial privatization — while significantly reducing Medicaid coverage. He has not called for fully phasing out both programs, placing him at 4 (partial privatization and Medicaid reduction) rather than 5.",https://www.ontheissues.org/House/Paul_Gosar_Health_Care.htm,https://www.ontheissues.org/House/Paul_Gosar_Budget_+_Economy.htm,,,,
-4009,Paul Gosar,misinformation,5,"Gosar voted NO on the Save the Internet Act (net neutrality) and opposes government involvement in regulating online content. He has spread election misinformation himself and his record reflects a strong anti-regulatory stance on internet and speech. His opposition to the Protecting Our Democracy Act and history of censuring government content regulation aligns with banning government involvement in content moderation.",https://www.ontheissues.org/House/Paul_Gosar_Technology.htm,https://en.wikipedia.org/wiki/Paul_Gosar,,,,
-4009,Paul Gosar,redistricting,5,"Gosar voted against the For the People Act, which required states to establish independent, nonpartisan redistricting commissions. He favors state legislative control over redistricting without independent oversight, consistent with the party-controlled map drawing stance.",https://www.ontheissues.org/House/Paul_Gosar_Government_Reform.htm,https://www.ontheissues.org/House/Paul_Gosar_Principles_+_Values.htm,,,,
-4009,Paul Gosar,religious-freedom,5,"Gosar co-sponsored the First Amendment Defense Act allowing refusal of services to same-sex couples on religious grounds, co-sponsored a 'Ten Commandments Weekend' resolution, and opposes any limits on religious organizations' autonomy. He consistently prioritizes religious exemptions over anti-discrimination protections.",https://www.ontheissues.org/House/Paul_Gosar_Civil_Rights.htm,https://www.ontheissues.org/House/Paul_Gosar_Principles_+_Values.htm,,,,
-4009,Paul Gosar,same-sex-marriage,5,"Gosar supports a Constitutional amendment to ban same-sex marriage, co-sponsored the State Marriage Defense Act letting states define marriage to exclude same-sex couples for federal purposes, backed the First Amendment Defense Act to protect religiously motivated refusal of services to same-sex couples, and voted against the Respect for Marriage Act in 2022.",https://www.ontheissues.org/House/Paul_Gosar_Civil_Rights.htm,https://en.wikipedia.org/wiki/Paul_Gosar,,,,
-4009,Paul Gosar,school-vouchers,4,"Gosar voted YES on the SOAR Act reauthorizing the DC Opportunity Scholarship voucher program for low-income students, supported block grants allowing states to spend federal education funds flexibly (A-PLUS Act), and co-sponsored a resolution opposing Common Core. His record supports expanded parental choice and vouchers for most families while opposing federal mandates — consistent with stance 4.",https://www.ontheissues.org/House/Paul_Gosar_Education.htm,,,,
