cd,geo_id,full_name,party_from_field,role,decision,assign_external_id,is_incumbent,source
1,5501,"Bryan Steil",Republican,R,REUSE,-55001,true,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
1,5501,"Miguel Aranda",Democratic,D,NEW,-550101,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
1,5501,"Mitchell Berman",Democratic,D,NEW,-550102,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
1,5501,"Peter Burgelis",Democratic,D,NEW,-550103,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
1,5501,"Lorenzo Santos",Democratic,D,NEW,-550104,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
2,5502,"Mark Pocan",Democratic,D,REUSE,-55002,true,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
2,5502,"Douglas Alexander",Democratic,D,NEW,-550201,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
3,5503,"Derrick Van Orden",Republican,R,REUSE,-55003,true,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
3,5503,"Emily Berge",Democratic,D,NEW,-550301,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
3,5503,"Rebecca Cooke",Democratic,D,NEW,-550302,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
3,5503,"Rustin Provance",Independent,IND,NEW,-550303,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia/local news (postcrescent.com, wxow.com) independent/minor-party filing; provisional pre-primary field, cull >= 2026-08-12"
4,5504,"Gwen Moore",Democratic,D,REUSE,-55004,true,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
4,5504,"Amy Donahue",Democratic,D,NEW,-550401,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
4,5504,"Purnima Nath",Republican,R,NEW,-550402,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
4,5504,"Tim Rogers",Republican,R,NEW,-550403,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
4,5504,"Arthur Burks",Independent,IND,NEW,-550404,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia/local news (postcrescent.com, wxow.com) independent/minor-party filing; provisional pre-primary field, cull >= 2026-08-12"
5,5505,"Scott Fitzgerald",Republican,R,REUSE,-55005,true,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
5,5505,"Andrew Beck",Democratic,D,NEW,-550501,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
6,5506,"Glenn Grothman",Republican,R,REUSE,-55006,true,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
6,5506,"Amanda Bell",Democratic,D,NEW,-550601,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
6,5506,"Brad Smith",Democratic,D,NEW,-550602,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
6,5506,"Matthew Arndt",Green,G,NEW,-550603,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia/local news (postcrescent.com, wxow.com) independent/minor-party filing; provisional pre-primary field, cull >= 2026-08-12"
6,5506,"Elizabeth Fitzgibbon",Independent,IND,NEW,-550604,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia/local news (postcrescent.com, wxow.com) independent/minor-party filing; provisional pre-primary field, cull >= 2026-08-12"
6,5506,"Michael Thurow",Independent,IND,NEW,-550605,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia/local news (postcrescent.com, wxow.com) independent/minor-party filing; provisional pre-primary field, cull >= 2026-08-12"
7,5507,"Thomas P. Tiffany",Republican,R,REUSE-NO-ROW,-55007,true,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
7,5507,"Michael Alfonso",Republican,R,NEW,-550701,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
7,5507,"Niina Baum",Republican,R,NEW,-550702,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
7,5507,"Jessi Ebben",Republican,R,NEW,-550703,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
7,5507,"Kevin Hermening",Republican,R,NEW,-550704,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
7,5507,"Chris Armstrong",Democratic,D,NEW,-550705,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
7,5507,"Fred Clark",Democratic,D,NEW,-550706,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
7,5507,"Ginger Murray",Democratic,D,NEW,-550707,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
8,5508,"Tony Wied",Republican,R,REUSE,-55008,true,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
8,5508,"Rick Crosson",Democratic,D,NEW,-550801,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
8,5508,"Katrina deVille",Democratic,D,NEW,-550802,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
8,5508,"Mark Scheffler",Democratic,D,NEW,-550803,false,"160-field-table-p163.csv (WI rows), sourced from Wikipedia 2026 US House elections in Wisconsin; provisional pre-primary field, cull >= 2026-08-12"
