full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Gregory W. Meeks,,abortion,1,"Meeks has voted NO on every abortion restriction presented to him over his career — including bans on partial-birth abortion, restricting interstate transport of minors for abortions, and banning federal health coverage including abortion. He holds a 100% NARAL rating and 0% NRLC rating, and has stated support for publicly funded abortion access.",https://www.ontheissues.org/NY/Gregory_Meeks.htm,,,"""Funding abortion avoids discrimination against poor women""","Funding abortion avoids discrimination against poor women"
Gregory W. Meeks,,campaign-finance,2,"Meeks voted YES on banning soft-money contributions (Feb 2002) and has called for public financing of federal campaigns through a voter voucher system. He supports strictly limiting corporate and dark-money influence while enabling public campaign funding, placing him at a strong reform position short of a total ban on private money.",https://www.ontheissues.org/NY/Gregory_Meeks.htm,,,"""Public financing of federal campaigns by voter vouchers""","Public financing of federal campaigns by voter vouchers"
Gregory W. Meeks,,civil-rights,2,"Meeks holds a 92% NAACP rating and has consistently voted to strengthen civil rights enforcement, opposing the end of affirmative action in college admissions (NO vote May 1998) and supporting ENDA employment protections for LGBTQ individuals (Jun 2009). He has called ending racial profiling part of the fight for justice.",https://www.ontheissues.org/NY/Gregory_Meeks.htm,,,"""Ending racial profiling is part of fight for justice""","Ending racial profiling is part of fight for justice"
Gregory W. Meeks,,climate-change,2,"Meeks endorsed the Green New Deal calling for a ""10-year national mobilization"" (Feb 2019), holds a 90% LCV rating, and has voted consistently against fossil fuel expansion — opposing ANWR drilling, offshore oil drilling in the Gulf of Mexico (Jul 2016), and for enforcing CO2 limits (Jun 2009). His Green New Deal support aligns with rapidly transitioning to clean energy.",https://www.ontheissues.org/NY/Gregory_Meeks.htm,,,"""Green New Deal: 10-year national mobilization""","Green New Deal: 10-year national mobilization"
Gregory W. Meeks,,deportation,2,"Meeks holds a 0% rating from both FAIR and USBC, indicating a strongly pro-immigrant stance. He voted NO on reporting illegal aliens who receive hospital treatment (May 2004), opposed the border fence, and has supported legalizing DREAMer immigrants. His record consistently opposes aggressive deportation enforcement.",https://www.ontheissues.org/NY/Gregory_Meeks.htm,,,"""Let illegal alien children attend school""","Let illegal alien children attend school"
Gregory W. Meeks,,fossil-fuels,2,"Meeks voted NO on opening the Outer Continental Shelf to oil drilling (May 2011), YES on removing oil and gas exploration subsidies (Jan 2007), YES on banning offshore oil drilling in the Gulf of Mexico (Jul 2016), and NO on the Bush-Cheney national energy policy (Nov 2003). His consistent record opposes new fossil fuel permitting.",https://www.ontheissues.org/NY/Gregory_Meeks.htm,,,,
Gregory W. Meeks,,healthcare,2,"Meeks has consistently voted to expand coverage through the ACA and public programs — voting YES on expanding SCHIP (Oct 2007), YES on required Medicare Rx price negotiation (Jan 2007), and defending the ACA against repeal (Feb 2015). His 88% APHA rating reflects broad support for a mixed public-private coverage system.",https://www.ontheissues.org/NY/Gregory_Meeks.htm,,,"""GOP can't beat ObamaCare, so they pretend it's a 'disaster'""","The other side can't beat this law, so they pretend it's a 'disaster'"
Gregory W. Meeks,,housing,3,"Meeks voted YES on $70M for Section 8 housing vouchers (Jun 2006) and YES on revitalizing severely distressed public housing (Jan 2008), and voted NO on terminating the Home Affordable Mortgage Program (Mar 2011). His record shows targeted federal housing assistance — subsidies and vouchers for lower-income residents — rather than a broad public housing guarantee or rent control mandate.",https://www.ontheissues.org/NY/Gregory_Meeks.htm,,,,
Gregory W. Meeks,,immigration,2,"Meeks holds a 0% rating from FAIR, voted to legalize DREAMer immigrants via military service (Jun 2016), supports increasing both high-skill and family-based visa caps (Sep 2019), and has called for disallowing religion-based immigration bans (Apr 2021). His record reflects keeping legal immigration broadly open and extending public services regardless of status.",https://www.ontheissues.org/NY/Gregory_Meeks.htm,,,"""Increase both high-skill and family-based visa caps""","Increase both high-skill and family-based visa caps"
Gregory W. Meeks,,medicare/aid,2,"Meeks voted YES on expanding SCHIP to cover 6 million more children (Jan 2008), YES on requiring negotiated prescription drug prices for Medicare (Jan 2007), and voted to override the presidential veto of Medicare expansion (Jul 2008). He holds a 98% ARA rating and consistently opposes Medicare privatization.",https://www.ontheissues.org/NY/Gregory_Meeks.htm,,,,
Gregory W. Meeks,,religious-freedom,2,"Meeks holds only a 7% rating from the Christian Coalition and voted NO on treating religious organizations equally for tax breaks (Jul 2001). He has supported anti-discrimination protections for LGBTQ individuals in employment and schools, indicating he places civil rights protections above broad religious exemptions.",https://www.ontheissues.org/NY/Gregory_Meeks.htm,,,,
Gregory W. Meeks,,same-sex-marriage,1,"Meeks voted NO on constitutionally defining marriage as one-man-one-woman (Jul 2006), holds an 88% HRC rating, and has supported ENDA employment protections for LGBTQ individuals (Jun 2009). He voted NO on banning gay adoptions in DC (Jul 1999). His overall voting record reflects support for requiring full federal recognition of same-sex marriages.",https://www.ontheissues.org/NY/Gregory_Meeks.htm,,,,
Gregory W. Meeks,,school-vouchers,1,"Meeks has explicitly stated opposition to private and religious school voucher programs (Oct 2015), voted NO on the DC opportunity scholarship program (Mar 2011), and voted NO on allowing vouchers in DC schools (Aug 1998). He holds a 100% NEA rating, reflecting strong support for fully funding public schools.",https://www.ontheissues.org/NY/Gregory_Meeks.htm,,,"""Oppose private and religious school voucher programs""","Oppose private and religious school voucher programs"
Gregory W. Meeks,,social-security,2,"Meeks holds a 98% ARA (pro-Social Security) rating, has explicitly stated ""Reject privatization; don't raise the retirement age"" (Aug 2010), and voted YES on strengthening the Social Security Lockbox (May 1999). His record shows strong opposition to any cuts or restructuring and consistent support for protecting and modestly strengthening the program.",https://www.ontheissues.org/NY/Gregory_Meeks.htm,,,"""Reject privatization; don't raise the retirement age""","Reject privatization; don't raise the retirement age"
Gregory W. Meeks,,tariffs,3,"Meeks has voted YES on multiple free trade agreements (CAFTA, USMCA, Chile, Singapore, Australia, Peru) while also sponsoring sugar quota and import tariff legislation to stabilize prices for specific industries (Jun 2013). He supports a ""rule-based global trading system"" — selective tariff use to protect key industries rather than broad free trade or high blanket tariffs.",https://www.ontheissues.org/NY/Gregory_Meeks.htm,,,"""Build a rule-based global trading system""","Build a rule-based global trading system"
Gregory W. Meeks,,taxes,1,"Meeks holds a 100% CTJ (progressive taxation) rating and has voted NO on every major Bush-era tax cut — opposing capital gains reductions (Dec 2005), eliminating the estate tax (Apr 2001), and the full $958B tax cut package (May 2001). He has called for raising the estate tax to 1990s levels to generate $448B in revenue (Apr 2015).",https://www.ontheissues.org/NY/Gregory_Meeks.htm,,,"""Raising estate tax to 1990s level means $448B in new revenue""","Raising estate tax to 1990s level means $448B in new revenue"
Gregory W. Meeks,,ukraine-support,2,"As Ranking Member of the House Foreign Affairs Committee (and former Chair), Meeks was a leading advocate for continuing U.S. military and economic aid to Ukraine following Russia's 2022 invasion. He voted with the Biden administration 100% of the time (117th Congress per FiveThirtyEight), which included advancing Ukraine aid packages. He supported sanctions on Russia and continued weapons transfers.",https://en.wikipedia.org/wiki/Gregory_Meeks,https://www.ontheissues.org/NY/Gregory_Meeks.htm,,,
Gregory W. Meeks,,voting-rights,1,"Meeks stated ""No photo IDs to vote; they suppress the vote"" (Jun 2014), called for ""Automatic voter registration for all citizens"" (Mar 2015), sponsored a bill to expand voter registration and voter access (Feb 2021), and advocated for an election-day holiday to revamp easier voting access (Mar 2019). His record consistently supports automatic registration and maximum voting access.",https://www.ontheissues.org/NY/Gregory_Meeks.htm,,,"""No photo IDs to vote; they suppress the vote""","No photo IDs to vote; they suppress the vote"
