class,proposed_action,name,district,agent_class,confidence,years,evidence_url,evidence_quote,searched,note,id
A1 REAL - current member (verified on board page),clear party only,Bob Jensen,William S. Hart Union High School District,REAL_CURRENT,high,2009-present (TA2; term ends Dec 2026),https://www.hartdistrict.org/apps/pages/index.jsp?uREC_ID=317470&type=d&pREC_ID=725071,"Bob Jensen, CPA Trustee Area No. 2 representative Assistant Clerk ... current term 2022 - 2026",current board page; RR/CC 2018 and 2022 [E]; Wayback 2015-2026,"Still sits today. Did not file for 2026, so leaves office Dec 2026.",d304c0d7-f0ad-49fd-8252-87e86ca93c53
A1 REAL - current member (verified on board page),clear party only,Cherise Moore,William S. Hart Union High School District,REAL_CURRENT,high,2017-present (TA3),https://www.hartdistrict.org/apps/pages/index.jsp?uREC_ID=317470&type=d&pREC_ID=725071,"Cherise Moore, PhD Trustee Area No. 3 representative Member ... current term 2022 - 2026","current board page; RR/CC 2018 [A], 2022 [E], 2026 in-lieu list; Wayback 2017-2026",Still sits today; re-seated in lieu Dec 2026 (sole candidate).,41076964-edd9-4e7b-866f-79680545bb2c
A1 REAL - current member (verified on board page),clear party only,Joe Messina,William S. Hart Union High School District,REAL_CURRENT,high,2009-present (TA5),https://www.hartdistrict.org/apps/pages/index.jsp?uREC_ID=317470&type=d&pREC_ID=725071,Joe Messina Trustee Area No. 5 representative President ... current term 2022 - 2026,current board page; RR/CC 2018 and 2022 [E]; Wayback 2015-2026,Still sits today; on Nov 2026 ballot vs Stacy Fortner.,4cee37b3-76a5-40f8-ad03-f30be18886aa
A2 REAL - former member (positive evidence),clear party; keep active; is_incumbent false; tag term verified,Jeff Baird,Whittier Union High School District,REAL_FORMER,high,Dec 1997 - Dec 2022,https://www.whittierdailynews.com/2022/08/21/two-longtime-whittier-union-board-members-will-not-seek-reelection/,"Then, in the November 1997 election, challengers Leighton Anderson, Jeff Baird and Alex Morales were elected ... Anderson and Baird have remained on the board, but that changes this fall, with their decision not to seek re-election in November.",WDN 2022-08-21 and 2007-09-05 articles; RR/CC 3752 (2017-11 JEFF BAIRD [E]); BoardDocs WUHSD rosters Aug 2012 - Oct 2022 (on every one; President in Jan 2015); absent from Jan 2023 roster.,"Real former WUHSD trustee, about 25 years. Last term ended Dec 2022; his seat (TA5) went to Gary Mendez (WDN: Bejarano and Mendez 'are running for Baird's seat'). End him as FORMER. Not the same as Jan Baird (South Whittier SD) or Thomas Baird (East Whittier SD).",84c5018c-bd47-41df-8192-64d1ace15712
"C DISPROVED - documented in another office; archive+delete term, deactivate",archive + delete term; deactivate; clear party,Colleen Hawkins,Castaic Union School District,DISPROVED,medium,,https://web.archive.org/web/2022/https://www.saugususd.org/our-administration,"Colleen Hawkins, Ed.D. Superintendent chawkins@saugususd.org 661-294-5300","Castaic rosters and RR/CC (absent); Saugus USD administration page (Wayback 2022); Ballotpedia Saugus USD page: ""Colleen Hawkins is the superintendent of the Saugus Union School District. Hawkins was appointed superintendent effective July 1, 2018.""","She is the (former) superintendent of the neighboring Saugus Union SD in the same Santa Clarita Valley, not a Castaic trustee. Saugus's current superintendent is Robert Hernandez. Identity match is by name + local education role; never on any Castaic roster.",823e3a9a-f135-4014-91cf-2b947f03f256
"C DISPROVED - documented in another office; archive+delete term, deactivate",archive + delete term; deactivate; clear party,Arturo Flores,Centinela Valley Union High School District,DISPROVED,medium,,https://www.hpca.gov/directory.aspx?EID=177,Council Member Arturo Flores joined the Huntington Park City Council in 2022 and was selected by his colleagues in March 2025 to serve as Mayor.,"current board page; Wayback rosters 2009/2012/2015/2017/2019/2023/2024 (see roster_history) + current page; RR/CC lists 2017-2026 (all LA County contests in scratchpad rrcc/*.html: name absent); bing.sh degraded (returns results for first word only, e.g. 'Arturo' restaurants); brave.sh CAPTCHA-blocked; DDG-lite worked for 2 queries then 403/406/CAPTCHA; WebSearch quota (3) spent on Lennox vacancy, SSSD names, Lawndale names; DB row photo_origin_url (read-only query) = https://www.hpca.gov/Directory/Home/SingleStaff?EID=177; DDG '""Arturo Flores"" Centinela school board' -> only Modesto City Schools ex-superintendent, Huntington Park councilmember, 2020 LACCD Seat 7 candidate","The DB headshot was taken from the Huntington Park City Council page, so this row depicts the Huntington Park councilmember/mayor (not in the Centinela district, ~8 mi away). RR/CC 4316 (2024-03) also lists 'ARTURO FLORES Councilman, City of Huntington Park'. No Arturo Flores on any Centinela roster 2009-2026 or Centinela RR/CC list 2018-2026. The headshot must be removed with the row.",9f43110f-23e1-45ab-b264-9f079720892f
"C DISPROVED - documented in another office; archive+delete term, deactivate",archive + delete term; deactivate; clear party,Thomas Bakaly,Hermosa Beach City School District,DISPROVED,medium,,https://web.archive.org/web/20150209174223/http://hermosabch.org/index.aspx?page=113,City of Hermosa Beach City Manager: Tom Bakaly,"current board page; Wayback rosters 2009/2011/2022/2023/2024/2026 (2012-2020 hbcsd.org captures are all 403, not readable); RR/CC lists 2017-2026 (name absent); hermosabeach.gov council/departments/commissions pages (absent); Ballotpedia HBCSD pages; bing.sh degraded (returns results for first word only, e.g. 'Arturo' restaurants); brave.sh CAPTCHA-blocked; DDG-lite worked for 2 queries then 403/406/CAPTCHA; WebSearch quota (3) spent on Lennox vacancy, SSSD names, Lawndale names; Wayback of City of Hermosa Beach City Manager page (2014)","Tom Bakaly was the City of Hermosa Beach City Manager (appointed city executive), same city. Not on any school board roster seen or any RR/CC list. Page 'Last updated: 2/7/2014'.",9515abde-bac7-427b-88e9-9c866dc0a968
"C DISPROVED - documented in another office; archive+delete term, deactivate",archive + delete term; deactivate; clear party,Margarita Rios,Little Lake City School District,NO_EVIDENCE,high,,,,"(1) current board page; (2) Little Lake rosters 2007 (WDN), 2012, 2015, 2017, 2019, 2021, 2023, 2024, 2025 (Wayback) and Apr 2026 (WDN): name absent every year; (3) Web search: bing.sh returned off-topic results (Bing reduces quoted queries to generic terms for this client) and bs.sh (Brave) returned a captcha, so I ran whittierdailynews.com site search for the name + district: no relevant article. Also grepped every RR/CC candidate list in the packet dir (2017-11 through 2026-11, all LA County contests): name never filed.","Not on any Little Lake roster 2007-2026. A 'Laurie Rios' sat on the board in 2007 (WDN 2007-09-05); different first name, so not a match. | CA_0159: reclassified C (documented as Mayor of Norwalk, RR/CC 4085)",c83403a8-2c30-4b6e-a97c-1faf8aebf43f
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Adyson Quashie,Antelope Valley Joint Union High School District,NO_EVIDENCE,high,,,,"(1) current board page avdistrict.org/about/board-of-trustees: absent; (2) Wayback board pages 2010-04, 2013, 2014-08, 2017-07, 2019-07, 2020-11, 2022-10, 2024-12: absent (see roster_history); (3) RR/CC lists 2017-2026 for AVUHSD and county-wide school-board JSON: no match; AV Press quoted-name search: 0 hits; Google News RSS '""<name>"" Antelope Valley': 0 hits; Ballotpedia AVUHSD elections page (2013-2026): absent; WebSearch (combined OR query): nothing. bing.sh and bs.sh (Brave) were unusable this session: Bing returned unrelated results for every query (it ignored the quoted terms), Brave returned a captcha. Used instead: AV Press site search (avpress.com/search, quoted name, archive about 2015-2026), Google News RSS, Ballotpedia district election pages, and the county-wide RR/CC school-board candidate JSON (rrcc_school.json, 2017-2026).","Not a trustee in any roster 2010-2026. Name also absent from the student-board-member names seen (Vance, Ables, Banuelos, San Gabriel, Ramirez).",b4a1311d-edab-44c9-81fb-05923f998753
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Dr. Kathleen Lang,Antelope Valley Joint Union High School District,NO_EVIDENCE,high,,,,"(1) current board page avdistrict.org/about/board-of-trustees: absent; (2) Wayback board pages 2010-04, 2013, 2014-08, 2017-07, 2019-07, 2020-11, 2022-10, 2024-12: absent (see roster_history); (3) RR/CC lists 2017-2026 for AVUHSD and county-wide school-board JSON: no match; AV Press quoted-name search: 0 hits; Google News RSS '""<name>"" Antelope Valley': 0 hits; Ballotpedia AVUHSD elections page (2013-2026): absent; WebSearch (combined OR query): nothing. bing.sh and bs.sh (Brave) were unusable this session: Bing returned unrelated results for every query (it ignored the quoted terms), Brave returned a captcha. Used instead: AV Press site search (avpress.com/search, quoted name, archive about 2015-2026), Google News RSS, Ballotpedia district election pages, and the county-wide RR/CC school-board candidate JSON (rrcc_school.json, 2017-2026).",,8c145930-0af7-4cfc-b959-06a2a394e11e
