external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-510402,Jason Brown II,healthcare,1,"Campaign issues page pledges free, no-cost healthcare for everyone with no copays and elimination of predatory insurance rates and medical debt, matching the single-payer/fully-public scale value.",https://www.jasonforcongress2026.com/issues,https://couragefordemocracy.com/candidate/jason-brown-ii/,,"Guarantees free healthcare for all of us (no more copays, no more predatory insurance rates)","Guarantees free healthcare for all of us (no more copays, no more predatory insurance rates)"
-510402,Jason Brown II,deportation,1,"Central campaign plank calls for immediately abolishing ICE and granting a legal/citizenship pathway rather than removal, and the campaign homepage frames the community as 'a sanctuary' rather than a target of enforcement -- matching the scale's 'stop deportations entirely' position.",https://www.jasonforcongress2026.com/issues,https://couragefordemocracy.com/candidate/jason-brown-ii/,https://www.politics1.com/va.htm,Immediately abolishes I.C.E. and makes a legal pathway for criminal charges,Immediately abolishes I.C.E. and makes a legal pathway for criminal charges
-510402,Jason Brown II,immigration,1,"Issues page states the campaign would grant immediate citizenship to undocumented families, increase refugee admissions, and end the Cuba blockade / lift Venezuela sanctions -- a maximally welcoming posture toward immigrants and undocumented residents' access to services.",https://www.jasonforcongress2026.com/issues,https://kateforthepeople.substack.com/p/candidates-of-our-dreams-jason-brown,,,
-510402,Jason Brown II,housing,2,"Issues page pledges to cap rent at less than 10% of income, and the campaign homepage promises to guarantee housing for all families -- matching the scale's rent-cap / publicly-funded-housing position.",https://www.jasonforcongress2026.com/issues,https://www.jasonforcongress2026.com,,Caps rent to less than 10% of income,Caps rent to less than 10% of income
-510402,Jason Brown II,school-vouchers,1,"Platform calls for raising national salaries for teachers and school staff, dedicated school infrastructure funding, and a billionaire's tax to make public college tuition-free, with no mention of vouchers or private-school funding -- consistent with the scale's fully-fund-public-schools position.",https://www.jasonforcongress2026.com/issues,,,"Raises salaries for teachers, guidance counselors, and school staff nationally","Raises salaries for teachers, guidance counselors, and school staff nationally"
-510402,Jason Brown II,climate-change,2,"Issues page calls for transitioning to renewable energy and imposing a federal carbon tax on corporations, an aggressive-but-not-emergency-declaration posture that best matches the scale's rapid-transition-to-renewables value.",https://www.jasonforcongress2026.com/issues,,,,
-510402,Jason Brown II,taxes,1,"Platform proposes a billionaire's tax to fund tuition-free college alongside a federal carbon tax on corporations, indicating support for significantly raising taxes on the wealthy and large companies to fund public services.",https://www.jasonforcongress2026.com/issues,,,,
-510402,Jason Brown II,medicare/aid,1,"The pledge to guarantee free healthcare with no copays for 'all of us' functionally extends coverage to the entire population regardless of age, matching the scale's expand-Medicare-to-everyone position; the platform does not separately address Medicaid financing mechanics.",https://www.jasonforcongress2026.com/issues,https://couragefordemocracy.com/candidate/jason-brown-ii/,,"Guarantees free healthcare for all of us (no more copays, no more predatory insurance rates)","Guarantees free healthcare for all of us (no more copays, no more predatory insurance rates)"
-510402,Jason Brown II,civil-rights,1,"Platform includes reparations and land restoration for Indigenous communities and addressing the Missing and Murdered Indigenous Women crisis, matching the scale's mandate-equity-and-reparations position.",https://www.jasonforcongress2026.com/issues,https://couragefordemocracy.com/candidate/jason-brown-ii/,,,
-510402,Jason Brown II,fossil-fuels,2,"Issues page calls for transitioning to renewable energy and a federal carbon tax on corporations rather than an explicit immediate ban on existing drilling, best matching the scale's stop-issuing-new-permits position.",https://www.jasonforcongress2026.com/issues,,,,
