full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Jonathan L. Jackson,-17001,healthcare,1,"Jackson explicitly called to ""fight for Medicare for All"" (Nov 2022) and supports a single-payer healthcare system on iSideWith, backing government-run universal coverage — matching stance 1 exactly.",https://www.ontheissues.org/IL/Jonathan_Jackson.htm,https://www.isidewith.com/candidates/jonathan-jackson/policies,,"""People are hurting; fight for Medicare for All""",People are hurting; fight for Medicare for All
Jonathan L. Jackson,-17001,abortion,1,"Jackson holds a pro-choice stance with no documented restrictions on access or stage, and supports continued government funding for Planned Parenthood — matching stance 1 (legal, accessible, publicly funded at all stages).",https://www.isidewith.com/candidates/jonathan-jackson/policies,https://www.ontheissues.org/IL/Jonathan_Jackson.htm,,,
Jonathan L. Jackson,-17001,climate-change,2,"Jackson earned a perfect 100% LCV lifetime score (2023-2025) with 102 pro-environment votes and zero anti-environment votes, voted to stay in the Paris Climate Agreement, and opposes new fossil fuel expansion — consistent with rapid renewable transition (stance 2), not an all-activities ban.",https://www.lcv.org/congressional-scorecard/moc/jonathan-jackson/,https://www.isidewith.com/candidates/jonathan-jackson/policies,,"""Climate change is real and crisis is affecting everyone""",Climate change is real and crisis is affecting everyone
Jonathan L. Jackson,-17001,fossil-fuels,2,"Jackson's LCV 100% record includes votes against Arctic drilling, LNG expansion, new pipelines, and coal development — a pattern of opposing new permits while not calling for an immediate ban on all existing extraction, matching stance 2.",https://www.lcv.org/congressional-scorecard/moc/jonathan-jackson/,https://www.isidewith.com/candidates/jonathan-jackson/policies,,,
Jonathan L. Jackson,-17001,immigration,2,"Jackson supports undocumented immigrants accessing government-subsidized healthcare and in-state tuition, backs sanctuary city funding, and opposes increased border restrictions — keeping legal immigration open while letting most residents use public services regardless of status, matching stance 2.",https://www.isidewith.com/candidates/jonathan-jackson/policies,,,,
Jonathan L. Jackson,-17001,deportation,2,"Jackson's documented position is to deport immigrants who commit serious crimes only, opposing detention for minor offenses and mass removal — matching stance 2 (only deport people convicted of serious violent crimes).",https://www.isidewith.com/candidates/jonathan-jackson/policies,,,,
Jonathan L. Jackson,-17001,taxes,1,"Jackson supports raising taxes on wealthy individuals and corporations, increasing the capital gains tax, and backing universal basic income; he opposes government spending cuts — matching stance 1 (significantly raise taxes on wealthy people and large companies to fund more public services).",https://www.isidewith.com/candidates/jonathan-jackson/policies,https://www.ontheissues.org/IL/Jonathan_Jackson.htm,,"""Raise the wages of all working women and provide pay equity""",Raise the wages of all working women and provide pay equity
Jonathan L. Jackson,-17001,social-security,1,"Jackson supports lifting the Social Security income cap on payroll taxes so high earners pay on all income, and opposes raising the retirement age — matching stance 1 (expand SS benefits significantly and remove the income cap).",https://www.isidewith.com/candidates/jonathan-jackson/policies,,,,
Jonathan L. Jackson,-17001,medicare/aid,1,"Jackson explicitly supports Medicare for All, which would expand Medicare to cover everyone regardless of age, and supports increasing Medicaid funding — matching stance 1 (expand Medicare to cover everyone regardless of age).",https://www.ontheissues.org/IL/Jonathan_Jackson.htm,https://www.isidewith.com/candidates/jonathan-jackson/policies,,,
Jonathan L. Jackson,-17001,same-sex-marriage,1,Jackson supports nationwide legalization of same-sex marriage with equal adoption rights and full federal benefits and protections — matching stance 1 (require all states to recognize same-sex marriages and provide full federal benefits).,https://www.isidewith.com/candidates/jonathan-jackson/policies,,,,
