external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-47001,Diana Harshbarger,abortion,4,"Harshbarger identified as pro-life on the 2020 Project Vote Smart survey and has consistently voted against abortion access legislation. As a Freedom Caucus member she has supported pro-life measures throughout the 117th–119th Congresses. Her documented record reflects restriction to serious medical exceptions rather than a total-ban position with criminal penalties.",https://www.ontheissues.org/House/Diana_Harshbarger.htm,https://en.wikipedia.org/wiki/Diana_Harshbarger,,,
-47001,Diana Harshbarger,campaign-finance,4,"Harshbarger voted against the For the People Act (H.R.1, March 2021), which included provisions to limit dark money, mandate disclosure, and restrict corporate campaign contributions. Her opposition to that omnibus reform bill indicates a preference for reducing restrictions on political donations and spending.",https://www.ontheissues.org/House/Diana_Harshbarger_Government_Reform.htm,,,,
-47001,Diana Harshbarger,civil-rights,5,"Harshbarger voted against the Equal Rights Amendment ratification extension (H.J.Res.17, March 2021) and against the Protecting Our Democracy Act. She has consistently opposed federal mandates for racial and gender equity, aligning with the position of eliminating race-based and affirmative action government programs.",https://www.ontheissues.org/House/Diana_Harshbarger_Civil_Rights.htm,https://www.ontheissues.org/House/Diana_Harshbarger.htm,,,
-47001,Diana Harshbarger,climate-change,5,"Harshbarger holds a 0% lifetime rating from the League of Conservation Voters across every year she has served (2021–2025), casting zero pro-environment votes. She voted to roll back the methane polluter fee, open Alaska to oil and gas drilling, and undermine federal environmental protections, reflecting a consistent rejection of climate policy.",https://www.lcv.org/scorecard/diana-harshbarger/,https://en.wikipedia.org/wiki/Diana_Harshbarger,,,
-47001,Diana Harshbarger,deportation,4,"On the 2020 Project Vote Smart survey Harshbarger supported requiring all unlawfully present immigrants to return to their country of origin before becoming eligible for citizenship, and she supports construction of a border wall. She voted against the NO BAN Act (2021), which would have limited presidential immigration restrictions. Her stance reflects deporting all those without legal status starting with those with criminal records.",https://www.ontheissues.org/House/Diana_Harshbarger_Immigration.htm,https://www.ontheissues.org/House/Diana_Harshbarger.htm,,,
-47001,Diana Harshbarger,fossil-fuels,5,"Harshbarger has a 0% LCV lifetime rating and voted for rolling back the methane polluter fee (2025), opening Alaska to oil and gas drilling, and removing pipeline safeguards. Her record reflects consistent support for removing environmental restrictions and maximizing fossil fuel extraction across every Congress she has served.",https://www.lcv.org/scorecard/diana-harshbarger/,https://en.wikipedia.org/wiki/Diana_Harshbarger,,,
-47001,Diana Harshbarger,healthcare,4,"Harshbarger supports repealing the Affordable Care Act (2020 Project Vote Smart survey) and voted against the $1.9 trillion American Rescue Plan which included Medicaid expansion and healthcare funding. She opposes broad government healthcare expansion while her record does not document advocacy for eliminating Medicare and Medicaid entirely.",https://www.ontheissues.org/House/Diana_Harshbarger_Health_Care.htm,https://www.ontheissues.org/House/Diana_Harshbarger_Budget_+_Economy.htm,,,
-47001,Diana Harshbarger,immigration,4,"Harshbarger supports a border wall, requires undocumented immigrants to return to their country of origin before citizenship eligibility (PVS 2020), and voted against the NO BAN Act which would have limited presidential authority to restrict entry from certain countries. Her record consistently favors making immigration harder and limiting public services to those with legal status.",https://www.ontheissues.org/House/Diana_Harshbarger_Immigration.htm,https://www.ontheissues.org/House/Diana_Harshbarger.htm,,,
-47001,Diana Harshbarger,medicare/aid,4,"Harshbarger supports repealing the ACA and voted against the American Rescue Plan which included Medicaid expansion. She is a member of the Republican Study Committee whose budgets call for partial Medicare privatization and Medicaid reductions. She publicly objected to Medicaid/Medicare coverage of anti-obesity medications.",https://en.wikipedia.org/wiki/Diana_Harshbarger,https://www.ontheissues.org/House/Diana_Harshbarger_Health_Care.htm,,"Obesity is not a disease. It's a side effect of different things, like unhealthy eating or whatever.","Obesity is not a disease. It's a side effect of different things, like unhealthy eating or whatever."
-47001,Diana Harshbarger,redistricting,5,"Harshbarger voted against the For the People Act (H.R.1, March 2021), which required states to establish independent redistricting commissions. Her opposition to federal independent-commission mandates aligns with allowing the party that controls the state legislature to draw maps without outside interference.",https://www.ontheissues.org/House/Diana_Harshbarger_Government_Reform.htm,,,,
-47001,Diana Harshbarger,taxes,4,"Harshbarger indicated opposition to raising income taxes on any bracket on the 2020 Project Vote Smart survey and voted against the $1.9 trillion American Rescue Plan. She has consistently supported cutting government spending and taxes, though no documented flat-tax advocacy was found that would place her at value 5.",https://www.ontheissues.org/House/Diana_Harshbarger_Tax_Reform.htm,https://www.ontheissues.org/House/Diana_Harshbarger_Budget_+_Economy.htm,,,
-47001,Diana Harshbarger,ukraine-support,4,"Harshbarger voted against the $60 billion Ukraine military aid supplemental package in April 2024, joining a bloc of House Republicans who opposed continued military funding. Her vote reflects a preference for reducing Ukraine aid and focusing resources domestically rather than ending all aid outright.",https://en.wikipedia.org/wiki/Diana_Harshbarger,,,,
-47001,Diana Harshbarger,voting-rights,4,"Harshbarger voted against the For the People Act (H.R.1, March 2021), which would have expanded automatic voter registration, same-day registration, mail-in voting, and early voting. OnTheIssues documents her as opposing voter registration expansion and supporting state control of election administration, consistent with requiring photo ID and maintaining voter roll integrity.",https://www.ontheissues.org/House/Diana_Harshbarger_Government_Reform.htm,https://www.ontheissues.org/House/Diana_Harshbarger.htm,,,
