full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Andrew Garbarino,,abortion,4,"Garbarino voted against allowing late-term abortions in 2019 (NY State Assembly). As a House Republican he has not cosponsored any bill to ban all abortions, and has not called for criminal penalties on patients or providers, placing him at restricting abortion to serious cases rather than a full ban.",https://www.ontheissues.org/NY/Andrew_Garbarino.htm,https://en.wikipedia.org/wiki/Andrew_Garbarino,,,
Andrew Garbarino,,climate-change,4,"Garbarino's LCV lifetime score is 15% and his 2025 score is 9%, voting pro-environment only 3 times out of 32 votes in 2025. He consistently opposes climate legislation and environmental regulations but has not explicitly called for rejecting climate science entirely, fitting the 'let market forces drive' position rather than outright rejection.",https://www.lcv.org/congressional-scorecard/members-of-congress/?state=NY&chamber=house,https://en.wikipedia.org/wiki/Andrew_Garbarino,,,
Andrew Garbarino,,deportation,4,"Garbarino opposes a pathway to citizenship for undocumented immigrants, voted against the NO BAN Act (supporting presidential authority to bar entry from non-cooperating countries), and has emphasized stopping MS-13 gang members from crossing the southern border. He supported the Farm Workforce Modernization Act which provided legal status for agricultural workers, suggesting he prioritizes enforcement for those with criminal records rather than uniform immediate deportation of all.",https://www.ontheissues.org/NY/Andrew_Garbarino.htm,https://www.ontheissues.org/NY/Andrew_Garbarino_Immigration.htm,https://en.wikipedia.org/wiki/Andrew_Garbarino,,
Andrew Garbarino,,fossil-fuels,4,"Garbarino's LCV lifetime score of 15% and 2025 score of 9% reflect consistent opposition to environmental protection legislation, including clean energy standards and methane regulations. This pattern indicates he favors expanding fossil fuel drilling permits over restricting production, though he has not publicly called for removing all environmental restrictions.",https://www.lcv.org/congressional-scorecard/members-of-congress/?state=NY&chamber=house,https://en.wikipedia.org/wiki/Andrew_Garbarino,,,
Andrew Garbarino,,healthcare,4,"Garbarino supports controlling prescription drug costs and allowing family caretakers of seniors to be paid by Medicaid (Oct 2020), indicating support for targeted assistance for low-income and elderly patients. He opposed the $1.9 trillion COVID relief bill and has not supported universal coverage or a public option, placing him in the 'help only the poorest' position while leaving everyone else to employers and private insurance.",https://www.ontheissues.org/NY/Andrew_Garbarino.htm,https://en.wikipedia.org/wiki/Andrew_Garbarino,,,
Andrew Garbarino,,immigration,4,"Garbarino opposes a pathway to citizenship for undocumented immigrants, voted against the NO BAN Act (upholding presidential authority to restrict entry from non-cooperating countries), and emphasizes border security. He supported the Farm Workforce Modernization Act providing legal status to agricultural workers, suggesting limited exceptions for needed workers while broadly favoring reduced immigration and limiting public services to those with legal status.",https://www.ontheissues.org/NY/Andrew_Garbarino.htm,https://www.ontheissues.org/NY/Andrew_Garbarino_Immigration.htm,https://en.wikipedia.org/wiki/Andrew_Garbarino,,
Andrew Garbarino,,medicare/aid,3,"Garbarino supports allowing family caretakers of seniors to be paid by Medicaid and supports controlling prescription drug costs, indicating support for improving and preserving current Medicare and Medicaid programs while managing costs. He has not called for expanding Medicare to cover all ages or for privatizing either program.",https://www.ontheissues.org/NY/Andrew_Garbarino.htm,https://en.wikipedia.org/wiki/Andrew_Garbarino,,,
Andrew Garbarino,,religious-freedom,4,"Garbarino cosponsored the Fairness for All Act (2021), a Republican alternative to the Equality Act that would protect LGBTQ+ civil rights while simultaneously providing broad religious liberty protections and exemptions for faith-based organizations. This indicates he prioritizes protecting religious freedom and allowing faith-based exemptions from laws that conflict with sincere religious beliefs.",https://en.wikipedia.org/wiki/Andrew_Garbarino,https://www.ontheissues.org/NY/Andrew_Garbarino.htm,,,
Andrew Garbarino,,same-sex-marriage,2,"Garbarino voted YES on the Respect for Marriage Act (2022), one of 46 Republicans to do so. The Act federally protects same-sex marriage while explicitly allowing religious organizations to decline participation. His co-sponsorship of the Fairness for All Act (2021) further confirms he supports same-sex marriage rights alongside protections for religious organizations.",https://en.wikipedia.org/wiki/Andrew_Garbarino,https://www.ontheissues.org/NY/Andrew_Garbarino.htm,,,
Andrew Garbarino,,social-security,3,"Garbarino has called for being 'honest about fiscal dilemmas facing the fund,' indicating awareness of long-term sustainability concerns without endorsing privatization or dramatic benefit cuts. As a Problem Solvers Caucus member he has favored bipartisan incremental approaches, consistent with making small adjustments to keep Social Security stable rather than major structural changes.",https://www.ontheissues.org/NY/Andrew_Garbarino.htm,https://en.wikipedia.org/wiki/Andrew_Garbarino,,,
Andrew Garbarino,,taxes,4,"Garbarino voted against the $1.9 trillion COVID relief bill, supports right-to-work laws, and has generally aligned with Republican fiscal positions favoring lower taxes and scaled-back government spending. As a moderate Republican on social issues who still votes with the party on fiscal matters, he fits the 'cut taxes for everyone and scale back public services' position.",https://www.ontheissues.org/NY/Andrew_Garbarino.htm,https://en.wikipedia.org/wiki/Andrew_Garbarino,,,
Andrew Garbarino,,voting-rights,4,"Garbarino voted against expanding voter registration and access (Mar 2021) and opposed Washington D.C. statehood (Apr 2021). He has not cosponsored automatic voter registration or mail-in voting expansion bills, placing him in the 'require photo ID and regularly update voter rolls' position rather than the most restrictive in-person-only stance.",https://www.ontheissues.org/NY/Andrew_Garbarino.htm,https://en.wikipedia.org/wiki/Andrew_Garbarino,,,
