external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-26010,John James,abortion,4,"James has described himself as '100% pro-life; always have been; always will be' and, per ontheissues.org, opposes abortion even in cases of rape — placing him at or beyond the 'only in rape/incest/life-threat' threshold. He has called for defunding Planned Parenthood and compared Roe v. Wade to genocide.",https://www.ontheissues.org/John_James.htm,https://en.wikipedia.org/wiki/John_James_(Michigan_politician),,"""100% pro-life; always have been; always will be.""","""100% pro-life; always have been; always will be."""
-26010,John James,climate-change,4,"James called the Green New Deal something that 'would decimate Michigan's economy' (May 2020) and has a 7% lifetime LCV score, voting against clean air protections, clean energy investments, and climate regulations throughout his House tenure. He did sign a March 2025 letter urging preservation of clean energy tax credits, indicating market-based incentives are acceptable but aggressive mandates are not — consistent with letting market forces drive any transition.",https://www.ontheissues.org/John_James.htm,https://www.lcv.org/congressional-scorecard/moc/john-james,,"""Green New Deal would decimate Michigan's economy.""","""Green New Deal would decimate Michigan's economy."""
-26010,John James,fossil-fuels,4,"The LCV documents James voting to roll back the methane polluter fee, block states' cleaner truck and car standards, block the Delaware River Basin fracking ban, defund DOE clean energy programs, and remove public lands protections in 2023–2025. His overall pattern reflects support for expanding fossil fuel activity and rolling back restrictions, consistent with expanding drilling permits.",https://www.lcv.org/congressional-scorecard/moc/john-james,https://www.ontheissues.org/John_James.htm,,,
-26010,John James,healthcare,4,"James has repeatedly called the ACA 'the monstrosity of ObamaCare' and demands its repeal, opposes Medicare for All as 'terrible,' and wants to reduce government decision-making in healthcare. His stated position is that current government health programs are already underfunded, pointing toward a residual-assistance model for the poorest while leaving everyone else to employers and private insurance.",https://www.ontheissues.org/John_James.htm,https://en.wikipedia.org/wiki/John_James_(Michigan_politician),,"""Remove the monstrosity of ObamaCare.""","""Remove the monstrosity of ObamaCare."""
-26010,John James,immigration,4,"James has said 'We must end illegal immigration & secure the border,' supports Kate's Law, defunding sanctuary cities, and opposes any pathway to citizenship for undocumented immigrants. He favors strict enforcement at the border and restricting access to public services for those without legal status, aligning with making legal immigration harder and limiting public services by status.",https://www.ontheissues.org/John_James.htm,https://en.wikipedia.org/wiki/John_James_(Michigan_politician),,"""We must end illegal immigration & secure the border.""","""We must end illegal immigration & secure the border."""
-26010,John James,deportation,4,"James supports Kate's Law, defunding sanctuary cities, and has called for ending illegal immigration outright. His platform prioritizes deporting those without legal status, starting with those who have criminal records, consistent with value 4.",https://www.ontheissues.org/John_James.htm,https://en.wikipedia.org/wiki/John_James_(Michigan_politician),,,
-26010,John James,taxes,4,"James called a surcharge on high earners 'Marxist policy' (Jul 2025) and supports the Trump tax cuts for businesses and working families. He opposes the estate tax and favors permanent income tax reductions, indicating a preference for broad tax cuts and reduced government spending rather than drastic restructuring.",https://www.ontheissues.org/John_James.htm,,,"""Imposing surcharge on high earners is Marxist policy.""","""Imposing surcharge on high earners is Marxist policy."""
-26010,John James,tariffs,4,"James supports 'free but fair trade' and called for confronting China on soybeans ('Fight China over soybeans now, or bullets later,' May 2020). He endorsed letting Trump renegotiate trade deals and supported targeted tariffs against unfair traders — especially China — rather than universal high tariffs on all imports.",https://www.ontheissues.org/John_James.htm,,,"""Fight China over soybeans now, or bullets later.""","""Fight China over soybeans now, or bullets later."""
-26010,John James,school-vouchers,4,"James has explicitly stated he 'supports public money for private schools' and backed school choice programs, saying 'We have failed our children' (May 2020) in arguing for alternatives to traditional public schooling. This reflects support for expanding voucher eligibility to most families while not explicitly advocating for universal vouchers.",https://www.ontheissues.org/John_James.htm,https://en.wikipedia.org/wiki/John_James_(Michigan_politician),,"""We have failed our children.""","""We have failed our children."""
-26010,John James,social-security,3,"James said 'Stop any attempt to underfund the Social Security trust fund' (Oct 2020) and described returning benefits to seniors as 'a moral obligation' (Aug 2018). He does not advocate for privatization or benefit cuts, positioning him as a preservationist who wants to keep the program stable rather than restructure it.",https://www.ontheissues.org/John_James.htm,,,"""Stop any attempt to underfund the Social Security trust fund.""","""Stop any attempt to underfund the Social Security trust fund."""
-26010,John James,medicare/aid,3,"James opposes Medicare for All as 'terrible' and criticizes the government's ability to fund even existing Medicare, but has not called for privatization or phasing out the programs. His position is to control costs and improve efficiency within the current system rather than expand or eliminate it.",https://www.ontheissues.org/John_James.htm,,,"""Medicare for All terrible; barely paying for Medicare now.""","""Medicare for All terrible; barely paying for Medicare now."""
-26010,John James,childcare,3,"A Perry Johnson campaign attack page — citing James's own legislative record — noted he co-sponsored a bipartisan childcare subsidy bill with Democrat Hillary Scholten. Co-sponsoring a targeted childcare subsidy measure with a Democrat aligns with offering targeted tax credits and subsidies for families below an income threshold rather than universal childcare or a purely market-based approach.",https://johnjamesforgovernor.com,https://www.ontheissues.org/John_James.htm,,,
