full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Grace Meng,,abortion,2,"Meng co-sponsored the Women's Health Protection Act banning anti-abortion restrictions with no gestational limits, and voted against the Pain-Capable Unborn Child Protection Act (20-week ban) in 2015. She is endorsed by EMILY's List and rated 100% by NARAL. No evidence she has specifically endorsed public funding for abortion at all stages.",https://www.ontheissues.org/NY/Grace_Meng.htm,https://en.wikipedia.org/wiki/Grace_Meng,,Providing women with access to reproductive health care...are not Democratic or Republican priorities--they are American priorities,Providing women with access to reproductive health care...are not Democratic or Republican priorities--they are American priorities
Grace Meng,,campaign-finance,2,"Meng signed a Constitutional Amendment to overturn Citizens United (March 2013) stating political spending rights belong only to natural persons, and co-sponsored the Government By the People Act establishing a small-donor public financing voucher system. She explicitly opposes corporate political spending as protected free speech.",https://www.ontheissues.org/NY/Grace_Meng_Corporations.htm,https://www.ontheissues.org/NY/Grace_Meng_Government_Reform.htm,,Corporate political spending is not free speech,Corporate political spending is not free speech
Grace Meng,,civil-rights,2,"Meng co-sponsored the Student Non-Discrimination Act protecting LGBTQ+ students, voted for the executive order protecting federal contractors from gender identity discrimination, and stated she would fight to ensure all Americans regardless of race, gender, or sexual orientation have equal protections under the law.",https://www.ontheissues.org/NY/Grace_Meng_Civil_Rights.htm,https://en.wikipedia.org/wiki/Grace_Meng,,"I will fight in Congress to make sure that all Americans--regardless of race, gender or sexual orientation--are afforded the same protections under the law","I will fight in Congress to make sure that all Americans--regardless of race, gender or sexual orientation--are afforded the same protections under the law"
Grace Meng,,climate-change,2,"Meng co-sponsored the Green New Deal resolution (February 2019) calling for a 10-year national mobilization to net-zero emissions, co-sponsored H.Res.637 calling for more than 50% clean and carbon-free electricity by 2030, and has a lifetime LCV score of 98% (2025 score: 97%).",https://www.ontheissues.org/NY/Grace_Meng_Environment.htm,https://www.lcv.org/congressional-scorecard/moc/grace-meng,,,
Grace Meng,,deportation,2,"Meng voted NAY on the Gosar anti-DACA amendment that would have blocked undocumented immigrants from military service pathways to citizenship. She introduced a 2025 resolution requiring ICE agents to display badge numbers for accountability, and co-sponsored the impeachment of DHS Secretary Noem. She focuses on accountability over abolition.",https://www.ontheissues.org/NY/Grace_Meng_Immigration.htm,https://en.wikipedia.org/wiki/Grace_Meng,,,
Grace Meng,,fossil-fuels,2,"Meng voted to prohibit funds for offshore drilling research in the Eastern Gulf of Mexico (July 2016), opposes offshore energy production per Project Vote Smart (2012), co-sponsored the BREATHE Act closing Clean Air Act exemptions for oil and gas production, and consistently supports clean energy transition policies.",https://www.ontheissues.org/NY/Grace_Meng_Energy_+_Oil.htm,https://www.ontheissues.org/NY/Grace_Meng.htm,,,
Grace Meng,,healthcare,2,"Meng believes every citizen should have access to quality affordable healthcare, strongly opposed ACA repeal, is a member of the Medicare for All Caucus per Wikipedia, and supports a mix of public programs and regulated private insurance. No evidence she has endorsed full single-payer replacing private insurance.",https://www.ontheissues.org/NY/Grace_Meng_Health_Care.htm,https://en.wikipedia.org/wiki/Grace_Meng,,"every citizen should have access to quality, affordable health care; that individuals with pre-existing conditions should not be denied coverage","every citizen should have access to quality, affordable health care; that individuals with pre-existing conditions should not be denied coverage"
Grace Meng,,immigration,2,"Meng opposes requiring undocumented immigrants to return to their country before citizenship eligibility, co-sponsored the Fairness for High-Skilled Immigrants Act expanding visa caps, and supports pathways to citizenship including for DREAMers. She does not support open borders but favors keeping legal immigration open with broad public service access.",https://www.ontheissues.org/NY/Grace_Meng_Immigration.htm,https://www.ontheissues.org/NY/Grace_Meng.htm,,,
Grace Meng,,medicare/aid,2,Meng received a 100% rating from the Alliance for Retired Americans (2013-2014) for opposing Social Security and Medicare privatization. She is a member of the Medicare for All Caucus per Wikipedia. She opposed the Chained CPI and supports maintaining and strengthening Medicare and Medicaid.,https://www.ontheissues.org/NY/Grace_Meng_Social_Security.htm,https://en.wikipedia.org/wiki/Grace_Meng,,I will fight tirelessly to protect Medicare and Social Security and ensure retirement security,I will fight tirelessly to protect Medicare and Social Security and ensure retirement security
Grace Meng,,redistricting,1,"Meng voted YES on the For the People Act of 2019, which requires states to establish independent nonpartisan redistricting commissions. This aligns with value 1 (independent citizens commissions) rather than a bipartisan political commission.",https://www.ontheissues.org/NY/Grace_Meng_Government_Reform.htm,https://www.ontheissues.org/NY/Grace_Meng.htm,,,
