full_name,topic_key,source_url,snippet,snippet_index
Keith Grover,abortion,https://ivoterguide.com/candidate/57813/race/16239/election/882,"Keith Grover's iVoterGuide survey responses: Under what circumstances should abortion be allowed? Answer: 'Cases involving pregnancy by incest or rape; when the life or health of the woman is adjudged by competent medical authority to be in serious jeopardy; or when the fetus is known by competent medical authority to have severe defects that will not allow the baby to survive beyond birth.' On whether abortion providers should receive government funds: Strongly Agrees they should not receive federal, state, or local funding. Stated: 'Taxpayer dollars should never be used for abortion procedures.'",0
Keith Grover,same-sex-marriage,https://ivoterguide.com/candidate/57813/race/16239/election/882,"Keith Grover's iVoterGuide survey responses on marriage and gender: Strongly Agrees that 'Marriage is a God-ordained, sacred and legal union of one man and one woman.' He opposes government authority to alter this definition. He Strongly Disagrees with adding gender identity as a protected class. He Strongly Agrees that Judeo-Christian values provide the necessary moral framework for limited government.",0
Keith Grover,religious-freedom,https://ivoterguide.com/candidate/57813/race/16239/election/882,"Keith Grover's iVoterGuide survey responses: Strongly Disagrees that individuals and businesses should be required to provide services that violate their moral or religious beliefs. States government should close churches 'Never' under any circumstances. Strongly Agrees that Judeo-Christian values provide the necessary moral framework for limited government.",0
Keith Grover,trans-athletes,https://www.sltrib.com/opinion/2023/02/15/lawmakers-not-too-worried-about/,"Sen. Keith Grover said 'I'm not too worried about refugees and the other kids' before voting for the 2023 Utah bill (HB209) addressing transgender athletes in youth sports. Grover voted in favor of the legislation restricting how transgender youth can participate in organized sports.",0
Keith Grover,trans-athletes,https://ivoterguide.com/candidate/57813/race/16239/election/882,"Keith Grover's iVoterGuide survey responses: Strongly Disagrees with adding gender identity as a protected class. His broader position opposing legal recognition of gender identity is consistent with his legislative votes restricting transgender athletes.",1
Keith Grover,medicare/aid,https://ivoterguide.com/candidate/57813/race/16239/election/882,"Keith Grover's iVoterGuide survey responses on healthcare: Selected option that 'Tax-payer funded health care should be abolished in all forms, and Medicaid and Medicare should be de-funded.' On vaccine mandates: Responds 'Never' regarding government or employer vaccine requirements.",0
Keith Grover,fossil-fuels,https://ivoterguide.com/candidate/57813/race/16239/election/882,"Keith Grover's iVoterGuide survey responses on energy and environment: Selected that environmental rules 'cost too many jobs and hurt the economy.' Strongly Agrees with supporting hydraulic fracking for oil and natural gas extraction. No support for environmental restrictions on fossil fuel development indicated.",0
Keith Grover,voting-rights,https://ivoterguide.com/candidate/57813/race/16239/election/882,"Keith Grover's iVoterGuide survey responses: Strongly Disagrees that voting should occur without photo identification — people should need photo ID to vote. Proposes 'eradication of third parties making contributions to our election processes.' No evidence of support for expanded voting access or mail-in voting.",0
Keith Grover,climate-change,https://ivoterguide.com/candidate/57813/race/16239/election/882,"Keith Grover's iVoterGuide survey responses on environment: Selected that stricter environmental rules 'cost too many jobs and hurt the economy.' Strongly Agrees with supporting hydraulic fracking for oil and natural gas extraction. His position prioritizes economic concerns over environmental regulation.",0
Keith Grover,civil-rights,https://senate.utah.gov/rep-hall-and-sen-grover-announce-equal-opportunity-initiatives-bill/,"Senator Keith Grover's statement on HB261 Equal Opportunity Initiatives: 'In Utah, we're dedicated to equal opportunity and student success. We believe campuses should embrace viewpoint diversity, academic freedom, freedom of expression and institutional political neutrality. This bill will ensure institutions remain neutral on political issues, while students and faculty are able to express their opinions freely.' Grover served as the Senate floor sponsor of this bill banning DEI trainings, programs, and offices at public institutions.",0
Keith Grover,civil-rights,https://www.deseret.com/2024/1/25/24048193/dei-bill-passes-senate-likely-heading-to-governor-after-house-concurrence/,"State Senate lawmakers approved HB261 on Thursday with a 23-6 party-line vote. The bill, which overwrites diversity, equity and inclusion programs at public institutions, now heads to the House for a concurrence vote before going to Governor Spencer Cox, who is expected to sign it into law. Floor sponsor Sen. Keith Grover, R-Provo, emphasized the bill's purpose during Wednesday's debate: 'The reason we're doing this now is because it needs to happen. We need to now start providing equality of opportunity for all students.' Grover highlighted the bill's student success centers as its most important component.",1
Keith Grover,school-vouchers,https://www.heraldextra.com/news/local/2023/jan/24/utah-senate-committee-advances-school-voucher-bill-ed-groups-unite-in-opposition/,"The seven senators voting for the bill, all Republicans, were Stuart Adams, Lincoln Fillmore, Keith Grover, John Johnson McKell, Ann Millner and Jerry Stevenson. The Senate education committee voted 7-2 to advance House Bill 215, the Utah Fits All bill that would let students use public funds for private education.",0
Keith Grover,school-vouchers,https://ivoterguide.com/candidate/57813/race/16239/election/882,"Keith Grover's iVoterGuide survey responses on education: Strongly Agrees with supporting school choice, including vouchers, tax credits, charter schools, private schools, and homeschooling options. Strongly Disagrees that taxpayer-funded education should extend through college.",1
Keith Grover,immigration,https://ivoterguide.com/candidate/57813/race/16239/election/882,"Keith Grover's iVoterGuide survey responses on immigration: Strongly Agrees the U.S. should do more to physically secure the southern border and supports continuing the border wall. Supports those who complete proper immigration screening procedures and have been 'appropriately screened' through proper legal proceedings.",0
Keith Grover,healthcare,https://ivoterguide.com/candidate/57813/race/16239/election/882,"Keith Grover's iVoterGuide survey responses on healthcare: Selected the option that 'Tax-payer funded health care should be abolished in all forms, and Medicaid and Medicare should be de-funded.' On vaccine mandates: Responds 'Never' regarding government or employer vaccine requirements under any circumstances.",0
Keith Grover,taxes,https://ivoterguide.com/candidate/57813/race/16239/election/882,"Keith Grover's iVoterGuide survey responses on taxes and budget: Supports 'continued regimens to look for greater efficiency' in the tax system. States: 'In Utah we have a surplus. Spending should not increase and unneeded tax dollars should be returned to the taxpayer.' Strongly disagrees that taxpayer-funded education should extend through college.",0
Keith Grover,taxes,https://www.billsponsor.com/politicians/7426/keith-grover,"Keith Grover sponsored SB 236 (2026) titled 'Property Tax Exemption Process Amendments,' which was signed by the Governor on March 23, 2026. This bill addresses property tax exemption processes in Utah.",1
Keith Grover,ai-regulation,https://fastdemocracy.com/bill-search/ut/2025/bills/UTB00013549/,"Senator Keith Grover (R - District 23) voted YES on SB332 (Artificial Intelligence Revisions) on February 28, 2025 (2nd reading) and March 3, 2025 (3rd reading). The bill extended Utah's AI Policy Act until July 1, 2027. It passed with 25 YES votes, 0 NO votes in the Senate, and was signed into law March 25, 2025.",0
Keith Grover,ai-regulation,https://perkinscoie.com/insights/update/new-utah-ai-laws-change-disclosure-requirements-and-identity-protections-target,"SB 332 extended Utah's Artificial Intelligence Policy Act, which 'was scheduled to sunset on May 7, 2025, until July 1, 2027.' Related Utah 2025 AI laws included SB 226, which narrows the state's AI disclosure requirements, and HB 452, which imposes disclosure and advertising restrictions on mental health chatbots with penalties up to $2,500 per violation. These laws maintain a framework of disclosure requirements and accountability rather than imposing comprehensive AI bans.",1
