full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Monica Horton,-2970000006,campaign-finance,2,"Horton voted against advancing a substitute campaign finance ordinance in April 2026 that critics said weakened the original bill by removing the ethics commission and adding loopholes. She was one of only two council members to oppose the substitute, stating the original bill aligned with her view and that certain provisions of the substitute were still ""up in the air"" for her.",https://www.ksmu.org/news/2026-04-21/substitute-springfield-city-council-mayoral-campaign-finance-limit-bill-moves-forward,https://www.springfieldmo.gov/directory.aspx?EID=458,,"elements that are up in the air for her","elements that are up in the air for the Council Member"
Monica Horton,-2970000006,housing,3,"Horton's official council profile lists ""missing middle housing"" as one of her explicit Zone 1 advocacy priorities, alongside nuisance properties and neighborhood-scale commercial development. This indicates support for increasing housing density and affordability tools beyond the status quo but falls short of a mandate for large-scale public housing or rent caps.",https://www.springfieldmo.gov/directory.aspx?EID=458,,,,
Monica Horton,-2970000006,economic-development,3,"Horton's official council profile cites ""desirable neighborhood-scale commercial development"" as a Zone 1 priority and frames economic mobility as a systemic goal. She serves on the Finance and Administration Committee and questioned a proposed new staff hire for redevelopment in May 2026 — indicating she supports targeted economic development with accountability, not blanket corporate subsidies or unfettered market development.",https://www.springfieldmo.gov/directory.aspx?EID=458,https://www.ksmu.org/news/2026-05-27/city-council-question-on-budget-highlights-goals-on-redevelopment,,,
Brandon Jenson,-2970000008,housing,3,"Jenson explicitly stated ""Thank you for increasing the supply of housing in our community. We need every unit we can get"" when addressing apartment developers (Nov 2023), and voted to approve the East Division rezoning despite urban sprawl concerns saying ""the need for housing is too great."" He also sponsored the rental inspection pilot program (Nov 2025) and reserved $458K in budget funds for its expansion (Jun 2025), reflecting a mixed approach of supporting new supply alongside tenant protection mechanisms.",https://www.ksmu.org/news/2023-11-07/springfield-city-council-considers-rezoning-plans-for-two-more-apartment-complexes,https://www.ksmu.org/news/2025-11-04/springfield-city-council-approves-controversial-east-division-rezoning,https://www.ksmu.org/news/2025-06-10/springfield-city-council-votes-to-reserve-458k-toward-possible-rental-inspection-program,"Thank you for increasing the supply of housing in our community. We need every unit we can get.","Thank you for increasing the supply of housing in our community. We need every unit we can get."
Brandon Jenson,-2970000008,growth-and-development,4,"Jenson voted yes on the controversial East Division outlying rezoning (Nov 2025), acknowledging sprawl concerns but concluding ""the need for housing is too great,"" indicating a strong pro-development tilt. He supported the Commercial-Pacific Street TIF redevelopment and consistently voted with the council majority on development approvals, suggesting an orientation toward streamlining growth.",https://www.ksmu.org/news/2025-11-04/springfield-city-council-approves-controversial-east-division-rezoning,https://www.ksmu.org/news/2024-04-09/council-approves-blight-designation-redevelopment-plan-for-springfields-historic-commercial-street,,"At some point we're going to have to draw a line in the sand. But until we can drive that market shift, the need for housing is too great.","At some point we're going to have to draw a line in the sand. But until we can drive that market shift, the need for housing is too great."
Brandon Jenson,-2970000008,residential-zoning,3,"Jenson co-sponsored the Feb 2026 resolution defending Springfield's charter provision allowing citizen referendum petitions on rezoning decisions, stating ""the charter is the collective voice of 75 years of Springfieldians"" — preserving neighborhood input mechanisms. At the same time he consistently voted to approve multifamily housing near existing corridors. He abstained on the University Heights remand vote (Oct 2025), reflecting a case-by-case approach rather than a blanket pro- or anti-density stance.",https://www.ksmu.org/news/2026-02-03/springfield-city-council-member-questions-chambers-support-of-bill-that-would-impact-the-city,https://www.ksmu.org/news/2026-02-09/springfield-city-council-approves-resolution-to-maintain-local-control-and-initiate-community-conversation,https://www.ksmu.org/news/2025-10-07/springfield-city-council-hears-arguments-on-university-heights-rezoning,"the charter is the collective voice of 75 years of Springfieldians","the charter is the collective voice of 75 years of Springfieldians"
Brandon Jenson,-2970000008,public-safety-approach,4,"Jenson co-sponsored a Feb 2026 resolution calling for a review of Springfield Police Department guidelines to improve traffic enforcement, stating ""We wonder why people feel unsafe in our community despite crime trends generally decreasing, and it's because people see little acts of lawlessness every single day with relatively few examples of enforcement."" He framed the SPD review as a data request aimed at removing enforcement obstacles — reflecting a pro-enforcement orientation rather than a redirect-funding approach.",https://www.ksmu.org/news/2026-02-03/springfield-city-council-approves-review-of-spd-guidelines,,,"We wonder why people feel unsafe in our community despite crime trends generally decreasing, and it's because people see little acts of lawlessness every single day with relatively few examples of enforcement when it happens.","We wonder why people feel unsafe in our community despite crime trends generally decreasing, and it's because people see little acts of lawlessness every single day with relatively few examples of enforcement when it happens."
Brandon Jenson,-2970000008,campaign-finance,2,"Jenson spoke in favor of the Springfield campaign finance contribution limits ordinance (May 2026), though he stated the final substitute bill was ""fundamentally weaker policy"" than he had wanted, indicating he pushed for stricter limits. He supported moving forward, saying he believes the bill is ""better than no bill"" and ""hopes this is just the first step"" — suggesting a preference for stronger limits on political donations.",https://www.ksmu.org/news/2026-05-04/springfield-city-council-approves-campaign-finance-contribution-limits,,,"the passage of a substitute bill at the last regular meeting resulted in a fundamentally weaker policy","the passage of a substitute bill at the last regular meeting resulted in a fundamentally weaker policy"
Brandon Jenson,-2970000008,transportation-priorities,3,"Jenson serves as the City Council Liaison to the Ozarks Transportation Organization and raised pedestrian connectivity concerns on a Grand Street apartment project in Oct 2023, asking whether the city was considering improvements including ""providing some sort of pedestrian connectivity across Grand."" His background in community planning and liaison role suggest active interest in multimodal infrastructure, but no strong primary-mode advocacy found.",https://www.ksmu.org/news/2023-10-03/springfield-city-council-considers-community-center-residential-developments,https://www.springfieldmo.gov/directory.aspx?EID=454,,"is the city considering any improvements — they added a median partly along Grand Street to help with some of the ingress and egress issues out of the Walmart Neighborhood Market. But is there any consideration of extending that median and/or ideally providing some sort of pedestrian connectivity across Grand?","Is the city considering any improvements — they added a median partly along Grand Street to help with some of the ingress and egress issues out of the Walmart Neighborhood Market. But is there any consideration of extending that median and/or ideally providing some sort of pedestrian connectivity across Grand?"
Brandon Jenson,-2970000008,economic-development,3,"Jenson serves as Finance and Administration Committee Chair and his professional background is as Director of Community Impact at United Way of the Ozarks and former CDBG program manager for the Missouri Department of Economic Development — roles focused on targeted community benefits. He voted with the council majority on the Commercial-Pacific Street TIF redevelopment plan (7-2) and was active on the ARPA Review Committee. This profile aligns with community-benefit-focused incentives rather than maximum-subsidy competition.",https://www.springfieldmo.gov/directory.aspx?EID=454,https://www.ksmu.org/news/2024-04-09/council-approves-blight-designation-redevelopment-plan-for-springfields-historic-commercial-street,,,,
