external_id	full_name	role	geo_id	email	phone	term_start	term_end	photo_url	source
	PENDING_RESEARCH	Council District 1							manual_research_2026-05
	PENDING_RESEARCH	Council District 2							manual_research_2026-05
	PENDING_RESEARCH	Council District 3							manual_research_2026-05
	PENDING_RESEARCH	Council District 4							manual_research_2026-05
	PENDING_RESEARCH	Council District 5							manual_research_2026-05
	PENDING_RESEARCH	Sheriff							manual_research_2026-05
	PENDING_RESEARCH	County Attorney							manual_research_2026-05
	PENDING_RESEARCH	Clerk/Auditor							manual_research_2026-05
	PENDING_RESEARCH	Recorder							manual_research_2026-05
	PENDING_RESEARCH	Assessor							manual_research_2026-05
	PENDING_RESEARCH	Treasurer							manual_research_2026-05
	PENDING_RESEARCH	Surveyor							manual_research_2026-05
