external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-2100001,Andy Beshear,abortion,2,"Beshear declared ""I'm pro-choice and I support Roe v. Wade"" (May 2019) and consistently vetoed abortion restrictions as governor, including a March 2025 bill limiting abortion to emergency situations. His vetoes were overridden by the Republican legislature but document his stance. He does not advocate for publicly funded abortion at all stages, aligning with stance 2 (legal through second trimester with rare exceptions).",https://www.ontheissues.org/Andy_Beshear.htm,https://en.wikipedia.org/wiki/Andy_Beshear,,"""I'm pro-choice and I support Roe v. Wade.""","""I'm pro-choice and I support Roe v. Wade."""
-2100001,Andy Beshear,healthcare,2,"Beshear restored and expanded Medicaid for 500,000+ Kentuckians upon taking office in 2019, relaunched the kynect health insurance exchange, and stated ""healthcare is a human right."" He protected preexisting condition coverage and defended ACA implementation. This reflects a mix of public programs and regulated private insurance rather than a fully public single-payer system.",https://en.wikipedia.org/wiki/Andy_Beshear,https://www.ontheissues.org/Andy_Beshear.htm,,"healthcare is a human right","healthcare is a human right"
-2100001,Andy Beshear,medicare/aid,3,"As governor Beshear expanded Medicaid in Kentucky and added dental, hearing, and vision coverage (Jan 2023), and he relaunched expanded Medicaid enrollment. He has not advocated for lowering the Medicare eligibility age to 55 or a major structural expansion. His actions align with improving current programs while controlling costs.",https://www.ontheissues.org/Andy_Beshear.htm,https://en.wikipedia.org/wiki/Andy_Beshear,,,
-2100001,Andy Beshear,taxes,2,"Beshear supports a consumption tax on luxury goods while exempting basic needs, has funded teacher pay raises, and opposes policies that primarily benefit the wealthy. His public statements reflect a moderately progressive tax posture — raising revenue from upper earners while protecting middle-class families.",https://www.ontheissues.org/Andy_Beshear.htm,,,,,
-2100001,Andy Beshear,same-sex-marriage,1,"Beshear stated ""Marriage equality for whomever you love"" (May 2019), became the first sitting Kentucky governor to attend a Fairness Campaign rally, and has consistently supported LGBTQ+ nondiscrimination protections. He signed an executive order banning conversion therapy for minors (2024) and vetoed multiple anti-LGBTQ bills. Aligns with requiring all states to recognize same-sex marriages with full protections.",https://www.ontheissues.org/Andy_Beshear.htm,https://en.wikipedia.org/wiki/Andy_Beshear,,"""Marriage equality for whomever you love.""","""Marriage equality for whomever you love."""
-2100001,Andy Beshear,trans-athletes,1,"Beshear vetoed Kentucky's SB 115, a transgender athlete ban barring transgender girls from school sports (March 2023), citing concern that the bill targeted vulnerable children. His veto was overridden by the legislature. Vetoing the ban is a direct documented action aligning with allowing transgender athletes to compete on teams matching their gender identity.",https://www.ontheissues.org/Andy_Beshear.htm,https://en.wikipedia.org/wiki/Andy_Beshear,,,
-2100001,Andy Beshear,voting-rights,2,"Beshear signed an executive order on his first day in office restoring voting rights to 180,315 Kentuckians convicted of nonviolent felonies (2019), making him — as of 2021 — the governor who had restored rights to more people than any other in U.S. history. He has stated he will ""fight for every Kentuckian's right to vote."" Actions align with expanding access to voting.",https://en.wikipedia.org/wiki/Andy_Beshear,https://www.ontheissues.org/Andy_Beshear.htm,,"fight for every Kentuckian's right to vote","fight for every Kentuckian's right to vote"
-2100001,Andy Beshear,civil-rights,2,"Beshear signed executive orders declaring Juneteenth a state holiday (May 2024) and banning discrimination based on hairstyles in state hiring (May 2024), launched a campaign to enroll African-American residents in Medicaid, and noted that 60% of his Attorney General office leadership were women or minorities. These actions reflect strengthening civil rights enforcement and addressing systemic discrimination.",https://en.wikipedia.org/wiki/Andy_Beshear,https://www.ontheissues.org/Andy_Beshear.htm,,,
-2100001,Andy Beshear,immigration,2,"As governor Beshear told the Trump administration that Kentucky would continue accepting refugees (December 2019) despite federal pressure to stop. He has opposed deportation intimidation tactics and expressed support for a pathway to citizenship for undocumented immigrants. Aligns with keeping legal immigration open and allowing most residents to use public services.",https://en.wikipedia.org/wiki/Andy_Beshear,https://www.ontheissues.org/Andy_Beshear.htm,,,
-2100001,Andy Beshear,deportation,2,"Beshear has opposed deportation intimidation tactics and supports a pathway to citizenship for undocumented immigrants. He continued welcoming refugees when the federal government tried to halt them. His stance aligns with deporting only those convicted of serious violent crimes rather than broad enforcement.",https://www.ontheissues.org/Andy_Beshear.htm,https://en.wikipedia.org/wiki/Andy_Beshear,,,
-2100001,Andy Beshear,climate-change,3,"Beshear has stated ""climate change is real"" and supports developing renewables, and positioned Kentucky as an EV battery production capital (Jan 2024). However, he also advocates an ""all-of-the-above"" energy approach including ""clean coal"" technology and low utility bills. This balances investment in clean energy with continued reliance on fossil fuels, aligning with stance 3.",https://www.ontheissues.org/Andy_Beshear.htm,https://en.wikipedia.org/wiki/Andy_Beshear,,"climate change is real; develop renewables","climate change is real; develop renewables"
-2100001,Andy Beshear,fossil-fuels,3,"Beshear supports an ""all-of-the-above"" energy approach that includes both renewables and continued fossil fuel production including ""clean coal"" technology. He has promoted Kentucky as an EV hub while maintaining existing energy industries. This aligns with maintaining current levels of fossil fuel production with existing environmental regulations rather than expanding or banning.",https://www.ontheissues.org/Andy_Beshear.htm,https://en.wikipedia.org/wiki/Andy_Beshear,,,
