# Jul-15 independent window: execution 2026-07-05 is BEFORE the 2026-07-15 filing deadline -> window OPEN; seeded known decided field, SC flagged for Phase-167 re-pull. No new independents possible yet.
cd,geo_id,full_name,party_from_field,role,decision,assign_external_id,is_incumbent,source
1,4501,"Nancy Mace",Republican,R,REUSE-NO-ROW,-45001,true,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
1,4501,"Jenny Costa Honeycutt",Republican,R,NEW,-450101,false,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
1,4501,"Nancy Lacore",Democratic,D,NEW,-450102,false,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
1,4501,"Bill Reeside",Libertarian,L,NEW,-450103,false,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
1,4501,"Margo Ellis",Alliance,Alliance,NEW,-450104,false,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
2,4502,"Joe Wilson",Republican,R,REUSE,-45002,true,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
2,4502,"Zyon Khalifa",Democratic,D,NEW,-450201,false,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
2,4502,"Dayna Alane Smith",Workers,Workers,NEW,-450202,false,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
3,4503,"Sheri Biggs",Republican,R,REUSE,-45003,true,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
3,4503,"Eunice Lehmacher",Democratic,D,NEW,-450301,false,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
3,4503,"Brian Corriea",Libertarian,L,NEW,-450302,false,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
4,4504,"William R. Timmons IV",Republican,R,REUSE,-45004,true,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
4,4504,"Courtney McClain",Democratic,D,NEW,-450401,false,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
4,4504,"Jessica Ethridge",Libertarian,L,NEW,-450402,false,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
5,4505,"Ralph Norman",Republican,R,REUSE-NO-ROW,-45005,true,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
5,4505,"Wes Climer",Republican,R,NEW,-450501,false,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
5,4505,"Mallory Dittmer",Democratic,D,NEW,-450502,false,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
5,4505,"Andy Kaplan",Forward,Forward,NEW,-450503,false,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
6,4506,"James E. Clyburn",Democratic,D,REUSE,-45006,true,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
6,4506,"John Peterson",Republican,R,NEW,-450601,false,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
6,4506,"Joseph Oddo",Alliance,Alliance,NEW,-450602,false,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
7,4507,"Russell Fry",Republican,R,REUSE,-45007,true,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
7,4507,"John Vincent",Democratic,D,NEW,-450701,false,"160-field-table-p163.csv (SC rows), sourced from Wikipedia 2026 US House elections in South Carolina; decided general field"
