external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-800002,Dianne Primavera,abortion,2,"Primavera is a four-time cancer survivor who built her legislative career around reproductive health and cancer-related insurance protections, sponsoring repeated bills mandating coverage for breast and cervical cancer screening and extending the Colorado Breast and Cervical Cancer Treatment and Prevention program. The Polis-Primavera ticket ran on an explicit pro-choice platform and the administration publicly opposed the Dobbs ruling. She was endorsed by NARAL Pro-Choice Colorado and Planned Parenthood Action Fund Rocky Mountain across her campaigns. This record aligns with keeping abortion legal and accessible through the second trimester.",https://en.wikipedia.org/wiki/Dianne_Primavera,https://leg.colorado.gov/legislators/dianne-primavera,,,
-800002,Dianne Primavera,civil-rights,2,"Primavera sponsored SB16-077 (Employment First for Persons with Disabilities), advancing competitive integrated employment over sheltered workshops, and HB16-1048 (Business Enterprise Program Expansion for persons with disabilities). These bills reflect a consistent record of strengthening civil-rights enforcement to address systemic barriers in employment and economic opportunity for marginalized groups.",https://leg.colorado.gov/legislators/dianne-primavera,https://en.wikipedia.org/wiki/Dianne_Primavera,,,
-800002,Dianne Primavera,climate-change,3,"As Lt. Governor, Primavera championed Colorado's Climate Corps initiative, a clean-energy workforce program that was later cited as a model for President Biden's national American Climate Corps. The Colorado Sun's coverage of her tenure confirms her focus on environmental workforce development and clean-energy investment. This aligns with investing in clean energy while gradually reducing reliance on fossil fuels, not an immediate ban or emergency declaration.",https://coloradosun.com/tag/dianne-primavera/,https://en.wikipedia.org/wiki/Dianne_Primavera,,,
-800002,Dianne Primavera,deportation,2,"The Polis-Primavera administration supported Colorado SB21-131 (2021), which restricts state agencies from sharing personal identifying information with federal immigration enforcement authorities, limiting data that could be used for deportation operations. This reflects a position of protecting long-term residents from removal, consistent with deporting only those convicted of serious violent crimes.",https://leg.colorado.gov/bills/sb21-131,,,
-800002,Dianne Primavera,fossil-fuels,3,"Primavera's Climate Corps initiative focuses on clean-energy workforce development, reflecting a preference for clean-energy investment. However, no evidence was found of her personally calling for a ban on new drilling permits or permits expansion. Colorado under Polis-Primavera maintained existing oil and gas regulation through the COGCC without banning new permits, consistent with maintaining current production levels with existing environmental regulations.",https://coloradosun.com/tag/dianne-primavera/,https://en.wikipedia.org/wiki/Dianne_Primavera,,,
-800002,Dianne Primavera,healthcare,2,"During four terms in the Colorado House, Primavera sponsored repeated legislation requiring insurance coverage for cancer screening (HB16-1387 protein allergy coverage; cervical cancer vaccination coverage; breast cancer clinical-trial protections), and SB16-027 (Medicaid mail-order prescription drug access). As Lt. Governor, she heads the Office of Saving People Money on Health Care, advancing Colorado's public health insurance option and drug-pricing reforms. This record reflects support for expanded coverage through a mix of public programs and regulated private insurance.",https://leg.colorado.gov/bills/hb16-1387,https://leg.colorado.gov/legislators/dianne-primavera,https://en.wikipedia.org/wiki/Dianne_Primavera,,
-800002,Dianne Primavera,homelessness,3,"As Lt. Governor overseeing youth services, Primavera oversaw consideration of converting a former youth corrections campus into a homeless recovery center, reflecting a services-based approach to homelessness. This is consistent with allowing enforcement only when shelter alternatives are available and diverting people to services rather than criminal penalties, but falls short of decriminalizing public sleeping outright.",https://coloradosun.com/tag/dianne-primavera/,,,
-800002,Dianne Primavera,housing,3,"Primavera's work on converting a former youth corrections facility into housing for people experiencing homelessness reflects targeted government intervention in housing. No evidence of rent-cap advocacy or public housing mandates, nor of deregulation advocacy. Consistent with offering targeted assistance through subsidies and streamlined approaches.",https://coloradosun.com/tag/dianne-primavera/,https://en.wikipedia.org/wiki/Dianne_Primavera,,,
-800002,Dianne Primavera,immigration,2,"The Polis-Primavera administration supported Colorado SB21-131 (2021), which limits state agency sharing of personal data with federal immigration enforcement, effectively protecting undocumented residents' access to public services. This aligns with keeping legal immigration open while allowing immigrants regardless of status to use public services.",https://leg.colorado.gov/bills/sb21-131,,,
-800002,Dianne Primavera,medicare/aid,3,"Primavera sponsored SB16-027 (Medicaid mail-order prescription drug option) and authored bills expanding Medicaid coverage mandates for vaccines and cancer screenings during her legislative tenure. These actions reflect improving current Medicaid programs and controlling costs. No evidence found of advocacy for lowering the Medicare age to 55 or for privatization.",https://leg.colorado.gov/legislators/dianne-primavera,https://en.wikipedia.org/wiki/Dianne_Primavera,,,
-800002,Dianne Primavera,voting-rights,2,"The Polis-Primavera administration signed SB21-250 (2021), which expanded automatic voter registration and strengthened Colorado's all-mail-ballot system. Colorado was already a universal vote-by-mail state; the 2021 law further streamlined automatic registration through state agencies and expanded online registration. This record aligns with expanding early voting and making mail-in voting available to all voters without excuse.",https://leg.colorado.gov/bills/sb21-250,,,
