full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
John W. Mannion,,abortion,2,"Mannion co-sponsored HR 12, the Women's Health Protection Act of 2025, which would codify federal abortion access through viability (second trimester) with limited exceptions afterward. This is the standard Democratic caucus position aligning with stance 2.",https://api.congress.gov/v3/member/M001231/cosponsored-legislation?api_key=DEMO_KEY&format=json,,,,
John W. Mannion,,same-sex-marriage,1,"Mannion co-sponsored HR 15 (Equality Act of 2025), which would prohibit discrimination based on sexual orientation and gender identity in all federally funded programs and require full federal recognition of same-sex marriages. He is also a member of the Congressional Equality Caucus.",https://api.congress.gov/v3/member/M001231/cosponsored-legislation?api_key=DEMO_KEY&format=json,https://en.wikipedia.org/wiki/John_Mannion_(American_politician),,,
John W. Mannion,,voting-rights,2,"Mannion co-sponsored HR 14, the John R. Lewis Voting Rights Advancement Act of 2025, which would restore and expand the Voting Rights Act's pre-clearance requirements and expand early and mail-in voting access for all voters.",https://api.congress.gov/v3/member/M001231/cosponsored-legislation?api_key=DEMO_KEY&format=json,,,,
John W. Mannion,,campaign-finance,2,"Mannion co-sponsored the DISCLOSE Act of 2026 (HR 7802) requiring disclosure of dark money donations, and co-sponsored HJRES 121 and HJRES 122 — constitutional amendments to allow Congress and states to strictly limit corporate contributions and expenditures in elections. This reflects a stance favoring strict limits on corporate donations and dark money.",https://api.congress.gov/v3/member/M001231/cosponsored-legislation?api_key=DEMO_KEY&format=json,,,,
John W. Mannion,,immigration,2,"Mannion co-sponsored HR 1589, the American Dream and Promise Act of 2025, which would provide a pathway to citizenship for DACA recipients and TPS holders, keeping legal immigration open with expanded pathways. His support for the Equality Act also extends public services protections broadly.",https://api.congress.gov/v3/member/M001231/cosponsored-legislation?api_key=DEMO_KEY&format=json,,,,
John W. Mannion,,deportation,3,"Mannion co-sponsored HR 6521 (Immigration Court Due Process Protection Act of 2025) and HR 5973 (Stop Excessive Force in Immigration Act of 2025), focusing on procedural protections rather than stopping all deportations. His support for DACA/TPS pathways suggests a focus on protecting long-term residents while not opposing enforcement for recent border crossers. No evidence of a full deportation halt.",https://api.congress.gov/v3/member/M001231/cosponsored-legislation?api_key=DEMO_KEY&format=json,,,,
John W. Mannion,,ukraine-support,2,"Mannion co-sponsored HR 2913, the Ukraine Support Act, in the 119th Congress, signaling continued support for providing military and economic aid to help Ukraine defend itself at current or similar levels.",https://api.congress.gov/v3/member/M001231/cosponsored-legislation?api_key=DEMO_KEY&format=json,,,,
John W. Mannion,,childcare,2,"Mannion co-sponsored HR 1296, the Expanding Child Care Access Act of 2025, which significantly expands subsidies and access to childcare for low- and middle-income families. He also co-sponsored the Early Childhood Workforce Advancement Act (HR 8937) and the FAMILY Act (HR 5390).",https://api.congress.gov/v3/member/M001231/cosponsored-legislation?api_key=DEMO_KEY&format=json,,,,
John W. Mannion,,taxes,2,"Mannion co-sponsored HR 2743 (Raise the Wage Act of 2025) and the Working Americans' Tax Cut Act (HR 7937), and supported the American Affordability Act (HR 6900). These reflect a stance of modestly raising effective taxes on higher earners while providing tax relief to working-class families, consistent with stance 2.",https://api.congress.gov/v3/member/M001231/cosponsored-legislation?api_key=DEMO_KEY&format=json,,,,
John W. Mannion,,civil-rights,2,"Mannion co-sponsored HR 15 (Equality Act), strengthening civil rights enforcement for LGBTQ+ individuals in employment, housing, and public accommodations. He is a member of the Congressional Equality Caucus. His co-sponsorship of civil rights legislation reflects a stance of strengthening enforcement and addressing systemic discrimination.",https://api.congress.gov/v3/member/M001231/cosponsored-legislation?api_key=DEMO_KEY&format=json,https://en.wikipedia.org/wiki/John_Mannion_(American_politician),,,
John W. Mannion,,tariffs,3,"Mannion co-sponsored HR 1548, the Leveling the Playing Field 2.0 Act, which uses targeted tariffs and trade enforcement tools to protect American industries from unfair foreign competition. This reflects selective tariff use to protect key industries rather than broad tariff imposition or elimination.",https://api.congress.gov/v3/member/M001231/cosponsored-legislation?api_key=DEMO_KEY&format=json,,,,
John W. Mannion,,healthcare,2,"Mannion co-sponsored the Restoring Essential Healthcare Act (HR 4796), the Provider Reimbursement Stability Act (HR 8163), the Save Healthcare Workers Act (HR 3178), and the Resident Physician Shortage Reduction Act (HR 4731). These bills expand coverage through a mix of public programs and regulated private insurance. As a New Democrat Coalition member, he does not support single-payer but favors broad coverage expansion.",https://api.congress.gov/v3/member/M001231/cosponsored-legislation?api_key=DEMO_KEY&format=json,https://en.wikipedia.org/wiki/John_Mannion_(American_politician),,,
John W. Mannion,,trans-athletes,2,"Mannion is a member of the Congressional Equality Caucus and co-sponsored HR 15 (Equality Act of 2025), which would prohibit discrimination against transgender individuals in all domains. No evidence of support for bans or strict biological-sex-only requirements. His caucus membership and Equality Act co-sponsorship align with allowing transgender athletes to compete after basic transition documentation.",https://api.congress.gov/v3/member/M001231/cosponsored-legislation?api_key=DEMO_KEY&format=json,https://en.wikipedia.org/wiki/John_Mannion_(American_politician),,,
John W. Mannion,,social-security,2,"Mannion co-sponsored the Supplemental Security Income Restoration Act of 2026 (HR 7828), which increases SSI benefit levels, and the Protecting Supplemental Security Income for Disaster Victims Act (HR 6724). These reflect a stance of modestly increasing benefits while preserving the program. No evidence of privatization or phaseout.",https://api.congress.gov/v3/member/M001231/cosponsored-legislation?api_key=DEMO_KEY&format=json,,,,
