action,bucket,full_name,external_id,state,office_title,seated,is_active,topic_title,value,write_in_text,suspect_answers,total_answers,whole_compass_affected,politician_id,topic_id,sources,reasoning,last_stances_researched_at
RETIRE_NOW,no-context,Angela Romero,-332858,ut,State Representative District 25,t,t,Affordable Housing,2.0,,14,14,t,00af7081-b2f4-4b2d-add0-dd1c3d3b4787,669cac97-66a6-4087-b036-936fbe62efb3,,"",
RETIRE_NOW,no-context,Angela Romero,-332858,ut,State Representative District 25,t,t,Civil Rights and Social Justice,1.0,,14,14,t,00af7081-b2f4-4b2d-add0-dd1c3d3b4787,0bc588c6-39e1-4084-b5de-cac909b8b762,,"",
RETIRE_NOW,no-context,Angela Romero,-332858,ut,State Representative District 25,t,t,Climate Change and Environmental Protection,2.0,,14,14,t,00af7081-b2f4-4b2d-add0-dd1c3d3b4787,f1e44d66-5d27-4b51-b54f-b7ace86f6a3c,,"",
RETIRE_NOW,no-context,Angela Romero,-332858,ut,State Representative District 25,t,t,Criminalization of Homelessness,2.0,,14,14,t,00af7081-b2f4-4b2d-add0-dd1c3d3b4787,4938766b-b45a-46e3-93bd-b8b30651271a,,"",
RETIRE_NOW,no-context,Angela Romero,-332858,ut,State Representative District 25,t,t,Environmental Protection vs. Development,1.0,,14,14,t,00af7081-b2f4-4b2d-add0-dd1c3d3b4787,1935979c-b290-42e4-baa5-8cb0138b4ffa,,"",
RETIRE_NOW,no-context,Angela Romero,-332858,ut,State Representative District 25,t,t,Fossil Fuel Policy,2.0,,14,14,t,00af7081-b2f4-4b2d-add0-dd1c3d3b4787,a22215c3-6693-4bc2-b248-01aebba14570,,"",
RETIRE_NOW,no-context,Angela Romero,-332858,ut,State Representative District 25,t,t,Healthcare Access,2.0,,14,14,t,00af7081-b2f4-4b2d-add0-dd1c3d3b4787,e8dad4a8-eb93-4931-91f5-d8fb5d7dd529,,"",
RETIRE_NOW,no-context,Angela Romero,-332858,ut,State Representative District 25,t,t,Homelessness Response,2.0,,14,14,t,00af7081-b2f4-4b2d-add0-dd1c3d3b4787,6fbf39ae-6b19-4182-b4c2-6a8d25c86c0f,,"",
RETIRE_NOW,no-context,Angela Romero,-332858,ut,State Representative District 25,t,t,Immigration and Treatment of Immigrants,1.0,,14,14,t,00af7081-b2f4-4b2d-add0-dd1c3d3b4787,4e2c69ce-591e-4197-9cd5-7aceff79d390,,"",
RETIRE_NOW,no-context,Angela Romero,-332858,ut,State Representative District 25,t,t,Public Safety Approach,2.0,,14,14,t,00af7081-b2f4-4b2d-add0-dd1c3d3b4787,e9ebefcd-c496-45e8-b816-a79f8442ba85,,"",
RETIRE_NOW,no-context,Angela Romero,-332858,ut,State Representative District 25,t,t,Reproductive Rights and Abortion Access,1.0,,14,14,t,00af7081-b2f4-4b2d-add0-dd1c3d3b4787,af2fdfd6-02c4-49df-b09c-cf8536f4773f,,"",
RETIRE_NOW,no-context,Angela Romero,-332858,ut,State Representative District 25,t,t,School Vouchers & Public Education Funding,1.0,,14,14,t,00af7081-b2f4-4b2d-add0-dd1c3d3b4787,00b95a6a-75db-4521-b523-3326bba938de,,"",
RETIRE_NOW,no-context,Angela Romero,-332858,ut,State Representative District 25,t,t,Transportation Priorities,1.0,,14,14,t,00af7081-b2f4-4b2d-add0-dd1c3d3b4787,ba59337e-30e2-4aba-a39a-426b3366eb27,,"",
RETIRE_NOW,no-context,Angela Romero,-332858,ut,State Representative District 25,t,t,Voting Rights and Electoral Integrity,2.0,,14,14,t,00af7081-b2f4-4b2d-add0-dd1c3d3b4787,d1792200-1d3b-4955-a0b7-0e6980d7a7b2,,"",
RETIRE_NOW,no-context,Hoang Nguyen,-305089,ut,State Representative District 23,t,t,Affordable Housing,2.0,,14,14,t,399b6cdd-f76b-4ef1-8cd1-4e30bce075b0,669cac97-66a6-4087-b036-936fbe62efb3,,"",
RETIRE_NOW,no-context,Hoang Nguyen,-305089,ut,State Representative District 23,t,t,Civil Rights and Social Justice,1.0,,14,14,t,399b6cdd-f76b-4ef1-8cd1-4e30bce075b0,0bc588c6-39e1-4084-b5de-cac909b8b762,,"",
RETIRE_NOW,no-context,Hoang Nguyen,-305089,ut,State Representative District 23,t,t,Climate Change and Environmental Protection,2.0,,14,14,t,399b6cdd-f76b-4ef1-8cd1-4e30bce075b0,f1e44d66-5d27-4b51-b54f-b7ace86f6a3c,,"",
RETIRE_NOW,no-context,Hoang Nguyen,-305089,ut,State Representative District 23,t,t,Criminalization of Homelessness,1.0,,14,14,t,399b6cdd-f76b-4ef1-8cd1-4e30bce075b0,4938766b-b45a-46e3-93bd-b8b30651271a,,"",
RETIRE_NOW,no-context,Hoang Nguyen,-305089,ut,State Representative District 23,t,t,Environmental Protection vs. Development,1.0,,14,14,t,399b6cdd-f76b-4ef1-8cd1-4e30bce075b0,1935979c-b290-42e4-baa5-8cb0138b4ffa,,"",
RETIRE_NOW,no-context,Hoang Nguyen,-305089,ut,State Representative District 23,t,t,Fossil Fuel Policy,2.0,,14,14,t,399b6cdd-f76b-4ef1-8cd1-4e30bce075b0,a22215c3-6693-4bc2-b248-01aebba14570,,"",
RETIRE_NOW,no-context,Hoang Nguyen,-305089,ut,State Representative District 23,t,t,Homelessness Response,1.0,,14,14,t,399b6cdd-f76b-4ef1-8cd1-4e30bce075b0,6fbf39ae-6b19-4182-b4c2-6a8d25c86c0f,,"",
RETIRE_NOW,no-context,Hoang Nguyen,-305089,ut,State Representative District 23,t,t,Immigration and Treatment of Immigrants,2.0,,14,14,t,399b6cdd-f76b-4ef1-8cd1-4e30bce075b0,4e2c69ce-591e-4197-9cd5-7aceff79d390,,"",
RETIRE_NOW,no-context,Hoang Nguyen,-305089,ut,State Representative District 23,t,t,Local Immigration Enforcement,2.0,,14,14,t,399b6cdd-f76b-4ef1-8cd1-4e30bce075b0,b9ccee94-ad96-4f10-b655-889d8e5abe92,,"",
RETIRE_NOW,no-context,Hoang Nguyen,-305089,ut,State Representative District 23,t,t,Reproductive Rights and Abortion Access,1.0,,14,14,t,399b6cdd-f76b-4ef1-8cd1-4e30bce075b0,af2fdfd6-02c4-49df-b09c-cf8536f4773f,,"",
RETIRE_NOW,no-context,Hoang Nguyen,-305089,ut,State Representative District 23,t,t,Same-Sex Marriage,1.0,,14,14,t,399b6cdd-f76b-4ef1-8cd1-4e30bce075b0,c5ab4eab-702f-49b8-9277-8ea53f3835c6,,"",
RETIRE_NOW,no-context,Hoang Nguyen,-305089,ut,State Representative District 23,t,t,School Vouchers & Public Education Funding,1.0,,14,14,t,399b6cdd-f76b-4ef1-8cd1-4e30bce075b0,00b95a6a-75db-4521-b523-3326bba938de,,"",
RETIRE_NOW,no-context,Hoang Nguyen,-305089,ut,State Representative District 23,t,t,State Redistricting and Gerrymandering,1.0,,14,14,t,399b6cdd-f76b-4ef1-8cd1-4e30bce075b0,48cc9585-ec22-4f53-8d42-6839828dd36f,,"",
RETIRE_NOW,no-context,Hoang Nguyen,-305089,ut,State Representative District 23,t,t,Voting Rights and Electoral Integrity,2.0,,14,14,t,399b6cdd-f76b-4ef1-8cd1-4e30bce075b0,d1792200-1d3b-4955-a0b7-0e6980d7a7b2,,"",
RETIRE_NOW,no-context,Nate Blouin,-399032,ut,State Senator District 13,t,t,Affordable Housing,2.0,,14,14,t,a02441f2-b338-45b1-bdf8-208b6bcc21b0,669cac97-66a6-4087-b036-936fbe62efb3,,"",
RETIRE_NOW,no-context,Nate Blouin,-399032,ut,State Senator District 13,t,t,Campaign Finance Reform,1.0,,14,14,t,a02441f2-b338-45b1-bdf8-208b6bcc21b0,92730f69-ae57-401c-8ad1-2d07834a895d,,"",
RETIRE_NOW,no-context,Nate Blouin,-399032,ut,State Senator District 13,t,t,Civil Rights and Social Justice,2.0,,14,14,t,a02441f2-b338-45b1-bdf8-208b6bcc21b0,0bc588c6-39e1-4084-b5de-cac909b8b762,,"",
RETIRE_NOW,no-context,Nate Blouin,-399032,ut,State Senator District 13,t,t,Climate Change and Environmental Protection,1.0,,14,14,t,a02441f2-b338-45b1-bdf8-208b6bcc21b0,f1e44d66-5d27-4b51-b54f-b7ace86f6a3c,,"",
RETIRE_NOW,no-context,Nate Blouin,-399032,ut,State Senator District 13,t,t,Fossil Fuel Policy,2.0,,14,14,t,a02441f2-b338-45b1-bdf8-208b6bcc21b0,a22215c3-6693-4bc2-b248-01aebba14570,,"",
RETIRE_NOW,no-context,Nate Blouin,-399032,ut,State Senator District 13,t,t,Healthcare Access,1.0,,14,14,t,a02441f2-b338-45b1-bdf8-208b6bcc21b0,e8dad4a8-eb93-4931-91f5-d8fb5d7dd529,,"",
RETIRE_NOW,no-context,Nate Blouin,-399032,ut,State Senator District 13,t,t,Homelessness Response,1.0,,14,14,t,a02441f2-b338-45b1-bdf8-208b6bcc21b0,6fbf39ae-6b19-4182-b4c2-6a8d25c86c0f,,"",
RETIRE_NOW,no-context,Nate Blouin,-399032,ut,State Senator District 13,t,t,Immigration and Treatment of Immigrants,1.0,,14,14,t,a02441f2-b338-45b1-bdf8-208b6bcc21b0,4e2c69ce-591e-4197-9cd5-7aceff79d390,,"",
RETIRE_NOW,no-context,Nate Blouin,-399032,ut,State Senator District 13,t,t,Reproductive Rights and Abortion Access,2.0,,14,14,t,a02441f2-b338-45b1-bdf8-208b6bcc21b0,af2fdfd6-02c4-49df-b09c-cf8536f4773f,,"",
RETIRE_NOW,no-context,Nate Blouin,-399032,ut,State Senator District 13,t,t,Same-Sex Marriage,1.0,,14,14,t,a02441f2-b338-45b1-bdf8-208b6bcc21b0,c5ab4eab-702f-49b8-9277-8ea53f3835c6,,"",
RETIRE_NOW,no-context,Nate Blouin,-399032,ut,State Senator District 13,t,t,School Vouchers & Public Education Funding,1.0,,14,14,t,a02441f2-b338-45b1-bdf8-208b6bcc21b0,00b95a6a-75db-4521-b523-3326bba938de,,"",
RETIRE_NOW,no-context,Nate Blouin,-399032,ut,State Senator District 13,t,t,Social Security,2.0,,14,14,t,a02441f2-b338-45b1-bdf8-208b6bcc21b0,87d20824-a6e9-407b-983c-65440084a0ab,,"",
RETIRE_NOW,no-context,Nate Blouin,-399032,ut,State Senator District 13,t,t,Taxation and Public Spending,1.0,,14,14,t,a02441f2-b338-45b1-bdf8-208b6bcc21b0,f7e5678d-dadd-4556-a2fc-446e24642ceb,,"",
RETIRE_NOW,no-context,Nate Blouin,-399032,ut,State Senator District 13,t,t,Voting Rights and Electoral Integrity,2.0,,14,14,t,a02441f2-b338-45b1-bdf8-208b6bcc21b0,d1792200-1d3b-4955-a0b7-0e6980d7a7b2,,"",
