candidate_name,office,district,party,date_filed,row_index,match_status,politician_id,recommended_action
James H. (Jim) Graham,US REPRESENTATIVE,"United States Representative, Ninth District",Democratic,2026-02-03,22,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Brad A. Meyer,US REPRESENTATIVE,"United States Representative, Ninth District",Democratic,2026-01-07,23,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Tim Peck,US REPRESENTATIVE,"United States Representative, Ninth District",Democratic,2026-02-05,24,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Keil L. Roark,US REPRESENTATIVE,"United States Representative, Ninth District",Democratic,2026-01-07,25,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Carrie L. Syczylo,STATE REPRESENTATIVE,"State Representative, District 060",Democratic,2026-02-03,136,matched_existing_no_source,35392708-1b50-48e0-a62d-b09c61a25192,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Amy Huffman Oliver,STATE REPRESENTATIVE,"State Representative, District 062",Democratic,2026-01-07,139,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Benjamin T Arrington,PROSECUTING ATTORNEY,"Prosecuting Attorney of Monroe County, 10th Judicial Circuit",Democratic,2026-01-28,210,matched_existing_no_source,ba1e0001-2026-4000-8000-000000000001,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Erika Oliphant,PROSECUTING ATTORNEY,"Prosecuting Attorney of Monroe County, 10th Judicial Circuit",Democratic,2026-01-07,211,matched_existing_no_source,ed914571-dd22-4ab5-b764-92a1a465e980,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Tanner Dale Branham,CLERK OF THE CIRCUIT COURT,Monroe County Circuit Court Clerk,Democratic,2026-01-12,234,matched_existing_no_source,88c1b0f1-470e-4d96-8518-306c92d12021,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Joe Davis,CLERK OF THE CIRCUIT COURT,Monroe County Circuit Court Clerk,Democratic,2026-02-05,235,matched_existing_no_source,c0c45428-53c9-473e-ba4b-dc956d1868f2,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Tree Martin Lucas,CLERK OF THE CIRCUIT COURT,Monroe County Circuit Court Clerk,Democratic,2026-01-20,236,matched_existing_no_source,609ee4ab-195b-4908-9463-9ff33c37688d,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Amy Swain,COUNTY RECORDER,Monroe County Recorder,Democratic,2026-01-07,262,matched_existing_no_source,fa4cbcff-06c5-4f31-a034-0c9b4b268868,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Ruben Marte',COUNTY SHERIFF,Monroe County Sheriff,Democratic,2026-01-07,296,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Bob Nyquist,COUNTY ASSESSOR,Monroe County Assessor,Democratic,2026-01-16,319,matched_existing_no_source,da3a4550-4a3e-449b-b4ca-bbc9b15a11d7,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Judith A. Sharp,COUNTY ASSESSOR,Monroe County Assessor,Democratic,2026-01-07,320,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Trent Deckard,COUNTY COMMISSIONER,"Monroe County Commissioner, District 1",Democratic,2026-01-08,348,matched_existing_no_source,db4e6911-9dbb-430e-831c-08be094fd637,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
David G. Henry,COUNTY COMMISSIONER,"Monroe County Commissioner, District 1",Democratic,2026-01-07,349,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Peter James Iversen,COUNTY COUNCIL MEMBER,"Monroe County Council, District 1",Democratic,2026-01-07,452,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
