external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-53008,Kim Schrier,abortion,1,"Schrier supports public funding of abortions through government health benefits and Planned Parenthood, opposes parental notification requirements, and identifies as the only pro-choice woman doctor in Congress. OnTheIssues rates her as strongly favoring unrestricted abortion rights and she has pledged to fight to increase Planned Parenthood funding.",https://www.ontheissues.org/House/Kim_Schrier.htm,https://www.ontheissues.org/House/Kim_Schrier_Abortion.htm,,"I have always supported a woman's right to choose. Control over our own bodies and reproductive choices is a key measure of women's equality.","I have always supported a woman's right to choose. Control over our own bodies and reproductive choices is a key measure of women's equality."
-53008,Kim Schrier,campaign-finance,2,"Schrier pledged to pass a constitutional amendment to overturn Citizens United to stop corporate money in elections. She voted YES on the For the People Act (2019, 2021) which expanded donation disclosure rules and established a small-dollar federal matching system for campaigns.",https://www.ontheissues.org/House/Kim_Schrier_Government_Reform.htm,https://www.ontheissues.org/House/Kim_Schrier.htm,,,,
-53008,Kim Schrier,civil-rights,2,"Schrier sponsored the Equality Act to extend comprehensive LGBTQ civil rights protections and voted YES on the George Floyd Justice in Policing Act (2021), which limited qualified immunity and strengthened accountability for law enforcement misconduct. She also co-sponsored the Equal Rights Amendment ratification deadline removal.",https://www.ontheissues.org/House/Kim_Schrier_Civil_Rights.htm,https://www.ontheissues.org/House/Kim_Schrier_Crime.htm,,"We need full equality.","We need full equality."
-53008,Kim Schrier,climate-change,3,"Schrier voted YES on the Inflation Reduction Act (2022) — the largest US climate investment in history — and supports redirecting fossil fuel subsidies toward renewable energy. She advocates for a transition to '100% clean energy within our lifetime' while applying science-based environmental policy, stopping short of emergency bans or a 2030 fossil fuel phase-out.",https://www.ontheissues.org/House/Kim_Schrier_Energy_+_Oil.htm,https://en.wikipedia.org/wiki/Inflation_Reduction_Act,,,
-53008,Kim Schrier,deportation,3,"Schrier supports DACA and a path to citizenship for long-term undocumented residents, while voting YES on the Laken Riley Act (January 2025), which mandates detention and deportation of undocumented immigrants who commit crimes including theft. This combination reflects a focus on criminal-record-based enforcement while protecting long-term residents.",https://en.wikipedia.org/wiki/Kim_Schrier,https://www.ontheissues.org/House/Kim_Schrier_Immigration.htm,,,
-53008,Kim Schrier,fossil-fuels,3,"Schrier supports redirecting federal subsidies away from oil and gas companies toward renewable energy, and voted YES on the Inflation Reduction Act (2022). She advocates 'climate change requires immediate action' but has not called for banning new drilling permits or maximizing extraction, reflecting a maintain-current-with-reform stance.",https://www.ontheissues.org/House/Kim_Schrier_Energy_+_Oil.htm,https://en.wikipedia.org/wiki/Inflation_Reduction_Act,,,
-53008,Kim Schrier,healthcare,2,"Schrier supports working 'toward a Medicare for All system' and proposes allowing all Americans to 'buy into Medicare on a sliding scale' as a public option — a mixed public/private approach. She is a strong ACA defender and has advocated stabilizing insurance markets and expanding coverage through regulated private insurance alongside public programs.",https://www.ontheissues.org/House/Kim_Schrier_Health_Care.htm,https://www.ontheissues.org/House/Kim_Schrier.htm,,,
-53008,Kim Schrier,immigration,2,"Schrier strongly supports keeping legal immigration open: she co-sponsored the NO BAN Act prohibiting religious discrimination in immigration, backed the Fairness for High-Skilled Immigrants Act to raise visa caps, supports DACA codification and a path to citizenship, opposes the border wall, and states that 'immigrants are critical contributors to the economy in my district.'",https://www.ontheissues.org/House/Kim_Schrier_Immigration.htm,https://www.ontheissues.org/House/Kim_Schrier.htm,,,
-53008,Kim Schrier,medicare/aid,2,"Schrier supports a public option to 'buy into Medicare on a sliding scale,' aligning with expanding Medicare access significantly. She received a 2022 endorsement from the National Committee to Preserve Social Security and Medicare for protecting these programs. Her stated goal of working 'toward a Medicare for All system' signals strong support for expansion.",https://www.ontheissues.org/House/Kim_Schrier_Health_Care.htm,https://www.ontheissues.org/House/Kim_Schrier_Social_Security.htm,,,
-53008,Kim Schrier,redistricting,1,"Schrier voted YES on the For the People Act (2019) and co-sponsored the subsequent H.R. 1 (2021), both of which mandate states establish independent nonpartisan redistricting commissions and prohibit partisan gerrymandering. This directly aligns with the value-1 stance of independent citizens' commissions with no elected officials involved.",https://www.ontheissues.org/House/Kim_Schrier_Government_Reform.htm,https://www.ontheissues.org/House/Kim_Schrier.htm,,,
