full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
Steve Marshall,-400101,abortion,5,"Strongly opposes abortion rights; as Alabama AG argued that helping women travel out of state for abortions is prosecutable and sued to block DACA; led the Rule of Law Defense Fund that organized the Jan 6 rally preceding the Capitol attack; has championed Alabama's near-total abortion ban.",https://www.ontheissues.org/Senate/Steve_Marshall.htm,https://en.wikipedia.org/wiki/Steve_Marshall_(attorney_general),
Steve Marshall,-400101,fossil-fuels,4,"Supports American energy independence through fossil fuels; OTI records show strong support for domestic oil, gas, and coal production as central to economic security and national defense.",https://www.ontheissues.org/Senate/Steve_Marshall.htm,,
Steve Marshall,-400101,healthcare,5,"Strongly opposes the ACA; described it as a failed experiment; opposes government-mandated healthcare; supports repeal and replacement with market-based alternatives.",https://www.ontheissues.org/Senate/Steve_Marshall.htm,,
Steve Marshall,-400101,immigration,5,"Strongly supports strict immigration enforcement; sued to block DACA; supported deportation of criminal aliens; advocates for border security wall; joined multistate briefs on immigration enforcement.",https://www.ontheissues.org/Senate/Steve_Marshall.htm,https://en.wikipedia.org/wiki/Steve_Marshall_(attorney_general),
Steve Marshall,-400101,trans-athletes,5,"Strongly opposes transgender women in women's sports; advocates keeping biological males out of women's sports; supported Alabama's ban on gender-affirming care for minors.",https://www.ontheissues.org/Senate/Steve_Marshall.htm,,
Steve Marshall,-400101,taxes,4,"Supports making TCJA permanent; supports tax cuts for working families and businesses; opposes Biden-era tax increases.",https://www.ontheissues.org/Senate/Steve_Marshall.htm,,
Steve Marshall,-400101,social-security,5,"OTI records show strong support for privatizing Social Security; favors allowing workers to invest in private accounts instead of the government-run program.",https://www.ontheissues.org/Senate/Steve_Marshall.htm,,
Steve Marshall,-400101,school-vouchers,4,"Supports eliminating the Department of Education and redirecting education funding to states and families; supports school choice and parental rights in education.",https://www.ontheissues.org/Senate/Steve_Marshall.htm,,
Steve Marshall,-400101,religious-freedom,5,"Strongly supports religious freedom; supports prayer in government settings; has defended religious exemptions from anti-discrimination rules; backed First Amendment protections for faith-based organizations.",https://www.ontheissues.org/Senate/Steve_Marshall.htm,,
Steve Marshall,-400101,civil-rights,5,"Strongly opposes DEI programs and race-based policies; filed lawsuit challenging curbside voting in Alabama; opposed affirmative action; sued to block policies he characterized as preferential treatment based on race.",https://www.ontheissues.org/Senate/Steve_Marshall.htm,https://en.wikipedia.org/wiki/Steve_Marshall_(attorney_general),
Steve Marshall,-400101,voting-rights,5,"Challenged curbside voting as Alabama AG; filed election fraud lawsuits related to Jan 6; argued that 2020 election results were illegitimate in legal filings; supported stricter voter ID and election integrity measures.",https://www.ontheissues.org/Senate/Steve_Marshall.htm,https://en.wikipedia.org/wiki/Steve_Marshall_(attorney_general),
Steve Marshall,-400101,redistricting,5,"Led Rule of Law Defense Fund that helped organize the Jan 6 rally; filed lawsuits challenging the 2020 election; strongly supports conservative redistricting; supported Republican-drawn maps in Alabama.",https://en.wikipedia.org/wiki/Steve_Marshall_(attorney_general),,
Barry Moore,-400102,abortion,5,"Strongly anti-abortion; supports life at conception with no exceptions; key bill co-sponsor on national life protection; OTI shows maximum opposition to abortion rights.",https://www.ontheissues.org/Senate/Barry_Moore.htm,,
Barry Moore,-400102,same-sex-marriage,5,"Strongly opposes same-sex marriage; did not vote for the Respect for Marriage Act to codify marriage equality; OTI shows maximum opposition.",https://www.ontheissues.org/Senate/Barry_Moore.htm,,
Barry Moore,-400102,healthcare,5,"Strongly opposes universal healthcare; supports private insurance only; opposes government-run healthcare programs; voted against ACA expansions.",https://www.ontheissues.org/Senate/Barry_Moore.htm,,
Barry Moore,-400102,social-security,5,"Supports privatizing Social Security; OTI records indicate support for allowing workers to have tax-free options with private accounts rather than the government-run system.",https://www.ontheissues.org/Senate/Barry_Moore.htm,,
Barry Moore,-400102,immigration,5,"Strongly opposes sanctuary cities; supports border wall; favors moratorium on legal immigration; voted against immigration reform bills; OTI shows maximum restrictionist stance.",https://www.ontheissues.org/Senate/Barry_Moore.htm,,
Barry Moore,-400102,civil-rights,5,"Opposes reparations for slavery; opposes DEI programs; anti-LGBTQ+ protected class status; OTI shows maximum opposition to civil rights expansions.",https://www.ontheissues.org/Senate/Barry_Moore.htm,,
Barry Moore,-400102,religious-freedom,5,"Strongly supports religious freedom; supports prayer in schools and government; backed religious exemptions from LGBTQ+ anti-discrimination rules.",https://www.ontheissues.org/Senate/Barry_Moore.htm,,
Barry Moore,-400102,trans-athletes,5,"Strongly opposes transgender women competing in women's sports; co-sponsored legislation to ban transgender athletes from women's sports.",https://www.ontheissues.org/Senate/Barry_Moore.htm,,
Barry Moore,-400102,school-vouchers,4,"Supports school choice; backs education savings accounts and voucher programs to redirect funding from public schools to private alternatives.",https://www.ontheissues.org/Senate/Barry_Moore.htm,,
Barry Moore,-400102,taxes,4,"Voted for the largest tax cut in history (TCJA); supports making tax cuts permanent; opposes tax increases on businesses and individuals.",https://www.ontheissues.org/Senate/Barry_Moore.htm,,
Barry Moore,-400102,voting-rights,4,"Objected to the 2020 presidential election results; supported election integrity measures including stricter voter ID requirements; opposed mail-in voting expansions.",https://www.ontheissues.org/Senate/Barry_Moore.htm,,
Mary Peltola,-400103,abortion,2,"Pro-choice; supports protecting women's reproductive health including IVF access; opposes abortion bans; has publicly stated support for Roe v Wade protections.",https://www.ontheissues.org/Senate/Mary_Peltola.htm,,
Mary Peltola,-400103,civil-rights,2,"Supports LGBTQ+ protections and diversity initiatives; supports civil rights expansions; strong record on Indigenous rights as an Alaska Native herself.",https://www.ontheissues.org/Senate/Mary_Peltola.htm,,
Mary Peltola,-400103,healthcare,2,"Supports public option and protecting Medicaid expansion; advocates for healthcare access in rural Alaska; opposes cuts to federal health programs.",https://www.ontheissues.org/Senate/Mary_Peltola.htm,,
Mary Peltola,-400103,school-vouchers,1,"Strongly opposes school vouchers; opposed education savings accounts and privatization schemes that divert public school funding.",https://www.ontheissues.org/Senate/Mary_Peltola.htm,,
Mary Peltola,-400103,taxes,2,"Supports raising taxes on the wealthy; backs child tax credit and working family tax relief; opposes tax breaks that primarily benefit corporations and the rich.",https://www.ontheissues.org/Senate/Mary_Peltola.htm,,
Mary Peltola,-400103,voting-rights,2,"Supports ranked choice voting; supports automatic voter registration; opposes restrictions on voting access.",https://www.ontheissues.org/Senate/Mary_Peltola.htm,,
Mary Peltola,-400103,climate-change,2,"Accepts climate science; acknowledges Alaska is experiencing devastating effects of climate change; supports climate action especially for Arctic and coastal communities.",https://www.ontheissues.org/Senate/Mary_Peltola.htm,,
Mary Peltola,-400103,fossil-fuels,3,"Nuanced position for Alaska: supports responsible resource development with local control; backs responsible development of Alaska's oil and gas as part of the local economy while supporting renewable energy transition.",https://www.ontheissues.org/Senate/Mary_Peltola.htm,,
Mary Peltola,-400103,immigration,3,"Mixed signals; prioritizes Alaskan jobs and workers; supports immigration reform but with pragmatic approach to workforce needs; not strongly restrictionist or expansionist.",https://www.ontheissues.org/Senate/Mary_Peltola.htm,,
Mary Peltola,-400103,ukraine-support,2,"Supports Ukraine against Russian aggression; views Russia as a real enemy; supports US engagement in countering Russian influence.",https://www.ontheissues.org/Senate/Mary_Peltola.htm,,
Mary Peltola,-400103,social-security,2,"Supports protecting Social Security; opposes privatization; backs maintaining and strengthening the program for seniors.",https://www.ontheissues.org/Senate/Mary_Peltola.htm,,
Dakarai Larriett,-400104,abortion,2,"Democratic candidate from Birmingham; supports reproductive rights and access to abortion; standard Democratic position on protecting women's healthcare choices and bodily autonomy.",https://en.wikipedia.org/wiki/2026_United_States_Senate_election_in_Alabama,,
Dakarai Larriett,-400104,healthcare,2,"Supports expanding healthcare access; as a Democrat in Alabama running to unseat Tommy Tuberville, advocates for healthcare as a right and expanding Medicaid access in Alabama.",https://en.wikipedia.org/wiki/2026_United_States_Senate_election_in_Alabama,,
Dakarai Larriett,-400104,civil-rights,2,"Supports LGBTQ+ protections and civil rights expansions; endorsed by progressive Alabama state legislators including Patricia Todd, first openly gay Alabama legislator.",https://en.wikipedia.org/wiki/2026_United_States_Senate_election_in_Alabama,,
Dakarai Larriett,-400104,voting-rights,2,"Supports voting access and voting rights protections; opposes voter suppression; as a Black Democratic candidate in Alabama, backs full voting rights enforcement.",https://en.wikipedia.org/wiki/2026_United_States_Senate_election_in_Alabama,,
Dakarai Larriett,-400104,immigration,2,"Supports humane immigration reform; backs pathway to citizenship and family reunification; opposes mass deportation policies.",https://en.wikipedia.org/wiki/2026_United_States_Senate_election_in_Alabama,,
Dakarai Larriett,-400104,climate-change,2,"Supports climate action and environmental protections; backs clean energy transition and climate science as a Democratic Senate candidate.",https://en.wikipedia.org/wiki/2026_United_States_Senate_election_in_Alabama,,
Dakarai Larriett,-400104,taxes,2,"Supports fair taxation including higher taxes on the wealthy and corporations; backs tax relief for working and middle-class Alabamians.",https://en.wikipedia.org/wiki/2026_United_States_Senate_election_in_Alabama,,
Dakarai Larriett,-400104,social-security,2,"Supports protecting and expanding Social Security; opposes privatization or benefit cuts; advocates for the program's long-term stability.",https://en.wikipedia.org/wiki/2026_United_States_Senate_election_in_Alabama,,
Dakarai Larriett,-400104,economic-development,2,"Small business owner and petcare entrepreneur from Birmingham; focuses on economic opportunity and support for small businesses and working families in Alabama.",https://en.wikipedia.org/wiki/2026_United_States_Senate_election_in_Alabama,,
Dakarai Larriett,-400104,school-vouchers,1,"Opposes school vouchers and privatization of public education; supports public school funding and access to quality education for all Alabama children.",https://en.wikipedia.org/wiki/2026_United_States_Senate_election_in_Alabama,,
Hallie Shoffner,-400105,economic-development,2,"Sixth-generation farmer from Newport, AR who shut down her family soybean and rice farm after the 2024 season due to untenable economics; running to fight for working families and fix the rigged system; studied public service at Clinton School; advocates for agricultural communities.",https://www.hallieshoffner.com,,
Hallie Shoffner,-400105,climate-change,2,"As a farmer and conservation advocate, supports sustainable farming, regional food production systems, and environmental stewardship; backed conservation policies during her farming career.",https://www.hallieshoffner.com,,
Hallie Shoffner,-400105,abortion,2,"Democratic Senate nominee in Arkansas; supports reproductive rights and women's healthcare access; standard Democratic position on protecting abortion access.",https://en.wikipedia.org/wiki/2026_United_States_Senate_election_in_Arkansas,,
Hallie Shoffner,-400105,healthcare,2,"Supports expanding healthcare access; advocates for working families who cannot afford healthcare; as a Democratic candidate against Tom Cotton, backs ACA protections and Medicaid expansion.",https://en.wikipedia.org/wiki/2026_United_States_Senate_election_in_Arkansas,,
Hallie Shoffner,-400105,taxes,2,"Opposes the rigged system that benefits large donors over working families; supports tax fairness for small businesses and working Arkansans; backed progressive tax reform.",https://www.hallieshoffner.com,,
Hallie Shoffner,-400105,social-security,2,"Supports protecting Social Security and Medicare for Arkansas seniors; opposes benefit cuts and privatization schemes.",https://en.wikipedia.org/wiki/2026_United_States_Senate_election_in_Arkansas,,
Hallie Shoffner,-400105,campaign-finance,2,"Running explicitly against big-money politics and million-dollar donors; advocates for campaign finance reform and getting dark money out of politics; grassroots small-dollar funded campaign.",https://www.hallieshoffner.com,,
Hallie Shoffner,-400105,voting-rights,2,"Supports voting access and electoral integrity; as a Democrat in Arkansas, backs measures to protect voting rights and expand democratic participation.",https://en.wikipedia.org/wiki/2026_United_States_Senate_election_in_Arkansas,,
Hallie Shoffner,-400105,civil-rights,2,"Supports civil rights protections and equality; as the Democratic nominee in a conservative state, backs LGBTQ+ protections and anti-discrimination measures.",https://en.wikipedia.org/wiki/2026_United_States_Senate_election_in_Arkansas,,
Hallie Shoffner,-400105,immigration,3,"Moderate position expected for Arkansas context; as a farmer, immigration intersects with agricultural labor; likely supports reform with pathway to citizenship while addressing farm labor needs.",https://en.wikipedia.org/wiki/2026_United_States_Senate_election_in_Arkansas,,
Hallie Shoffner,-400105,housing,2,"Advocates for working families being able to afford a home and build a middle-class life; supports policies to lower housing costs and create more homeownership paths.",https://www.hallieshoffner.com,,
Mike Collins,-400106,abortion,5,"Strongly anti-abortion; opposes abortion with no exceptions; OTI records show maximum opposition to abortion rights; co-sponsored pro-life legislation.",https://www.ontheissues.org/Senate/Mike_Collins.htm,,
Mike Collins,-400106,civil-rights,5,"Opposes reparations; anti-LGBTQ+ protected class designations; OTI shows opposition to civil rights expansions; opposed Equality Act.",https://www.ontheissues.org/Senate/Mike_Collins.htm,,
Mike Collins,-400106,healthcare,4,"Opposed vaccine mandates and government healthcare mandates; opposes ACA; supports market-based healthcare solutions.",https://www.ontheissues.org/Senate/Mike_Collins.htm,,
Mike Collins,-400106,social-security,5,"OTI records show support for getting people off Social Security dependency; favors workforce participation over SS benefits; supports privatization or structural reform.",https://www.ontheissues.org/Senate/Mike_Collins.htm,,
Mike Collins,-400106,immigration,5,"Strongly supports walls and border security; favors moratorium on some legal immigration categories; OTI shows maximum restrictionist stance; endorsed by National Border Patrol Council.",https://www.ontheissues.org/Senate/Mike_Collins.htm,https://en.wikipedia.org/wiki/2026_United_States_Senate_election_in_Georgia,
Mike Collins,-400106,voting-rights,4,"Supports stricter photo ID requirements for voting; conservative election integrity stance.",https://www.ontheissues.org/Senate/Mike_Collins.htm,,
