"politician_name","office_title","committee_name","external_id","decision","reason"
"Amy Rainey","Indiana Elected Official","Rainey4Rep49","7599","confirm","last name in committee, 4=for shorthand"
"Ben Ruiz","Indiana Elected Official","Ruiz4Indiana","7992","confirm","last name in committee, 4=for shorthand"
"Dale Basham","Indiana Elected Official","Basham34","7334","confirm","last name in committee, district number suffix"
"Justin Oakley","Indiana Elected Official","Justin Oakley 2012","6230","confirm","full name in committee, year suffix"
"Mark Messmer","U.S. House of Representatives - Indiana 8th Congressional District","Markmessmer.com","5545","confirm","last name in campaign website domain"
"R Young","Indiana Elected Official","Richard Young","1907","confirm","last name in committee, first name variant (R=Richard)"
"Robert Greene","Indiana Elected Official","RobbGreene.com","7638","confirm","last name in campaign website domain"
"Sara Blohm","Indiana Elected Official","Sara Blohm 2020","7369","confirm","full name in committee, year suffix"
"Scott Strother","Indiana Elected Official","Strother 47","7629","confirm","last name in committee, district number suffix"
"Shane Lindauer","Indiana Elected Official","shanelindauer.com","7006","confirm","last name in campaign website domain"
"Steven Davisson","Indiana Elected Official","www.stevedavisson.com","5617","confirm","last name in campaign website domain"
"Tom Wallace","Indiana Elected Official","Tom Wallace","7353","confirm","committee name is exact full name match"
"William Colteryahn","Indiana Elected Official","Colteryahn4Indiana","8109","confirm","last name in committee, 4=for shorthand"
"William Levin","Indiana Elected Official","Levin 2020","7251","confirm","last name in committee, year suffix"
