politician_id,topic_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
bd630c8f-14da-4149-b95c-6da7eddaab8f,af2fdfd6-02c4-49df-b09c-cf8536f4773f,abortion,1,"Blumenthal has a 100% pro-choice record throughout his Senate career. After the 2022 Dobbs decision he stated it ""strips women of the freedom to make their own health care decisions & puts that power in the hands of the government."" He opposes all abortion restrictions and supports federal funding for family planning.",https://www.ontheissues.org/Senate/Richard_Blumenthal.htm,https://en.wikipedia.org/wiki/Richard_Blumenthal,https://blumenthal.senate.gov/issues/
bd630c8f-14da-4149-b95c-6da7eddaab8f,666bf03d-81fc-4138-ab15-69ae734c9023,ai-regulation,3,"Blumenthal championed the Kids Online Safety Act (KOSA, 2024) to address algorithmic harms to children and led Senate privacy and cybersecurity efforts, but did not sponsor legislation requiring government approval before AI deployment or banning AI systems outright. His approach aligns with requiring basic safety and transparency standards.",https://blumenthal.senate.gov/newsroom/press/,https://en.wikipedia.org/wiki/Richard_Blumenthal,
bd630c8f-14da-4149-b95c-6da7eddaab8f,92730f69-ae57-401c-8ad1-2d07834a895d,campaign-finance,2,"OTI documents Blumenthal's support for disclosure requirements on independent expenditures and matching funds for small donors. He opposes unlimited corporate spending and dark money, aligning with the DISCLOSE Act framework to restrict corporate donations while stopping short of full public funding of campaigns.",https://www.ontheissues.org/Senate/Richard_Blumenthal.htm,https://en.wikipedia.org/wiki/Richard_Blumenthal,
bd630c8f-14da-4149-b95c-6da7eddaab8f,c1ac1330-47f7-44ec-baf3-c913d926b97c,childcare,2,"Blumenthal's official issues page lists economic opportunity and equal compensation as priorities, and he has consistently supported expanding childcare subsidies and paid family leave throughout his Senate tenure as part of the broader Democratic economic agenda.",https://blumenthal.senate.gov/issues/,https://www.ontheissues.org/Senate/Richard_Blumenthal.htm,
bd630c8f-14da-4149-b95c-6da7eddaab8f,0bc588c6-39e1-4084-b5de-cac909b8b762,civil-rights,2,"Blumenthal's official website states he is ""committed to fighting for true justice and equality for all Americans."" OTI documents his support for a constitutional equal rights amendment and wage discrimination enforcement. He has consistently backed civil rights protections including the Equality Act.",https://blumenthal.senate.gov/issues/,https://www.ontheissues.org/Senate/Richard_Blumenthal.htm,https://en.wikipedia.org/wiki/Richard_Blumenthal
bd630c8f-14da-4149-b95c-6da7eddaab8f,f1e44d66-5d27-4b51-b54f-b7ace86f6a3c,climate-change,2,"Blumenthal has a 97% LCV score in 2025 and 98% lifetime rating. He backed Green New Deal mobilization, urged the EPA to declare CO2 a dangerous pollutant, and has sued coal-burning power plants for excess emissions. He stated ""no reputable climate scientist disputes the reality of global warming.""",https://www.lcv.org/congressional-scorecard/moc/richard-blumenthal,https://www.ontheissues.org/Senate/Richard_Blumenthal.htm,https://en.wikipedia.org/wiki/Richard_Blumenthal
bd630c8f-14da-4149-b95c-6da7eddaab8f,44905f3b-e105-4f6c-afc7-5d223813dbac,deportation,2,"Blumenthal voted NAY on the Laken Riley Act (S. 5, Jan 2025), which required mandatory detention of undocumented immigrants charged with theft. He signed a 2018 letter demanding the Trump administration reunite 539 migrant children with their families and has consistently opposed mass deportation policies.",https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00007.htm,https://en.wikipedia.org/wiki/Richard_Blumenthal,
bd630c8f-14da-4149-b95c-6da7eddaab8f,a22215c3-6693-4bc2-b248-01aebba14570,fossil-fuels,2,"With a 98% lifetime LCV rating, Blumenthal supported the Green New Deal and has a strong record opposing fossil fuel expansion. He backed EPA carbon regulations, sued Midwest coal utilities for excess CO2 emissions as Connecticut AG, and opposed EPA regulatory rollbacks under the Trump administration.",https://www.lcv.org/congressional-scorecard/moc/richard-blumenthal,https://www.ontheissues.org/Senate/Richard_Blumenthal.htm,https://en.wikipedia.org/wiki/Richard_Blumenthal
bd630c8f-14da-4149-b95c-6da7eddaab8f,e8dad4a8-eb93-4931-91f5-d8fb5d7dd529,healthcare,2,"Blumenthal cosponsored the State Public Option Act (2019) allowing Medicaid buy-in, opposed Medicare privatization, supported Medicare drug price negotiation, and backed expanding Medicaid to U.S. territories. His official website states he supports ""universal health care for all"" but his legislative approach was through a public option, not Medicare for All.",https://www.ontheissues.org/Senate/Richard_Blumenthal.htm,https://blumenthal.senate.gov/issues/,https://en.wikipedia.org/wiki/Richard_Blumenthal
bd630c8f-14da-4149-b95c-6da7eddaab8f,4938766b-b45a-46e3-93bd-b8b30651271a,homelessness,2,"Blumenthal's record on housing and economic opportunity consistently reflects support for expanded federal assistance and shelter investment rather than criminalization. He backed broader housing and poverty-reduction programs as part of the Democratic legislative agenda throughout his Senate career.",https://blumenthal.senate.gov/issues/,https://www.ontheissues.org/Senate/Richard_Blumenthal.htm,
bd630c8f-14da-4149-b95c-6da7eddaab8f,669cac97-66a6-4087-b036-936fbe62efb3,housing,2,"Blumenthal supported major federal housing investment as part of Build Back Better and the Bipartisan Infrastructure Law. His economic opportunity issue platform advocates for affordable access and equal compensation, and he backed expanded rental assistance and housing affordability programs during his Senate tenure.",https://blumenthal.senate.gov/issues/,https://en.wikipedia.org/wiki/Richard_Blumenthal,
bd630c8f-14da-4149-b95c-6da7eddaab8f,4e2c69ce-591e-4197-9cd5-7aceff79d390,immigration,2,"Blumenthal supports comprehensive immigration reform with a pathway to citizenship. He stated ""Enact comprehensive solution; piecemeal approach fails"" and backed legal status for long-term residents and DREAMers. He voted NAY on the Laken Riley Act and signed a 2018 letter demanding family reunification for separated migrant children.",https://www.ontheissues.org/Senate/Richard_Blumenthal.htm,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00007.htm,https://en.wikipedia.org/wiki/Richard_Blumenthal
bd630c8f-14da-4149-b95c-6da7eddaab8f,cab61e8a-64fe-4bbd-bc08-fe9914d0091b,medicare/aid,2,"OTI confirms Blumenthal's stance of ""Protecting Medicare and Social Security from cutbacks"" with 100% ARA rating. He opposed chained CPI reductions and Medicare privatization, supported Medicare drug price negotiation, and backed Medicaid expansion to U.S. territories. He favored strengthening and improving existing programs.",https://www.ontheissues.org/Senate/Richard_Blumenthal.htm,https://en.wikipedia.org/wiki/Richard_Blumenthal,
