full_name,topic_key,source_url,snippet,snippet_index
Brady Brammer,abortion,https://www.ksl.com/article/50582216/house-passes-pair-of-bills-to-further-restrict-abortion-access-in-utah,"Rep. Brady Brammer, R-Highland, said he talked with the Planned Parenthood Association of Utah recently, and doesn't believe HB467 would force it to close its doors. He said elective abortions account for only 3% of the organization's services, and about 9% of its revenue. 'Based on that communication, I don't believe that any clinics that are providing any of the services to women will close, merely because that revenue is no longer available — at a loss of 9% of revenue and 3% of services,' he said.",0
Brady Brammer,abortion,https://le.utah.gov/~2023/bills/static/HB0467.html,"H.B. 467 Abortion Changes. House Passage (2/17/2023): The measure passed with 51 votes in favor, 14 opposed, and 10 present/not voting. Senate Passage (3/2/2023): The Senate approved it with 22 supporting votes, 6 against, and 1 present/not voting. House Concurrence (3/3/2023): the House concurred with 56 14 5. Governor signed on March 15, 2023; effective May 3, 2023. The bill modified multiple sections of Utah Code related to health regulations, healthcare professional licensing, and criminal statutes governing abortion procedures.",1
Brady Brammer,religious-freedom,https://www.votebrammer.com/family-values,"Brammer describes himself as 'a strident advocate for the freedom of religion and the protection of religion from those who seek to weaponize our government against that freedom.' He passed legislation protecting religious expression in the workplace. An endorser notes Brammer worked to 'defend constitutional freedoms and traditional family values' and will be 'a strong voice in the defense of our constitutional freedoms and traditional family values as a legislator.'",0
Brady Brammer,religious-freedom,https://freedomindex.us/legislator/11370,"Brady Brammer overall Freedom Score: 85%. 2025-2026: 78%. 2023-2024: 83%. 2021-2022: 100%. Key votes include: HB467 (Closing Abortion Clinics, 2023): Yes. SB16 (Ban on Sex Mutilation Against Minors, 2023): Yes. HB303 (Woke School Curriculum Ban, 2024): Yes. HB267 (Public Collective Bargaining Ban, 2025): Yes. HB81 (Fluoride Ban, 2025): Yes. SB57 (Constitutional Sovereignty Act, 2024): Yes. HB85 (Nullifying UN, 2026): Yes.",1
Brady Brammer,trans-athletes,https://freedomindex.us/legislator/11370,"Brady Brammer overall Freedom Score: 85%. Key votes include: SB16 (Ban on Sex Mutilation Against Minors, 2023): Yes — Supported restrictions on transgender medical procedures for minors. HB303 (Woke School Curriculum Ban, 2024): Yes — Backed prohibition on endorsing certain social beliefs in schools. SB217 (CHIP Benefits for Illegal Aliens, 2023): No — Opposed program expanding children's health coverage.",0
Brady Brammer,trans-athletes,https://www.votebrammer.com/family-values,"'The breakdown of the family has contributed to nearly every social crisis facing our country today' and he pledges to 'vote to protect the Utah County values we hold dear.' Brammer describes himself as a 'consistent voice for life, religious freedom, and constitutional rights.' He believes 'government exists to protect these freedoms, not limit them.'",1
Brady Brammer,medicare/aid,https://www.standard.net/news/government/2024/feb/22/medicaid-doomsday-bill-threatens-vital-services-for-vulnerable-utahns-advocates-say,"Rep. Brady Brammer acknowledged the bill 'can be a bit of a scary bill' and explained that 'this is a doomsday scenario bill' designed to address potential budget crises, not current problems. HB463 establishes a cascading 'waterfall' of automatic Medicaid budgetary actions if a financial shortfall occurs. In order, these include: freezing hiring, freezing wage increases, freezing provider increases, suspending benefits expansion, discontinuing optional services or populations, rolling back provider increases from the past year, and closing enrollment.",0
Brady Brammer,medicare/aid,https://freedomindex.us/legislator/11370,"Brady Brammer voted No on SB217 (CHIP Benefits for Illegal Aliens, 2023) — Opposed program expanding children's health coverage. Overall Freedom Score: 85%. 2025-2026: 78%. 2023-2024: 83%.",1
Brady Brammer,fossil-fuels,https://lehifreepress.com/2026/03/18/brammer-and-smith-vie-for-utah-senate-district-21-seat/,"'We want to be the leader in energy exports,' and he listed 'nuclear, geothermal, coal and natural gas' as priorities. He noted Utah recently received a nuclear facility on a military installation and is pursuing regulatory authority for modular nuclear reactors, adding 'We're the number one state in America on geothermal.'",0
Brady Brammer,fossil-fuels,https://atr.org/utah-enacts-6th-income-tax-cut-in-6-years-and-shaves-6-cents-off-gas-tax/,"Sen. Brady Brammer and Rep. Calvin Roberts succeeded with legislation that will cut the gas tax outright from 38 cents to 32 cents. This legislation (HB0575) represents a six-cent reduction in Utah's gas tax, which will benefit families when filling up at the pump. Brammer's work on this measure was part of Utah's broader 2026 tax reform session, which also included the sixth consecutive income tax cut during that six-year period.",1
Brady Brammer,voting-rights,https://freedomindex.us/legislator/11370,"Brady Brammer voted Yes on HB300 (Election Integrity, 2025) — Supported voter ID requirements and ballot return restrictions. Yes on HB313 (Election Security, 2022). Overall Freedom Score: 85%. 2025-2026: 78%. 2023-2024: 83%. 2021-2022: 100%.",0
Brady Brammer,climate-change,https://utahcleanenergy.org/week7/,"Senator Brady Brammer is listed as a sponsor of SB 234 2nd Substitute-Rulemaking Amendments, alongside Representative Colin Jack. The bill would prevent Utah environmental and public health agencies from adopting any rules or regulations that would be stronger than existing federal rules. Utah Clean Energy opposes this legislation, stating it's important that 'Utah agencies retain the flexibility to adopt rules that protect our citizens,' particularly as federal agencies are reducing environmental regulations.",0
Brady Brammer,climate-change,https://lehifreepress.com/2026/03/18/brammer-and-smith-vie-for-utah-senate-district-21-seat/,"'We want to be the leader in energy exports,' and he listed 'nuclear, geothermal, coal and natural gas' as priorities. He noted Utah recently received a nuclear facility on a military installation and is pursuing regulatory authority for modular nuclear reactors, adding 'We're the number one state in America on geothermal.'",1
