cd,geo_id,full_name,party_from_field,role,decision,assign_external_id,is_incumbent,source
1,4101,"Barbara Kahl",Republican,R,NEW,-410114,false,"OR SoS 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-25 -> Phase 167)"
2,4102,"Chris Beck",Democratic,D,NEW,-410201,false,"OR SoS 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-25 -> Phase 167)"
3,4103,"Loran Ayles",Republican,R,NEW,-410301,false,"OR SoS 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-25 -> Phase 167)"
4,4104,"Monique DeSpain",Republican,R,NEW,-410401,false,"OR SoS 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-25 -> Phase 167)"
4,4104,"Justin Filip",Pacific Green,PG,NEW,-410402,false,"OR SoS 2026 declared minor-party/independent general field (window open to 2026-08-25 -> Phase 167)"
5,4105,"Patti Adair",Republican,R,NEW,-410501,false,"OR SoS 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-25 -> Phase 167)"
6,4106,"David Russ",Republican,R,NEW,-410601,false,"OR SoS 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-25 -> Phase 167)"
1,4101,"Suzanne Bonamici",,INC,REUSE-ADD-ROW,-4102001,true,"OR SoS 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-25 -> Phase 167)"
2,4102,"Cliff Bentz",,INC,REUSE-ADD-ROW,-4102002,true,"OR SoS 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-25 -> Phase 167)"
3,4103,"Maxine Dexter",,INC,REUSE-ADD-ROW,-4102003,true,"OR SoS 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-25 -> Phase 167)"
4,4104,"Val Hoyle",,INC,REUSE-ADD-ROW,-4102004,true,"OR SoS 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-25 -> Phase 167)"
5,4105,"Janelle Bynum",,INC,REUSE-ADD-ROW,-4102005,true,"OR SoS 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-25 -> Phase 167)"
6,4106,"Andrea Salinas",,INC,REUSE-ADD-ROW,-4102006,true,"OR SoS 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-25 -> Phase 167)"
