external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-2700003,Keith Ellison,healthcare,2,"Voted in his first week as congressman (2007) to allow Medicare to negotiate pharmaceutical prices. As AG, led passage of the Prescription Drug Affordability Board (2023) and negotiated insulin price caps at $35/month with major manufacturers. Supports a mix of public programs and regulated private insurance to ensure affordable coverage.",https://en.wikipedia.org/wiki/Keith_Ellison,,,,
-2700003,Keith Ellison,abortion,2,"Received 100% ratings from NARAL Pro-Choice America in 2009 and 2011 during his congressional tenure, indicating a consistent pro-choice voting record. As AG, joined a 2025 multistate coalition challenging Executive Order 14187 banning federal funding for gender-affirming care for minors. Documented support for abortion access through and beyond the second trimester with no evidence of support for restrictions.",https://en.wikipedia.org/wiki/Keith_Ellison,https://www.naag.org/attorney-general/keith-ellison/,,,
-2700003,Keith Ellison,civil-rights,2,"Took over prosecution of Derek Chauvin in May 2020, upgrading charges to second-degree murder, resulting in conviction on all counts (April 2021). Served as vice-chair of the Congressional LGBTQ Caucus and joined a 2025 multistate lawsuit challenging EO 14187 banning federal funding for gender-affirming care. Consistently acted to strengthen civil rights enforcement and address systemic discrimination.",https://en.wikipedia.org/wiki/Keith_Ellison,https://www.naag.org/attorney-general/keith-ellison/,,,
-2700003,Keith Ellison,same-sex-marriage,1,"Served as vice-chair of the Congressional Lesbian Gay Bisexual Transgender Caucus, which maintains a published platform supporting full federal recognition of same-sex marriages. In a 2010 BBC interview, stated he stands up for the rights of gay people. As AG, joined multistate coalition against bans on gender-affirming care, consistent with full federal LGBTQ protections.",https://en.wikipedia.org/wiki/Keith_Ellison,,,,"stand up for the rights of gays, too","stand up for the rights of gays, too"
-2700003,Keith Ellison,trans-athletes,1,"Explicitly stated that keeping transgender girls from competing in sports would violate Minnesota law. As AG, filed a lawsuit against President Trump's executive orders on transgender sports ban and gender ideology. This is the strongest possible documented position in favor of allowing all transgender athletes to compete on teams matching their gender identity.",https://en.wikipedia.org/wiki/Keith_Ellison,https://kstp.com/tag/keith-ellison/,,,
-2700003,Keith Ellison,deportation,2,"As AG, filed a lawsuit with Twin Cities mayors against DHS to end what he characterized as a federal invasion of immigration enforcement. Issued guidance on immigration enforcement and publicly opposed ICE detaining children and targeting schools. These actions are consistent with limiting deportation to serious violent offenders rather than mass removal.",https://kstp.com/tag/keith-ellison/,https://www.naag.org/attorney-general/keith-ellison/,,,
-2700003,Keith Ellison,immigration,2,"Filed lawsuit against DHS challenging aggressive federal immigration enforcement, issued attorney general guidance on ICE enforcement, and opposed immigration arrests at schools. Consistent record of protecting undocumented residents' access to public services and legal status while opposing restrictive enforcement.",https://kstp.com/tag/keith-ellison/,https://en.wikipedia.org/wiki/Keith_Ellison,,,
-2700003,Keith Ellison,housing,2,"Filed suit against Havenbrook Homes (February 2022) for failing repairs, resulting in a March 2024 settlement of $2M rent forgiveness, $2.2M tenant compensation, and Havenbrook's exit from Minnesota with properties transferred to affordable housing organizations. Sued IPG Properties (October 2023) for unlawful mid-lease fee increases. Led passage of the Debt Fairness Act (2024) barring denial of medical care over unpaid debt.",https://en.wikipedia.org/wiki/Keith_Ellison,,,,
-2700003,Keith Ellison,voting-rights,2,"Launched investigation into Atlas Aegis (October 2020), a private security company recruiting armed guards for polling places, securing a binding agreement preventing voter intimidation. NAAG documentation confirms he has filed 20+ lawsuits against the Trump administration defending democracy and the rule of law, including voting rights challenges.",https://en.wikipedia.org/wiki/Keith_Ellison,https://www.naag.org/attorney-general/keith-ellison/,,,
-2700003,Keith Ellison,misinformation,2,"Led a 30+ attorney general coalition lawsuit against Meta (October 2023) alleging that features like infinite scroll and near-constant alerts were designed to addict young users. Announced a separate TikTok lawsuit (August 2025) alleging similar addiction-by-design practices. These actions mandate platform accountability and algorithmic transparency — consistent with value 2.",https://en.wikipedia.org/wiki/Keith_Ellison,,,"features like infinite scroll and near-constant alerts were created with the express goal of hooking young users","features like infinite scroll and near-constant alerts were created with the express goal of hooking young users"
-2700003,Keith Ellison,medicare/aid,2,"In his first week as congressman (January 2007), voted to allow Medicare to negotiate pharmaceutical prices. As AG, led creation of the Prescription Drug Affordability Board (2023) and negotiated insulin caps at $35/month with major manufacturers including Eli Lilly. Supports significant Medicare/Medicaid expansion while working within existing program structures.",https://en.wikipedia.org/wiki/Keith_Ellison,,,,
