cd,geo_id,race_id,full_name,party_from_field,decision,target_politician_id,assign_external_id,is_incumbent,source_url
1,3901,c80c98c8-98c4-4df2-90d4-1f37681da294,"Greg Landsman",incumbent,REUSE,6cad043f-a4c0-48d5-af76-fdf70d319920,,true,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
1,3901,c80c98c8-98c4-4df2-90d4-1f37681da294,"Eric Conroy",Republican,NEW,,-390101,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
1,3901,c80c98c8-98c4-4df2-90d4-1f37681da294,"John Hancock",Libertarian,NEW,,-390102,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
2,3902,d52a8639-4a2a-4a33-b464-75c10fd81dd2,"David J. Taylor",incumbent,REUSE,1938e59f-bd7c-45fb-8dd1-2f7591a0fc3d,,true,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
2,3902,d52a8639-4a2a-4a33-b464-75c10fd81dd2,"Jennifer Mazzuckelli",Democratic,NEW,,-390201,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
3,3903,1af68d00-f746-463d-9040-7f5b76822d13,"Joyce Beatty",incumbent,REUSE,dd93f609-82f5-4923-8a0e-d73b58120b80,,true,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
3,3903,1af68d00-f746-463d-9040-7f5b76822d13,"Cleophus Dulaney",Republican,NEW,,-390301,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
4,3904,9d550df5-6527-43db-a191-551ed79d5280,"Jim Jordan",incumbent,REUSE,09531f42-9724-4211-b33a-7f1af94b250e,,true,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
4,3904,9d550df5-6527-43db-a191-551ed79d5280,"Joshua Kolasinski",Democratic,NEW,,-390401,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
4,3904,9d550df5-6527-43db-a191-551ed79d5280,"Tamie Wilson",Independent,NEW,,-390402,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
5,3905,3a25f137-ce4c-48a7-ab56-5002bfb1e98b,"Robert E. Latta",incumbent,REUSE,e3c5cef5-08ff-4066-9fee-344733cb4137,,true,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
5,3905,3a25f137-ce4c-48a7-ab56-5002bfb1e98b,"Brian Shaver",Democratic,NEW,,-390501,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
6,3906,3773d04c-bc0b-416f-97e8-f8478185ce0f,"Michael A. Rulli",incumbent,REUSE,3fe892d9-3086-4088-a6d8-af7b3a8b80c1,,true,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
6,3906,3773d04c-bc0b-416f-97e8-f8478185ce0f,"Elizabeth Kirtley",Democratic,NEW,,-390601,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
7,3907,117f6d3e-54ac-47aa-8ff7-3e936421d0da,"Max L. Miller",incumbent,REUSE,02706ab4-75fc-4bbd-ae1e-b879c0955d3f,,true,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
7,3907,117f6d3e-54ac-47aa-8ff7-3e936421d0da,"Brian Poindexter",Democratic,NEW,,-390701,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
8,3908,9c0ac72c-f3f6-411f-a756-5b2f4d16f483,"Warren Davidson",incumbent,REUSE,d7f3b400-2d9f-4d23-bd02-9edea5274e92,,true,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
8,3908,9c0ac72c-f3f6-411f-a756-5b2f4d16f483,"Vanessa Enoch",Democratic,NEW,,-390801,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
9,3909,f5c5e04b-7062-4e26-ae76-90cb75a239df,"Marcy Kaptur",incumbent,REUSE,4d530660-da80-4d96-9c59-1a33ddf08e4b,,true,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
9,3909,f5c5e04b-7062-4e26-ae76-90cb75a239df,"Derek Merrin",Republican,NEW,,-390901,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
9,3909,f5c5e04b-7062-4e26-ae76-90cb75a239df,"Matthew Althaus",Libertarian,NEW,,-390902,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
10,3910,29948b99-ac91-48b3-82a5-5970f6a10ed5,"Michael R. Turner",incumbent,REUSE,792fbe55-46f5-49db-8400-2ce2632fd1ea,,true,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
10,3910,29948b99-ac91-48b3-82a5-5970f6a10ed5,"Kristina Knickerbocker",Democratic,NEW,,-391001,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
11,3911,4892145e-6ec3-482a-85f8-c4d0f138fe68,"Shontel M. Brown",incumbent,REUSE,e7f9cb36-33ae-4291-94da-57d956c822af,,true,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
11,3911,4892145e-6ec3-482a-85f8-c4d0f138fe68,"Mike Kirchner",Republican,NEW,,-391101,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
12,3912,064dc162-7e16-4e90-872f-e65ce6ee4625,"Troy Balderson",incumbent,REUSE,d053e66a-762e-4514-8e16-2ae672ee47e1,,true,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
12,3912,064dc162-7e16-4e90-872f-e65ce6ee4625,"Jerrad Christian",Democratic,NEW,,-391201,false,"https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Ohio"
