external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-32003,Susie Lee,abortion,1,"Lee co-sponsored the HER Act to repeal the global gag rule on abortion funding, has explicitly supported public funding for abortions, and opposes parental notification requirements for minors. Her documented record reflects a pro-choice position supporting legal access with public funding at all stages.",https://www.ontheissues.org/House/Susie_Lee.htm,https://en.wikipedia.org/wiki/Susie_Lee,,,
-32003,Susie Lee,healthcare,2,"Lee defends the ACA and opposes its repeal, supports expanding healthcare and mental health services, and supports the individual coverage mandate. As a New Democrat Coalition moderate she favors expanding coverage through a mix of public programs and regulated private insurance rather than a fully public system.",https://www.ontheissues.org/House/Susie_Lee.htm,https://en.wikipedia.org/wiki/Susie_Lee,,,
-32003,Susie Lee,climate-change,3,"Lee holds a 94% LCV lifetime score and a perfect 100% score in 2023, consistently voting to fund renewable energy and regulate greenhouse gas emissions. She supports investing in clean energy while gradually reducing fossil fuel reliance, but has not called for an emergency ban on carbon activities.",https://www.lcv.org/congressional-scorecard/moc/susie-lee,https://www.ontheissues.org/House/Susie_Lee.htm,,,
-32003,Susie Lee,fossil-fuels,3,"Lee's 94% LCV lifetime score reflects consistent support for environmental regulations and renewable energy funding (wind/solar). Her record shows support for maintaining environmental regulations on fossil fuel production rather than either banning new drilling or expanding permits.",https://www.lcv.org/congressional-scorecard/moc/susie-lee,https://www.ontheissues.org/House/Susie_Lee.htm,,,
-32003,Susie Lee,taxes,2,"Lee opposes making Bush-era income tax cuts permanent, supports increasing taxes to balance the budget, and has stated that lower corporate taxes do not promote economic growth. Her voting record on ARPA and other fiscal measures reflects a preference for moderately raising taxes on higher earners to fund public services.",https://www.ontheissues.org/House/Susie_Lee.htm,,,,
-32003,Susie Lee,immigration,3,"Lee supports pathways to citizenship and opposes the border wall (OnTheIssues), but voted for the Laken Riley Act in January 2025 — one of 46 House Democrats to do so — which mandates detention of undocumented immigrants charged with certain crimes. The combination of pro-pathway positions and support for enhanced enforcement measures places her at a maintain-current-levels centrist position.",https://en.wikipedia.org/wiki/Susie_Lee,https://www.ontheissues.org/House/Susie_Lee.htm,,,
-32003,Susie Lee,deportation,3,"Lee supports pathways to citizenship for long-term undocumented residents but voted for the Laken Riley Act (Jan 2025), which targets recent arrivals and those charged with crimes for detention and removal. Her position aligns with focusing deportation on recent arrivals and those with criminal records while leaving established long-term residents in place.",https://en.wikipedia.org/wiki/Susie_Lee,https://www.ontheissues.org/House/Susie_Lee.htm,,,
-32003,Susie Lee,same-sex-marriage,1,"Lee is a member of the Congressional Equality Caucus, advocates for LGBTQ rights and ending job discrimination based on sexual orientation, and has consistently supported full federal LGBTQ equality. Her documented positions align with requiring all states to recognize same-sex marriages with full federal benefits and protections.",https://www.ontheissues.org/House/Susie_Lee.htm,https://en.wikipedia.org/wiki/Susie_Lee,,,
-32003,Susie Lee,civil-rights,2,"Lee co-sponsored the Equal Rights Amendment ratification bill (Mar 2021), advocates for stricter law enforcement accountability rules, and supports protecting sexual orientation as a civil right. Her record reflects strengthening civil rights enforcement and addressing systemic discrimination.",https://www.ontheissues.org/House/Susie_Lee.htm,,,,
-32003,Susie Lee,campaign-finance,2,"Lee supports regulating campaign donations from corporations (OnTheIssues, Jul 2018) and is a member of the Problem Solvers Caucus which has advocated for transparency reforms. Her documented stance aligns with strictly limiting corporate donations and dark money groups.",https://www.ontheissues.org/House/Susie_Lee.htm,,,,
-32003,Susie Lee,voting-rights,2,"Lee sponsored a voter registration expansion bill (Feb 2021) and advocates for a holiday on election day with easier voting access (Mar 2019). Her record reflects support for expanding early voting periods and making mail-in voting broadly available without requiring an excuse.",https://www.ontheissues.org/House/Susie_Lee.htm,,,,
-32003,Susie Lee,social-security,2,"Lee was endorsed by the National Committee to Preserve Social Security and Medicare (Jun 2022) for her record protecting both programs. She opposes privatization, and her general fiscal stance (tax higher earners to fund services) aligns with modestly increasing benefits while raising taxes on higher earners to strengthen the program.",https://www.ontheissues.org/House/Susie_Lee.htm,,,,
-32003,Susie Lee,medicare/aid,2,"Lee was endorsed by NCPSSM for protecting Medicare and Medicaid, opposes privatization of Medicare, and has defended the ACA's Medicaid expansion. She also co-sponsored the Seniors Securing Access to Vital and Essential Prescription Drugs Act (Apr 2024), reflecting consistent support for expanding program coverage.",https://www.ontheissues.org/House/Susie_Lee.htm,https://en.wikipedia.org/wiki/Susie_Lee,,,
-32003,Susie Lee,school-vouchers,1,"Lee explicitly opposes vouchers for private schools (OnTheIssues, Jul 2018) and supports expanded early childhood education funding through the public system. Her record aligns with fully funding public schools and eliminating voucher programs that divert taxpayer money to private institutions.",https://www.ontheissues.org/House/Susie_Lee.htm,,,,
-32003,Susie Lee,childcare,2,"Lee advocates for expanded early childhood education funding (Sep 2018) and has supported childcare access efforts in Nevada. Her documented positions reflect support for significantly expanding subsidies and provider grants to make childcare affordable for low- and middle-income families.",https://www.ontheissues.org/House/Susie_Lee.htm,,,,
-32003,Susie Lee,tariffs,3,"Lee supported USMCA implementation (Dec 2019) and has stated she supports expanding trade while protecting workers and the environment (Sep 2017). Her approach reflects selective use of trade agreements and tariffs to protect key American industries and jobs rather than either free trade or broad protectionism.",https://www.ontheissues.org/House/Susie_Lee.htm,,,,
