cd,geo_id,full_name,party_from_field,role,decision,assign_external_id,is_incumbent,source
1,2101,"James Comer",Republican,R,REUSE,-21001,true,"KY 2026 US House field (KY SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kentucky); decided general field"
1,2101,"John "Drew" Williams",Democratic,D,NEW,-210300,false,"KY 2026 US House field (KY SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kentucky); decided general field"
2,2102,"Brett Guthrie",Republican,R,REUSE,-21002,true,"KY 2026 US House field (KY SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kentucky); decided general field"
2,2102,"Megan Wingfield",Democratic,D,NEW,-210201,false,"KY 2026 US House field (KY SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kentucky); decided general field"
2,2102,"Thomas A. Loecken",Independent,IND,NEW,-210202,false,"KY 2026 US House field (minor-party/independent filing; KY SoS + Wikipedia); decided general field"
3,2103,"Morgan McGarvey",Democratic,D,REUSE,-21003,true,"KY 2026 US House field (KY SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kentucky); decided general field"
3,2103,"Maria Teresa Rodriguez",Republican,R,NEW,-210301,false,"KY 2026 US House field (KY SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kentucky); decided general field"
4,2104,"Ed Gallrein",Republican,R,NEW,-210401,false,"KY 2026 US House field (KY SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kentucky); decided general field"
4,2104,"Melissa Claire Strange",Democratic,D,NEW,-210402,false,"KY 2026 US House field (KY SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kentucky); decided general field"
4,2104,"Mohammad Wael Ahmad",Kentucky Party,KY,NEW,-210403,false,"KY 2026 US House field (minor-party/independent filing; KY SoS + Wikipedia); decided general field"
4,2104,"Jeremy Todd",Libertarian,LIB,NEW,-210404,false,"KY 2026 US House field (minor-party/independent filing; KY SoS + Wikipedia); decided general field"
5,2105,"Harold Rogers",Republican,R,REUSE,-21005,true,"KY 2026 US House field (KY SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kentucky); decided general field"
5,2105,"Ned Pillersdorf",Democratic,D,NEW,-210501,false,"KY 2026 US House field (KY SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kentucky); decided general field"
5,2105,"Gerardo Serrano",Independent,IND,NEW,-210502,false,"KY 2026 US House field (minor-party/independent filing; KY SoS + Wikipedia); decided general field"
5,2105,"Mikel Wein",Independent,IND,NEW,-210503,false,"KY 2026 US House field (minor-party/independent filing; KY SoS + Wikipedia); decided general field"
6,2106,"Ralph Alvarado",Republican,R,NEW,-210601,false,"KY 2026 US House field (KY SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kentucky); decided general field"
6,2106,"Zach Dembo",Democratic,D,NEW,-210602,false,"KY 2026 US House field (KY SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Kentucky); decided general field"
6,2106,"Jay J Bowman",Independent,IND,NEW,-210603,false,"KY 2026 US House field (minor-party/independent filing; KY SoS + Wikipedia); decided general field"
6,2106,"Pete Lynch",Kentucky Party,KY,NEW,-210604,false,"KY 2026 US House field (minor-party/independent filing; KY SoS + Wikipedia); decided general field"
4,2104,"Thomas Massie",,INC,EXCLUDED-NO-ROW,-21004,false,"D-05 open seat: lost-primary (Gallrein is the R nominee)"
6,2106,"Andy Barr",,INC,EXCLUDED-NO-ROW,-21006,false,"D-05 open seat: retired (Alvarado is the R nominee)"
