full_name,topic_key,source_url,snippet,snippet_index
Calvin R. Musselman,abortion,https://www.abc4.com/news/abortion-bill-stricter-than-utahs-trigger-law-passes-senate/amp/,"HB467, with its 2nd substitution, is making its way through the House and Senate. The bill would limit abortion clinics and increase restrictions on abortion availability. According to Utah State Legislature, this bill passed the Senate Thursday and is making its way, with new substitutions, to the House for a vote. Abortion would be banned at any point in the pregnancy unless with certain exceptions. The exceptions include cases of rape, incest, risk of death for the mother, lethal defects for the child, severe brain abnormality of a child, severe risk of substantial impairment for the mother, or if the pregnant female is 14 years old or younger.",0
Calvin R. Musselman,abortion,https://www.billsponsor.com/bills/417509/utah-house-bill-467-session-2023,"HB 467 modifies provisions related to abortion. Calvin R. Musselman voted Yes on the March 3, 2023 House passage. The bill passed with strong Republican support; the House voted 56 to 14. The bill was signed by the Governor on March 15, 2023, with an effective date of May 3, 2023. It prohibits standalone abortion clinics and requires all abortion procedures to be performed in hospitals licensed by the state.",0
Calvin R. Musselman,immigration,https://ksltv.com/politics-elections/utah-legislature/live-blog-utah-senate-approves-ban-on-pride-flags-in-schools-government-buildings/747465/,"Lawmakers advanced a proposal to enhance criminal penalties — and in some cases apply mandatory prison sentences — for those with prior convictions for criminally reentering the United States after being deported. SB90 is one of several bills lawmakers say aim to curb illegal immigration as the state has taken a tougher stance under the second Trump administration. ""What we're saying with this particular subset of individuals that are clearly connected to organized crime (is) that there's a mandatory jail sentence,"" Sen. Calvin Musselman, R-West Haven, said last month. He said the goal is to ""stop that revolving door"" of people who repeatedly return to the U.S. after deportation. The measure passed the House 64-2 and awaits a final vote back in the Senate.",0
Calvin R. Musselman,immigration,https://www.fox13now.com/news/politics/what-the-utah-state-legislature-did-to-your-life-2025s-version,"Lawmakers on Utah's Capitol Hill pushed a number of bills tied to illegal immigration. Some advanced and some didn't. Rep. Candice Pierucci passed a bill pushing deportations of immigrants convicted of violent crimes, tweaking the incarceration length for misdemeanors to enable easier removal of some undocumented immigrants. Sen. Cal Musselman passed a bill requiring people serve their sentences before being deported.",0
Calvin R. Musselman,deportation,https://ksltv.com/politics-elections/utah-legislature/live-blog-utah-senate-approves-ban-on-pride-flags-in-schools-government-buildings/747465/,"Lawmakers advanced a proposal to enhance criminal penalties — and in some cases apply mandatory prison sentences — for those with prior convictions for criminally reentering the United States after being deported. SB90 is one of several bills lawmakers say aim to curb illegal immigration as the state has taken a tougher stance under the second Trump administration. ""What we're saying with this particular subset of individuals that are clearly connected to organized crime (is) that there's a mandatory jail sentence,"" Sen. Calvin Musselman, R-West Haven, said last month. He said the goal is to ""stop that revolving door"" of people who repeatedly return to the U.S. after deportation. The measure passed the House 64-2 and awaits a final vote back in the Senate.",0
Calvin R. Musselman,deportation,https://www.fox13now.com/news/politics/what-the-utah-state-legislature-did-to-your-life-2025s-version,"Lawmakers on Utah's Capitol Hill pushed a number of bills tied to illegal immigration. Some advanced and some didn't. Rep. Candice Pierucci passed a bill pushing deportations of immigrants convicted of violent crimes, tweaking the incarceration length for misdemeanors to enable easier removal of some undocumented immigrants. Sen. Cal Musselman passed a bill requiring people serve their sentences before being deported.",0
Calvin R. Musselman,taxes,https://www.fox13now.com/news/politics/utah-lawmakers-aim-their-sights-at-streaming-services-porn-sites-for-taxes,"Senate Bill 73, sponsored by Sen. Cal Musselman (R-West Haven), would impose a special tax on pornographic websites, with revenue directed toward youth mental health programs. Musselman explained: ""It would be collected at point of sale. So if you have a subscription, there would be a tax collected, a standard sales tax, plus the excise tax."" The legislation follows previous Utah efforts declaring pornography a public health crisis and requiring age verification.",0
Calvin R. Musselman,taxes,https://governor.utah.gov/press/gov-cox-signs-100-bills-in-the-2025-general-legislative-session/,"Governor Cox signed H.B. 106 Income Tax Revisions, noting it represents ""a step forward in delivering meaningful tax relief for Utahns."" The legislation ""lowers the income tax rate from 4.55% to 4.5%, saving taxpayers $97 million yearly going forward."" Cox stated: ""With this bill and others passed this session, Utahns will see $148 million in new tax cuts. And since I've taken office, we've delivered more than $1.3 billion in historic, permanent tax relief — helping more Utah families build lasting prosperity right here in Utah.""",0
Calvin R. Musselman,healthcare,https://www.fox13now.com/news/politics/what-the-utah-state-legislature-did-to-your-life-2025s-version,"Sen. Cal Musselman passed a bill to have the definition of primary health care to include physical therapists.",0
Calvin R. Musselman,healthcare,https://www.hjnews.com/news/local/local-lawmaker-and-richmond-family-share-their-struggles-with-infertility/article_cc0dc93e-005e-11f0-b92d-33501efdaf25.html,"Sen. Calvin Musselman was contacted by a state employee who was considering leaving her job and going to work for a company that covers IVF, Starbucks. The bill grants state employees on the Public Employees Health Program (PEHP) access to qualified assisted reproductive technology cycles. It passed unanimously on March 5. If signed into law, it is estimated to cost taxpayers approximately $150,000 annually. State-employee insurance premiums could increase by 37 cents per month.",0
