full_name,politician_id,topic_key,topic_id,value,reasoning,source_url_1,source_url_2,source_url_3
David Brock Smith,ae7e8d67-e8a4-49a7-bb5c-715c99168374,abortion,af2fdfd6-02c4-49df-b09c-cf8536f4773f,5,"Smith is pro-life and opposes government funding for Planned Parenthood. He considers frozen embryos as children and opposes abortion access, aligning with a complete anti-abortion position without documented exceptions.",https://www.isidewith.com/candidates/david-brock-smith/policies/social,https://ballotpedia.org/David_Brock_Smith,
David Brock Smith,ae7e8d67-e8a4-49a7-bb5c-715c99168374,ai-regulation,14b3e358-b159-499a-97ec-b6e7397bcf5d,3,"Smith supports regulating AI for ethical use and backs banning AI-generated deepfakes unless clearly labeled, indicating support for targeted safety oversight rather than either a hands-off or heavy regulatory approach.",https://www.isidewith.com/candidates/david-brock-smith/policies,https://www.isidewith.com/candidates/david-brock-smith/policies/domestic-policy,
David Brock Smith,ae7e8d67-e8a4-49a7-bb5c-715c99168374,campaign-finance,d2cedc52-f7b0-4e1a-bedb-f9e8dfcb8b29,5,"Smith considers campaign contribution limits a violation of free speech and supports allowing corporations and unions to donate to political parties. He opposes foreign lobbyists raising money but broadly supports unrestricted domestic campaign spending.",https://www.isidewith.com/candidates/david-brock-smith/policies/electoral,http://davidbrocksmithfororegon.com/issues,
David Brock Smith,ae7e8d67-e8a4-49a7-bb5c-715c99168374,childcare,86e13826-e72a-4a7c-8b76-00ef5d3ffa02,5,"Smith opposes universal pre-K federal funding and rejects government-subsidized childcare programs. His broader platform opposes expanding government social spending, leaving childcare to families and private markets.",https://www.isidewith.com/candidates/david-brock-smith/policies/education,http://davidbrocksmithfororegon.com/issues,
David Brock Smith,ae7e8d67-e8a4-49a7-bb5c-715c99168374,civil-rights,0bc588c6-39e1-4084-b5de-cac909b8b762,5,"Smith opposes affirmative action and supports eliminating diversity, equity, and inclusion initiatives in favor of merit-based hiring. He also opposes adding gender identity to anti-discrimination laws and rejects mandatory diversity training in schools and workplaces.",https://www.isidewith.com/candidates/david-brock-smith/policies/social,https://www.isidewith.com/candidates/david-brock-smith/policies,
David Brock Smith,ae7e8d67-e8a4-49a7-bb5c-715c99168374,climate-change,f1e44d66-5d27-4b51-b54f-b7ace86f6a3c,5,"Smith opposes increased environmental regulations to address climate change and supports U.S. withdrawal from the Paris Climate Agreement. His campaign and iSideWith profile show consistent opposition to climate policy mandates, favoring economic growth over emissions restrictions.",https://www.isidewith.com/candidates/david-brock-smith/policies/environmental,http://davidbrocksmithfororegon.com/issues,
David Brock Smith,ae7e8d67-e8a4-49a7-bb5c-715c99168374,deportation,44905f3b-e105-4f6c-afc7-5d223813dbac,4,"Smith supports deporting immigrants convicted of serious crimes and allows local law enforcement to detain undocumented immigrants even for minor offenses. He opposes amnesty for working undocumented immigrants but focuses enforcement on criminal history rather than universal immediate deportation.",https://www.isidewith.com/candidates/david-brock-smith/policies/immigration,https://ballotpedia.org/David_Brock_Smith,
David Brock Smith,ae7e8d67-e8a4-49a7-bb5c-715c99168374,fossil-fuels,a22215c3-6693-4bc2-b248-01aebba14570,5,"Smith supports expanding offshore oil drilling, drilling in the Alaska Wildlife Refuge, and lifting the moratorium on LNG export licenses. He also supports hydraulic fracking and opposes environmental restrictions on fossil fuel extraction.",https://www.isidewith.com/candidates/david-brock-smith/policies/environmental,http://davidbrocksmithfororegon.com/issues,
David Brock Smith,ae7e8d67-e8a4-49a7-bb5c-715c99168374,healthcare,e8dad4a8-eb93-4931-91f5-d8fb5d7dd529,4,"Smith opposes both the Affordable Care Act and single-payer healthcare, favoring market-based solutions. He does support government negotiation of Medicare drug prices and opposes denying coverage for pre-existing conditions, stopping short of full privatization.",https://www.isidewith.com/candidates/david-brock-smith/policies/healthcare,https://www.isidewith.com/candidates/david-brock-smith/policies,
David Brock Smith,ae7e8d67-e8a4-49a7-bb5c-715c99168374,homelessness,5f6fce56-ee3f-4c6e-88f5-f5bb03b4dac9,4,"Smith's campaign site explicitly opposes permanent street camping and criticizes current homelessness spending as ineffective. He advocates for drug and mental health treatment with accountability for repeat offenders, favoring enforcement and treatment requirements over decriminalization.",http://davidbrocksmithfororegon.com/issues,https://www.isidewith.com/candidates/david-brock-smith/policies,
