external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-26012,Rashida Tlaib,abortion,1,"Endorsed by NARAL Pro-Choice America; voted against Michigan's partial-birth abortion ban (SB160, 2011); consistently rated pro-choice through Project Vote Smart survey. As a DSA member and Squad member she backs full abortion access without restriction, including publicly funded healthcare that encompasses reproductive care.",https://www.ontheissues.org/MI/Rashida_Tlaib_Abortion.htm,https://en.wikipedia.org/wiki/Rashida_Tlaib,,,
-26012,Rashida Tlaib,campaign-finance,1,"Tlaib explicitly advocates for public financing models that let politicians spend time with voters instead of fundraising, and calls for overturning Citizens United to end corporate money in politics. She supports eliminating dependence on big-money donors entirely.",https://www.ontheissues.org/MI/Rashida_Tlaib_Government_Reform.htm,https://en.wikipedia.org/wiki/Rashida_Tlaib,,"I'll fight for public financing models that allow politicians more time to talk to voters","I'll fight for public financing models that allow politicians more time to talk to voters"
-26012,Rashida Tlaib,civil-rights,2,"Proposed the 'Justice for All' Civil Rights Act to end racial profiling and expand civil rights protections to cover discriminatory impacts; co-sponsored the ERA elimination of ratification deadline; supports expanding the George Floyd Justice in Policing Act. While she has engaged with reparations advocacy, her documented legislative record centers on strengthening enforcement and addressing systemic discrimination.",https://www.ontheissues.org/MI/Rashida_Tlaib_Civil_Rights.htm,https://www.ontheissues.org/MI/Rashida_Tlaib_Crime.htm,https://en.wikipedia.org/wiki/Rashida_Tlaib,,
-26012,Rashida Tlaib,climate-change,2,"Co-sponsored the Green New Deal resolution calling for net-zero greenhouse gas emissions through a 10-year national mobilization including transitioning to 100% clean energy; has a 98% lifetime LCV score. She frames the transition as an urgent economic mobilization to rapidly phase out fossil fuels.",https://www.ontheissues.org/MI/Rashida_Tlaib_Energy_+_Oil.htm,https://www.lcv.org/congressional-scorecard/moc/rashida-tlaib,https://en.wikipedia.org/wiki/Rashida_Tlaib,,
-26012,Rashida Tlaib,deportation,1,"Tlaib calls for dismantling 'our deportation machine and detention centers,' advocates abolishing ICE, and supports a pathway to citizenship for all undocumented immigrants without requiring them to return to their home country first. She frames immigration enforcement as causing devastation to families.",https://www.ontheissues.org/MI/Rashida_Tlaib_Immigration.htm,https://en.wikipedia.org/wiki/Rashida_Tlaib,,,
-26012,Rashida Tlaib,fossil-fuels,2,"Tlaib explicitly states she would 'phase out dirty fossil fuels' and co-sponsored the Green New Deal which calls for ending new fossil fuel permitting as part of a 10-year national mobilization. Her 98% LCV lifetime score reflects consistent opposition to fossil fuel expansion.",https://www.ontheissues.org/MI/Rashida_Tlaib_Energy_+_Oil.htm,https://www.lcv.org/congressional-scorecard/moc/rashida-tlaib,,"phase out dirty fossil fuels that compromise our air and water quality","phase out dirty fossil fuels that compromise our air and water quality"
-26012,Rashida Tlaib,healthcare,1,"Tlaib is an explicit Medicare for All advocate, calling it a right not a privilege: 'I'll fight for Medicare-for-All that guarantees health care as a right, not a privilege.' She supports a single-payer government-run system to replace private insurance.",https://www.ontheissues.org/MI/Rashida_Tlaib_Health_Care.htm,https://en.wikipedia.org/wiki/Rashida_Tlaib,,"I'll fight for Medicare-for-All that guarantees health care as a right, not a privilege.","I'll fight for Medicare-for-All that guarantees health care as a right, not a privilege."
-26012,Rashida Tlaib,housing,2,"Tlaib criticizes corporate landlords and greedy developers for forcing people from their homes, supports public investment in affordable housing, and as a DSA member backs rent stabilization and publicly funded housing construction. She has spoken against water and housing insecurity in Detroit communities.",https://www.ontheissues.org/MI/Rashida_Tlaib_Corporations.htm,https://en.wikipedia.org/wiki/Rashida_Tlaib,,,
-26012,Rashida Tlaib,immigration,1,"Tlaib supports 'a clear pathway to citizenship for all undocumented Americans,' opposes religion-based immigration restrictions (co-sponsored NO BAN Act), and advocates abolishing ICE. She frames immigration through 'empathy, not fear' and wants to let all immigrants fully access public services.",https://www.ontheissues.org/MI/Rashida_Tlaib_Immigration.htm,https://en.wikipedia.org/wiki/Rashida_Tlaib,,,
-26012,Rashida Tlaib,medicare/aid,1,"Tlaib supports Medicare for All — explicitly expanding Medicare to cover every American regardless of age — and opposes any cuts to Medicare or Medicaid. Her Medicare for All position matches value 1: expand Medicare to cover everyone regardless of age.",https://www.ontheissues.org/MI/Rashida_Tlaib_Health_Care.htm,https://www.ontheissues.org/MI/Rashida_Tlaib_Social_Security.htm,,,
