external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-45006,James Clyburn,abortion,2,"Voted NO on the No Taxpayer Funding for Abortion Act (2011, 2015), NO on the Pain-Capable Unborn Child Protection Act (2013, 2015), and NO on partial-birth abortion bans (2000). Rated 0% by NRLC and 65% by NARAL; the mixed NARAL rating reflects an early vote for a partial-birth exception but consistent opposition to access restrictions. Aligns with keeping abortion legal and accessible through the second trimester.",https://www.ontheissues.org/House/James_Clyburn_Abortion.htm,,,,The government should not discriminate in this way. It should not use its power of the purse to intrude on a woman's decision whether to carry to term.
-45006,James Clyburn,campaign-finance,2,"Voted YES on the Shays-Meehan Campaign Finance Overhaul (2002) banning soft money, co-sponsored the DISCLOSE Act (2012, 2013) requiring full disclosure of independent campaign expenditures, and co-sponsored the Government By the People Act (2014) establishing public matching funds. Consistently favors strict limits on corporate and dark money in elections.",https://www.ontheissues.org/House/James_Clyburn_Government_Reform.htm,,,,
-45006,James Clyburn,civil-rights,2,"Rated 97% by the NAACP for pro-affirmative-action and civil rights votes. Voted YES on the Equality Act (2018), the Matthew Shepard Hate Crimes Act, and co-sponsored the Equal Rights Amendment multiple times. Consistently supports strengthening civil rights enforcement and addressing systemic discrimination.",https://www.ontheissues.org/House/James_Clyburn_Civil_Rights.htm,https://en.wikipedia.org/wiki/Jim_Clyburn,,,Constitutional amendments have always been used to enhance and expand the rights of citizens.
-45006,James Clyburn,climate-change,3,Voted YES on CO2 limits via the cap-and-trade energy bill (2009) and on implementing portions of the Kyoto Protocol (2000); voted NO on barring EPA greenhouse gas regulation (2011); co-sponsored a 2016 resolution supporting 50% clean and carbon-free electricity by 2030. His pro-nuclear stance and incremental clean-energy record place him at investing in clean energy while gradually reducing fossil fuels rather than an immediate phase-out.,https://www.ontheissues.org/House/James_Clyburn_Energy_+_Oil.htm,https://www.ontheissues.org/House/James_Clyburn_Environment.htm,,,50% clean and carbon free electricity by 2030.
-45006,James Clyburn,deportation,2,"Rated 0% by FAIR (indicating the most open immigration stance); voted NO on building a border fence (2006), NO on mandatory hospital reporting of undocumented immigrants (2004), and supported DREAMer pathways. His record reflects reserving deportation for those with serious criminal records rather than broad enforcement.",https://www.ontheissues.org/House/James_Clyburn_Immigration.htm,https://www.ontheissues.org/House/James_Clyburn.htm,,,
-45006,James Clyburn,fossil-fuels,2,"Voted NO on opening the Outer Continental Shelf to oil/gas leasing (2011), NO on allowing ANWR drilling (2001), YES on banning Eastern Gulf of Mexico offshore drilling (2016), voted YES to maintain the 25-year offshore moratorium (2006), and NO on new refinery construction permits (2005, 2006). His record is consistent with stopping new drilling permits rather than banning all extraction.",https://www.ontheissues.org/House/James_Clyburn_Energy_+_Oil.htm,,,,
-45006,James Clyburn,healthcare,2,"Voted YES on SCHIP expansion (2007, 2009), YES on overriding veto to expand Medicare preventive services (2008), voted NO on ACA repeal (2015), and sponsored the Access for All America Act to expand community health centers. His record supports affordable coverage through a mix of public programs and regulated private insurance rather than a single-payer system.",https://www.ontheissues.org/House/James_Clyburn_Health_Care.htm,https://www.ontheissues.org/House/James_Clyburn.htm,,,"GOP can't beat ObamaCare, so they pretend it's a disaster."
-45006,James Clyburn,housing,3,"Voted YES on $70 million in Section 8 housing vouchers for 10,000 additional affordable units (2006) and co-sponsored the Project Rebuild Act for redevelopment of foreclosed properties (2013). His approach reflects targeted subsidies and affordable housing support rather than a universal right to housing or full government provision.",https://www.ontheissues.org/House/James_Clyburn_Welfare_+_Poverty.htm,,,,
-45006,James Clyburn,immigration,2,"Rated 0% by FAIR and 0% by USBC indicating the most open immigration stance; voted YES on the NO BAN Act prohibiting religious-based immigration discrimination (2021), voted to support DREAMer pathways, and opposed restrictive measures like the border fence. Aligns with keeping legal immigration open and allowing undocumented residents access to public services.",https://www.ontheissues.org/House/James_Clyburn_Immigration.htm,https://www.ontheissues.org/House/James_Clyburn.htm,,,Disallow immigration bans based on religion.
-45006,James Clyburn,medicare/aid,2,Rated 98% by the Alliance for Retired Americans for opposing privatization and supporting federal control of Social Security/Medicare; voted NO on the Ryan Budget Medicare voucher proposal (2011); endorsed in 2022 by the National Committee to Preserve Social Security and Medicare. His record aligns with significantly expanding Medicaid and strengthening Medicare rather than full Medicare-for-All or privatization.,https://www.ontheissues.org/House/James_Clyburn_Social_Security.htm,https://www.ontheissues.org/House/James_Clyburn_Health_Care.htm,,,
-45006,James Clyburn,redistricting,2,"Voted YES on the For the People Act (H.R.1, 2019 and 2021), which includes provisions establishing independent nonpartisan redistricting commissions. While Wikipedia reported he collaborated with SC Republicans on the 2020 state map, his documented legislative vote supports independent redistricting with bipartisan representation.",https://www.ontheissues.org/House/James_Clyburn_Government_Reform.htm,https://en.wikipedia.org/wiki/Jim_Clyburn,,,
-45006,James Clyburn,same-sex-marriage,1,"Voted NO on constitutional amendments banning same-sex marriage (2004 and 2006), co-sponsored the Respect for Marriage Act (2015), and publicly called for nationwide marriage equality legislation rather than a state-by-state approach after endorsing SSM in 2012. His record supports requiring all states to recognize same-sex marriages with full federal protections.",https://www.ontheissues.org/House/James_Clyburn_Civil_Rights.htm,https://en.wikipedia.org/wiki/Jim_Clyburn,,,Constitutional amendments have always been used to enhance and expand the rights of citizens.
-45006,James Clyburn,school-vouchers,1,"Voted NO on DC opportunity scholarship vouchers (2011), NO on vouchers for private and parochial schools (1997, 1998), and rated 100% by the NEA. His stated position is to ""oppose private and religious school voucher programs"" and redirect funds to public schools.",https://www.ontheissues.org/House/James_Clyburn_Education.htm,,,,Oppose private and religious school voucher programs.
-45006,James Clyburn,social-security,2,"Rated 98% by the Alliance for Retired Americans for opposing privatization, supported the Social Security Lockbox (1999), and was endorsed by NCPSSM in 2022 for protecting Social Security and Medicare. He opposes benefit cuts and privatization; his record is consistent with modestly strengthening benefits and financing through higher-earner contributions.",https://www.ontheissues.org/House/James_Clyburn_Social_Security.htm,,,,
-45006,James Clyburn,tariffs,3,"Voted NO on CAFTA, US-Australia, US-Singapore, and US-Chile free trade agreements but YES on the Peru FTA and USMCA; co-sponsored the Currency Reform for Fair Trade Act to impose tariffs on currency manipulators. CATO rating of 28% indicates selective protectionism. His record reflects using tariffs selectively to protect key industries and workers rather than broad free trade or comprehensive tariff walls.",https://www.ontheissues.org/House/James_Clyburn_Free_Trade.htm,,,,
-45006,James Clyburn,taxes,2,"Voted NO on the $958B Bush tax cut package (2001), NO on eliminating the estate tax (2001, 2015), NO on retaining reduced capital gains/dividends taxes (2005), and NO on making Bush tax cuts permanent (2002). Rated 80% by Citizens for Tax Justice for supporting progressive taxation and 21% by NTU. His record reflects moderately raising taxes on wealthy individuals and corporations.",https://www.ontheissues.org/House/James_Clyburn_Tax_Reform.htm,https://www.ontheissues.org/House/James_Clyburn.htm,,,
-45006,James Clyburn,voting-rights,1,"Co-sponsored automatic voter registration (H.R.12, 2015), voted YES on the For the People Act making Election Day a federal holiday (2019, 2021), voted NO on the Federal Election Integrity Act (photo ID mandate, 2006), and co-signed legislation banning photo ID voting requirements (2014). Stated position supports automatic registration, same-day registration, online registration, and expanded mail-in access.",https://www.ontheissues.org/House/James_Clyburn_Government_Reform.htm,https://www.ontheissues.org/House/James_Clyburn.htm,,,Automatic voter registration for all citizens.
-45007,Russell Fry,climate-change,5,"Fry has a lifetime LCV score of 2% and a 2025 score of 0%, voting against every major climate protection bill tracked in 2025. He voted to roll back the methane polluter fee, block clean air protections, defund DOE clean energy programs, and fast-track fossil fuel power over clean energy, consistent with rejecting climate policies in favor of economic growth.",https://www.lcv.org/moc/russell-fry/,https://www.lcv.org/congressional-scorecard/moc/russell-fry,,,
-45007,Russell Fry,fossil-fuels,5,"Fry voted to reverse Arctic Refuge drilling protections, remove the methane polluter fee, open public lands and waters to oil drilling (LCV Roll Call 93, 2023), block the Delaware River Basin fracking ban, remove LNG federal oversight, and voted to open Alaska's Western Arctic to extraction. His 2023–2025 LCV scores of 3%/3%/0% reflect near-uniform support for maximizing fossil fuel extraction.",https://www.lcv.org/moc/russell-fry/,https://www.lcv.org/congressional-scorecard/moc/russell-fry,,,
-45007,Russell Fry,immigration,4,"Fry publicly declared he was ready for a ""border fight"" and stated migrant encounters had reached numbers ""several times what the Obama DHS saw as a crisis"" (Nov 2023). He sat on the Oversight Committee's southern border hearing (Jan 2023) and called Biden's border visit ""a day late and a border wall short."" His documented record supports making immigration harder and limiting public services to those with legal status, but he has not publicly called to end legal immigration altogether.",https://www.breitbart.com/tag/russell-fry/,,,,
-45005,Ralph Norman,abortion,4,Norman sponsored a bill to protect infant survivors of abortion (Feb 2020) and has called for including pre-born humans in 14th Amendment protections. His documented legislative record reflects restricting abortion to serious exceptions rather than a full ban with criminal penalties.,https://www.ontheissues.org/Ralph_Norman.htm,https://en.wikipedia.org/wiki/Ralph_Norman,,Include pre-born human beings in 14th Amendment protection,Include pre-born human beings in 14th Amendment protection
-45005,Ralph Norman,healthcare,4,"Norman has consistently called for repealing and replacing the ACA with a free-market-based plan. He opposes federal vaccine mandates and government-run healthcare, aligning with limiting public assistance to only the poorest and leaving all others to private insurance.",https://www.ontheissues.org/Ralph_Norman.htm,,,Repeal and replace ObamaCare with free-market-based plan,Repeal and replace the current healthcare law with a free-market-based plan
-45005,Ralph Norman,taxes,5,"Norman has called for cutting taxes and eliminating regulations to spur job creation, opposed any tax increases to balance the budget, and supported reducing the corporate tax rate from 35% to 21%. His record aligns with drastically cutting taxes and shrinking government.",https://www.ontheissues.org/Ralph_Norman.htm,,,Cut taxes and eliminate regulations that kill job-creation,Cut taxes and eliminate regulations that kill job-creation
-45005,Ralph Norman,immigration,4,"Norman supports building a border wall, requires illegal immigrants to exit and re-enter legally, and co-sponsored the Secure America's Borders First Act (Feb 2022). He also supported increasing both high-skill and family-based visa caps (Sep 2019), placing him at value=4 rather than full restriction.",https://www.ontheissues.org/Ralph_Norman.htm,https://en.wikipedia.org/wiki/Ralph_Norman,,Build the wall to protect our sovereignty,Build the wall to protect our sovereignty
-45005,Ralph Norman,deportation,4,"Norman's stated position is that illegal immigrants must exit the country and re-enter legally. His co-sponsorship of the Secure America's Borders First Act reflects prioritizing deportation across all without legal status, starting with those with criminal records.",https://www.ontheissues.org/Ralph_Norman.htm,https://en.wikipedia.org/wiki/Ralph_Norman,,Illegal immigrants must exit and re-enter,Illegal immigrants must exit and re-enter
-45005,Ralph Norman,climate-change,5,"Norman has a 0% LCV score in 2025 (lifetime 1%), voted to roll back methane pollution fees, undermine endangered species protections, and gut environmental review processes. His environmental record reflects rejecting climate change policies in favor of economic growth.",https://www.lcv.org/scorecard/ralph-norman/,https://www.ontheissues.org/Ralph_Norman.htm,,Limit EPA oversight to allow mining over fishing,Limit EPA oversight to allow mining over fishing
-45005,Ralph Norman,fossil-fuels,4,"Despite a 0% LCV score, Norman co-founded the Bipartisan Congressional Solar Caucus with an Illinois Democrat, and noted support for funding renewable energy like wind and solar (Aug 2018). This distinguishes him from value=5; his record reflects expanding drilling while maintaining some openness to renewables.",https://en.wikipedia.org/wiki/Ralph_Norman,https://www.lcv.org/scorecard/ralph-norman/,https://www.ontheissues.org/Ralph_Norman.htm,,Fund renewable energy like wind and solar
-45005,Ralph Norman,civil-rights,5,"Norman voted against the Equality Act (May 2018), called DEI 'unacceptable at taxpayer-funded universities' (Sep 2025), voted NO on private lawsuits for school race discrimination (Sep 2020), and joined efforts to reinstate Rep. Steve King after removal for racist remarks.",https://www.ontheissues.org/Ralph_Norman.htm,https://en.wikipedia.org/wiki/Ralph_Norman,,DEI is unacceptable at taxpayer-funded university,DEI is unacceptable at taxpayer-funded university
-45005,Ralph Norman,ukraine-support,5,Norman co-sponsored the Secure America's Borders First Act (Feb 2022) which would prohibit ALL military and security assistance to Ukraine until U.S. border issues are resolved — functionally ending aid to Ukraine.,https://en.wikipedia.org/wiki/Ralph_Norman,,,,
-45005,Ralph Norman,voting-rights,4,"Norman opposed an election day holiday and same-day voter registration (Mar 2019), refused to certify the 2020 election results, and supported election integrity measures requiring stricter ID. His record aligns with requiring photo ID and regularly purging voter rolls.",https://www.ontheissues.org/Ralph_Norman.htm,https://en.wikipedia.org/wiki/Ralph_Norman,,No holiday on election day; no same-day registration,No holiday on election day; no same-day registration
-45005,Ralph Norman,social-security,4,Norman has publicly stated he favors raising the retirement age and lowering benefits for the top 10% of earners (May 2017). This aligns with gradually raising the retirement age and reducing benefits for higher earners to save Social Security.,https://www.ontheissues.org/Ralph_Norman.htm,,,Raise retirement age; lower benefits for top 10% of earners,Raise retirement age; lower benefits for top 10% of earners
-45005,Ralph Norman,medicare/aid,4,"Norman's healthcare record shows consistent support for repealing the ACA, which expanded Medicaid, and replacing it with private market alternatives. His free-market healthcare stance aligns with partially privatizing Medicare and reducing Medicaid coverage rather than a full phase-out.",https://www.ontheissues.org/Ralph_Norman.htm,,,Repeal and replace ObamaCare with free-market-based plan,Repeal and replace the current healthcare law with a free-market-based plan
-45005,Ralph Norman,school-vouchers,5,Norman stated 'Let the money follow the child through school choice' (Nov 2025) and believes states — not the federal government — should decide education standards. His position aligns with universal vouchers so education funding follows the student to any school chosen by the family.,https://www.ontheissues.org/Ralph_Norman.htm,,,Let the money follow the child through school choice,Let the money follow the child through school choice
-45005,Ralph Norman,tariffs,4,Norman stated 'Increased prices from tariffs for the good of the country' (Aug 2025) and supported implementing USMCA for improved North American trade (Dec 2019). His position supports increasing tariffs on countries that don't trade fairly without imposing blanket maximum tariffs.,https://www.ontheissues.org/Ralph_Norman.htm,,,Increased prices from tariffs for the good of the country,Increased prices from tariffs for the good of the country
-45005,Ralph Norman,religious-freedom,5,"Norman has emphasized empowering those who believe in the virtues of faith in God (May 2017), voted against Islamophobia measures (Dec 2021), and consistently opposed LGBTQ protections that he views as infringing on religious liberty. His stance aligns with strongly protecting religious freedom and allowing religious organizations complete autonomy.",https://www.ontheissues.org/Ralph_Norman.htm,,,Empower those who believe in the virtues of faith in God,Empower those who believe in the virtues of faith in God
-45005,Ralph Norman,misinformation,4,Norman voted NO on net neutrality regulation (Apr 2019) and has consistently opposed government involvement in speech and internet content. His stance aligns with protecting free speech online and preventing government censorship.,https://www.ontheissues.org/Ralph_Norman.htm,,,,
-45005,Ralph Norman,campaign-finance,4,"Norman voted NO on corporate transparency measures (Oct 2019), indicating opposition to disclosure requirements and regulation of political spending. His record aligns with reducing restrictions on political donations and spending.",https://www.ontheissues.org/Ralph_Norman.htm,,,,
