external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-2700004,Steve Simon,voting-rights,1,"Simon championed automatic voter registration as Secretary of State and supported HF3 (2023), the omnibus voting bill that enacted AVR, multilingual ballots, and same-day registration expansion — signed into law May 2023. As MN House Elections Committee chair (2005-2015) he authored no-excuse absentee voting legislation in 2013. He also supported restoration of voting rights for people on parole (enacted 2023), directly aligning with stance 1: automatically registering all eligible citizens to vote.",https://en.wikipedia.org/wiki/Steve_Simon_(politician),https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF3&ssn=0&y=2023,https://www.ncsl.org/elections-and-campaigns/automatic-voter-registration,,
-2700004,Steve Simon,same-sex-marriage,1,"Simon gave nationally recognized testimony in May 2011 opposing the Minnesota constitutional amendment to ban same-sex marriage, stating: 'How many more gay people does God have to create before we ask ourselves whether or not God actually wants them around?' He voted against the 2011 proposed constitutional ban and subsequently supported the 2013 Minnesota law legalizing same-sex marriage. Aligns with requiring all states to recognize same-sex marriages with full federal protections.",https://en.wikipedia.org/wiki/Steve_Simon_(politician),,,"How many more gay people does God have to create before we ask ourselves whether or not God actually wants them around?","How many more gay people does God have to create before we ask ourselves whether or not God actually wants them around?"
-2700004,Steve Simon,religious-freedom,2,"Simon's 2011 testimony on same-sex marriage explicitly argued that the government should not enshrine one religious tradition's definition of marriage into law as binding on all citizens — framing it as a civil rights issue rather than a religious one. He voted against the constitutional amendment that would have codified a religious definition of marriage in state law. Aligns with protecting religious freedom while ensuring it does not override anti-discrimination protections for LGBTQ+ individuals.",https://en.wikipedia.org/wiki/Steve_Simon_(politician),,,,
-2700004,Steve Simon,civil-rights,2,"Simon's 2011 testimony on same-sex marriage framed LGBTQ+ equality as a civil rights matter, arguing against government-sanctioned discrimination. As SoS, he prioritized multilingual ballot access and equal voting rights for marginalized communities through HF3 (2023), which included anti-intimidation and anti-deceptive-practices provisions protecting minority voters. Aligns with strengthening civil rights enforcement and addressing systemic discrimination.",https://en.wikipedia.org/wiki/Steve_Simon_(politician),https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF3&ssn=0&y=2023,,,
-2700004,Steve Simon,campaign-finance,2,"Simon supported HF3 (2023), the omnibus elections bill that included campaign finance disclosure provisions and modifications requiring greater transparency in political donations. As MN House Elections Committee chair he championed election transparency legislation. The 2023 law included campaign finance modifications as part of its voting access expansion package. Aligns with strictly limiting corporate donations and dark money rather than a total ban on private political money.",https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF3&ssn=0&y=2023,,,,
-2700004,Steve Simon,misinformation,2,"Simon as MN Secretary of State has actively spoken out against election misinformation as part of his election security mandate. HF3 (2023), which he championed, included protections against voter intimidation and deceptive practices targeting voters. He has testified on election disinformation dangers before election officials nationally. Aligns with mandating fact-checking and transparency in how election-related information reaches voters.",https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF3&ssn=0&y=2023,,,,
-2700004,Steve Simon,immigration,2,"Simon as SoS administered HF4 (2023), which provided driver's licenses to undocumented immigrants in Minnesota — he was responsible for implementation. This law allows all residents regardless of immigration status to obtain a state ID. His administrative actions in implementing the law support access to public services for undocumented residents, consistent with keeping legal immigration open while allowing undocumented residents to use public services.",https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF4&ssn=0&y=2023,,,,
-2700004,Steve Simon,deportation,2,"Simon administered HF4 (2023), providing driver's licenses to undocumented immigrants regardless of legal status, signaling opposition to policies that facilitate deportation of long-term residents. His SoS administrative actions implementing this law reflect support for protecting undocumented residents from removal. Consistent with a position of deporting only those convicted of serious violent crimes rather than broad enforcement against all undocumented people.",https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF4&ssn=0&y=2023,,,,
-2700004,Steve Simon,redistricting,2,"Simon as MN Secretary of State administers elections and has expressed support for independent redistricting processes to reduce partisan bias. Minnesota relied on a judicial redistricting panel after the legislature deadlocked in 2022 — an outcome Simon as SoS oversaw. His documented MN House record as Elections Committee chair reflects support for nonpartisan election administration. Aligns with independent redistricting commissions with equal representation from both major parties.",https://en.wikipedia.org/wiki/Steve_Simon_(politician),,,,
-2700004,Steve Simon,trans-athletes,1,"Simon has been a documented LGBTQ+ rights champion since his 2011 same-sex marriage speech. Minnesota enacted legislation in 2023 explicitly protecting transgender students' rights to participate in school sports consistent with their gender identity — part of the broad LGBTQ+ protections package under the Walz administration, which Simon publicly supported. No documented restrictions on trans athlete participation. Aligns with allowing transgender athletes to compete on teams matching their gender identity without restrictions.",https://en.wikipedia.org/wiki/Steve_Simon_(politician),,,,
