external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-47003,Charles Fleischmann,abortion,4,"Fleischmann opposes abortion but supports exceptions for rape, incest, and maternal life threats. He backed the 20-week Pain-Capable Unborn Child Protection Act and federal funding bans on abortion, while supporting the Protect Life Act which retained rape/incest exceptions. He has stated: ""I believe that life begins at conception. I do not believe in abortion.""",https://www.ontheissues.org/house/Chuck_Fleischmann.htm,https://www.ontheissues.org/house/Chuck_Fleischmann_Abortion.htm,,"I believe that life begins at conception. I do not believe in abortion.","I believe that life begins at conception. I do not believe in abortion."
-47003,Charles Fleischmann,campaign-finance,4,"Fleischmann voted against the For the People Act, which would have expanded campaign finance disclosure requirements and established federal matching funds for candidates. His vote aligned with Republican arguments that such measures constitute federal overreach, reflecting a preference for reduced restrictions on political donations and spending.",https://www.ontheissues.org/house/Chuck_Fleischmann_Government_Reform.htm,https://www.ontheissues.org/house/Chuck_Fleischmann.htm,,,
-47003,Charles Fleischmann,civil-rights,5,"Fleischmann voted against the Equity and Inclusion Enforcement Act (which would have allowed private discrimination lawsuits in schools), voted against the George Floyd Justice in Policing Act, and opposed removing the ERA ratification deadline. His record consistently opposes race-based enforcement mechanisms and federal civil rights expansion, aligning with eliminating affirmative action and race-based government programs.",https://www.ontheissues.org/house/Chuck_Fleischmann_Civil_Rights.htm,https://www.ontheissues.org/house/Chuck_Fleischmann_Education.htm,,,
-47003,Charles Fleischmann,climate-change,5,"Fleischmann has a 5% lifetime LCV score and 0% in 2025, opposing virtually all environmental protection measures tracked. He opposes EPA greenhouse gas regulations, filed the Stop Green Initiative Abuse Act to repeal weatherization assistance, and voted YES on offshore drilling expansion — reflecting a stance that rejects climate change policies in favor of economic growth and energy production.",https://www.lcv.org/congressional-scorecard/moc/chuck-fleischmann,https://www.ontheissues.org/house/Chuck_Fleischmann_Environment.htm,https://en.wikipedia.org/wiki/Chuck_Fleischmann,,
-47003,Charles Fleischmann,deportation,4,"Fleischmann opposes pathways to citizenship for undocumented immigrants, supports border wall construction and increased enforcement agents, and voted to ban DACA recipients from military service. His stated position calls for completing the fence and more border enforcement, prioritizing removal of those without legal status with a focus on criminal records first.",https://www.ontheissues.org/house/Chuck_Fleischmann_Immigration.htm,https://www.ontheissues.org/house/Chuck_Fleischmann.htm,,,
-47003,Charles Fleischmann,fossil-fuels,5,"Fleischmann stated ""Drill ANWR; drill the Outer Continental Shelf,"" voted YES on offshore drilling expansion, opposes EPA greenhouse gas regulations, and filed legislation repealing energy efficiency programs. His record reflects a position of maximizing fossil fuel extraction and removing environmental restrictions rather than maintaining current levels.",https://www.ontheissues.org/house/Chuck_Fleischmann.htm,https://en.wikipedia.org/wiki/Chuck_Fleischmann,,,
-47003,Charles Fleischmann,healthcare,4,"Fleischmann's first vote was to repeal the ACA, he supports the Ryan Budget's Medicare voucher approach, and opposes federal expansion of healthcare. He emphasizes patient choice and market-based solutions, supporting assistance only for those who cannot afford care while opposing government-run programs. He has not called for full privatization of all healthcare.",https://www.ontheissues.org/house/Chuck_Fleischmann_Health_Care.htm,https://www.ontheissues.org/house/Chuck_Fleischmann.htm,,,
-47003,Charles Fleischmann,housing,4,"Fleischmann voted to maintain TANF work requirements and opposed the Home Affordable Mortgage Program (HAMP), reflecting preference for reduced government intervention in housing and economic assistance. He supported deregulation-focused economic policy and opposed unconditional federal housing programs, aligning with letting private developers solve housing shortages.",https://www.ontheissues.org/house/Chuck_Fleischmann_Welfare_+_Poverty.htm,https://www.ontheissues.org/house/Chuck_Fleischmann_Budget_+_Economy.htm,,,
-47003,Charles Fleischmann,immigration,4,"Fleischmann opposes pathways to citizenship for undocumented immigrants, supports the border wall and increased enforcement agents, voted against the NO BAN Act (maintaining presidential authority to restrict entry), and opposed expanded legal immigration access for DACA recipients. His record favors making legal immigration harder and limiting public services to those with legal status.",https://www.ontheissues.org/house/Chuck_Fleischmann_Immigration.htm,https://www.ontheissues.org/house/Chuck_Fleischmann.htm,,,
-47003,Charles Fleischmann,medicare/aid,4,"Fleischmann voted YES on the Ryan Budget plan offering ""Medicare choice"" with vouchers for future beneficiaries rather than guaranteed benefits, and consistently opposed ACA Medicaid expansion. His support for a privatized Medicare voucher approach and opposition to Medicaid expansion aligns with partially privatizing Medicare and reducing Medicaid coverage.",https://www.ontheissues.org/house/Chuck_Fleischmann_Health_Care.htm,https://www.ontheissues.org/house/Chuck_Fleischmann.htm,,,
-47003,Charles Fleischmann,misinformation,4,"Fleischmann voted against the For the People Act which included online content provisions, voted NO on net neutrality regulations, and voted YES on CISPA (government cybersecurity data sharing). His record reflects a consistent preference for protecting free speech online and preventing government censorship rather than mandating platform content moderation.",https://www.ontheissues.org/house/Chuck_Fleischmann_Technology.htm,https://www.ontheissues.org/house/Chuck_Fleischmann_Government_Reform.htm,,,
-47003,Charles Fleischmann,redistricting,5,"Fleischmann voted against the For the People Act which would have required states to establish independent nonpartisan redistricting commissions. His opposition to independent redistricting commissions aligns with the position that the party controlling the state legislature should draw district boundaries without outside interference.",https://www.ontheissues.org/house/Chuck_Fleischmann_Government_Reform.htm,https://www.ontheissues.org/house/Chuck_Fleischmann.htm,,,
-47003,Charles Fleischmann,religious-freedom,4,"Fleischmann signed the First Amendment Defense Act, which protects individuals and organizations from federal penalties for opposing same-sex marriage on religious grounds. He also voted YES on promoting ""In God We Trust"" displays in public buildings. His record supports faith-based exemptions from laws conflicting with sincere religious beliefs.",https://www.ontheissues.org/house/Chuck_Fleischmann_Civil_Rights.htm,https://en.wikipedia.org/wiki/Chuck_Fleischmann,,,
-47003,Charles Fleischmann,same-sex-marriage,5,"Fleischmann stated ""I believe that marriage is between a man and a woman,"" supports a constitutional amendment protecting traditional marriage, and co-sponsored the State Marriage Defense Act to let states define marriage for federal purposes. He voted against reauthorizing VAWA's LGBTQ protections and opposed anti-discrimination measures for LGBTQ federal contractors.",https://www.ontheissues.org/house/Chuck_Fleischmann_Civil_Rights.htm,https://www.ontheissues.org/house/Chuck_Fleischmann.htm,,"I believe that marriage is between a man and a woman.","I believe that marriage is between a man and a woman."
-47003,Charles Fleischmann,school-vouchers,4,"Fleischmann voted YES on reauthorizing DC's Opportunity Scholarship program (private school vouchers for low-income students) and YES on the SOAR Act to expand it, stating ""Vouchers break link of low-income and low-quality schools."" He supports expanded voucher eligibility for most families while maintaining baseline public school funding, but the DC program is income-targeted rather than universal.",https://www.ontheissues.org/house/Chuck_Fleischmann_Education.htm,https://www.ontheissues.org/house/Chuck_Fleischmann.htm,,"""Vouchers break link of low-income and low-quality schools.""","Vouchers break link of low-income and low-quality schools."
-47003,Charles Fleischmann,social-security,5,"Fleischmann supports privatizing Social Security and received a 3% rating from the Alliance for Retired Americans (where 0% = supports privatization/market-based reforms). His fiscal conservatism and support for transitioning programs to market mechanisms align with privatizing Social Security into individually controlled investment accounts.",https://www.ontheissues.org/house/Chuck_Fleischmann_Social_Security.htm,https://www.ontheissues.org/house/Chuck_Fleischmann.htm,,,
