external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-37008,Mark Harris,abortion,5,"Harris has consistently stated he is pro-life with no exceptions for rape or incest, saying ""Life begins at conception; no exceptions on taking life."" He opposed Roe v. Wade and supports defunding Planned Parenthood.",https://www.ontheissues.org/NC/Mark_Harris.htm,https://en.wikipedia.org/wiki/Mark_Harris_(North_Carolina_politician),,"""Life begins at conception; no exceptions on taking life.""","""Life begins at conception; no exceptions on taking life."""
-37008,Mark Harris,campaign-finance,4,"Harris supports ""more disclosure and less regulation"" of campaign financing and has stated ""political speech is free speech,"" indicating he favors reducing restrictions on political spending while retaining donor disclosure.",https://www.ontheissues.org/NC/Mark_Harris.htm,,,"""Political speech is free speech.""","""Political speech is free speech."""
-37008,Mark Harris,climate-change,5,"Harris disputes human responsibility for climate change and ""strongly disagrees"" that additional regulations are needed to prevent it, opposing any federal climate action. The League of Conservation Voters gave him a 0% lifetime environmental score in 2025.",https://www.lcv.org/congressional-scorecard/moc/mark-harris,https://www.ontheissues.org/NC/Mark_Harris_Energy_+_Oil.htm,,,
-37008,Mark Harris,deportation,4,"Harris supports building the border wall, ending sanctuary cities, and opposes any citizenship pathway for undocumented immigrants, stating ""Pathway to citizenship for DACA recipients rewards lawbreaking."" His documented stance prioritizes enforcement of existing immigration law against those without legal status.",https://www.ontheissues.org/NC/Mark_Harris_Immigration.htm,https://www.ontheissues.org/NC/Mark_Harris.htm,,"""Pathway to citizenship for DACA recipients rewards lawbreaking.""","""Pathway to citizenship for DACA recipients rewards lawbreaking."""
-37008,Mark Harris,fossil-fuels,5,"Harris opposes climate regulations and government renewable energy subsidies, stating government ""should not pick winners & losers."" The League of Conservation Voters gave him a 0% score in 2025, including votes to expand fossil fuel development on public lands and roll back clean air protections.",https://www.lcv.org/congressional-scorecard/moc/mark-harris,https://www.ontheissues.org/NC/Mark_Harris_Energy_+_Oil.htm,,,
-37008,Mark Harris,healthcare,4,"Harris ""strongly disagrees"" that government should ensure everyone has health insurance, stating ""Health insurance is not a government responsibility,"" and supports market-based reform with HSAs and cross-state insurance purchasing. He opposes the ACA but does not advocate eliminating all government healthcare programs entirely.",https://www.ontheissues.org/NC/Mark_Harris_Health_Care.htm,https://www.ontheissues.org/NC/Mark_Harris.htm,,"""Health insurance is not a government responsibility.""","""Health insurance is not a government responsibility."""
-37008,Mark Harris,immigration,4,"Harris opposes sanctuary cities, supports the border wall, and rejects citizenship pathways for undocumented immigrants, stating America welcomes those who ""must come legally."" His position limits public services to those with legal status but does not call for halting legal immigration entirely.",https://www.ontheissues.org/NC/Mark_Harris_Immigration.htm,https://en.wikipedia.org/wiki/Mark_Harris_(North_Carolina_politician),,,
-37008,Mark Harris,religious-freedom,5,"Harris, a Baptist pastor, has warned of the ""criminalization of Christianity"" and strongly advocates for religious liberty over anti-discrimination laws. He promoted Family Research Council materials endorsing conversion therapy and led campaigns for faith-based exemptions.",https://en.wikipedia.org/wiki/Mark_Harris_(North_Carolina_politician),https://www.ontheissues.org/NC/Mark_Harris.htm,,"""We have watched in one generation where homosexuality was once criminalized to now we see the criminalization of Christianity.""","""We have watched in one generation where homosexuality was once criminalized to now we see the criminalization of Christianity."""
-37008,Mark Harris,same-sex-marriage,5,"Harris led supporters of North Carolina Amendment 1 (2012 same-sex marriage ban), called the Obergefell ruling ""one of the most devastating blows to the American way of life,"" and states ""I believe marriage is between 1 man & 1 woman.""",https://en.wikipedia.org/wiki/Mark_Harris_(North_Carolina_politician),https://www.ontheissues.org/NC/Mark_Harris_Civil_Rights.htm,,"""One of the most devastating blows to the American way of life.""","""One of the most devastating blows to the American way of life."""
-37008,Mark Harris,school-vouchers,5,"Harris explicitly supports education vouchers that allow parents to choose public or private schools, and backs using public money to help parents send children to private schools, including religious institutions.",https://www.ontheissues.org/NC/Mark_Harris_Education.htm,https://www.ontheissues.org/NC/Mark_Harris.htm,,,
-37008,Mark Harris,social-security,5,"Harris advocates for gradual privatization of Social Security, proposing ""a reformed system where individuals only receive what they pay in"" with private options for those not yet retired, while opposing tax increases to fund the program.",https://www.ontheissues.org/NC/Mark_Harris_Social_Security.htm,https://en.wikipedia.org/wiki/Mark_Harris_(North_Carolina_politician),,"""A reformed system where individuals only receive what they pay in.""","""A reformed system where individuals only receive what they pay in."""
-37008,Mark Harris,tariffs,3,"Harris is ""Not a fan"" of tariffs generally but supported Trump's 2018 China tariffs as a temporary negotiating tool rather than permanent policy, framing selective tariffs as leverage rather than a structural trade strategy.",https://www.ontheissues.org/NC/Mark_Harris_Free_Trade.htm,,,"""Not a fan of tariffs.""","""Not a fan of tariffs."""
-37008,Mark Harris,taxes,4,"Harris supports making federal income tax cuts permanent and opposes raising taxes on wealthy individuals or corporations, favoring a balanced budget approach through spending cuts rather than revenue increases.",https://www.ontheissues.org/NC/Mark_Harris_Tax_Reform.htm,https://www.ontheissues.org/NC/Mark_Harris.htm,,,
-37008,Mark Harris,trans-athletes,4,"Harris campaigned for North Carolina's Public Facilities Privacy & Security Act (""bathroom bill"") in 2016, which required people to use facilities corresponding to their biological sex at birth, and opposes making sexual orientation or gender identity a protected class.",https://en.wikipedia.org/wiki/Mark_Harris_(North_Carolina_politician),https://www.ontheissues.org/NC/Mark_Harris_Civil_Rights.htm,,,
