full_name,topic_key,source_url,snippet,snippet_index
Jen Plumb,abortion,https://www.ksl.com/article/50591382/utah-bill-to-close-abortion-clinics-passes-senate,"Sen. Jen Plumb, D-Salt Lake City, proposed an amendment that would have extended abortion exceptions to women at risk of substantial impairment to a major mental function due to the pregnancy. Floor sponsor Sen. Daniel McCay rejected this approach, characterizing it as an ""exception that really does blow a hole in the rule."" Plumb raised concerns about access equity, particularly regarding rural patients. She highlighted a case where a patient was recently flown from a rural area to receive an abortion for an ectopic pregnancy — at times a life-threatening condition where the fertilized ovum develops outside the uterus — and died before she was able to receive treatment.",0
Jen Plumb,abortion,https://www.ksl.com/article/50591382/utah-bill-to-close-abortion-clinics-passes-senate,"Plumb raised concerns about access equity, particularly regarding rural patients. She emphasized the need for ensuring that ""when a patient or child is in a very critical medical situation, that that care is available to them."" The Republican-controlled Senate voted down Plumb's amendment along with all other Democratic proposals to modify the bill.",1
Jen Plumb,abortion,https://www.deseret.com/utah/2023/3/3/23624526/utah-bill-to-close-abortion-clinics-passes-legislature/,"Sen. Jen Plumb, D-Salt Lake City, proposed an amendment to expand abortion exceptions. She sought to include cases where women face ""substantial impairment to a major mental function due to the pregnancy."" Floor sponsor Sen. Daniel McCay dismissed her proposal, characterizing it as ""an exception that really does blow a hole in the rule."" Plumb shared concerns about rural patients unable to access timely abortion care, citing a case involving a woman with an ectopic pregnancy who was airlifted for treatment but died before receiving it. Her amendment was voted down by the Republican-controlled Senate.",0
Jen Plumb,same-sex-marriage,https://www.fox13now.com/news/local-news/lawmaker-pushes-to-codify-same-sex-marriage-in-utah-law,"Dr. Jennifer Plumb expressed support for codifying same-sex marriage in Utah. She stated: ""We absolutely need to take seriously the impacts that beyond Roe v. Wade. Codifying gay marriage in Utah is something we obviously need to be doing."" She further emphasized her broader concerns about LGBTQ protections, noting she is ""worried about 'Don't Say Gay', the continued attacks on transgender youth, as well as the threats to reproductive justice that are coming."" The article indicates that despite being primary opponents, Plumb and Sen. Kitchen found common ground on this particular legislative initiative.",0
Jen Plumb,same-sex-marriage,https://www.jenplumb.com/,"Plumb states on her campaign website: ""Transgender children and trans adults alike deserve dignity and equity under the law."" She describes fighting alongside organizations like Equality Utah against the Legislative Majority's anti-trans laws and says she ""won't stop fighting for dignity, protections, and anti-harassment for every community member."" The site also notes that ""Five years running, Utah has been ranked the worst state in the nation for Women's Equality"" and calls for eliminating the gender pay gap and ratifying the ERA.",0
Jen Plumb,trans-athletes,https://www.ksl.com/article/51047403/utah-lawmakers-vote-to-block-federal-protections-for-lgbtq-students-under-title-ix,"Sen. Jennifer Plumb, D-Salt Lake City, voted against the resolution. She expressed frustration about the Legislature's approach, stating: ""My frustration is that it already feels like we want this war against this very small, marginalized community. This feels kind of like a salt in the wound to a lot of folks that I've spoken to."" Plumb was referencing the cumulative effect of policies affecting transgender individuals, characterizing the resolution as adding to existing tensions within the community.",0
Jen Plumb,trans-athletes,https://www.heraldextra.com/news/local/2024/jun/20/citing-states-rights-utah-wont-comply-with-title-ix-rules-protecting-transgender-students/,"During a June 2024 special legislative session, Senator Jen Plumb, a Democrat from Salt Lake City, said on the Senate floor: ""My frustration is that it already feels that you already won this war against a very small group of people in an already marginalized community,"" and called the legislature's approach ""confusing, frustrating and saddening."" Plumb, a doctor from Salt Lake City with a transgender child, told her fellow senators that she would not use the restroom until she went home to see what it feels like to be a trans student who avoids using the restroom because they can't access a space that affirms their identity.",0
Jen Plumb,medicare/aid,https://www.kpcw.org/2025-11-07/democrats-warn-utahns-could-pay-thousands-more-for-health-coverage-if-aca-subsidies-end,"State Sen. Jen Plumb, D-Salt Lake City, said Utah's hospitals and emergency rooms will take on a bigger burden if thousands drop their insurance because it's too expensive. Plumb, an emergency room pediatrician, said she already sees patients on a routine basis who can't afford coverage and wait until they're in crisis to seek medical attention. ""This isn't like an abstract policy concept,"" Plumb said. ""It's what we see on the faces of patients every shift.""",0
Jen Plumb,medicare/aid,https://www.standard.net/news/local/2025/nov/06/democrats-warn-utahns-could-pay-thousands-more-for-health-coverage-if-aca-subsidies-end/,"State Sen. Jen Plumb, D-Salt Lake City, said Utah's hospitals and emergency rooms will take on a bigger burden if thousands drop their insurance because it's too expensive. Plumb, an emergency room pediatrician, said she already sees patients on a routine basis who can't afford coverage and wait until they're in crisis to seek medical attention. ""This isn't like an abstract policy concept,"" Plumb said. ""It's what we see on the faces of patients every shift.""",0
Jen Plumb,fossil-fuels,https://www.jenplumb.com/,"Plumb advocates for policies ""backed by data, science, and experience"" and warns against allowing ""big business to pollute our state."" She calls for protecting ""air, water, and watersheds"" through legislation and states it is imperative to act on climate change by sanctioning polluters and improving forest management to limit debilitating fires. She serves on the Legislative Energy Working Group.",0
Jen Plumb,voting-rights,https://www.fox13now.com/news/politics/blog-utah-legislature-meets-in-special-session-on-citizen-ballot-initiatives,"Senator Jen Plumb, D-Salt Lake City, participated in debate regarding the proposed constitutional amendment on citizen ballot initiatives during the special legislative session. On the core constitutional amendment issue, Plumb raised concerns about the Court's decision, stating the ruling involved ""the form and function of government"" but noting that Sen. Cullimore countered they ""didn't really define it."" She observed that ""that's going to be arguable on every foreseeable initiative."" Plumb voted against the constitutional amendment resolution (SJR 401). The measure ultimately passed 54-21.",0
