external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-2900001,Mike Kehoe,abortion,4,"Kehoe opposes abortion access and vigorously defends Missouri's near-total abortion ban. In June 2026 he called a court ruling loosening abortion regulations ""disappointing, dangerous, and puts the safety of Missouri women in jeopardy,"" urged voters to ""vote YES on Amendment 3"" to protect life, and has stated ""the most innocent person you can protect is in the womb."" No documented support for complete ban with criminal penalties for patients.",https://governor.mo.gov/official-statements/jackson-county-circuit-judge-ruling-abortion-regulations,https://www.ontheissues.org/Mike_Kehoe.htm,,"""Abortion providers will no longer be held to basic standards that keep patients safe and hold clinics accountable.""","""Abortion providers will no longer be held to basic standards that keep patients safe and hold clinics accountable."""
-2900001,Mike Kehoe,civil-rights,5,"Kehoe signed Executive Order 25-18 (Feb 2025) requiring executive agencies to ""comply with equal protection principles"" and prohibiting consideration of ""diversity and equity factors"" in state government operations — a direct ban on DEI programs and race-based considerations in state agencies.",https://governor.mo.gov/actions/executive-orders,https://www.ontheissues.org/Mike_Kehoe.htm,,
-2900001,Mike Kehoe,climate-change,5,"Kehoe opposes climate-driven energy policies, stating the ""Green New Deal experiments endangers private property."" His administration prioritizes economic growth and fossil fuel development over climate regulation, rejecting federal climate policy frameworks.",https://www.ontheissues.org/Mike_Kehoe.htm,,,"""Green New Deal experiments endangers private property.""","""Green New Deal experiments endangers private property."""
-2900001,Mike Kehoe,data-centers,4,"Kehoe signed SB 4 in 2025 including consumer protections barring utilities from passing data center infrastructure costs onto residential customers. His May 2026 statement on data centers frames them as economic opportunities while noting ""energy affordability and water availability concerns that accompany these announcements are addressed before moving forward,"" indicating streamlined development with transparency requirements.",https://governor.mo.gov/official-statements/data-centers-missouri,https://governor.mo.gov/press-releases,,"""Energy affordability and water availability concerns that accompany these announcements are addressed before moving forward with them.""","""Energy affordability and water availability concerns that accompany these announcements are addressed before moving forward with them."""
-2900001,Mike Kehoe,deportation,4,"On Day 1 as governor, Kehoe signed EO 25-04 establishing a memorandum of understanding with the U.S. Department of Homeland Security for immigration enforcement cooperation, and EO 25-05 directing state agencies to include immigration status in uniform crime reporting. He stated ""Missouri will work with President Trump to crack down on illegal immigration"" and deployed Missouri National Guard to the Texas border.",https://governor.mo.gov/actions/executive-orders,https://www.ontheissues.org/Mike_Kehoe.htm,,"""Missouri will work with President Trump to crack down on illegal immigration.""","""This state will work with the federal administration to crack down on illegal immigration."""
-2900001,Mike Kehoe,fossil-fuels,4,"Kehoe opposes Green New Deal energy restrictions and supports expanded fossil fuel development. He has stated the ""Green New Deal experiments endangers private property"" and his administration has prioritized economic development including energy sector expansion. He has not documented a position calling for removal of all environmental restrictions.",https://www.ontheissues.org/Mike_Kehoe.htm,,,
-2900001,Mike Kehoe,healthcare,4,"Kehoe explicitly opposed Missouri Medicaid expansion, calling it ""unsupportable and unsustainable."" His healthcare approach limits government assistance to those who cannot afford care, while keeping private insurance the primary mechanism for most Missourians.",https://www.ontheissues.org/Mike_Kehoe.htm,,,"""Opposed Medicaid expansion: unsupportable and unsustainable.""","""Opposed Medicaid expansion: unsupportable and unsustainable."""
-2900001,Mike Kehoe,housing,4,"Kehoe signed legislation overturning Kansas City's source-of-income discrimination protections, allowing landlords to refuse tenants using housing vouchers, SSDI, child support, or tips for rent payment. This action reduces government regulation in housing markets and lets private landlords make their own decisions.",https://en.wikipedia.org/wiki/Mike_Kehoe,,,
-2900001,Mike Kehoe,immigration,4,"Kehoe enacted Day 1 executive orders establishing DHS cooperation on immigration enforcement (EO 25-04) and immigration status tracking in crime reporting (EO 25-05), deployed National Guard to Texas border, and stated his administration will ""work with President Trump to crack down on illegal immigration."" His approach restricts public services to those with legal status and reduces legal immigration access.",https://governor.mo.gov/actions/executive-orders,https://www.ontheissues.org/Mike_Kehoe.htm,,"""Missouri will work with President Trump to crack down on illegal immigration.""","""This state will work with the federal administration to crack down on illegal immigration."""
-2900001,Mike Kehoe,medicare/aid,4,"Kehoe explicitly opposed Medicaid expansion as Missouri Lt. Governor, calling it ""unsupportable and unsustainable."" His healthcare position favors limiting government programs and partial privatization of coverage rather than expansion of public programs.",https://www.ontheissues.org/Mike_Kehoe.htm,,,"""Opposed Medicaid expansion: unsupportable and unsustainable.""","""Opposed Medicaid expansion: unsupportable and unsustainable."""
-2900001,Mike Kehoe,redistricting,5,"Wikipedia reports Kehoe called for a special session prioritizing redistricting ""in line with Trump administration demands for additional Republican House seats,"" indicating he supports the party controlling the legislature drawing maps without independent oversight.",https://en.wikipedia.org/wiki/Mike_Kehoe,,,
-2900001,Mike Kehoe,religious-freedom,4,"Kehoe has stated he will not ""sacrifice my core, Christian, conservative beliefs"" and as a state senator introduced a constitutional amendment to protect religious liberties (2016). EO 25-18 also reflects values-based governance. His record supports faith-based exemptions from laws conflicting with sincere religious beliefs.",https://www.ontheissues.org/Mike_Kehoe.htm,,,"""Won't sacrifice my core, Christian, conservative beliefs.""","""Won't sacrifice my core, conservative beliefs."""
-2900001,Mike Kehoe,school-vouchers,4,"Kehoe stated ""Expanding school choice is an early priority"" and prioritized a $50M expansion of the MOScholars tax-credit scholarship program for private and parochial schools. He also signed EO 26-01 establishing an A-F school grade card system. His approach expands voucher eligibility for most families while maintaining some baseline public school funding.",https://www.ontheissues.org/Mike_Kehoe.htm,https://governor.mo.gov/actions/executive-orders,,"""Expanding school choice is an early priority.""","""Expanding school choice is an early priority."""
-2900001,Mike Kehoe,taxes,5,"Kehoe has called for eliminating the individual income tax entirely, stating ""Eliminate the individual income tax once and for all."" He has aggressively cut taxes throughout his career, noting ""I've cut way more taxes than I proposed,"" and championed Amendment 5 as providing ""economic growth, and bring relief to families through income and property tax cuts."" This reflects a position of drastically cutting taxes and shrinking government.",https://www.ontheissues.org/Mike_Kehoe.htm,https://governor.mo.gov/official-statements/appellate-court-rewrite-amendment-5-language,,"""Eliminate the individual income tax once and for all.""","""Eliminate the individual income tax once and for all."""
-2900001,Mike Kehoe,voting-rights,4,"Kehoe supports photo ID requirements for voting, stating ""Having proper identification to vote is only reasonable."" Wikipedia reports he signed legislation repealing a voter-approved minimum wage/sick leave measure and directed legislators to add barriers to initiative petitions — reflecting a preference for restricting direct democracy.",https://www.ontheissues.org/Mike_Kehoe.htm,https://en.wikipedia.org/wiki/Mike_Kehoe,,"""Having proper identification to vote is only reasonable.""","""Having proper identification to vote is only reasonable."""
