full_name,politician_id,topic_key,topic_id,value,reasoning,source_url_1,source_url_2,source_url_3
Julia Letlow,c79994ff-9e88-4318-97d9-d06b0ede183f,abortion,af2fdfd6-02c4-49df-b09c-cf8536f4773f,5,"Letlow is a strongly pro-life Republican endorsed by the National Right to Life Committee. She stated: ""I've always been pro-life, and it was through the transforming experience of having my first child that I knew I needed to do more and wanted to speak out for those who have no voice"" (Mar 2021). She has consistently opposed abortion rights throughout her House tenure.",https://www.ontheissues.org/House/Julia_Letlow.htm,https://www.ontheissues.org/House/Julia_Letlow_Abortion.htm,
Julia Letlow,c79994ff-9e88-4318-97d9-d06b0ede183f,climate-change,f1e44d66-5d27-4b51-b54f-b7ace86f6a3c,5,"Letlow's LCV lifetime score is 4% (0% in 2025), reflecting near-universal opposition to climate and clean energy legislation. She voted against measures on methane fees, offshore wind, clean energy funding, and other climate protections in 2023-2025. She is a member of the Climate Solutions Caucus but her voting record shows no substantive support for climate policy.",https://www.lcv.org/scorecard/julia-letlow/,https://www.ontheissues.org/House/Julia_Letlow.htm,
Julia Letlow,c79994ff-9e88-4318-97d9-d06b0ede183f,fossil-fuels,a22215c3-6693-4bc2-b248-01aebba14570,5,"Letlow's 2024 LCV votes include opposing LNG reforms, attacking oil and gas leasing reforms, and blocking a Delaware River Basin fracking ban. In 2025 she voted to roll back the methane polluter fee and fast-track fossil-fuel power over clean energy. Her 4% lifetime LCV score reflects consistent support for expanding and protecting fossil fuel interests.",https://www.lcv.org/scorecard/julia-letlow/,https://www.ontheissues.org/House/Julia_Letlow.htm,
Julia Letlow,c79994ff-9e88-4318-97d9-d06b0ede183f,healthcare,e8dad4a8-eb93-4931-91f5-d8fb5d7dd529,4,"OnTheIssues classifies Letlow as favoring expanding ObamaCare modestly, placing her as a moderate on the conservative side rather than a full repeal advocate. She serves on the Appropriations Subcommittee on Labor, Health and Human Services, and has not called for full ACA repeal. She does not support a public option or single-payer system.",https://www.ontheissues.org/House/Julia_Letlow.htm,https://en.wikipedia.org/wiki/Julia_Letlow,
Julia Letlow,c79994ff-9e88-4318-97d9-d06b0ede183f,immigration,4e2c69ce-591e-4197-9cd5-7aceff79d390,4,"Letlow strongly opposes pathways to citizenship for undocumented immigrants and criticized Biden border policies, stating: ""The new policies coming down from the Biden administration, I think they're hurting our country."" She voted NO on the NO BAN Act (HR 1333, Feb 2021) and demanded the Biden administration stop releasing immigration detainees in Louisiana. She advocates for enforcement of legal immigration procedures.",https://www.ontheissues.org/House/Julia_Letlow_Immigration.htm,https://www.ontheissues.org/House/Julia_Letlow.htm,
Julia Letlow,c79994ff-9e88-4318-97d9-d06b0ede183f,deportation,44905f3b-e105-4f6c-afc7-5d223813dbac,4,"Letlow demanded the Biden administration ""stop these releases immediately"" regarding immigration detainees released in Louisiana, indicating strong support for deportation enforcement. She strongly opposes pathways to citizenship and advocates for removing those without legal status, prioritizing enforcement. Her record aligns with deporting people without legal status with priority on those with criminal history.",https://www.ontheissues.org/House/Julia_Letlow_Immigration.htm,https://en.wikipedia.org/wiki/Julia_Letlow,
Julia Letlow,c79994ff-9e88-4318-97d9-d06b0ede183f,taxes,f7e5678d-dadd-4556-a2fc-446e24642ceb,4,"Letlow is a conservative Republican who broadly supports tax cuts and reduced government spending. She signed onto the Republican Study Committee budget framework supporting extension of the 2017 Tax Cuts and Jobs Act and reducing the tax burden. Her 2025 LCV vote record shows she voted for the reconciliation bill that included tax cut extensions (characterized by LCV as ""Raising Energy Costs and Providing Polluter Giveaways to Cut Taxes for Billionaires"").",https://www.lcv.org/scorecard/julia-letlow/,https://www.ontheissues.org/House/Julia_Letlow.htm,
Julia Letlow,c79994ff-9e88-4318-97d9-d06b0ede183f,voting-rights,d1792200-1d3b-4955-a0b7-0e6980d7a7b2,4,"OnTheIssues documents Letlow as ""Strongly Opposes easier voter registration."" She stated she would have objected to the 2020 presidential election certification. Her position aligns with requiring photo ID and stricter voter rolls rather than expanding mail-in or automatic registration, though she has not publicly called for eliminating mail-in voting entirely.",https://www.ontheissues.org/House/Julia_Letlow.htm,https://en.wikipedia.org/wiki/Julia_Letlow,
Julia Letlow,c79994ff-9e88-4318-97d9-d06b0ede183f,school-vouchers,00b95a6a-75db-4521-b523-3326bba938de,1,"OnTheIssues explicitly documents that Letlow ""Opposes school vouchers/choice programs."" She views public education as a poverty-reduction catalyst and has prioritized funding for public schools from K-12 through community colleges. This places her as an unusual Republican who opposes voucher programs.",https://www.ontheissues.org/House/Julia_Letlow.htm,https://www.ontheissues.org/House/Julia_Letlow_Education.htm,
Julia Letlow,c79994ff-9e88-4318-97d9-d06b0ede183f,religious-freedom,6b9ba6d9-1001-43f5-b073-4d37130696fd,5,"OnTheIssues documents that Letlow ""Strongly Favors keeping God in public sphere"" and emphasizes her faith as central to her public identity, quoting: ""The Lord doesn't waste an experience good or bad."" As a devout Christian who described her pro-life stance through her faith, she consistently supports expansive religious freedom protections and opposes restrictions on religious expression in public life.",https://www.ontheissues.org/House/Julia_Letlow.htm,https://www.ontheissues.org/House/Julia_Letlow_Abortion.htm,
Julia Letlow,c79994ff-9e88-4318-97d9-d06b0ede183f,same-sex-marriage,c5ab4eab-702f-49b8-9277-8ea53f3835c6,5,"Letlow is a strongly conservative Republican and devout Christian who opposes same-sex marriage. OnTheIssues documents no recorded support for same-sex marriage, and her strong religious freedom stance and opposition to LGBTQ-inclusive legislation (she voted against the NO BAN Act and other civil rights expansions) indicate she aligns with restricting marriage to opposite-sex couples.",https://www.ontheissues.org/House/Julia_Letlow.htm,https://en.wikipedia.org/wiki/Julia_Letlow,
