full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Maria Elvira Salazar,,abortion,4,"Salazar received an A+ rating from Susan B. Anthony Pro-Life America and voted to restrict access to mifepristone and eliminate reproductive healthcare resources for active-duty service members. She supports pro-life restrictions but has not called for a complete ban — her record aligns with restricting abortion to cases of rape, incest, or serious threats to the mother's life.",https://en.wikipedia.org/wiki/Maria_Elvira_Salazar,https://www.ontheissues.org/FL/Maria_Elvira_Salazar.htm,,,
Maria Elvira Salazar,,immigration,2,"Salazar is the lead sponsor of the DIGNITY Act (H.R. 3599, 118th Congress; reintroduced 119th Congress), comprehensive immigration reform that grants work authorization and legal status pathways for up to 12 million undocumented immigrants and creates citizenship pathways for DACA recipients. This positions her well to the pro-immigration side of her party.",https://en.wikipedia.org/wiki/Maria_Elvira_Salazar,https://www.govinfo.gov/app/details/BILLS-118hr3599ih,,,
Maria Elvira Salazar,,deportation,3,"The DIGNITY Act — Salazar's signature legislation — specifically creates legal status pathways for long-term undocumented residents rather than deporting them, while simultaneously calling for strengthened border enforcement against recent arrivals. This distinguishes between recent border crossers (enforcement) and long-term residents (legal pathway), fitting value=3.",https://en.wikipedia.org/wiki/Maria_Elvira_Salazar,https://www.govinfo.gov/app/details/BILLS-118hr3599ih,,,
Maria Elvira Salazar,,climate-change,4,"Salazar has a lifetime LCV score of 11% and a 2025 score of 0% with zero pro-environment votes. She voted against clean energy funding and voted to roll back the methane polluter fee. While she joined the Climate Solutions Caucus early in her tenure, her actual voting record consistently aligns with letting market forces drive any energy transition rather than proactive climate policy.",https://www.lcv.org/congressional-scorecard/moc/maria-elvira-salazar,https://en.wikipedia.org/wiki/Maria_Elvira_Salazar,,,
Maria Elvira Salazar,,fossil-fuels,4,"LCV data shows Salazar voted to block states' cleaner truck standards, voted to roll back the methane polluter fee, and advanced bills 'raising energy costs and providing polluter giveaways.' Her 0% LCV score in 2025 with 29 anti-environment votes indicates consistent support for expanded fossil fuel permitting over environmental restrictions.",https://www.lcv.org/congressional-scorecard/moc/maria-elvira-salazar,,,,
Maria Elvira Salazar,,healthcare,4,"Salazar stated she would support ACA repeal only with viable alternatives, opposes eliminating the preexisting condition coverage mandate, but advocates free-market health insurance policies. This moderate-conservative position supports private markets as the primary vehicle while providing limited help for those who cannot afford care.",https://en.wikipedia.org/wiki/Maria_Elvira_Salazar,https://www.ontheissues.org/FL/Maria_Elvira_Salazar.htm,,,
Maria Elvira Salazar,,taxes,4,"Salazar voted against the $1.9 trillion ARPA COVID relief bill (March 2021) and supports keeping Right-to-Work laws, reflecting a consistent preference for reduced government spending and lower taxes. Her OnTheIssues VoteMatch classification of 'Moderate Conservative' with a +68 economic scale score reflects a cut-taxes-and-scale-back approach.",https://www.ontheissues.org/FL/Maria_Elvira_Salazar.htm,,,,
Maria Elvira Salazar,,same-sex-marriage,2,"Salazar voted against the Equality Act but co-sponsored the Fairness for All Act (2021), a Republican alternative that allows same-sex marriage nationwide while protecting religious organizations' right to decline participation. This exactly matches value=2: allow same-sex marriage nationwide while protecting some organizations' right to decline.",https://en.wikipedia.org/wiki/Maria_Elvira_Salazar,https://www.ontheissues.org/FL/Maria_Elvira_Salazar.htm,,,
Maria Elvira Salazar,,religious-freedom,4,"Salazar voted against the Equality Act citing religious freedom concerns and co-sponsored the Fairness for All Act, which carves out broad faith-based exemptions from anti-discrimination laws. This reflects a position that prioritizes religious freedom and allows faith-based exemptions from laws that conflict with sincere religious beliefs.",https://en.wikipedia.org/wiki/Maria_Elvira_Salazar,,,,
Maria Elvira Salazar,,trans-athletes,4,"Salazar voted against the Equality Act, which would have extended federal protections to transgender individuals including in sports. House Republicans near-unanimously passed H.R. 734 (Protection of Women and Girls in Sports Act, 2023) to restrict trans participation to biological sex at birth — consistent with Salazar's voting record on gender-identity issues.",https://en.wikipedia.org/wiki/Maria_Elvira_Salazar,https://www.govinfo.gov/app/details/BILLS-118hr734ih,,,
Maria Elvira Salazar,,voting-rights,4,"OnTheIssues records Salazar as explicitly opposing expanding voter registration and voter access (March 2021). This aligns with requiring photo ID for voting and regularly updating voter rolls, the defining characteristics of value=4.",https://www.ontheissues.org/FL/Maria_Elvira_Salazar.htm,,,,
Maria Elvira Salazar,,civil-rights,4,"OnTheIssues records Salazar as strongly opposing legally requiring the hiring of women and minorities. She maintained existing police accountability rules and did not support stronger federal civil rights enforcement mechanisms, consistent with limiting federal civil rights enforcement to clear cases of discrimination.",https://www.ontheissues.org/FL/Maria_Elvira_Salazar.htm,,,,
